Connector Type,Тип на конектора
Option 1,Опция 1
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),Ограничете потребителя само от този IP адрес. Могат да се добавят няколко IP адреса чрез разделяне със запетаи. Също така приема частични IP адреси като (111.111.111)
chevron-down,шевронна надолу
Language Code,Код на езика
Unread,непрочетен
Show Log,Покажи дневник
backward,назад
Bar,бар
Enter url parameter for message,Въведете URL адреса за съобщение
New Custom Print Format,Нов персонализиран формат за печат
{0} {1} already exists,{0} {1} вече съществува
Purchase User,Покупка на потребител
Insert,Insert
Route to Success Link,Връзка за път към успеха
Username {0} already exists,Потребителското име {0} вече съществува
Is Home Folder,Е начална папка
Type:,Тип:
Is Pinned,Прикрепен е
No permission to '{0}' {1},Няма разрешение за „{0}“ {1}
Patch Log,Патч дневник
Print Format Builder,Създател на формат за печат
"If enabled, all users can login from any IP Address using Two Factor Auth. This can also be set only for specific user(s) in User Page","Ако е активирано, всички потребители могат да се логват от всеки IP адрес, използвайки Autof. Това може да бъде зададено само за конкретни потребители в Потребителска страница"
only.,само.
The Condition '{0}' is invalid,Условието „{0}“ е невалидно
Day of Week,Ден на седмицата
Text Editor,Редактор на текст
Cut,Разрез
Search or type a command,Търсете или въведете команда
Settings...,Настройки...
Number of DB backups cannot be less than 1,Броят на резервните копия на БД не може да бъде по-малък от 1
ban-circle,забрана-кръг
Excel,Excel
Support Email Address Not Specified,Поддържащ имейл адрес не е посочен
Published,Публикуван
"Note: For best results,  images must be of the same size and width must be greater than height.",Забележка: За най-добри резултати изображенията трябва да са с еднакъв размер и ширина трябва да са по-големи от височината.
This is a top-10 common password.,Това е най-популярната 10-та парола.
Rebuild,Rebuild
Razorpay Payment gateway settings,Настройки на платежен шлюз на Razorpay
Brand Image,Изображение на марката
Column Labels:,Етикети на колони:
Google GSuite Templates to integration with DocTypes,Google GSuite шаблони за интеграция с DocTypes
Orientation,ориентация
Assign,Присвояване
For example if you cancel and amend INV004 it will become a new document INV004-1. This helps you to keep track of each amendment.,"Например, ако откажете и промените INV004, той ще се превърне в нов документ INV004-1. Това ви помага да следите всяко изменение."
From Date Field,От поле за дата
Add script for Child Table,Добавете скрипт за детска таблица
View Comment,Преглед на коментара
Ignore User Permissions,Игнорирайте потребителските разрешения
{0} from {1} to {2},{0} от {1} до {2}
Add Contacts,Добавяне на контакти
Email Account,Имейл акаунт
This month,Този месец
Last Modified By,Последна промяна от
Width,широчина
{0} subscribers added,Добавени са {0} абонати
Get Contacts,Получаване на контакти
{0} {1} added,Добавен е {0} {1}
picture,снимка
Please select a new name to rename,"Моля, изберете ново име за преименуване"
File Upload,Качване на файл
Add New Permission Rule,Добавяне на ново правило за разрешение
"Print Width of the field, if the field is a column in a table","Печат Ширина на полето, ако полето е колона в таблица"
retweet,препубликувате
Models (building blocks) of the Application,Модели (градивни елементи) на приложението
Sidebar and Comments,Странична лента и коментари
User Permissions created sucessfully,"Потребителски разрешения, създадени успешно"
In Reply To,В отговор на
circle-arrow-down,кръг стрелка надолу
Searching ...,Търсене ...
File Name,Име на файл
Printer Settings,Настройки на принтера
"Oops, you are not allowed to know that","Ами сега, нямате право да знаете това"
Restore or permanently delete a document.,Възстановете или окончателно изтрийте документ.
no failed attempts,няма неуспешни опити
Kanban Board Column,Колона на кабинета Канбан
use % as wildcard,използвайте% като заместващ символ
Blocked,блокиран
Import Log,Импортиране на дневник
Chat messages and other notifications.,Съобщения за чат и други известия.
Get Alerts for Today,Получавайте сигнали за днес
Google Maps Settings,Настройки на Google Карти
Toggle Charts,Превключване на диаграми
A4,A4
Set Password,Задайте парола
{0} Report,{0} Отчет
Mapping,картография
A Lead with this Email Address should exist,Олово с този имейл адрес трябва да съществува
Seems token you are using is invalid!,"Изглежда, че използваният от вас знак е невалиден!"
Assigned To/Owner,Присвоени на / собственик
Invalid Subscription,Невалиден абонамент
Tasks,Задачи
You lost some energy points,Изгубихте някои енергийни точки
"List as [{""label"": _(""Jobs""), ""route"":""jobs""}]","Списък като [{&quot;label&quot;: _ (&quot;Работа&quot;), &quot;route&quot;: &quot;jobs&quot;}]"
Users,Потребители
UIDNEXT,UIDNEXT
There were errors while sending email. Please try again.,"При изпращането на имейли имаше грешки. Моля, опитайте отново."
Last Month,Миналия месец
e.g. smtp.gmail.com,напр. smtp.gmail.com
There must be atleast one permission rule.,Трябва да има поне едно правило за разрешение.
Show Totals,Показване на общите стойности
Push Delete,Натиснете Изтрий
Request URL,URL адрес за заявка
Forward To Email Address,Напред към имейл адреса
Select Print Format,Изберете Формат за печат
Remote Fieldname,Отдалечено име на поле
Is Globally Pinned,Глобално е закован
Failed to complete setup,Неуспешно завършване на настройката
"""Parent"" signifies the parent table in which this row must be added","&quot;Родител&quot; означава родителската таблица, в която този ред трябва да бъде добавен"
Trigger Method,Метод на задействане
Danger,опасност
To User,За потребителя
Doc Events,Събития на Doc
Failed,Се провали
Administrator accessed {0} on {1} via IP Address {2}.,Администраторът е получил достъп до {0} на {1} чрез IP адрес {2}.
{0}: Permission at level 0 must be set before higher levels are set,"{0}: Разрешението на ниво 0 трябва да бъде зададено, преди да бъдат зададени по-високи нива"
Permission Level,Ниво на разрешение
Current Mapping Type,Текущ тип картографиране
Records for following doctypes will be filtered,Записите за следните доктрипи ще бъдат филтрирани
Scheduler Last Event,Последно събитие на планировчика
Report of all document shares,Докладване на всички акции
Website Sidebar Item,Позиция на страничната лента на уебсайта
To Do,Да направя
"Select your Country, Time Zone and Currency","Изберете вашата страна, часова зона и валута"
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Въведете статични параметри на URL адреса тук (напр. Sender = ERPNext, потребителско име = ERPNext, парола = 1234 и т.н.)"
No Email Account,Без имейл акаунт
Billing,фактуриране
"Page to show on the website
","Страницата, която ще се показва на уебсайта"
Chat Token,Токен за чат
Custom,Персонализиран
Options for select. Each option on a new line.,Опции за избор. Всяка опция в нов ред.
Both DocType and Name required,И двата DocType и Name са необходими
Every Day,Всеки ден
Label Help,Маркирайте Help (Помощ)
Login token required,Изисква се регистрационен маркер
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Брой колони за поле в изглед със списък или мрежа (Общите колони трябва да са по-малки от 11)
Category,категория
Timespan,Период от време
Edit Profile,Редактирай профил
Ref Report DocType,Ref Report DocType
Expires In,Изтича на
Setup &gt; User,Настройка&gt; Потребител
{0} mentioned you in a comment in {1},{0} ви спомена в коментар в {1}
Edit...,Редактиране...
hidden,скрит
Rich Text,Богат текст
Accounts Manager,Мениджър на профили
Some information is missing,Липсва някаква информация
Equals,Равно на
Not active,Неактивен
Get Items,Вземи елементи
Set numbering series for transactions.,Задайте номерационни серии за транзакции.
Next Scheduled Date,Следваща насрочена дата
{0} has left the conversation in {1} {2},{0} е напуснал разговора в {1} {2}
PDF Settings,Настройки на PDF
Next Schedule Date,Дата на следващото разписание
For Value,За стойност
Update records,Актуализирайте записите
Attach Your Picture,Прикачете снимката си
question-sign,въпросителна знак
cn-northwest-1,CN-северозападна-1
Read by Recipient,Четене от получателя
Is Custom Field,Това е персонализирано поле
{0} un-shared this document with {1},{0} не споделя този документ с {1}
Track Changes,Проследяване на промените
"For comparison, use &gt;5, &lt;10 or =324. For ranges, use 5:10 (for values between 5 &amp; 10).","За сравнение, използвайте&gt; 5, &lt;10 или = 324. За диапазони използвайте 5:10 (за стойности между 5 и 10)."
Get Fields,Вземи полета
Filter must be a tuple or list (in a list),Филтърът трябва да е кортеж или списък (в списък)
Print Style Preview,Преглед на стила за печат
Host,домакин
Max width for type Currency is 100px in row {0},Максималната ширина за типа Валута е 100 пиксела в ред {0}
Rule,правило
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1} не може да бъде &quot;{2}&quot;. Трябва да е от &quot;{3}&quot;
OAuth Bearer Token,Знак за приносител
Setup Wizard,Съветник за настройка
Toggle Chart,Превключване на диаграма
Current Mapping Action,Текущо действие за свързване
Initial Sync Count,Първоначален брой на синхронизиране
Settings for Contact Us Page.,Настройки за страницата за връзка с нас.
Printing failed,Печатането не бе успешно
You can't set 'Translatable' for field {0},Не можете да зададете „Преводим“ за поле {0}
Sorry. You have reached the maximum user limit for your subscription. You can either disable an existing user or buy a higher subscription plan.,Извинете. Достигнахте максималния потребителски лимит за вашия абонамент. Можете да деактивирате съществуващ потребител или да закупите по-висок абонаментен план.
Old Password Required.,Изисква се стара парола.
Backup Limit,Граница на архивиране
Liked by {0},Харесано от {0}
Left,Наляво
Background Jobs,Предишни работни места
Files Size:,Размер на файловете:
Enable,Активиране
GSuite script test,GSUITE скрипт тест
Integration Request,Искане за интеграция
You need to be logged in to access this {0}.,"Трябва да сте влезли, за да имате достъп до тази {0}."
Time Zones,Времеви зони
View {0},Преглед на {0}
Allow Login using User Name,Разрешаване на вход с потребителско име
heart,сърце
More,| Повече ▼
Posts,Публикации
You are not allowed to print this report,Нямате право да отпечатвате този отчет
Ctrl + Up,Ctrl + Up
Unable to load camera.,Камерата не може да се зареди.
Monday,понеделник
Charts,Графики
Set Permissions on Document Types and Roles,Задайте разрешения за типове документи и роли
You can add dynamic properties from the document by using Jinja templating.,Можете да добавяте динамични свойства от документа с помощта на шаблони на Jinja.
Frappe,фрапе
Select File Format,Изберете Формат на файла
SMTP Server,SMTP сървър
Pending,в очакване на
Add,Добави
See on Website,Вижте на сайта
Invalid Home Page,Невалидна начална страница
Print Format Type,Тип на печатния формат
No Permissions set for this criteria.,За тези критерии не са зададени разрешения.
Expand All,Разширяване на всички
Tag Doc Category,Категория Doc на етикет
Generated File,Генериран файл
Notes,бележки
Mark as Done,Маркиране като Готово
Timeline field must be a Link or Dynamic Link,Полето Timeline трябва да бъде връзка или динамична връзка
Notifications and bulk mails will be sent from this outgoing server.,Известията и общите писма ще бъдат изпратени от този изходящ сървър.
This is a top-100 common password.,Това е най-популярната обща парола.
Permanently Submit {0}?,Постоянно изпращане {0}?
"{0} {1} does not exist, select a new target to merge","{0} {1} не съществува, изберете нова цел за обединяване"
Multiplier Field,Поле за множител
Workflow State Field,Поле за състояние на работния процес
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Изглежда има проблем с конфигурацията на сървъра. Не се притеснявайте, в случай на неуспех, сумата ще бъде възстановена на профила Ви."
Send alert if this field's value changes,"Изпращане на предупреждение, ако стойността на това поле се промени"
Auto Repeat,Автоматично повторение
Invalid Credentials,Невалидни идентификационни данни
Subsidiary,Дъщерно дружество
Please select the Document Type.,"Моля, изберете вида документ."
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","Неизвестно кодиране на файлове. Опитах utf-8, windows-1250, windows-1252."
The process for deletion of {0} data associated with {1} has been initiated.,"Процесът за изтриване на {0} данни, свързани с {1} е започнал."
Settings for About Us Page.,Настройки за страницата „За нас“.
Website Manager,Мениджър на уебсайта
Backup Frequency,Честота на архивиране
Group Name,Име на групата
Unsubscribe Param,Отпишете Param
Sort Order,Ред на сортиране
Card Details,Подробности за картата
Idx,Idx
Confirm Your Email,Потвърдете имейла си
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).","След като сте задали това, потребителите ще имат достъп само до документи (напр. Блог), където съществува връзката (напр. Blogger)."
Rejected,Отхвърлени
Admin,Admin
Slideshow Items,Елементи за слайдшоу
Desk Access,Достъп до бюрото
Footer,Footer
System User,Потребител на системата
Return to the Verification screen and enter the code displayed by your authentication app,"Върнете се на екрана за потвърждение и въведете кода, показван от приложението за удостоверяване"
Some of the features might not work in your browser. Please update your browser to the latest version.,"Някои от функциите може да не работят в браузъра ви. Моля, актуализирайте браузъра си до последната версия."
User Permissions,Потребителски разрешения
{0} created this {1},{0} създаде това {1}
Number of Backups,Брой резервни копия
Last Known Versions,Последни известни версии
Current,Текущ
New {0},Ново {0}
Add custom field Auto Repeat in the doctype {0},Добавяне на персонализирано поле Автоматично повторение в doctype {0}
Reqd,Reqd
{0} appreciated your work on {1} with {2} points,{0} оценява работата ви в {1} с {2} точки
Zero means send records updated at anytime,"Нула означава изпращане на записи, актуализирани по всяко време"
Value cannot be changed for {0},Стойността не може да бъде променена за {0}
Only {0} entries shown. Please filter for more specific results.,"Показани са само {0} записи. Моля, филтрирайте за по-конкретни резултати."
Report Builder reports are managed directly by the report builder. Nothing to do.,Отчетите на Builder на отчети се управляват директно от съставителя на отчети. Нищо за правене.
Edit Filter,Редактиране на филтъра
Auth URL Data,Данни за удостоверяване на URL адрес
Has Attachments,Има прикачени файлове
Comment Type,Тип коментар
Download Backups,Изтегляне на резервни копия
Reference DocType and Reference Name are required,Изискват се справочен DocType и Reference Name
Email not sent to {0} (unsubscribed / disabled),Имейлът не е изпратен на {0} (отписан / деактивиран)
chevron-up,шевронна нагоре
Submit on Creation,Подайте при създаването
Only Send Records Updated in Last X Hours,"Изпращайте само записи, актуализирани през последните X часа"
Column Name cannot be empty,Името на колоната не може да бъде празно
Started,Започната
Invalid fieldname '{0}' in autoname,Не е валидно име на поле „{0}“ в името на автора
Archived,Архив
Only Administrator can save a standard report. Please rename and save.,"Единственият администратор може да запази стандартен отчет. Моля, преименувайте и запазете."
Postal,пощенски
Page Length,Дължина на страницата
Relink Communication,Комуникация за връзка
Master,майстор
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account. ,"Използва имейл адреса, посочен в тази сметка като подател за всички имейли, изпратени чрез този профил."
Password reset instructions have been sent to your email,Инструкциите за премахване на паролата са изпратени на имейла ви
Not Permitted,Не е разрешено
Enable Comments,Активиране на коментарите
Custom Format,Персонализиран формат
"CC, BCC & Email Template","Шаблон за CC, BCC &amp; Email"
Click on the link below to download your data,"Кликнете върху връзката по-долу, за да изтеглите данните си"
headphones,слушалки
Not Allowed,Не е позволено
Hide Standard Menu,Скриване на стандартното меню
Sign Up,Регистрирай се
Header HTML set from attachment {0},"HTML от заглавния ред, зададен от прикачен файл {0}"
Dashboard Name,Име на таблото за управление
Skip rows with errors,Прескачане на редове с грешки
Please enter Client Secret before social login is enabled,"Моля, въведете Client Secret преди активирането на социалното влизане"
This goes above the slideshow.,Това е над слайдшоуто.
Row #{0}:,Ред # {0}:
Older backups will be automatically deleted,По-старите архиви се изтриват автоматично
Browser not supported,Браузърът не се поддържа
Email Address,Имейл адрес
Role,роля
Unhandled Email,Необработен имейл
To Date Field,Към полето за дата
Sync,Sync
Select File Type,Изберете Тип на файла
No Preview Available,Няма налична Визуализация
Message Count,Брой съобщения
for the,за
eu-north-1,ес-север-1
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: Само едно правило е разрешено с една и съща роля, ниво и {1}"
You are not allowed to update this Web Form Document,Нямате право да актуализирате този документ на уеб формуляр
Maximum Attachment Limit for this record reached.,Достигнат е максималният лимит на прикачен файл за този запис.
Please make sure the Reference Communication Docs are not circularly linked.,"Моля, уверете се, че Документите за справочни съобщения не са кръгообразно свързани."
Allow in Quick Entry,Разрешаване в бързо влизане
Locals,Местните жители
To,Да се
values separated by commas,"стойности, разделени със запетаи"
Slack Channel,Слаб канал
Invalid column,Невалидна колона
Has Domain,Има домейн
Y Axis Fields,Полета за ос
S3 Backup complete!,S3 Гръб завършен!
Kanban,Kanban
Is Standard,Е стандарт
Edit,редактиране
Invalid Login. Try again.,Невалидно вписване. Опитай пак.
Attachment,Прикачен файл
Reference Document Type,Тип на референтния документ
Loading,Зареждане
Invalid,невалиден
"HTML Header, Robots and Redirects","HTML заглавка, роботи и пренасочвания"
Invalid Search Field {0},Невалидно поле за търсене {0}
There is an error in your Address Template {0},Има грешка в шаблона за адреси {0}
Filter Name,Име на филтъра
Slideshow,Slideshow
A new document {0} has been shared by with you {1}.,Нов документ {0} бе споделен с вас {1}.
"If disabled, this role will be removed from all users.","Ако е деактивирано, тази роля ще бъде премахната от всички потребители."
Please select a valid csv file with data,"Моля, изберете валиден csv файл с данни"
Default theme is set in {0},Темата по подразбиране е зададена в {0}
There is no data to be exported,Няма данни за експортиране
Exception Type,Тип изключение
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},"Не може да се изтрие или анулира, защото {0} {1} е свързан с {2} {3} {4}"
OTP secret can only be reset by the Administrator.,OTP секрет може да бъде нулиран само от администратора.
Page Break,Разделител на страница
Website Script,Скрипт на уебсайта
Subscription Notification,Уведомление за абонамент
Quick Entry,Бързо въвеждане
Lead Conversion Time,Време за преобразуване на олово
Assign Condition,Присвояване на условие
Revoke,Отмяна
Blogger,Blogger
Value missing for,Липсва стойност за
Menu,Меню
Date Format,Формат на датата
Login,Влизам
Count,Броя
Set Property After Alert,Задайте свойство след предупреждение
Thank you,Благодаря ти
Slack Webhooks for internal integration,Слаби Webhooks за вътрешна интеграция
Import Data,Импортиране на данни
Office 365,Office 365
ID,документ за самоличност
Review Level,Ниво на преглед
"Encryption key is invalid, Please check site_config.json","Ключът за шифроване е невалиден. Моля, проверете site_config.json"
User Defaults,Потребителски настройки по подразбиране
Log of error during requests.,Регистрирайте грешка по време на заявките.
Report Hide,Подаване на сигнал за скриване
DefaultValue,Стойност по подразбиране
Number Format,Формат на номера
Style,стил
Submit after importing,Подайте след импортиране
LDAP Security,LDAP сигурност
Login to comment,"Влезте, за да коментирате"
Awaiting Password,Очаква се парола
Password cannot be more than 100 characters long,Паролата не може да съдържа повече от 100 знака
Successfully Done,Успешно завършено
{0} List,{0} Списък
Appreciate,ценя
New {0} (Ctrl+B),Ново {0} (Ctrl + B)
Is Primary Contact,Основен контакт
Raw Commands,Сурови команди
Stylesheets for Print Formats,Стилове за формати за печат
Property Setter,Сетър за собственост
Show Line Breaks after Sections,Показване на прекъсвания на редовете след раздели
API Username,Потребителско име за API
Public Key,Публичен ключ
Email To,Имейл до
Reopen,Повторно отваряне
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Поле, което представлява състоянието на работния процес на транзакцията (ако полето не е налице, ще бъде създадено ново скрито потребителско поле)"
Attachment Removed,Прикачения файл е премахнат
Breadcrumbs,Навигационен
Show Weekends,Показване на почивните дни
Page {0} of {1},Страница {0} от {1}
Time,път
Always use Account's Name as Sender's Name,Винаги използвайте името на профила като име на подателя
Saturday,събота
"Mandatory fields required in table {0}, Row {1}","Задължителните полета, изисквани в таблица {0}, ред {1}"
Build Report,Изготвяне на отчет
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,"Изглежда, че нещо не е наред с конфигурацията на платежния портал на този сайт. Не е извършено плащане."
Send Unsubscribe Link,Изпращане на връзка за отписване
Cannot edit standard fields,Стандартните полета не могат да се редактират
Upcoming Events for Today,Предстоящи събития за днес
Attach file for Import,Прикачване на файл за импортиране
Name of the new Print Format,Име на новия формат за печат
Please ask your administrator to verify your sign-up,"Моля, помолете администратора си да потвърди регистрацията ви"
Type something in the search box to search,"Въведете нещо в полето за търсене, за да търсите"
Next Actions HTML,Следващи действия HTML
Sum,сума
Don't Override Status,Не пренебрегвайте състоянието
Is Child Table,Е детска маса
Custom HTML,Персонализиран HTML
Half-Yearly,Половин годишно
Add a column,Добавете колона
Script URL,URL адрес на скрипта
Errors in Background Events,Грешки във фоновите събития
Find {0} in {1},Намерете {0} в {1}
Use SSL,Използвайте SSL
In Standard Filter,В стандартен филтър
Total Pages,Общо страници
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.","Ако е активирано, потребителите ще бъдат уведомявани всеки път, когато се регистрират. Ако не е активирано, потребителите ще бъдат уведомени само веднъж."
Last Message,Последно съобщение
Next Sync Token,Следващ ток за синхронизиране
No {0} permission,Няма {0} разрешение
Reference DocName,Reference DocName
Print Width,Ширина на печат
No further records,Няма допълнителни записи
Mrs,г-жа
Add Attachment,Добави прикачен файл
Smallest Currency Fraction Value,Най-малка стойност на фракцията във валута
Please attach a file first.,"Моля, първо прикачете файл."
Email Login ID,Идентификационен номер за влизане в имейл адрес
Revoked,отм
Active Domains,Активни домейни
Automation,Автоматизация
Unzipping files...,Разкопчаване на файлове ...
Search for '{0}',Търсете &#39;{0}&#39;
Something went wrong,Нещо се обърка
Please save before attaching.,"Моля, запазете, преди да прикачите."
Table HTML,HTML таблица
hub,главина
Standard,стандарт
Add A New Rule,Добавяне на ново правило
Settings for the About Us Page,Настройки за страницата „За нас“
Fax,факс
{0} Chart,{0} Графика
Ends On,Приключва
Provider,доставчик
Unable to send emails at this time,Понастоящем не могат да се изпращат имейли
You are not allowed to send emails related to this document,"Нямате право да изпращате имейли, свързани с този документ"
Print Hide If No Value,"Печат Скрий, ако няма стойност"
Log Details,Подробности за регистрационния файл
Format,формат
You gained some energy points,Получихте някои енергийни точки
Facebook,Facebook
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","За помощ вижте <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">API и примери за клиентски скрипт</a>"
Chat Profile,Чат профил
Attachment Limit (MB),Ограничение на прикачения файл (МБ)
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","Освен Системния мениджър, ролите със Задаване на права за потребителски права могат да задават разрешения за други потребители за този Тип Документ."
Toggle Sidebar,Превключване на страничната лента
The First User: You,Първият потребител: Вие
Column <b>{0}</b> already exist.,Колона <b>{0}</b> вече съществува.
Reset to defaults,Нулиране на настройките по подразбиране
Assign To Users,Присвояване на потребители
wrench,гаечен ключ
Last Active,Последна активност
Verification code has been sent to your registered email address.,Кодът за потвърждение е изпратен на регистрирания ви имейл адрес.
Grant Type,Вид на безвъзмездната помощ
Same file has already been attached to the record,Същият файл вече е прикачен към записа
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'","Simple Python Expression, например: status == &#39;Отвори&#39; и въведете == &#39;Грешка&#39;"
Processing...,Обработка ...
Report:,Доклад:
Slack Webhook Error,Грешка при Webhook
Published On,Публикувано на
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4> Шаблон по подразбиране </h4><p> Използва <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> и всички полета на Адрес (включително потребителски полета, ако има такива) ще бъдат достъпни </p><pre> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code> </pre>"
More articles on {0},Още статии в {0}
Assignment Rules,Правила за възлагане
Allow Login using Mobile Number,Разрешаване на вход чрез мобилен номер
{0} minutes ago,Преди {0} минути
Tree view not available for {0},Дървовиден изглед не е налице за {0}
List a document type,Избройте типа на документа
Indicator,индикатор
Sort Field,Сортиране на полето
Send document web view link in email,Изпращане на връзка към уеб документа в електронна поща
Settings,Настройки
Energy Point Settings,Настройки на енергийната точка
lightblue,светло синьо
Comment Should be atleast 10 characters,Коментар Трябва да е поне 10 знака
Add Subscribers,Добавяне на абонати
Processing,обработване
Response,отговор
Page HTML,HTML на страницата
In points. Default is 9.,В точки. По подразбиране е 9.
Auto Email Report,Автоматичен отчет за имейл
Query must be a SELECT,Заявката трябва да е SELECT
Not allowed from this IP Address,Не е позволено от този IP адрес
Error Code: {0},Код за грешка: {0}
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}","{0}: &#39;{1}&#39; ({3}) ще бъде съкратен, тъй като максималният брой знаци е {2}"
Create a new {0},Създайте нова {0}
volume-down,намали звука
fire,пожар
No Results,Няма резултати
{0} records deleted,{0} записа са изтрити
Something went wrong while generating dropbox access token. Please check error log for more details.,"Нещо се обърка при генерирането на маркера за достъп до Dropbox. Моля, проверете журнала за грешки за повече подробности."
Descendants Of,Потомци на
Hide details,Скриване на подробности
Font Styles,Стилове на шрифтове
Your subscription will expire on {0}.,Вашият абонамент ще изтече на {0}.
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},Неуспешно удостоверяване при получаване на имейли от имейл акаунт {0}. Съобщение от сървъра: {1}
Stats based on last week's performance (from {0} to {1}),Статистика въз основа на ефективността от миналата седмица (от {0} до {1})
Title Prefix,Префикс на заглавието
Authentication Apps you can use are: ,"Приложения за удостоверяване, които можете да използвате, са:"
Max 500 records at a time,Максимум 500 записа наведнъж
Maximum {0} rows allowed,Позволено е най-много {0} реда
Bulk Rename,Масово преименуване
Unassign Condition,Неприсвояване на условие
We have received a request from you to download your {0} data associated with: {1},"Получихме заявка от вас, за да изтеглите {0} данните, свързани с: {1}"
Successful: {0} to {1},Успешно: {0} до {1}
DocType must be Submittable for the selected Doc Event,DocType трябва да бъде подаден за избраното събитие на Doc
Send After,Изпрати след
Conversation Tones,Тонове на разговор
Tax Category,Данъчна категория
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},Формат на JavaScript: frappe.query_reports [&#39;REPORTNAME&#39;] = {}
{0}: Cannot set Import without Create,{0}: Не може да се зададе импортиране без създаване
Use Sandbox,Използвайте Sandbox
This user cannot request to download data,Този потребител не може да поиска да изтегли данни
Global Unsubscribe,Глобално отписване
GitHub Sync ID,GitHub Sync ID
DocType can only be renamed by Administrator,DocType може да бъде преименуван само от администратор
Datetime,Време за среща
Website Route Meta,Уебсайт Маршрут Meta
Something went wrong during the token generation. Please request again an authorization code.,"Нещо се обърка по време на генерирането на символи. Моля, заявете отново код за оторизация."
Point Allocation Periodicity,Периодичност на разпределение на точки
Click here to check your usage or upgrade to a higher plan,"Кликнете тук, за да проверите използването или надграждането до по-висок план"
Confirm Deletion of Data,Потвърдете изтриването на данни
Unsubscribe Method,Метод за отписване
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,"Тези стойности ще се актуализират автоматично в транзакции и също ще бъдат полезни за ограничаване на разрешенията за този потребител при транзакции, съдържащи тези стойности."
Report Filters,Филтри за отчети
Select Columns,Изберете Колони
Participants,Участниците
Amended From,Изменено от
Your information has been submitted,Вашата информация е изпратена
Help Category,Категория за помощ
Hide field in Report Builder,Скриване на полето в съставителя на отчети
1 month,1 месец
Select an existing format to edit or start a new format.,"Изберете съществуващ формат, за да редактирате или започнете нов формат."
Embed image slideshows in website pages.,Вграждане на слайдшоута в страниците на уебсайта.
Mark as Spam,Отбележи като спам
Data Migration Plan,План за миграция на данни
Email Queue Recipient,Получател на опашката за имейл
