Connector Type,कनेक्टर प्रकार
API Password,एपीआई पासवर्ड
{0} updated,{0} अपडेट किया गया
File Upload Disconnected. Please try again.,फ़ाइल अपलोड डिस्कनेक्ट की गई। कृपया पुन: प्रयास करें।
Dynamic Link,गतिशील लिंक
"Customize Label, Print Hide, Default etc.","लेबल, प्रिंट छिपाएँ, डिफ़ॉल्ट आदि को अनुकूलित करें।"
If you aren't using own publish Google Apps Script webapp you can use the default https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec ,"यदि आप स्वयं प्रकाशित Google Apps स्क्रिप्ट वेबपृष्ठ का उपयोग नहीं कर रहे हैं, तो आप डिफ़ॉल्ट https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3bBiBebppWkeKn6fKZRQvk/exec का उपयोग कर सकते हैं"
You do not have enough permissions to access this resource. Please contact your manager to get access.,इस संसाधन तक पहुँचने के लिए आपके पास पर्याप्त अनुमति नहीं है। पहुँच प्राप्त करने के लिए कृपया अपने प्रबंधक से संपर्क करें।
File {0} does not exist,फ़ाइल {0} मौजूद नहीं है
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0} वैध वर्कफ़्लो स्टेट नहीं है। कृपया अपने वर्कफ़्लो को अपडेट करें और पुनः प्रयास करें।
Allowed In Mentions,अनुमति में अनुमति दी
MX,एमएक्स
Configure Charts,चार्ट कॉन्फ़िगर करें
Operator must be one of {0},ऑपरेटर को {0} में से एक होना चाहिए
If Owner,अगर मालिक
Trigger Name,ट्रिगर का नाम
Write titles and introductions to your blog.,अपने ब्लॉग पर शीर्षक और परिचय लिखें।
Remove Field,फ़ील्ड निकालें
Collapse All,सभी को संकुचित करें
Background Color,पीछे का रंग
There were errors while creating the document. Please try again.,दस्तावेज़ बनाते समय त्रुटियाँ थीं। कृपया पुन: प्रयास करें।
Successful,सफल
Field {0} in row {1} cannot be hidden and mandatory without default,पंक्ति {0} में फ़ील्ड {0} को छिपाया नहीं जा सकता है और डिफ़ॉल्ट रूप से अनिवार्य है
Valid Login id required.,मान्य लॉगिन आईडी की आवश्यकता है।
Example:,उदाहरण:
Owner,मालिक
Combination of Grant Type (<code>{0}</code>) and Response Type (<code>{1}</code>) not allowed,अनुदान प्रकार ( <code>{0}</code> ) और प्रतिक्रिया प्रकार ( <code>{1}</code> ) के संयोजन की अनुमति नहीं है
Delete {0} items permanently?,स्थायी रूप से {0} आइटम हटाएं?
"If the user has any role checked, then the user becomes a ""System User"". ""System User"" has access to the desktop","यदि उपयोगकर्ता की कोई भूमिका जांची जाती है, तो उपयोगकर्ता &quot;सिस्टम उपयोगकर्ता&quot; बन जाता है। &quot;सिस्टम उपयोगकर्ता&quot; के पास डेस्कटॉप तक पहुंच है"
You are connected to internet.,आप इंटरनेट से जुड़े हुए हैं।
Avoid recent years.,हाल के वर्षों से बचें।
Share,शेयर
Kanban Board,कानबन बोर्ड
Api Access,आपी पहुंच
Send Email Alert,ईमेल अलर्ट भेजें
Reference Date,संदर्भित दिनांक
X Axis Field,एक्स एक्सिस फील्ड
Script,लिपि
Send Notifications for documents followed by me,मेरे द्वारा पीछा किए गए दस्तावेजों के लिए अधिसूचना भेजें
Select DocType,DocType चुनें
Search Help,खोज सहायता
OTP App,OTP ऐप
Level Name,स्तर का नाम
Settings for OAuth Provider,OAuth प्रदाता के लिए सेटिंग्स
Invalid Request,अमान्य अनुरोध
Authentication,प्रमाणीकरण
Leave blank to repeat always,हमेशा दोहराने के लिए खाली छोड़ दें
Invalid module path,अमान्य मॉड्यूल पथ
One Time Password (OTP) Registration Code from {},वन टाइम पासवर्ड (OTP) पंजीकरण कोड {} से
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)","लिंक वह वेबसाइट होम पेज है। मानक लिंक (सूचकांक, लॉगिन, उत्पाद, ब्लॉग, संपर्क, के बारे में)"
Footer will display correctly only in PDF,केवल पीडीएफ में पाद सही ढंग से प्रदर्शित होगा
You cannot give review points to yourself,आप अपने आप को समीक्षा अंक नहीं दे सकते
Reports,रिपोर्ट
Bypass restricted IP Address check If Two Factor Auth Enabled,बाईपास प्रतिबंधित आईपी एड्रेस की जांच यदि दो कारक प्रामाणिक है
"Seems issue with server's razorpay config. Don't worry, in case of failure amount will get refunded to your account.","सर्वर के razorpay config के साथ मुद्दे को लगता है। चिंता न करें, विफलता की स्थिति में राशि आपके खाते में वापस कर दी जाएगी।"
Option 1,विकल्प 1
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),केवल इस IP पते से उपयोगकर्ता को प्रतिबंधित करें। कई आईपी पते अल्पविराम से अलग करके जोड़े जा सकते हैं। इसके अलावा आंशिक आईपी पते जैसे (111.111.111) स्वीकार करता है
chevron-down,शेवरॉन-डाउन
Language Code,भाषा कोड
Unread,अपठित ग
Show Log,लॉग दिखाओं
backward,पिछड़ा
Bar,बार
Enter url parameter for message,संदेश के लिए url पैरामीटर दर्ज करें
New Custom Print Format,नया कस्टम प्रिंट प्रारूप
{0} {1} already exists,{0} {1} पहले से मौजूद है
Purchase User,उपयोगकर्ता खरीदें
Insert,सम्मिलित करें
Route to Success Link,सक्सेस लिंक का रूट
Username {0} already exists,उपयोगकर्ता नाम {0} पहले से मौजूद है
Is Home Folder,होम फोल्डर है
Type:,प्रकार:
Is Pinned,पिन किया हुआ है
No permission to '{0}' {1},&#39;{0}&#39; {1} के लिए कोई अनुमति नहीं
Patch Log,पैच लॉग
Print Format Builder,प्रिंट फॉर्मेट बिल्डर
"If enabled, all users can login from any IP Address using Two Factor Auth. This can also be set only for specific user(s) in User Page","यदि सक्षम है, तो सभी उपयोगकर्ता Two Factor Auth का उपयोग करके किसी भी IP पते से लॉगिन कर सकते हैं। यह भी केवल उपयोगकर्ता पेज में विशिष्ट उपयोगकर्ता के लिए सेट किया जा सकता है"
only.,केवल।
The Condition '{0}' is invalid,शर्त &#39;{0}&#39; अमान्य है
Day of Week,सप्ताह के दिन
Text Editor,पाठ संपादक
Cut,कट गया
Search or type a command,एक कमांड खोजें या टाइप करें
Settings...,सेटिंग्स...
Number of DB backups cannot be less than 1,DB बैकअप की संख्या 1 से कम नहीं हो सकती
ban-circle,प्रतिबंध सर्कल
Excel,एक्सेल
Support Email Address Not Specified,समर्थन ईमेल पता निर्दिष्ट नहीं है
Published,प्रकाशित
"Note: For best results,  images must be of the same size and width must be greater than height.","नोट: सर्वोत्तम परिणामों के लिए, चित्र समान आकार के होने चाहिए और चौड़ाई ऊँचाई से अधिक होनी चाहिए।"
This is a top-10 common password.,यह एक शीर्ष -10 आम पासवर्ड है।
Rebuild,फिर से बनाना
Razorpay Payment gateway settings,Razorpay भुगतान गेटवे सेटिंग्स
Brand Image,ब्रांड छवि
Column Labels:,कॉलम लेबल:
Google GSuite Templates to integration with DocTypes,DocTypes के साथ एकीकरण के लिए Google GSuite टेम्प्लेट
Orientation,अभिविन्यास
Assign,सौंपना
For example if you cancel and amend INV004 it will become a new document INV004-1. This helps you to keep track of each amendment.,उदाहरण के लिए यदि आप INV004 को रद्द और संशोधित करते हैं तो यह एक नया दस्तावेज़ INV004-1 बन जाएगा। इससे आपको प्रत्येक संशोधन पर नज़र रखने में मदद मिलती है।
From Date Field,दिनांक क्षेत्र से
Add script for Child Table,चाइल्ड टेबल के लिए स्क्रिप्ट जोड़ें
View Comment,टिप्पणी देखें
Ignore User Permissions,उपयोगकर्ता अनुमतियां पर ध्यान न दें
{0} from {1} to {2},{0} {1} से {2}
Add Contacts,संपर्क जोड़ें
Email Account,ईमेल खाता
This month,इस महीने
Last Modified By,अंतिम संशोधित द्वारा
Width,चौड़ाई
{0} subscribers added,{0} ग्राहक जोड़े गए
Get Contacts,संपर्क प्राप्त करें
{0} {1} added,{0} {1} जोड़ा गया
picture,चित्र
Please select a new name to rename,कृपया नाम बदलने के लिए एक नया नाम चुनें
File Upload,फाइल अपलोड
Add New Permission Rule,नया अनुमति नियम जोड़ें
"Print Width of the field, if the field is a column in a table","यदि फ़ील्ड किसी तालिका में स्तंभ है, तो फ़ील्ड की प्रिंट चौड़ाई"
retweet,पुनः ट्वीट
Models (building blocks) of the Application,आवेदन के मॉडल (बिल्डिंग ब्लॉक)
Sidebar and Comments,साइडबार और टिप्पणियाँ
User Permissions created sucessfully,उपयोगकर्ता उपयोगकर्ता सफलतापूर्वक बनाए गए
In Reply To,प्रतिउत्तर में
circle-arrow-down,वृत्त-तीर-डाउन
Searching ...,खोज कर ...
File Name,फ़ाइल का नाम
Printer Settings,प्रिंटर सेटिंग्स
"Oops, you are not allowed to know that","उफ़, आपको यह जानने की अनुमति नहीं है"
Restore or permanently delete a document.,किसी दस्तावेज़ को पुनर्स्थापित या स्थायी रूप से हटाएं।
no failed attempts,कोई असफल प्रयास नहीं
Kanban Board Column,कानबन बोर्ड कॉलम
use % as wildcard,वाइल्डकार्ड के रूप में% का उपयोग करें
Blocked,अवरोधित
Import Log,आयात करें लॉग
Chat messages and other notifications.,चैट संदेश और अन्य सूचनाएं।
Get Alerts for Today,आज के लिए अलर्ट प्राप्त करें
Google Maps Settings,गूगल मैप्स सेटिंग्स
Toggle Charts,टॉगल चार्ट
A4,ए 4
Set Password,पासवर्ड सेट करें
{0} Report,{0} रिपोर्ट
Mapping,मानचित्रण
A Lead with this Email Address should exist,इस ईमेल पते के साथ एक लीड मौजूद होना चाहिए
Seems token you are using is invalid!,आपके द्वारा उपयोग किया जा रहा टोकन अमान्य है!
Assigned To/Owner,/ स्वामी को सौंपा
Invalid Subscription,अमान्य सदस्यता
Tasks,कार्य
You lost some energy points,आपने कुछ ऊर्जा बिंदु खो दिए
"List as [{""label"": _(""Jobs""), ""route"":""jobs""}]","[{&quot;लेबल&quot;: _ (&quot;नौकरियां&quot;), &quot;मार्ग&quot;: &quot;नौकरी&quot;}]"
Users,उपयोगकर्ता
UIDNEXT,UIDNEXT
There were errors while sending email. Please try again.,ईमेल भेजते समय त्रुटियां थीं। कृपया पुन: प्रयास करें।
Last Month,पिछले महीने
e.g. smtp.gmail.com,उदा। smtp.gmail.com
There must be atleast one permission rule.,कम से कम एक अनुमति नियम होना चाहिए।
Show Totals,टोटल दिखाओ
Push Delete,हटाएँ हटाएँ
Request URL,URL का अनुरोध करें
Forward To Email Address,ईमेल पते पर अग्रेषित करें
Select Print Format,प्रिंट प्रारूप का चयन करें
Remote Fieldname,रिमोट फील्डनाम
Is Globally Pinned,ग्लोबली पिनड है
Failed to complete setup,सेटअप पूरा करने में विफल
"""Parent"" signifies the parent table in which this row must be added",&quot;जनक&quot; उस मूल तालिका को दर्शाता है जिसमें यह पंक्ति जोड़ी जानी चाहिए
Trigger Method,ट्रिगर विधि
Danger,खतरा
To User,प्रयोगकर्ता के लिए
Doc Events,डॉक्टर घटनाएँ
Failed,अनुत्तीर्ण होना
Administrator accessed {0} on {1} via IP Address {2}.,व्यवस्थापक ने IP पते {2} के माध्यम से {1} {0} पर एक्सेस किया।
{0}: Permission at level 0 must be set before higher levels are set,{0}: उच्च स्तर निर्धारित होने से पहले लेवल 0 पर सेट होना चाहिए
Permission Level,अनुमति स्तर
Current Mapping Type,वर्तमान मानचित्रण प्रकार
Records for following doctypes will be filtered,निम्नलिखित सिद्धांतों के लिए रिकॉर्ड फ़िल्टर किए जाएंगे
Scheduler Last Event,अंतिम घटना
Report of all document shares,सभी दस्तावेज़ शेयरों की रिपोर्ट
Website Sidebar Item,वेबसाइट साइडबार आइटम
To Do,करने के लिए
"Select your Country, Time Zone and Currency","अपने देश, समय क्षेत्र और मुद्रा का चयन करें"
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","यहां स्थिर url पैरामीटर दर्ज करें (जैसे। प्रेषक = ERPNext, उपयोगकर्ता नाम = ERPNext, पासवर्ड = 1234 आदि)"
No Email Account,कोई ईमेल खाता नहीं
Billing,बिलिंग
"Page to show on the website
",वेबसाइट पर दिखाने के लिए पेज
Chat Token,चैट करें
Custom,रिवाज
Options for select. Each option on a new line.,चयन के लिए विकल्प। नई लाइन पर प्रत्येक विकल्प।
Both DocType and Name required,DocType और Name दोनों की आवश्यकता है
Every Day,हर दिन
Label Help,लेबल सहायता
Login token required,टोकन आवश्यक है
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),किसी सूची दृश्य या ग्रिड में फ़ील्ड के लिए कॉलम की संख्या (कुल कॉलम 11 से कम होना चाहिए)
Category,वर्ग
Timespan,समय अवधि
Edit Profile,प्रोफाइल एडिट करें
Ref Report DocType,रेफरी रिपोर्ट DocType
Expires In,में समाप्त होने वाला है
Setup &gt; User,सेटअप&gt; उपयोगकर्ता
{0} mentioned you in a comment in {1},{0} ने {1} टिप्पणी में आपका उल्लेख किया
Edit...,संपादित करें ...
hidden,छिपा हुआ
Rich Text,अमीर पाठ
Accounts Manager,खाता प्रबंधक
Some information is missing,कुछ जानकारी गायब है
Equals,के बराबर होती है
Not active,अक्रिय
Get Items,आइटम प्राप्त करें
Set numbering series for transactions.,लेन-देन के लिए नंबरिंग श्रृंखला सेट करें।
Next Scheduled Date,अगली अनुसूचित तिथि
{0} has left the conversation in {1} {2},{0} ने {1} {2} में बातचीत छोड़ दी है
PDF Settings,पीडीएफ सेटिंग्स
Next Schedule Date,अगली अनुसूची तिथि
For Value,मान के लिए
Update records,रिकॉर्ड अपडेट करें
Attach Your Picture,अपनी तस्वीर संलग्न करें
question-sign,प्रश्न-चिन्ह
cn-northwest-1,cn-उत्तर पश्चिम -1
Read by Recipient,प्राप्तकर्ता द्वारा पढ़ें
Is Custom Field,कस्टम फील्ड है
{0} un-shared this document with {1},{0} इस दस्तावेज़ को {1} के साथ साझा किया
Track Changes,ट्रैक परिवर्तन
"For comparison, use &gt;5, &lt;10 or =324. For ranges, use 5:10 (for values between 5 &amp; 10).","तुलना के लिए,&gt; 5, &lt;10 या = 324 का उपयोग करें। श्रेणियों के लिए, 5:10 (5 और 10 के बीच मानों के लिए) का उपयोग करें।"
Get Fields,फ़ील्ड प्राप्त करें
Filter must be a tuple or list (in a list),फ़िल्टर टपल या सूची (सूची में) होना चाहिए
Print Style Preview,प्रिंट शैली पूर्वावलोकन
Host,मेज़बान
Max width for type Currency is 100px in row {0},प्रकार की मुद्रा के लिए अधिकतम चौड़ाई पंक्ति में 100px {0} है
Rule,नियम
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1} &quot;{2}&quot; नहीं हो सकता। यह &quot;{3}&quot; में से एक होना चाहिए
OAuth Bearer Token,OAuth बियरर टोकन
Setup Wizard,सेटअप विज़ार्ड
Toggle Chart,चार्ट टॉगल करें
Current Mapping Action,वर्तमान मानचित्रण क्रिया
Initial Sync Count,प्रारंभिक सिंक गणना
Settings for Contact Us Page.,हमसे संपर्क करें पृष्ठ के लिए सेटिंग्स।
Printing failed,मुद्रण विफल रहा
You can't set 'Translatable' for field {0},आप {0} फ़ील्ड के लिए &#39;ट्रांसलेटेबल&#39; सेट नहीं कर सकते
Sorry. You have reached the maximum user limit for your subscription. You can either disable an existing user or buy a higher subscription plan.,माफ़ कीजिये। आप अपनी सदस्यता के लिए अधिकतम उपयोगकर्ता सीमा तक पहुँच चुके हैं। आप या तो मौजूदा उपयोगकर्ता को अक्षम कर सकते हैं या उच्च सदस्यता योजना खरीद सकते हैं।
Old Password Required.,पुराना पासवर्ड आवश्यक
Backup Limit,बैकअप सीमा
Liked by {0},{0} द्वारा पसंद किया गया
Left,बाएं
Background Jobs,बैकग्राउंड जॉब्स
Files Size:,फ़ाइलें आकार:
Enable,सक्षम करें
GSuite script test,जीसुइट लिपि परीक्षण
Integration Request,एकीकरण का अनुरोध
You need to be logged in to access this {0}.,इस {0} तक पहुंचने के लिए आपको लॉग इन होना होगा।
Time Zones,समय क्षेत्र
View {0},देखें {0}
Allow Login using User Name,उपयोगकर्ता नाम का उपयोग करके लॉगिन की अनुमति दें
heart,दिल
More,अधिक
Posts,पोस्ट
You are not allowed to print this report,आपको इस रिपोर्ट को छापने की अनुमति नहीं है
Ctrl + Up,Ctrl + अप
Unable to load camera.,कैमरा लोड करने में असमर्थ।
Monday,सोमवार
Charts,चार्ट
Set Permissions on Document Types and Roles,दस्तावेज़ प्रकार और भूमिका पर अनुमतियाँ सेट करें
You can add dynamic properties from the document by using Jinja templating.,आप जिनजा टेंपलेटिंग का उपयोग करके दस्तावेज़ से गतिशील गुण जोड़ सकते हैं।
Frappe,फ्रेपे
Select File Format,फ़ाइल प्रारूप का चयन करें
SMTP Server,SMTP सर्वर
Pending,अपूर्ण
Add,जोड़ना
See on Website,वेबसाइट पर देखें
Invalid Home Page,अमान्य मुख पृष्ठ
Print Format Type,प्रिंट प्रारूप प्रकार
No Permissions set for this criteria.,इस मापदंड के लिए कोई भी व्यक्ति निर्धारित नहीं है।
Expand All,सभी का विस्तार करें
Tag Doc Category,टैग डॉक्टर श्रेणी
Generated File,फ़ाइल जनरेट की गई
Notes,टिप्पणियाँ
Mark as Done,पूर्ण के रूप में चिह्नित करें
Timeline field must be a Link or Dynamic Link,टाइमलाइन फ़ील्ड एक लिंक या डायनामिक लिंक होनी चाहिए
Notifications and bulk mails will be sent from this outgoing server.,इस आउटगोइंग सर्वर से सूचनाएं और बल्क मेल भेजे जाएंगे।
This is a top-100 common password.,यह एक शीर्ष -100 आम पासवर्ड है।
Permanently Submit {0}?,स्थायी रूप से {0} सबमिट करें?
"{0} {1} does not exist, select a new target to merge","{0} {1} मौजूद नहीं है, मर्ज करने के लिए एक नया लक्ष्य चुनें"
Multiplier Field,गुणक क्षेत्र
Workflow State Field,वर्कफ़्लो स्टेट फील्ड
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.","सर्वर की ब्रेंट्री कॉन्फ़िगरेशन के साथ कोई समस्या प्रतीत होती है। चिंता न करें, विफलता के मामले में, राशि आपके खाते में वापस कर दी जाएगी।"
Send alert if this field's value changes,यदि यह फ़ील्ड का मान बदलता है तो अलर्ट भेजें
Auto Repeat,ऑटो दोहराएँ
Invalid Credentials,अवैध प्रत्यय पत्र
Subsidiary,सहायक
Please select the Document Type.,कृपया दस्तावेज़ प्रकार का चयन करें।
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","अज्ञात फ़ाइल एन्कोडिंग। Utf-8, windows-1250, windows-1252 की कोशिश की।"
The process for deletion of {0} data associated with {1} has been initiated.,{1} से जुड़े {0} डेटा को हटाने की प्रक्रिया शुरू की गई है।
Settings for About Us Page.,हमारे बारे में पृष्ठ के लिए सेटिंग्स।
Website Manager,वेबसाइट प्रबंधक
Backup Frequency,बैकअप आवृत्ति
Group Name,समूह का नाम
Unsubscribe Param,परम को अनसब्सक्राइब करें
Sort Order,क्रमबद्ध आदेश
Card Details,कार्ड के विवरण
Idx,IDX
Confirm Your Email,आपके ईमेल की पुष्टि करें
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).","एक बार जब आप इसे सेट कर लेते हैं, तो उपयोगकर्ता केवल दस्तावेज़ एक्सेस कर पाएंगे (जैसे ब्लॉग पोस्ट) जहां लिंक मौजूद है (जैसे। ब्लॉगर)।"
Rejected,अस्वीकृत
Admin,व्यवस्थापक
Slideshow Items,स्लाइड शो आइटम
Desk Access,डेस्क एक्सेस
Footer,फ़ुटबाल
System User,सिस्टम उपयोगकर्ता
Return to the Verification screen and enter the code displayed by your authentication app,सत्यापन स्क्रीन पर लौटें और अपने प्रमाणीकरण ऐप द्वारा प्रदर्शित कोड दर्ज करें
Some of the features might not work in your browser. Please update your browser to the latest version.,हो सकता है कि आपके ब्राउज़र में कुछ सुविधाएँ काम न करें। कृपया अपने ब्राउज़र को नवीनतम संस्करण में अपडेट करें।
User Permissions,उपयोगकर्ता
{0} created this {1},{0} ने यह {1} बनाया
Number of Backups,बैकअप की संख्या
Last Known Versions,अंतिम ज्ञात संस्करण
Current,वर्तमान
New {0},नया {0}
Add custom field Auto Repeat in the doctype {0},कस्टम फ़ील्ड ऑटो दोहराएं सिद्धांत में जोड़ें {0}
Reqd,reqd
{0} appreciated your work on {1} with {2} points,{0} {2} अंकों के साथ {1} पर आपके काम की सराहना की
Zero means send records updated at anytime,शून्य का मतलब है किसी भी समय अद्यतन रिकॉर्ड भेजना
Value cannot be changed for {0},मान {0} के लिए नहीं बदला जा सकता
Only {0} entries shown. Please filter for more specific results.,केवल {0} प्रविष्टियाँ दिखाई गई हैं। कृपया अधिक विशिष्ट परिणामों के लिए फ़िल्टर करें।
Report Builder reports are managed directly by the report builder. Nothing to do.,रिपोर्ट बिल्डर रिपोर्ट को रिपोर्ट बिल्डर द्वारा सीधे प्रबंधित किया जाता है। कुछ करने को नहीं है।
Edit Filter,फ़िल्टर संपादित करें
Auth URL Data,प्रामाणिक URL डेटा
Has Attachments,अनुलग्नक है
Comment Type,टिप्पणी प्रकार
Download Backups,बैकअप डाउनलोड करें
Reference DocType and Reference Name are required,संदर्भ DocType और संदर्भ नाम आवश्यक हैं
Email not sent to {0} (unsubscribed / disabled),ईमेल {0} पर नहीं भेजा गया (सदस्यता समाप्त / अक्षम)
chevron-up,शेवरॉन-अप
Submit on Creation,क्रिएशन पर सबमिट करें
Only Send Records Updated in Last X Hours,केवल लास्ट एक्स आवर्स में ही रिकॉर्ड्स अपडेट करें
Column Name cannot be empty,कॉलम नाम खाली नहीं हो सकता
Started,शुरू कर दिया है
Invalid fieldname '{0}' in autoname,अमान्य फ़ील्डनाम &#39;{0}&#39; ऑटोनोम में
Archived,संग्रहीत
Only Administrator can save a standard report. Please rename and save.,केवल व्यवस्थापक ही एक मानक रिपोर्ट सहेज सकता है। कृपया नाम बदलें और सहेजें।
Postal,डाक का
Page Length,पृष्ठ की लंबाई
Relink Communication,संचार को त्यागें
Master,स्वामी
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account. ,इस खाते में भेजे गए ईमेल पते का उपयोग इस खाते का उपयोग करके भेजे गए सभी ईमेल के प्रेषक के रूप में करता है।
Password reset instructions have been sent to your email,पासवर्ड रीसेट निर्देश आपके ईमेल पर भेज दिए गए हैं
Not Permitted,अनुमति नहीं
Enable Comments,टिप्पणियाँ सक्षम करें
Custom Format,कस्टम प्रारूप
"CC, BCC & Email Template","सीसी, बीसीसी और ईमेल टेम्पलेट"
Click on the link below to download your data,अपना डेटा डाउनलोड करने के लिए नीचे दिए गए लिंक पर क्लिक करें
headphones,हेडफोन
Not Allowed,अनुमति नहीं हैं
Hide Standard Menu,मानक मेनू छुपाएं
Sign Up,साइन अप करें
Header HTML set from attachment {0},संलग्नक से HTML HTML सेट {0}
Dashboard Name,डैशबोर्ड का नाम
Skip rows with errors,त्रुटियों वाली पंक्तियों को छोड़ें
Please enter Client Secret before social login is enabled,सामाजिक लॉगिन सक्षम होने से पहले कृपया क्लाइंट गुप्त दर्ज करें
This goes above the slideshow.,यह स्लाइड शो के ऊपर जाता है।
Row #{0}:,पंक्ति # {0}:
Older backups will be automatically deleted,पुराने बैकअप अपने आप डिलीट हो जाएंगे
Browser not supported,ब्राउज़र समर्थित नहीं है
Email Address,ईमेल पता
Role,भूमिका
Unhandled Email,अनहेल्दी ईमेल
To Date Field,दिनांक फ़ील्ड के लिए
Sync,सिंक
Select File Type,फ़ाइल प्रकार का चयन करें
No Preview Available,कोई पूर्वावलोकन उपलब्ध नहीं
Message Count,संदेश गणना
for the,के लिए
eu-north-1,यूरोपीय संघ और उत्तर 1
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: एक ही नियम की अनुमति एक ही भूमिका के साथ, स्तर और {1}"
You are not allowed to update this Web Form Document,आपको इस वेब फ़ॉर्म दस्तावेज़ को अपडेट करने की अनुमति नहीं है
Maximum Attachment Limit for this record reached.,इस रिकॉर्ड के लिए अधिकतम अनुलग्नक सीमा पहुँच गई।
Please make sure the Reference Communication Docs are not circularly linked.,कृपया सुनिश्चित करें कि संदर्भ संचार डॉक्स परिपत्र से जुड़े नहीं हैं।
Allow in Quick Entry,त्वरित प्रविष्टि में अनुमति दें
Locals,स्थानीय लोगों का
To,सेवा मेरे
values separated by commas,मान कॉमा से अलग हो गए
Slack Channel,सुस्त चैनल
Invalid column,अमान्य स्तंभ
Has Domain,डोमेन है
Y Axis Fields,वाई एक्सिस फील्ड्स
S3 Backup complete!,S3 बैकअप पूर्ण!
Kanban,Kanban
Is Standard,मानक है
Edit,संपादित करें
Invalid Login. Try again.,अमान्य लॉगिन। पुनः प्रयास करें।
Attachment,आसक्ति
Reference Document Type,संदर्भ दस्तावेज़ प्रकार
Loading,लोड हो रहा है
Invalid,अमान्य
"HTML Header, Robots and Redirects","HTML हैडर, रोबोट और रीडायरेक्ट"
Invalid Search Field {0},अमान्य खोज फ़ील्ड {0}
There is an error in your Address Template {0},आपके पता टेम्पलेट {0} में कोई त्रुटि है
Filter Name,फ़िल्टर का नाम
Slideshow,स्लाइड शो
A new document {0} has been shared by with you {1}.,आपके द्वारा {1} एक नया दस्तावेज़ {0} साझा किया गया है।
"If disabled, this role will be removed from all users.","अक्षम होने पर, यह भूमिका सभी उपयोगकर्ताओं से हटा दी जाएगी।"
Please select a valid csv file with data,कृपया डेटा के साथ एक वैध सीएसवी फ़ाइल चुनें
Default theme is set in {0},डिफ़ॉल्ट थीम {0} में सेट की गई है
There is no data to be exported,निर्यात किया जाने वाला कोई डेटा नहीं है
Exception Type,अपवाद प्रकार
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},हटाएं या रद्द नहीं कर सकते क्योंकि {0} {1} को {2} {3} {4} से जोड़ा गया है
OTP secret can only be reset by the Administrator.,OTP रहस्य केवल व्यवस्थापक द्वारा रीसेट किया जा सकता है।
Page Break,पृष्ठ ब्रेक
Website Script,वेबसाइट स्क्रिप्ट
Subscription Notification,सदस्यता अधिसूचना
Quick Entry,त्वरित प्रवेश
Lead Conversion Time,लीड रूपांतरण समय
Assign Condition,शर्त सौंपें
Revoke,वापस लेना
Blogger,ब्लॉगर
Value missing for,मान गायब है
Menu,मेन्यू
Date Format,डेटा प्रारूप
Login,लॉग इन करें
Count,गिनती
Set Property After Alert,अलर्ट के बाद प्रॉपर्टी सेट करें
Thank you,धन्यवाद
Slack Webhooks for internal integration,आंतरिक एकीकरण के लिए सुस्त Webhooks
Import Data,आयात आंकड़ा
Office 365,ऑफिस 365
ID,आईडी
Review Level,समीक्षा स्तर
"Encryption key is invalid, Please check site_config.json","एन्क्रिप्शन कुंजी अमान्य है, कृपया site_config.json देखें"
User Defaults,उपयोगकर्ता की कमी
Log of error during requests.,अनुरोध के दौरान त्रुटि का लॉग।
Report Hide,रिपोर्ट छिपाएँ
DefaultValue,डिफ़ॉल्ट मान
Number Format,संख्या स्वरूप
Style,अंदाज
Submit after importing,आयात करने के बाद सबमिट करें
LDAP Security,LDAP सुरक्षा
Login to comment,टिप्पणी करने के लिए लॉगिन करें
Awaiting Password,पासवर्ड की प्रतीक्षा कर रहा है
Password cannot be more than 100 characters long,पासवर्ड 100 वर्णों से अधिक लंबा नहीं हो सकता
Successfully Done,सफलतापूर्वक किया गया
{0} List,{0} सूची
Appreciate,सराहना
New {0} (Ctrl+B),नया {0} (Ctrl + B)
Is Primary Contact,प्राथमिक संपर्क है
Raw Commands,रॉ कमांड्स
Stylesheets for Print Formats,प्रिंट प्रारूप के लिए शैलियाँ
Property Setter,संपत्ति सेटर
Show Line Breaks after Sections,अनुभागों के बाद लाइन ब्रेक दिखाएं
API Username,एपीआई उपयोगकर्ता नाम
Public Key,सार्वजनिक कुंजी
Email To,ईमेल को
Reopen,फिर से खोलना
