Connector Type,コネクタの種類
Users,ユーザー
UIDNEXT,UIDNEXT
There were errors while sending email. Please try again.,メール送信中にエラーが発生しました。もう一度やり直してください。
Last Month,先月
e.g. smtp.gmail.com,例：smtp.gmail.com
There must be atleast one permission rule.,少なくとも1つの許可規則がなければなりません。
Show Totals,合計を表示
Push Delete,削除をプッシュ
Request URL,リクエストURL
Forward To Email Address,メールアドレスに転送
Select Print Format,印刷フォーマットを選択
Remote Fieldname,リモートフィールド名
Is Globally Pinned,グローバルに固定されている
Failed to complete setup,セットアップを完了できませんでした
"""Parent"" signifies the parent table in which this row must be added",&quot;Parent&quot;は、この行を追加する必要がある親テーブルを表します。
Trigger Method,トリガー方法
Danger,危険
To User,ユーザーへ
Doc Events,ドキュメントイベント
Failed,失敗しました
Administrator accessed {0} on {1} via IP Address {2}.,管理者がIPアドレス{2}を介して{1}の{0}にアクセスしました。
{0}: Permission at level 0 must be set before higher levels are set,{0}：上位レベルを設定する前にレベル0の権限を設定する必要があります
Permission Level,許可レベル
Current Mapping Type,現在のマッピングタイプ
Records for following doctypes will be filtered,以下のDoctypeのレコードはフィルタリングされます
Scheduler Last Event,スケジューラの最後のイベント
Report of all document shares,すべての伝票の報告
Website Sidebar Item,ウェブサイトのサイドバー項目
To Do,すること
"Select your Country, Time Zone and Currency",国、タイムゾーン、通貨を選択してください
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)",ここに静的URLパラメータを入力してください（例：sender = ERPNext、username = ERPNext、password = 1234など）。
No Email Account,メールアカウントなし
Billing,請求
"Page to show on the website
",Webサイトに表示するページ
Chat Token,チャットトークン
Custom,カスタム
Options for select. Each option on a new line.,選択のためのオプション。新しい行の各オプション。
Both DocType and Name required,DocTypeとNameの両方が必要です
Every Day,毎日
Label Help,ラベルヘルプ
Login token required,ログイントークンが必要です
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),リストビューまたはグリッドのフィールドの列数（合計列数は11未満にする必要があります）
Category,カテゴリー
Timespan,期間
Edit Profile,プロファイル編集
Ref Report DocType,参照レポートDocType
Expires In,有効期限
Setup &gt; User,設定&gt;ユーザー
{0} mentioned you in a comment in {1},{0}が{1}のコメントであなたを言及しました
Edit...,編集...
hidden,隠された
Rich Text,リッチテキスト
Accounts Manager,アカウントマネージャー
Some information is missing,いくつかの情報が欠けています
Equals,等しい
Not active,非活動中
Get Items,アイテムを入手する
Set numbering series for transactions.,取引の採番シリーズを設定します。
Next Scheduled Date,次の予定日
{0} has left the conversation in {1} {2},{0}が{1}の会話を終了しました{2}
PDF Settings,PDF設定
Next Schedule Date,次の予定日
For Value,価値のために
Update records,レコードを更新する
Attach Your Picture,あなたの写真を添付
question-sign,疑問符
cn-northwest-1,cn-北西-1
Read by Recipient,受信者が読む
Is Custom Field,カスタムフィールドです
{0} un-shared this document with {1},{0}がこのドキュメントを{1}と共有していません
Track Changes,変更を追跡する
"For comparison, use &gt;5, &lt;10 or =324. For ranges, use 5:10 (for values between 5 &amp; 10).",比較のために、&gt; 5、&lt;10、または= 324を使用してください。範囲には、5：10を使用します（5と10の間の値の場合）。
Get Fields,フィールドを取得
Filter must be a tuple or list (in a list),フィルタはタプルまたはリストでなければなりません（リスト内）
Print Style Preview,印刷スタイルのプレビュー
Host,ホスト
Max width for type Currency is 100px in row {0},通貨タイプの最大幅は行{0}で100ピクセルです
Rule,ルール
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1}を &quot;{2}&quot;にすることはできません。 &quot;{3}&quot;のいずれかになります
OAuth Bearer Token,OAuthベアラトークン
Setup Wizard,セットアップウィザード
Toggle Chart,チャートの切り替え
Current Mapping Action,現在のマッピングアクション
Initial Sync Count,初期同期数
Settings for Contact Us Page.,お問い合わせページの設定
Printing failed,印刷失敗
You can't set 'Translatable' for field {0},フィールド{0}に &#39;翻訳可能&#39;を設定することはできません
Sorry. You have reached the maximum user limit for your subscription. You can either disable an existing user or buy a higher subscription plan.,ごめんなさい。サブスクリプションの最大ユーザー制限に達しました。既存のユーザーを無効にするか、より高い購読プランを購入することができます。
Old Password Required.,古いパスワードが必要です。
Backup Limit,バックアップ制限
Left,左
Background Jobs,バックグラウンドジョブ
Files Size:,ファイルサイズ：
Enable,有効にする
GSuite script test,GSuiteスクリプトテスト
Integration Request,統合リクエスト
You need to be logged in to access this {0}.,この{0}にアクセスするにはログインする必要があります。
Time Zones,時間帯
View {0},{0}を表示
Allow Login using User Name,ユーザー名を使用してログインを許可する
heart,心臓
More,もっと
Posts,投稿
You are not allowed to print this report,このレポートを印刷することは許可されていません
Ctrl + Up,Ctrl +上
Unable to load camera.,カメラを読み込めません。
Monday,月曜
Charts,チャート
Set Permissions on Document Types and Roles,文書タイプと役割に対する権限の設定
You can add dynamic properties from the document by using Jinja templating.,Jinjaテンプレートを使用して、ドキュメントから動的プロパティを追加できます。
Frappe,フラッペ
Select File Format,ファイル形式を選択
SMTP Server,SMTPサーバー
Pending,保留中
Add,追加する
See on Website,ウェブサイトで見る
Invalid Home Page,無効なホームページ
Print Format Type,印刷フォーマットの種類
No Permissions set for this criteria.,この基準には権限が設定されていません。
Expand All,すべて展開
Tag Doc Category,タグドキュメントカテゴリ
Generated File,生成ファイル
Notes,ノート
Mark as Done,完了としてマークする
Timeline field must be a Link or Dynamic Link,タイムラインフィールドはリンクまたはダイナミックリンクである必要があります
Notifications and bulk mails will be sent from this outgoing server.,通知と一括メールは、この送信サーバーから送信されます。
This is a top-100 common password.,これはトップ100の一般的なパスワードです。
Permanently Submit {0}?,{0}を永続的に送信しますか？
"{0} {1} does not exist, select a new target to merge",{0} {1}は存在しません。マージする新しいターゲットを選択してください
Multiplier Field,乗数フィールド
Workflow State Field,ワークフロー状態フィールド
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.",サーバーのブレインツリー設定に問題があるようです。心配しないで、失敗した場合、金額はあなたのアカウントに返金されます。
Send alert if this field's value changes,このフィールドの値が変わったらアラートを送信
Auto Repeat,オートリピート
Invalid Credentials,無効な資格情報
Subsidiary,子会社
Please select the Document Type.,文書タイプを選択してください。
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.",未知のファイルエンコーディング。 utf-8、windows-1250、windows-1252を試しました。
The process for deletion of {0} data associated with {1} has been initiated.,{1}に関連付けられている{0}データの削除プロセスが開始されました。
Settings for About Us Page.,会社情報ページの設定。
Website Manager,ウェブサイトマネージャー
Backup Frequency,バックアップ頻度
Group Name,グループ名
Unsubscribe Param,購読解除パラメータ
Sort Order,ソート順
Card Details,カード詳細
Idx,Idx
Confirm Your Email,あなたのEメールを確認してください
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).",これを設定すると、ユーザーはリンクが存在する文書（Bloggerなど）にのみアクセスできるようになります。
Rejected,拒否されました
Admin,管理者
Slideshow Items,スライドショー項目
Desk Access,デスクアクセス
Footer,フッター
System User,システムユーザー
Return to the Verification screen and enter the code displayed by your authentication app,確認画面に戻り、認証アプリによって表示されたコードを入力します。
Some of the features might not work in your browser. Please update your browser to the latest version.,一部の機能はお使いのブラウザでは機能しない可能性があります。ブラウザを最新版に更新してください。
User Permissions,ユーザー権限
{0} created this {1},{0}がこの{1}を作成しました
Number of Backups,バックアップ数
Last Known Versions,最新の既知のバージョン
Current,現在
New {0},新しい{0}
Add custom field Auto Repeat in the doctype {0},Doctype {0}にカスタムフィールドAuto Repeatを追加します
Reqd,必須
{0} appreciated your work on {1} with {2} points,{0}が{2}ポイントで{1}への取り組みを評価しました
Zero means send records updated at anytime,ゼロはいつでも更新されたレコードを送信することを意味します
Value cannot be changed for {0},{0}の値は変更できません
Only {0} entries shown. Please filter for more specific results.,{0}個のエントリーのみが表示されています。より具体的な結果を得るためにフィルタをかけてください。
Report Builder reports are managed directly by the report builder. Nothing to do.,Report Builderのレポートは、Report Builderによって直接管理されます。やることは何もない。
Edit Filter,フィルタを編集
Auth URL Data,認証URLデータ
Has Attachments,添付ファイルあり
Comment Type,コメントの種類
Download Backups,バックアップをダウンロードする
Reference DocType and Reference Name are required,参照DocTypeおよび参照名は必須です
Email not sent to {0} (unsubscribed / disabled),電子メールが{0}に送信されていません（登録解除/無効）
chevron-up,シェブロンアップ
Submit on Creation,作成時に送信
Only Send Records Updated in Last X Hours,過去X時間に更新されたレコードのみを送信する
Column Name cannot be empty,列名は空にできません
Started,始めました
Invalid fieldname '{0}' in autoname,自動名前に無効なフィールド名 &#39;{0}&#39;があります
Archived,アーカイブ済み
Only Administrator can save a standard report. Please rename and save.,標準レポートを保存できるのは管理者だけです。名前を変更して保存してください。
Postal,郵便
Page Length,ページ長
Relink Communication,再リンク通信
Master,マスター
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account. ,このアカウントを使用して送信されるすべてのEメールの送信者として、このアカウントに記載されているEメールアドレスを使用します。
Password reset instructions have been sent to your email,パスワード再設定の指示があなたのEメールに送信されました
Not Permitted,許可されていません
Enable Comments,コメントを有効にする
Custom Format,カスタムフォーマット
"CC, BCC & Email Template",CC、BCC、メールテンプレート
Click on the link below to download your data,下のリンクをクリックしてデータをダウンロードしてください。
headphones,ヘッドホン
Not Allowed,禁じられている
Hide Standard Menu,標準メニューを隠す
Sign Up,サインアップ
Header HTML set from attachment {0},添付ファイル{0}から設定されたヘッダーHTML
Dashboard Name,ダッシュボード名
Skip rows with errors,エラーのある行をスキップする
Please enter Client Secret before social login is enabled,ソーシャルログインを有効にする前にクライアントシークレットを入力してください
This goes above the slideshow.,これはスライドショーの上にあります。
Row #{0}:,行番号{0}：
Older backups will be automatically deleted,古いバックアップは自動的に削除されます
Browser not supported,ブラウザはサポートされていません
Email Address,電子メールアドレス
Role,役割
Unhandled Email,未処理のメール
To Date Field,日付フィールドへ
Sync,同期
Select File Type,ファイルの種類を選択
No Preview Available,プレビュー不可
Message Count,メッセージ数
for the,のために
eu-north-1,EU北1
"{0}: Only one rule allowed with the same Role, Level and {1}",{0}：同じ役割、レベル、および{1}で許可されるルールは1つだけです
You are not allowed to update this Web Form Document,このWebフォーム文書を更新することは許可されていません
Maximum Attachment Limit for this record reached.,このレコードの最大添付ファイル数の上限に達しました。
Please make sure the Reference Communication Docs are not circularly linked.,参考コミュニケーション資料が循環的にリンクされていないことを確認してください。
Allow in Quick Entry,クイックエントリーを許可
Locals,地元の人
To,に
values separated by commas,コンマで区切られた値
Slack Channel,スラックチャンネル
Invalid column,無効な列
Has Domain,ドメインあり
Y Axis Fields,Y軸フィールド
S3 Backup complete!,S3バックアップ完了！
Kanban,かんばん
Is Standard,標準です
Edit,編集する
Invalid Login. Try again.,不正なログイン。再試行する。
Attachment,添付ファイル
Reference Document Type,参照伝票タイプ
Loading,ロード中
Invalid,無効
"HTML Header, Robots and Redirects",HTMLヘッダー、ロボット、リダイレクト
Invalid Search Field {0},無効な検索フィールド{0}
There is an error in your Address Template {0},住所テンプレート{0}にエラーがあります
Filter Name,フィルタ名
Slideshow,スライドショー
A new document {0} has been shared by with you {1}.,新しいドキュメント{0}があなたと共有されています{1}。
"If disabled, this role will be removed from all users.",無効にすると、この役割はすべてのユーザーから削除されます。
Please select a valid csv file with data,データを含む有効なcsvファイルを選択してください
Default theme is set in {0},デフォルトのテーマは{0}に設定されています
There is no data to be exported,エクスポートするデータがありません
Exception Type,例外タイプ
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},{0} {1}は{2} {3} {4}とリンクされているため、削除またはキャンセルできません
OTP secret can only be reset by the Administrator.,OTPシークレットは管理者によってのみリセットできます。
Page Break,改ページ
Website Script,ウェブサイトのスクリプト
Subscription Notification,購読通知
Quick Entry,クイックエントリー
Lead Conversion Time,リード変換時間
Assign Condition,条件を割り当てる
Revoke,取り消す
Blogger,Blogger
Value missing for,の値がありません
Menu,メニュー
Date Format,日付フォーマット
Login,ログイン
Count,カウント
Set Property After Alert,警告後にプロパティを設定
Thank you,ありがとうございました
Slack Webhooks for internal integration,内部統合のためのSlack Webhooks
Import Data,データをインポート
Office 365,Office 365
ID,ID
Review Level,レビューレベル
"Encryption key is invalid, Please check site_config.json",暗号化キーが無効です、site_config.jsonを確認してください
User Defaults,ユーザデフォルト
Log of error during requests.,要求中のエラーのログ
Report Hide,隠す
DefaultValue,DefaultValue
Number Format,数値フォーマット
Style,スタイル
Submit after importing,インポート後に送信
LDAP Security,LDAPセキュリティ
Login to comment,コメントするためにログイン
Awaiting Password,パスワード待ち
Password cannot be more than 100 characters long,パスワードは100文字を超えてはいけません
Successfully Done,成功しました
{0} List,{0}リスト
Appreciate,感謝する
New {0} (Ctrl+B),新しい{0}（Ctrl + B）
Is Primary Contact,主な連絡先です
Raw Commands,生のコマンド
Stylesheets for Print Formats,印刷フォーマット用のスタイルシート
Property Setter,プロパティセッター
Show Line Breaks after Sections,セクションの後に改行を表示
API Username,APIユーザー名
Public Key,公開鍵
Email To,にメール
Reopen,再開する
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)",トランザクションのワークフロー状態を表すフィールド（フィールドが存在しない場合は、新しい非表示のカスタムフィールドが作成されます）
Attachment Removed,添付ファイルを削除しました
Breadcrumbs,パン粉
Show Weekends,週末を表示
Page {0} of {1},{1}のページ{0}
Time,時間
Always use Account's Name as Sender's Name,送信者の名前として常にアカウントの名前を使用する
Saturday,土曜日
"Mandatory fields required in table {0}, Row {1}",テーブル{0}、行{1}に必須のフィールド
Build Report,レポート作成
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,このサイトのペイメントゲートウェイ構成に問題があるようです。支払いは行われていません。
Send Unsubscribe Link,購読解除リンクを送信
Cannot edit standard fields,標準フィールドを編集できません
Upcoming Events for Today,今日の今後のイベント
Attach file for Import,インポート用ファイルを添付
Name of the new Print Format,新しい印刷フォーマットの名前
Please ask your administrator to verify your sign-up,登録を確認するように管理者に依頼してください
Type something in the search box to search,検索ボックスに何かを入力して検索する
Next Actions HTML,次のアクションHTML
Sum,和
Don't Override Status,ステータスを上書きしない
Is Child Table,子テーブルです
Custom HTML,カスタムHTML
Half-Yearly,半年ごと
Add a column,列を追加する
Script URL,スクリプトURL
Errors in Background Events,バックグラウンドイベントのエラー
Find {0} in {1},{1}の{0}を検索
Use SSL,SSLを使用
In Standard Filter,標準フィルターで
Total Pages,総ページ数
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.",有効にすると、ユーザーはログインするたびに通知を受けます。有効にしないと、ユーザーには一度だけ通知されます。
Last Message,最後のメッセージ
Next Sync Token,次の同期トークン
No {0} permission,{0}権限がありません
Reference DocName,参照DocName
Print Width,印刷幅
No further records,これ以上レコードはありません
Mrs,夫人
Add Attachment,添付ファイルを追加する
Smallest Currency Fraction Value,最小通貨分数値
Please attach a file first.,最初にファイルを添付してください。
Email Login ID,メールログインID
Revoked,失効しました
Active Domains,アクティブドメイン
Automation,オートメーション
Unzipping files...,ファイルを解凍しています...
Search for '{0}',&#39;{0}&#39;を検索
Something went wrong,何かがうまくいかなかった
Please save before attaching.,取り付ける前に保存してください。
Table HTML,テーブルHTML
hub,ハブ
Standard,標準
Add A New Rule,新しいルールを追加する
Settings for the About Us Page,会社案内ページの設定
Fax,ファックス
{0} Chart,{0}チャート
Ends On,終わります
Provider,プロバイダ
Unable to send emails at this time,現時点ではメールを送信できません
You are not allowed to send emails related to this document,この文書に関連するEメールを送信することは許可されていません
Print Hide If No Value,値がない場合は非表示を印刷
Log Details,ログ詳細
Format,フォーマット
You gained some energy points,あなたはいくつかのエネルギーポイントを得ました
Facebook,フェイスブック
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","ヘルプについては、 <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">クライアントスクリプトAPIと例</a>を参照してください。"
Chat Profile,チャットプロフィール
Attachment Limit (MB),添付ファイルの制限（MB）
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",System Managerとは別に、Set User Permissions権限を持つロールは、そのドキュメントタイプの他のユーザーに権限を設定できます。
Toggle Sidebar,サイドバーの切り替え
The First User: You,最初のユーザー：あなた
Column <b>{0}</b> already exist.,列<b>{0}は</b>既に存在します。
Reset to defaults,既定値にリセット
Assign To Users,ユーザーに割り当て
wrench,レンチ
Last Active,最後にログインした時
Verification code has been sent to your registered email address.,確認コードがあなたの登録されたEメールアドレスに送られました。
Grant Type,交付金の種類
Same file has already been attached to the record,同じファイルがすでにレコードに添付されています
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'",単純なPython表現、例：status == &#39;Open&#39;、type == &#39;Bug&#39;
Processing...,処理...
Report:,報告書：
Slack Webhook Error,スラックウェブフックエラー
Published On,公開日
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4>デフォルトのテンプレート</h4><p> <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a>を使用すると、Addressのすべてのフィールド（カスタムフィールドがある場合はそれも含む）が使用可能になります。 </p><pre> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code> </pre>"
More articles on {0},{0}に関するその他の記事
Assignment Rules,割り当て規則
Allow Login using Mobile Number,携帯電話番号を使用してログインを許可する
{0} minutes ago,{0}分前
Tree view not available for {0},ツリービューは{0}では利用できません
List a document type,文書タイプをリストする
Indicator,インジケータ
Sort Field,ソートフィールド
Send document web view link in email,ドキュメントのWeb表示リンクを電子メールで送信する
Settings,設定
Energy Point Settings,エネルギーポイント設定
lightblue,ライトブルー
Comment Should be atleast 10 characters,コメント10文字以上でなければなりません
Add Subscribers,加入者を追加する
Processing,処理
Response,応答
Page HTML,ページHTML
In points. Default is 9.,ポイントで。デフォルトは9です。
Auto Email Report,自動メールレポート
Query must be a SELECT,クエリはSELECTでなければなりません
Not allowed from this IP Address,このIPアドレスからは許可されていません
Error Code: {0},エラーコード：{0}
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}",最大文字数は{2}なので、{0}： &#39;{1}&#39;（{3}）は切り捨てられます
Create a new {0},新しい{0}を作成
volume-down,ボリュームダウン
fire,火災
No Results,結果がありません
{0} records deleted,{0}レコードが削除されました
Something went wrong while generating dropbox access token. Please check error log for more details.,dropboxアクセストークンを生成中に何か問題が発生しました。詳細についてはエラーログを確認してください。
Descendants Of,の子孫
Hide details,詳細を隠す
Font Styles,フォントスタイル
Your subscription will expire on {0}.,サブスクリプションは{0}に期限切れになります。
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},Eメールアカウント{0}からEメールを受信中に認証が失敗しました。サーバーからのメッセージ：{1}
Stats based on last week's performance (from {0} to {1}),先週のパフォーマンスに基づく統計（{0}から{1}まで）
Title Prefix,タイトルプレフィックス
Authentication Apps you can use are: ,使用できる認証アプリは次のとおりです。
Max 500 records at a time,一度に最大500レコード
Maximum {0} rows allowed,許容最大{0}行
Bulk Rename,一括リネーム
Unassign Condition,割り当て解除条件
We have received a request from you to download your {0} data associated with: {1},{1}に関連付けられた{0}データをダウンロードするようにという要求がありました。
Successful: {0} to {1},成功しました：{0}から{1}
DocType must be Submittable for the selected Doc Event,DocTypeは、選択したDocイベントに対して送信可能でなければなりません
Send After,後に送る
Conversation Tones,会話トーン
Tax Category,課税カテゴリー
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},JavaScriptフォーマット：frappe.query_reports [&#39;REPORTNAME&#39;] = {}
{0}: Cannot set Import without Create,{0}：作成しないとインポートを設定できません
Use Sandbox,サンドボックスを使用する
This user cannot request to download data,このユーザーはデータのダウンロードを要求できません
Global Unsubscribe,グローバル登録解除
GitHub Sync ID,GitHub同期ID
DocType can only be renamed by Administrator,DocTypeは管理者のみが名前を変更できます
Datetime,日付時刻
Website Route Meta,ウェブサイトルートメタ
Something went wrong during the token generation. Please request again an authorization code.,トークン生成中に問題が発生しました。認証コードをもう一度要求してください。
Point Allocation Periodicity,ポイント割り当ての周期性
Click here to check your usage or upgrade to a higher plan,使用状況を確認したり、より高いプランにアップグレードするには、ここをクリックしてください。
Confirm Deletion of Data,データ削除確認
Unsubscribe Method,退会方法
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,これらの値はトランザクションで自動的に更新され、これらの値を含むトランザクションに対するこのユーザーの権限を制限するのにも役立ちます。
Report Filters,レポートフィルタ
Select Columns,列を選択
Participants,参加者
Amended From,から修正
Your information has been submitted,あなたの情報が送信されました
Help Category,ヘルプカテゴリー
Hide field in Report Builder,レポートビルダーでフィールドを非表示にする
1 month,1ヶ月
Select an existing format to edit or start a new format.,既存のフォーマットを選択して編集するか、新しいフォーマットを開始してください。
Embed image slideshows in website pages.,Webサイトのページに画像のスライドショーを埋め込む。
Mark as Spam,スパムとしてマーク
Data Migration Plan,データ移行計画
Email Queue Recipient,電子メールキュー受信者
Do not allow user to change after set the first time,初回設定後にユーザーに変更を許可しない
Patch,パッチ
Send alert if date matches this field's value,日付がこのフィールドの値と一致すると警告を送信します
Reference: {0} {1},参照：{0} {1}
Default Print Format,デフォルトの印刷フォーマット
Load Balancing,負荷分散
Postprocess Method,後処理方法
zoom-out,ズームアウトする
Role Permission for Page and Report,ページおよびレポートの役割権限
Header Image,ヘッダー画像
QZ Tray Connection Active!,QZトレイ接続がアクティブです。
Misc,その他の
You,君は
star,星
Title field must be a valid fieldname,タイトルフィールドは有効なフィールド名である必要があります
Switch To Desk,机に切り替える
End Date Field,終了日フィールド
Show as Grid,グリッドとして表示
Receipient,受取人
Content (Markdown),コンテンツ（値下げ）
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")",このDocTypeに対する通信として追加します（「Status」、「Subject」の各フィールドが必要です）
Field Type,フィールドタイプ
Can't identify open {0}. Try something else.,オープン{0}を識別できません。他のものを試してください。
or,または
Your connection request to Google Calendar was successfully accepted,Googleカレンダーへの接続リクエストは承認されました
Last Login,前回のログイン
Google Apps Script,Google Apps Script
Common names and surnames are easy to guess.,一般名と姓は簡単に推測できます。
Rgt,Rgt
Print with letterhead,レターヘッドで印刷
New value to be set,設定する新しい値
Text Content,テキストコンテンツ
{0} Modules,{0}モジュール
Report Builder,レポートビルダー
download-alt,download-alt
{0}: Cannot set Assign Amend if not Submittable,{0}：Submittableでない場合、Assign Amendを設定できません
Field to Track,追跡するフィールド
Generate Keys,鍵を生成する
Unshared,非共有
Saved,保存しました
OAuth Client,OAuthクライアント
Disable Standard Email Footer,標準メールフッターを無効にする
Print Format {0} is disabled,印刷フォーマット{0}は無効です
Queued for backup. You will receive an email with the download link,バックアップ待ちダウンロードリンクを記載したEメールが届きます。
Third Party Apps,サードパーティのアプリ
Geo,ジオ
View All,全て見る
Milestone,マイルストーン
Activity log of all users.,すべてのユーザーの活動記録ログ。
Query Report,クエリレポート
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)",&quot;before_insert&quot;、 &quot;after_update&quot;などの有効なメソッドでトリガします（選択したDocTypeによって異なります）。
File Manager,ファイルマネージャー
Cannot change docstatus from 0 to 2,docstatusを0から2に変更できません
No permission to {0} {1} {2},{0} {1} {2}に対する権限がありません
Reason,理由
Open a module or tool,モジュールまたはツールを開く
Disable Customer Signup link in Login page,ログインページで[カスタマーサインアップ]リンクを無効にする
Slack Webhook URL,Slack WebhookのURL
Report cannot be set for Single types,シングルタイプのレポートは設定できません
PDF Page Size,PDFページサイズ
City,シティ
Certificate,証明書
This will permanently remove your data.,これはあなたのデータを永久に削除します。
warning-sign,警告サイン
Entity Name,エンティティ名
align-right,右寄せ
Last Updated On,最終更新日
Action,アクション
Client key is required,クライアントキーが必要です
Notifications,通知
mm/dd/yyyy,mm / dd / yyyy
Custom Report,カスタムレポート
Options required for Link or Table type field {0} in row {1},行{1}のリンクまたはテーブルタイプフィールド{0}に必要なオプション
info-sign,情報サイン
Chart Type,グラフの種類
Add a tag ...,タグを追加...
ap-northeast-2,AP北東2
Setup Notifications based on various criteria.,さまざまな基準に基づいて通知を設定します。
Standard Reports,標準レポート
"Repeats like ""aaa"" are easy to guess",&quot;aaa&quot;のような繰り返しは推測しやすい
e.g. pop.gmail.com / imap.gmail.com,例：pop.gmail.com / imap.gmail.com
'Recipients' not specified,「受信者」が指定されていません
"On {0}, {1} wrote:",{0}について、{1}は次のように書いています。
{0} are currently viewing this document,{0}は現在この文書を閲覧しています
Contact,接触
LDAP Username Field,LDAPユーザー名フィールド
Options {0} must be the same as doctype name {1} for the field {2},オプション{0}は、フィールド{2}のDoctype名{1}と同じでなければなりません
"{0} field cannot be set as unique in {1}, as there are non-unique existing values",一意ではない既存の値があるため、{0}フィールドを{1}内で一意として設定することはできません
Social Logins,ソーシャルログイン
Trash,ゴミ
Secret Key,秘密鍵
Default Redirect URI,デフォルトのリダイレクトURI
Adds a custom field to a DocType,カスタムフィールドをDocTypeに追加します
Path to private Key File,秘密鍵ファイルへのパス
Download,ダウンロード
You are not permitted to view the newsletter.,ニュースレターを閲覧することは許可されていません。
Add User Permissions,ユーザー権限を追加する
Go to this URL after completing the form (only for Guest users),フォームに記入してからこのURLにアクセスしてください（ゲストユーザーのみ）
Select Column,列を選択
Every day events should finish on the same day.,毎日のイベントは同じ日に終了する必要があります。
High,高い
"Don't know, ask 'help'",わからない、「助けを求める」
Invite as User,ユーザーとして招待
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.",あなたの質問を受け取りました。まもなく返信いたします。追加情報がある場合は、このメールに返信してください。
Workflow Transition,ワークフロー遷移
"Dear System Manager,",システム管理者各位
Invalid Email Account,無効なメールアカウント
Cannot change state of Cancelled Document. Transition row {0},キャンセルされたドキュメントの状態を変更することはできません。遷移行{0}
Highlight,ハイライト
Resume Sending,送信を再開
Suspend Sending,送信を中断する
Search,サーチ
Pending Verification,保留中の確認
Doctypes,文書型
Send Read Receipt,開封確認を送信する
Filters JSON,フィルタJSON
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.
<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook",ユーザーがアクセスを許可した後に認証コードを受け取るためのURI、および失敗の応答。通常、クライアントアプリによって公開されるRESTエンドポイント。 <br>例：http：//hostname//api/method/frappe.www.login.login_via_facebook
Banner HTML,バナーHTML
Seems Publishable Key or Secret Key is wrong !!!,公開可能な鍵または秘密鍵が間違っているようです。
IP Address,IPアドレス
Email Sent?,メールを送信しましたか？
Workflow State not set,ワークフロー状態が設定されていません
Delivery Status,配送状況
Use IMAP,IMAPを使う
Based On,に基づく
Only Allow Edit For,編集のみを許可
Sales Manager,営業部長
Submit {0} documents?,{0}件の文書を送信しますか？
Images,画像
