Connector Type,Type de connecteur
Number of Backups,Nombre de sauvegardes
Last Known Versions,Dernières versions connues
Current,Actuel
New {0},Nouveau {0}
Add custom field Auto Repeat in the doctype {0},Ajouter un champ personnalisé Répétition automatique dans le doctype {0}
{0} appreciated your work on {1} with {2} points,{0} a apprécié votre travail sur {1} avec {2} points
Zero means send records updated at anytime,Zéro signifie envoyer des enregistrements mis à jour à tout moment
Value cannot be changed for {0},La valeur ne peut pas être modifiée pour {0}
Force User to Reset Password,Forcer l&#39;utilisateur à réinitialiser le mot de passe
Report Builder reports are managed directly by the report builder. Nothing to do.,Les rapports du générateur de rapports sont gérés directement par le générateur de rapports. Rien à faire.
Edit Filter,Modifier le filtre
Auth URL Data,Auth URL Data
Has Attachments,A des pièces jointes
Comment Type,Type de commentaire
Download Backups,Télécharger des sauvegardes
Reference DocType and Reference Name are required,Le type de référence et le nom de référence sont obligatoires
Email not sent to {0} (unsubscribed / disabled),E-mail non envoyé à {0} (désabonné / désactivé)
chevron-up,chevron-up
Submit on Creation,Soumettre à la création
Only Send Records Updated in Last X Hours,Envoyer uniquement les enregistrements mis à jour au cours des X dernières heures
Column Name cannot be empty,Le nom de la colonne ne peut pas être vide
Started,Commencé
Invalid fieldname '{0}' in autoname,Nom de champ non valide &#39;{0}&#39; dans le nom automatique
Workflow State transition not allowed from {0} to {1},La transition d&#39;état du flux de travail n&#39;est pas autorisée de {0} à {1}.
Archived,Archivé
Only Administrator can save a standard report. Please rename and save.,Seul l&#39;administrateur peut enregistrer un rapport standard. S&#39;il vous plaît renommer et enregistrer.
Postal,Postal
Page Length,Longueur de la page
Relink Communication,Relier la communication
Master,Maîtriser
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account. ,Utilise l&#39;adresse électronique mentionnée dans ce compte en tant qu&#39;expéditeur pour tous les courriels envoyés à l&#39;aide de ce compte.
Password reset instructions have been sent to your email,Les instructions de réinitialisation du mot de passe ont été envoyées à votre adresse email.
Not Permitted,Pas permis
Enable Comments,Activer les commentaires
Custom Format,Format personnalisé
"CC, BCC & Email Template","Modèle CC, BCC &amp; Email"
Click on the link below to download your data,Cliquez sur le lien ci-dessous pour télécharger vos données.
headphones,écouteurs
Not Allowed,Interdit
Hide Standard Menu,Masquer le menu standard
Sign Up,S&#39;inscrire
Header HTML set from attachment {0},En-tête HTML défini à partir de la pièce jointe {0}
Dashboard Name,Nom du tableau de bord
Skip rows with errors,Ignorer les lignes avec des erreurs
Please enter Client Secret before social login is enabled,Veuillez entrer le secret du client avant que la connexion sociale ne soit activée.
This goes above the slideshow.,Cela va au-dessus du diaporama.
Row #{0}:,Rangée # {0}:
Older backups will be automatically deleted,Les anciennes sauvegardes seront automatiquement supprimées
Browser not supported,Navigateur non supporté
Email Address,Adresse électronique
Role,Rôle
Unhandled Email,Email non traité
To Date Field,Champ Date
Sync,Sync
Select File Type,Sélectionnez le type de fichier
No Preview Available,Aucun aperçu disponible
Message Count,Nombre de messages
for the,pour le
eu-north-1,eu-north-1
&gt; {0} year(s) ago,&gt; {0} année (s)
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: une seule règle autorisée avec le même rôle, niveau et {1}"
You are not allowed to update this Web Form Document,Vous n&#39;êtes pas autorisé à mettre à jour ce document Web Form
Maximum Attachment Limit for this record reached.,Limite maximale des pièces jointes atteinte pour cet enregistrement.
Please make sure the Reference Communication Docs are not circularly linked.,Assurez-vous que les documents de communication de référence ne sont pas liés de manière circulaire.
Allow in Quick Entry,Autoriser l&#39;entrée rapide
Locals,des locaux
To,À
values separated by commas,valeurs séparées par des virgules
Slack Channel,Slack Channel
Invalid column,Colonne invalide
Has Domain,A domaine
Y Axis Fields,Champs de l&#39;axe Y
S3 Backup complete!,Sauvegarde S3 terminée!
Kanban,Kanban
Is Standard,Est standard
Edit,modifier
Invalid Login. Try again.,Identifiant invalide. Réessayer.
Attachment,Attachement
Reference Document Type,Type de document de référence
Loading,Chargement
Invalid,Invalide
"HTML Header, Robots and Redirects","En-tête HTML, robots et redirections"
Invalid Search Field {0},Champ de recherche non valide {0}
There is an error in your Address Template {0},Il y a une erreur dans votre modèle d&#39;adresse {0}
Filter Name,Nom du filtre
Slideshow,Diaporama
A new document {0} has been shared by with you {1}.,Un nouveau document {0} a été partagé avec vous par {1}.
"If disabled, this role will be removed from all users.","S&#39;il est désactivé, ce rôle sera supprimé de tous les utilisateurs."
Please select a valid csv file with data,Veuillez sélectionner un fichier csv valide avec des données
Default theme is set in {0},Le thème par défaut est défini dans {0}.
There is no data to be exported,Il n&#39;y a pas de données à exporter
Exception Type,Type d&#39;exception
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},Impossible de supprimer ou d&#39;annuler car {0} {1} est lié à {2} {3} {4}
OTP secret can only be reset by the Administrator.,Le secret OTP ne peut être réinitialisé que par l&#39;administrateur.
Page Break,Saut de page
Website Script,Script de site Web
Subscription Notification,Notification d&#39;abonnement
Quick Entry,Entrée rapide
Lead Conversion Time,Temps de conversion du plomb
Assign Condition,Attribuer une condition
Revoke,Révoquer
Blogger,Blogger
Value missing for,Valeur manquante pour
Menu,Menu
Date Format,Format de date
Login,S&#39;identifier
Count,Compter
Set Property After Alert,Définir la propriété après l&#39;alerte
Thank you,Je vous remercie
Slack Webhooks for internal integration,Slack Webhooks pour l&#39;intégration interne
Import Data,Importer des données
Office 365,Bureau 365
ID,ID
Review Level,Niveau de révision
"Encryption key is invalid, Please check site_config.json","La clé de chiffrement n&#39;est pas valide, veuillez vérifier site_config.json"
User Defaults,Valeurs utilisateur
Log of error during requests.,Journal des erreurs lors des requêtes.
Report Hide,Rapport Cacher
DefaultValue,Valeur par défaut
Number Format,Format de nombre
Style,Style
Submit after importing,Soumettre après importation
LDAP Security,Sécurité LDAP
Login to comment,Se connecter pour commenter
Awaiting Password,En attente de mot de passe
Password cannot be more than 100 characters long,Le mot de passe ne peut pas dépasser 100 caractères
Successfully Done,Fait avec succès
{0} List,{0} liste
Appreciate,Apprécier
New {0} (Ctrl+B),Nouveau {0} (Ctrl + B)
Is Primary Contact,Est le contact principal
Raw Commands,Commandes brutes
Stylesheets for Print Formats,Feuilles de style pour les formats d&#39;impression
Property Setter,Propriété Setter
Show Line Breaks after Sections,Afficher les sauts de ligne après les sections
API Username,Nom d&#39;utilisateur de l&#39;API
Public Key,Clé publique
Email To,Envoyer à
Reopen,Rouvrir
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Champ qui représente l&#39;état du flux de travail de la transaction (si le champ n&#39;est pas présent, un nouveau champ personnalisé masqué sera créé)"
Attachment Removed,Pièce jointe supprimée
Breadcrumbs,Chapelure
Show Weekends,Show week-end
Page {0} of {1},Page {0} sur {1}
Time,Temps
Always use Account's Name as Sender's Name,Toujours utiliser le nom du compte comme nom de l&#39;expéditeur
Saturday,samedi
"Mandatory fields required in table {0}, Row {1}","Champs obligatoires dans la table {0}, ligne {1}"
Build Report,Rapport de construction
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,On dirait que quelque chose ne va pas avec la configuration de la passerelle de paiement de ce site. Aucun paiement n&#39;a été effectué.
Send Unsubscribe Link,Envoyer un lien de désabonnement
Cannot edit standard fields,Impossible de modifier les champs standard
Upcoming Events for Today,Événements à venir pour aujourd&#39;hui
Attach file for Import,Joindre un fichier pour importation
Name of the new Print Format,Nom du nouveau format d&#39;impression
Please ask your administrator to verify your sign-up,Veuillez demander à votre administrateur de vérifier votre inscription.
Type something in the search box to search,Tapez quelque chose dans le champ de recherche pour faire une recherche
Next Actions HTML,Actions suivantes HTML
Sum,Somme
Don't Override Status,Ne pas ignorer le statut
Is Child Table,Is Child Table
Custom HTML,HTML personnalisé
{0} must be after {1},{0} doit être après {1}
Half-Yearly,Semestriel
Add a column,Ajouter une colonne
Script URL,URL du script
Errors in Background Events,Erreurs dans les événements en arrière-plan
Find {0} in {1},Trouver {0} dans {1}
Use SSL,Utiliser SSL
In Standard Filter,En filtre standard
Total Pages,Pages totales
{0}: Field '{1}' cannot be set as Unique as it has non-unique values,{0}: Le champ &#39;{1}&#39; ne peut pas être défini comme Unique car il contient des valeurs non uniques.
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.","Si activé, les utilisateurs seront avertis chaque fois qu&#39;ils se connecteront. S&#39;il n&#39;est pas activé, les utilisateurs ne seront notifiés qu&#39;une seule fois."
Last Message,Dernier message
Next Sync Token,Jeton de synchronisation suivant
No {0} permission,Pas d&#39;autorisation {0}
Reference DocName,Référence DocName
Print Width,Largeur d&#39;impression
No further records,Pas d&#39;autres enregistrements
Mrs,Mme
Add Attachment,Ajouter une pièce jointe
Smallest Currency Fraction Value,Plus petite valeur de fraction de devise
Please attach a file first.,Veuillez joindre un fichier en premier.
Email Login ID,Email Identifiant de connexion
Revoked,Révoqué
Active Domains,Domaines Actifs
Automation,Automatisation
Unzipping files...,Décompression des fichiers ...
Search for '{0}',Recherchez &#39;{0}&#39;
Something went wrong,Quelque chose a mal tourné
Please save before attaching.,S&#39;il vous plaît enregistrer avant de joindre.
Table HTML,Table HTML
hub,centre
Standard,la norme
Add A New Rule,Ajouter une nouvelle règle
Settings for the About Us Page,Paramètres de la page À propos de nous
Fax,Fax
{0} Chart,{0} Graphique
Ends On,Se termine sur
Provider,Fournisseur
Unable to send emails at this time,Impossible d&#39;envoyer des courriels à ce moment
You are not allowed to send emails related to this document,Vous n&#39;êtes pas autorisé à envoyer des courriels liés à ce document.
Print Hide If No Value,Imprimer Masquer si aucune valeur
Log Details,Détails du journal
Format,Format
You gained some energy points,Vous avez gagné des points d&#39;énergie
Facebook,Facebook
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","Pour obtenir de l&#39;aide, voir <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">API de script client et exemples.</a>"
Chat Profile,Profil du chat
Attachment Limit (MB),Limite de pièces jointes (Mo)
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","Outre le Gestionnaire système, les rôles dotés du droit Définir les autorisations des utilisateurs peuvent définir des autorisations pour d&#39;autres utilisateurs pour ce type de document."
Toggle Sidebar,Basculer la barre latérale
The First User: You,Le premier utilisateur: vous
Column <b>{0}</b> already exist.,La colonne <b>{0}</b> existe déjà.
Reset to defaults,Réinitialiser les paramètres par défaut
Assign To Users,Attribuer aux utilisateurs
wrench,clé
Last Active,Dernier actif
Verification code has been sent to your registered email address.,Le code de vérification a été envoyé à votre adresse e-mail enregistrée.
Grant Type,Type de subvention
Same file has already been attached to the record,Le même fichier a déjà été joint à l&#39;enregistrement
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'","Expression Python simple, Exemple: status == &#39;Open&#39; et tapez == &#39;Bug&#39;"
Processing...,En traitement...
Report:,Rapport:
Slack Webhook Error,Slack Webhook Error
Published On,Publié sur
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4> Modèle par défaut </h4><p> Utilise <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> et tous les champs d’adresse (y compris les champs personnalisés le cas échéant) seront disponibles </p><pre> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code> </pre>"
More articles on {0},Plus d&#39;articles sur {0}
Assignment Rules,Règles d&#39;attribution
Allow Login using Mobile Number,Autoriser la connexion avec un numéro de téléphone portable
{0} minutes ago,Il y a {0} minutes
Tree view not available for {0},Arbre non disponible pour {0}
List a document type,Lister un type de document
Indicator,Indicateur
Sort Field,Champ de tri
Send document web view link in email,Envoyer le lien d&#39;affichage Web du document par courrier électronique
Settings,Réglages
Energy Point Settings,Paramètres de points d&#39;énergie
lightblue,bleu clair
Comment Should be atleast 10 characters,Commentaire devrait être au moins 10 caractères
Add Subscribers,Ajouter des abonnés
Processing,En traitement
Response,Réponse
Page HTML,Page HTML
In points. Default is 9.,En points. La valeur par défaut est 9.
Auto Email Report,Rapport de messagerie automatique
Query must be a SELECT,La requête doit être un SELECT
Not allowed from this IP Address,Non autorisé à partir de cette adresse IP
Error Code: {0},Code d&#39;erreur: {0}
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}","{0}: &#39;{1}&#39; ({3}) sera tronqué, car le nombre maximal de caractères autorisé est {2}."
Create a new {0},Créer un nouveau {0}
volume-down,baisser le volume
fire,Feu
No Results,Aucun résultat
{0} records deleted,{0} enregistrements supprimés
Something went wrong while generating dropbox access token. Please check error log for more details.,Une erreur s&#39;est produite lors de la génération du jeton d&#39;accès Dropbox. S&#39;il vous plaît consulter le journal des erreurs pour plus de détails.
Descendants Of,Descendants de
Hide details,Cacher les détails
Font Styles,Styles de police
Your subscription will expire on {0}.,Votre abonnement expirera le {0}.
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},L’authentification a échoué lors de la réception d’e-mails du compte de messagerie {0}. Message du serveur: {1}
Stats based on last week's performance (from {0} to {1}),Statistiques basées sur les performances de la semaine dernière (du {0} au {1})
Title Prefix,Préfixe de titre
Authentication Apps you can use are: ,Les applications d&#39;authentification que vous pouvez utiliser sont les suivantes:
Max 500 records at a time,Max 500 enregistrements à la fois
Maximum {0} rows allowed,Maximum {0} lignes autorisées
Bulk Rename,Renommer en masse
Unassign Condition,Unassign Condition
We have received a request from you to download your {0} data associated with: {1},Nous avons reçu une demande de votre part pour télécharger vos données {0} associées à: {1}.
Successful: {0} to {1},Réussite: du {0} au {1}
Success! You are good to go 👍,Succès! Vous êtes bon pour aller
DocType must be Submittable for the selected Doc Event,Le type de document doit être soumis pour l&#39;événement de document sélectionné
Send After,Envoyer après
Conversation Tones,Tonalités de conversation
Tax Category,Catégorie de taxe
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},Format JavaScript: frappe.query_reports [&#39;REPORTNAME&#39;] = {}
{0}: Cannot set Import without Create,{0}: impossible de définir l&#39;importation sans créer
Use Sandbox,Utiliser un bac à sable
This user cannot request to download data,Cet utilisateur ne peut pas demander de télécharger des données
Global Unsubscribe,Désinscription globale
GitHub Sync ID,ID de synchronisation GitHub
DocType can only be renamed by Administrator,DocType ne peut être renommé que par l&#39;administrateur
Datetime,Date / heure
Website Route Meta,Site Web Route Meta
Something went wrong during the token generation. Please request again an authorization code.,Quelque chose s&#39;est mal passé pendant la génération de jetons. Veuillez redemander un code d&#39;autorisation.
Point Allocation Periodicity,Périodicité d&#39;attribution de points
Click here to check your usage or upgrade to a higher plan,Cliquez ici pour vérifier votre utilisation ou passer à un plan supérieur
Confirm Deletion of Data,Confirmer la suppression des données
Unsubscribe Method,Méthode de désinscription
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,Ces valeurs seront automatiquement mises à jour dans les transactions et seront également utiles pour limiter les autorisations de cet utilisateur sur les transactions contenant ces valeurs.
Report Filters,Filtres de rapport
Select Columns,Sélectionner des colonnes
Participants,Participants
Amended From,Modifié depuis
Your information has been submitted,Vos informations ont été soumises
Help Category,Catégorie d&#39;aide
1 month,1 mois
Select an existing format to edit or start a new format.,Sélectionnez un format existant à modifier ou créez un nouveau format.
Embed image slideshows in website pages.,Intégrer des diaporamas dans les pages de sites
Mark as Spam,Marquer comme spam
Data Migration Plan,Plan de migration des données
Email Queue Recipient,Destinataire de la file d&#39;attente de messagerie
Do not allow user to change after set the first time,Ne pas permettre à l&#39;utilisateur de changer après le réglage initial
Patch,Pièce
Send alert if date matches this field's value,Envoyer une alerte si la date correspond à la valeur de ce champ
Reference: {0} {1},Référence: {0} {1}
Default Print Format,Format d&#39;impression par défaut
Load Balancing,L&#39;équilibrage de charge
Postprocess Method,Méthode de post-traitement
zoom-out,Dézoomer
Role Permission for Page and Report,Autorisation de rôle pour la page et le rapport
Header Image,Image d&#39;en-tête
QZ Tray Connection Active!,Connexion bac QZ active!
Misc,Misc
You,Vous
star,étoile
Title field must be a valid fieldname,Le champ de titre doit être un nom de champ valide
Switch To Desk,Passer au bureau
End Date Field,Champ Date de fin
Show as Grid,Afficher sous forme de grille
Receipient,Destinataire
Content (Markdown),Contenu (Markdown)
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","Ajouter en tant que communication avec ce type de document (champs obligatoires, &quot;Statut&quot;, &quot;Objet&quot;)"
Field Type,Type de champ
Can't identify open {0}. Try something else.,Impossible d&#39;identifier {0} ouvert. Essayez autre chose.
or,ou
Your connection request to Google Calendar was successfully accepted,Votre demande de connexion à Google Agenda a été acceptée avec succès.
Last Login,Dernière connexion
Google Apps Script,Script Google Apps
Common names and surnames are easy to guess.,Les noms communs sont faciles à deviner.
Rgt,Rgt
Print with letterhead,Imprimer avec en-tête
New value to be set,Nouvelle valeur à définir
Text Content,Contenu du texte
{0} Modules,{0} Modules
Report Builder,Générateur de rapports
download-alt,download-alt
{0}: Cannot set Assign Amend if not Submittable,{0}: Impossible de définir l&#39;attribution Modifier si non à soumettre
Field to Track,Champ à suivre
Generate Keys,Générer des clés
Unshared,Non partagé
Saved,Enregistré
OAuth Client,Client OAuth
Disable Standard Email Footer,Désactiver le pied de page d&#39;e-mail standard
Print Format {0} is disabled,Le format d&#39;impression {0} est désactivé
Queued for backup. You will receive an email with the download link,Mis en file d&#39;attente pour la sauvegarde. Vous recevrez un email avec le lien de téléchargement
Third Party Apps,Applications tierces
Geo,Géo
View All,Voir tout
Milestone,Étape importante
Activity log of all users.,Journal d&#39;activité de tous les utilisateurs.
Query Report,Rapport de requête
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)","Déclenche sur des méthodes valides telles que &quot;before_insert&quot;, &quot;after_update&quot;, etc. (dépend du type de document sélectionné)"
File Manager,Gestionnaire de fichiers
Cannot change docstatus from 0 to 2,Impossible de changer docstatus de 0 à 2
No permission to {0} {1} {2},Aucune autorisation d&#39;accès au {0} {1} {2}
Reason,Raison
Open a module or tool,Ouvrir un module ou un outil
Disable Customer Signup link in Login page,Désactiver le lien d&#39;inscription du client dans la page de connexion
Slack Webhook URL,URL Slack Webhook
Report cannot be set for Single types,Le rapport ne peut pas être défini pour les types simples
PDF Page Size,Taille de la page PDF
City,Ville
Certificate,Certificat
This will permanently remove your data.,Cela supprimera définitivement vos données.
warning-sign,panneau d&#39;avertissement
Entity Name,Nom de l&#39;entité
align-right,aligner à droite
Last Updated On,Dernière mise à jour le
Action,action
Client key is required,La clé client est requise
Notifications,Les notifications
mm/dd/yyyy,mm / jj / aaaa
Custom Report,Rapport personnalisé
info-sign,info-signe
Chart Type,Type de graphique
Add a tag ...,Ajouter un tag ...
ap-northeast-2,ap-nord-est-2
Setup Notifications based on various criteria.,Configurer les notifications en fonction de divers critères.
Standard Reports,Rapports standard
"Repeats like ""aaa"" are easy to guess",Des répétitions comme &quot;aaa&quot; sont faciles à deviner
e.g. pop.gmail.com / imap.gmail.com,"par exemple, pop.gmail.com / imap.gmail.com"
'Recipients' not specified,&#39;Destinataires&#39; non spécifié
"On {0}, {1} wrote:","Sur {0}, {1} a écrit:"
{0} are currently viewing this document,{0} visualise actuellement ce document
Contact,Contact
LDAP Username Field,Champ Nom d&#39;utilisateur LDAP
"{0} field cannot be set as unique in {1}, as there are non-unique existing values","Le champ {0} ne peut pas être défini comme unique dans {1}, car il existe des valeurs non uniques existantes."
Social Logins,Connexions sociales
Trash,Poubelle
Secret Key,Clef secrète
Default Redirect URI,URI de redirection par défaut
Adds a custom field to a DocType,Ajoute un champ personnalisé à un type de document
Path to private Key File,Chemin vers le fichier de clé privée
Download,Télécharger
You are not permitted to view the newsletter.,Vous n&#39;êtes pas autorisé à voir la newsletter.
Add User Permissions,Ajouter des autorisations utilisateur
Go to this URL after completing the form (only for Guest users),Allez à cette URL après avoir rempli le formulaire (uniquement pour les utilisateurs invités)
Select Column,Sélectionner une colonne
Every day events should finish on the same day.,"Tous les jours, les événements devraient se terminer le même jour."
High,Haute
"Don't know, ask 'help'","Je ne sais pas, demander &#39;aide&#39;"
Invite as User,Inviter en tant qu&#39;utilisateur
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.","Votre requête a été reçue. Nous vous répondrons sous peu. Si vous avez des informations supplémentaires, veuillez répondre à ce courrier."
Workflow Transition,Transition du flux de travail
"Dear System Manager,","Cher gestionnaire de système,"
Invalid Email Account,Compte de messagerie invalide
Cannot change state of Cancelled Document. Transition row {0},Impossible de changer l&#39;état du document annulé. Ligne de transition {0}
Highlight,Surligner
Resume Sending,Reprendre l&#39;envoi
Suspend Sending,Suspendre l&#39;envoi
Search,Chercher
Pending Verification,En attente de vérification
Doctypes,Doctypes
Send Read Receipt,Envoyer un accusé de lecture
Filters JSON,Filtres JSON
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.
<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook","Les URI permettant de recevoir le code d&#39;autorisation une fois que l&#39;utilisateur autorise l&#39;accès, ainsi que les réponses en cas d&#39;échec. Généralement, un point de terminaison REST exposé par l&#39;application client. <br> Par exemple, http: //hostname//api/method/frappe.www.login.login_via_facebook"
Banner HTML,Bannière HTML
Seems Publishable Key or Secret Key is wrong !!!,Semble que la clé publiable ou la clé secrète est fausse !!!
IP Address,Adresse IP
Email Sent?,Email envoyé?
Workflow State not set,Etat du flux de travail non défini
Delivery Status,Statut de livraison
Use IMAP,Utiliser IMAP
Based On,Basé sur
Only Allow Edit For,Autoriser uniquement l&#39;édition pour
Sales Manager,Directeur commercial
Submit {0} documents?,Soumettre des {0} documents?
Images,Images
"Filtered by ""{0}""",Filtré par &quot;{0}&quot;
Hide Copy,Masquer la copie
Friday,Vendredi
User,Utilisateur
Monthly,Mensuel
Filter Values,Filtrer les valeurs
LDAP Server Url,URL du serveur LDAP
Destination ID,ID de destination
Fieldname not set for Custom Field,Nom du champ non défini pour le champ personnalisé
e.g. replies@yourcomany.com. All replies will come to this inbox.,"par exemple, replies@yourcomany.com. Toutes les réponses viendront à cette boîte de réception."
Standard Print Style cannot be changed. Please duplicate to edit.,Le style d&#39;impression standard ne peut pas être modifié. Veuillez dupliquer pour éditer.
Title Field,Champ de titre
Could not connect to outgoing email server,Impossible de se connecter au serveur de messagerie sortant
File URL,URL du fichier
Likes,Aime
You need to be logged in and have System Manager Role to be able to access backups.,Vous devez être connecté et disposer du rôle de gestionnaire système pour pouvoir accéder aux sauvegardes.
First Level,Premier niveau
Short Name,Nom court
Permission Rules,Règles de permission
Row No,Ligne No
Email Group Member,Membre du groupe de messagerie
Cannot {0} {1},Impossible {0} {1}
Please select DocType first,Veuillez sélectionner d&#39;abord le type de document
Spam,Spam
Google Services,Services Google
Save,sauvegarder
Website Sidebar,Barre latérale du site
No permission for {0},Aucune autorisation pour {0}
Your payment has been successfully registered.,Votre paiement a été enregistré avec succès.
Import Zip,Importation Zip
Gender,Le sexe
thumbs-down,pouces vers le bas
SEO,SEO
Queue should be one of {0},La file d&#39;attente doit être l&#39;une des {0}
Cannot set Notification on Document Type {0},Impossible de définir la notification sur le type de document {0}
Adding System Manager to this User as there must be atleast one System Manager,Ajout de System Manager à cet utilisateur car il doit y avoir au moins un System Manager
Welcome email sent,Email de bienvenue envoyé
Chaining Hash,Chaînage du hachage
Maintenance Manager,gérant de la maintenance
show,spectacle
Share URL,URL de partage
Unsupported File Format,Format de fichier non pris en charge
Two Factor Authentication,Authentification à deux facteurs
Frappe Framework,Cadre Frappe
Commented on {0}: {1},Commenté le {0}: {1}
Set Value,Définir la valeur
Show all Versions,Afficher toutes les versions
Submit,Soumettre
This may get printed on multiple pages,Cela peut être imprimé sur plusieurs pages
Get your globally recognized avatar from Gravatar.com,Obtenez votre avatar mondialement reconnu sur Gravatar.com
Client ID,identité du client
Default Letter Head,En-tête de lettre par défaut
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Règles indiquant comment les états sont des transitions, comme l&#39;état suivant et quel rôle est autorisé à changer d&#39;état, etc."
ESC,ESC
"States for workflow (e.g. Draft, Approved, Cancelled).","États pour le flux de travail (par exemple, brouillon, approuvé, annulé)."
Today,Aujourd&#39;hui
Notification,Notification
Show only errors,Afficher seulement les erreurs
Review,La revue
Rows Removed,Rangées supprimées
Google Credentials,Credentials de Google
Or login with,Ou connectez-vous avec
Record does not exist,L&#39;enregistrement n&#39;existe pas
New Report name,Nom du nouveau rapport
leaf,feuille
Invalid Outgoing Mail Server or Port,Serveur de courrier sortant ou port invalide
Email Server,Serveur de messagerie
For,Pour
Recipient Unsubscribed,Destinataire désabonné
Download Data,Télécharger les données
Search or Create a New Chat,Rechercher ou créer un nouveau chat
Draft,Brouillon
Assignment Rule User,Affectation de règle utilisateur
Madam,Madame
Custom Reports,Rapports personnalisés
{0} cannot be set for Single types,{0} ne peut pas être défini pour les types simples
Base URL,URL de base
Web View,Affichage Web
"to be generated. If delayed, you will have to manually change the ""Repeat on Day of Month"" field
of this","être généré. En cas de retard, vous devrez modifier manuellement le champ &quot;Répéter le jour du mois&quot; de cette"
Creating {0},Création de {0}
List,liste
th-large,grand
{0}: Cannot set Assign Submit if not Submittable,{0}: Impossible de définir Assign Submit si non à soumettre.
Not Linked to any record,Non lié à aucun enregistrement
Content,Contenu
Allow Self Approval,Autoriser l&#39;auto-approbation
Page has expired!,La page a expiré!
Created By,Créé par
Unread Notification Sent,Notification non lue envoyée
Validity,Validité
Leave blank for new records,Laisser en blanc pour les nouveaux enregistrements
Attached To Field,Attaché au champ
Rename many items by uploading a .csv file.,Renommez de nombreux éléments en téléchargeant un fichier .csv.
Optional: The alert will be sent if this expression is true,Facultatif: l&#39;alerte sera envoyée si cette expression est vraie.
Backup job is already queued. You will receive an email with the download link,Le travail de sauvegarde est déjà en file d&#39;attente. Vous recevrez un email avec le lien de téléchargement
SMS Parameter,Paramètre SMS
hand-right,main droite
Banner is above the Top Menu Bar.,La bannière est au-dessus de la barre de menu supérieure.
Invalid Password,Mot de passe incorrect
1 month ago,Il ya 1 mois
App Client ID,ID client d&#39;application
Currency,Devise
Banner,Bannière
Document Type,Type de document
Folder name should not include '/' (slash),Le nom du dossier ne doit pas inclure &#39;/&#39; (barre oblique)
Simultaneous Sessions,Sessions simultanées
Add a new section,Ajouter une nouvelle section
Goal,Objectif
CSS,CSS
"If a Role does not have access at Level 0, then higher levels are meaningless.","Si un rôle n&#39;a pas accès au niveau 0, les niveaux supérieurs n&#39;ont pas de sens."
Reference Type,Type de référence
"Allowing DocType, DocType. Be careful!","Permettant DocType, DocType. Faites attention!"
Domain Settings,Paramètres du domaine
Dynamic Report Filters,Filtres de rapport dynamique
Appreciation,Appréciation
Setup &gt; User,Configuration&gt; Utilisateur
{0} must be set first,{0} doit être défini en premier
