Connector Type,કનેક્ટર પ્રકાર
This is a top-100 common password.,આ એક ટોપ -100 સામાન્ય પાસવર્ડ છે.
Permanently Submit {0}?,કાયમી ધોરણે {0} સબમિટ કરીએ?
"{0} {1} does not exist, select a new target to merge","{0} {1} અસ્તિત્વમાં નથી, મર્જ કરવા માટે નવો લક્ષ્ય પસંદ કરો"
Multiplier Field,ગુણક ક્ષેત્ર
Workflow State Field,વર્કફ્લો રાજ્ય ક્ષેત્ર
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.","સર્વરના બ્રેન્ટટ્રી ગોઠવણી સાથે કોઈ સમસ્યા હોવાનું જણાય છે. ચિંતા કરશો નહીં, નિષ્ફળતાના કિસ્સામાં, રકમ તમારા ખાતામાં પરત કરવામાં આવશે."
Send alert if this field's value changes,જો આ ક્ષેત્રના મૂલ્યમાં ફેરફાર થાય તો ચેતવણી મોકલો
Auto Repeat,ઑટો પુનરાવર્તિત કરો
Invalid Credentials,અમાન્ય ઓળખાણપત્ર
Subsidiary,સહાયક
Please select the Document Type.,કૃપા કરીને દસ્તાવેજ પ્રકાર પસંદ કરો.
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","અજ્ઞાત ફાઇલ એન્કોડિંગ. યુટીએફ -8, વિન્ડોઝ -1250, વિન્ડોઝ -1252 નો પ્રયાસ કર્યો."
The process for deletion of {0} data associated with {1} has been initiated.,{1} સાથે સંકળાયેલ {0} ડેટા કાઢી નાખવાની પ્રક્રિયા શરૂ કરવામાં આવી છે.
Settings for About Us Page.,અમારા પૃષ્ઠ વિશે સેટિંગ્સ.
Website Manager,વેબસાઇટ મેનેજર
Backup Frequency,બૅકઅપ આવર્તન
Group Name,ગ્રુપ નામ
Unsubscribe Param,પરમ સબ્સ્ક્રાઇબ કરો
Sort Order,સોર્ટ ઓર્ડર
Card Details,કાર્ડ વિગતો
Idx,આઇડીએક્સ
Confirm Your Email,તમારા ઇમેઇલની પુષ્ટિ કરો
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).","એકવાર તમે આ સેટ કરી લો તે પછી, વપરાશકર્તાઓ ફક્ત દસ્તાવેજો (દા.ત. બ્લોગ પોસ્ટ) સક્ષમ કરશે જ્યાં લિંક અસ્તિત્વમાં છે (દા.ત. બ્લોગર)."
Rejected,નામંજૂર
Admin,એડમિન
Slideshow Items,સ્લાઇડશો વસ્તુઓ
Desk Access,ડેસ્ક ઍક્સેસ
Footer,ફૂટર
System User,સિસ્ટમ વપરાશકર્તા
Return to the Verification screen and enter the code displayed by your authentication app,ચકાસણી સ્ક્રીન પર પાછા ફરો અને તમારા પ્રમાણીકરણ એપ્લિકેશન દ્વારા પ્રદર્શિત કોડ દાખલ કરો
Some of the features might not work in your browser. Please update your browser to the latest version.,કેટલીક સુવિધાઓ તમારા બ્રાઉઝરમાં કામ કરશે નહીં. કૃપા કરીને તમારા બ્રાઉઝરને નવીનતમ સંસ્કરણ પર અપડેટ કરો.
User Permissions,વપરાશકર્તા પરવાનગીઓ
{0} created this {1},{0} આ બનાવ્યું {1}
Number of Backups,બૅકઅપ્સની સંખ્યા
Last Known Versions,છેલ્લા જાણીતા આવૃત્તિઓ
Current,વર્તમાન
New {0},નવું {0}
Add custom field Auto Repeat in the doctype {0},કસ્ટમ ક્ષેત્રમાં ઑડિઓ પુનરાવર્તન ઉમેરો. {0}
Reqd,રેક
Zero means send records updated at anytime,ઝીરો એટલે કે કોઈપણ સમયે અપડેટ કરેલા રેકોર્ડ્સ મોકલો
Value cannot be changed for {0},{0} માટે કિંમત બદલી શકાતી નથી
Only {0} entries shown. Please filter for more specific results.,ફક્ત {0} એન્ટ્રીઓ બતાવી. વધુ ચોક્કસ પરિણામો માટે ફિલ્ટર કરો.
Report Builder reports are managed directly by the report builder. Nothing to do.,રીપોર્ટ બિલ્ડર અહેવાલો સીધા રિપોર્ટ બિલ્ડર દ્વારા મેનેજ કરવામાં આવે છે. નવરાશ.
Edit Filter,ફિલ્ટર સંપાદિત કરો
Auth URL Data,ઑથ URL માહિતી
Has Attachments,જોડાણો છે
Comment Type,ટિપ્પણી પ્રકાર
Download Backups,બેકઅપ ડાઉનલોડ કરો
Reference DocType and Reference Name are required,સંદર્ભ ડોકટાઇપ અને સંદર્ભ નામ જરૂરી છે
Email not sent to {0} (unsubscribed / disabled),ઇમેઇલ {0} પર મોકલ્યો નથી (અનસબ્સ્ક્રાઇબ / અક્ષમ)
chevron-up,શેવરન અપ
Submit on Creation,રચના પર સબમિટ કરો
Only Send Records Updated in Last X Hours,છેલ્લાં X કલાકમાં જ રેકોર્ડ્સ મોકલો
Column Name cannot be empty,કૉલમ નામ ખાલી હોઈ શકતું નથી
Started,પ્રારંભ
Invalid fieldname '{0}' in autoname,ઓટોનામમાં અમાન્ય ફીલ્ડનામ &#39;{0}&#39;
Archived,સંગ્રહિત
Only Administrator can save a standard report. Please rename and save.,ફક્ત એડમિનિસ્ટ્રેટર સ્ટાન્ડર્ડ રિપોર્ટને સાચવી શકે છે. કૃપા કરીને નામ બદલો અને સાચવો.
Postal,પોસ્ટલ
Page Length,પૃષ્ઠ લંબાઈ
Relink Communication,કમ્યુનિકેશન રીલિંક
Master,માસ્ટર
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account. ,આ એકાઉન્ટનો ઉપયોગ કરીને મોકલવામાં આવેલ તમામ ઇમેઇલ્સ માટે પ્રેષક તરીકે આ એકાઉન્ટમાં ઉલ્લેખિત ઇમેઇલ સરનામુંનો ઉપયોગ કરે છે.
Password reset instructions have been sent to your email,પાસવર્ડ રીસેટ સૂચનાઓ તમારા ઇમેઇલ પર મોકલવામાં આવી છે
Not Permitted,પરવાનગી નથી
Enable Comments,ટિપ્પણીઓ સક્ષમ કરો
Custom Format,કસ્ટમ ફોર્મેટ
"CC, BCC & Email Template","સીસી, બીસીસી અને ઇમેઇલ ઢાંચો"
Click on the link below to download your data,તમારો ડેટા ડાઉનલોડ કરવા માટે નીચેની લિંક પર ક્લિક કરો
headphones,હેડફોન્સ
Not Allowed,મંજૂરી નથી
Hide Standard Menu,સ્ટાન્ડર્ડ મેનૂ છુપાવો
Sign Up,સાઇન અપ કરો
Header HTML set from attachment {0},હેડર HTML એટેચમેન્ટ {0} થી સેટ
Dashboard Name,ડેશબોર્ડ નામ
Skip rows with errors,ભૂલો સાથે પંક્તિઓ છોડો
Please enter Client Secret before social login is enabled,કૃપા કરીને સામાજિક લૉગિન સક્ષમ થાય તે પહેલાં ક્લાયંટ સિક્રેટ દાખલ કરો
This goes above the slideshow.,આ સ્લાઇડશો ઉપર જાય છે.
Row #{0}:,પંક્તિ # {0}:
Older backups will be automatically deleted,જૂનો બેકઅપ આપમેળે કાઢી નાખવામાં આવશે
Browser not supported,બ્રાઉઝર સપોર્ટેડ નથી
Email Address,ઈ - મેઈલ સરનામું
Role,ભૂમિકા
Unhandled Email,અનડેડ ઇમેઇલ
To Date Field,તારીખ ક્ષેત્ર પર
Sync,સમન્વય
Select File Type,ફાઇલ પ્રકાર પસંદ કરો
No Preview Available,કોઈ પૂર્વદર્શન ઉપલબ્ધ નથી
Message Count,સંદેશ ગણક
for the,માટે
eu-north-1,ઇયુ-ઉત્તર -1
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: સમાન રોલ, સ્તર અને {1} સાથે ફક્ત એક જ નિયમની મંજૂરી છે"
You are not allowed to update this Web Form Document,તમને આ વેબ ફોર્મ ડોક્યુમેન્ટને અપડેટ કરવાની મંજૂરી નથી
Maximum Attachment Limit for this record reached.,આ રેકોર્ડ માટે મહત્તમ જોડાણ મર્યાદા પહોંચી.
Please make sure the Reference Communication Docs are not circularly linked.,મહેરબાની કરીને ખાતરી કરો કે રેફરન્સ કોમ્યુનિકેશન ડૉક્સ ગોળાકાર રીતે જોડાયેલા નથી.
Allow in Quick Entry,ઝડપી એન્ટ્રીમાં મંજૂરી આપો
Locals,સ્થાનિક
To,માટે
values separated by commas,મૂલ્યો અલ્પવિરામ દ્વારા વિભાજિત
Slack Channel,સ્લેક ચેનલ
Invalid column,અમાન્ય કૉલમ
Has Domain,ડોમેન છે
Y Axis Fields,વાય એક્સિસ ફીલ્ડ્સ
S3 Backup complete!,એસ 3 બેકઅપ પૂર્ણ!
Kanban,કાનબન
Is Standard,ધોરણ છે
Edit,ફેરફાર કરો
Invalid Login. Try again.,અમાન્ય લૉગિન ફરીથી પ્રયત્ન કરો.
Attachment,જોડાણ
Reference Document Type,સંદર્ભ દસ્તાવેજ પ્રકાર
Loading,લોડ કરી રહ્યું છે
Invalid,અમાન્ય
"HTML Header, Robots and Redirects","એચટીએમએલ મથાળું, રોબોટ્સ અને રીડાયરેક્ટ્સ"
Invalid Search Field {0},અમાન્ય શોધ ક્ષેત્ર {0}
There is an error in your Address Template {0},તમારા સરનામાં નમૂનામાં એક ભૂલ છે {0}
Filter Name,ફિલ્ટર નામ
Slideshow,સ્લાઇડ શો
A new document {0} has been shared by with you {1}.,{0} એક નવી દસ્તાવેજ {0} તમારી સાથે શેર કરવામાં આવી છે.
"If disabled, this role will be removed from all users.","જો અક્ષમ છે, તો આ ભૂમિકા બધા વપરાશકર્તાઓમાંથી દૂર કરવામાં આવશે."
Please select a valid csv file with data,કૃપા કરીને ડેટા સાથે માન્ય CSV ફાઇલ પસંદ કરો
Default theme is set in {0},ડિફૉલ્ટ થીમ {0} માં સેટ છે
There is no data to be exported,નિકાસ કરવા માટે કોઈ ડેટા નથી
Exception Type,અપવાદ પ્રકાર
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},કાઢી નાખી અથવા રદ કરી શકતા નથી કારણ કે {0} {1} {2} {3} {4} સાથે જોડાયેલ છે
OTP secret can only be reset by the Administrator.,OTP ગુપ્ત માત્ર એડમિનિસ્ટ્રેટર દ્વારા ફરીથી સેટ કરી શકાય છે.
Page Break,પૃષ્ઠ વિરામ
Website Script,વેબસાઇટ સ્ક્રિપ્ટ
Subscription Notification,સબ્સ્ક્રિપ્શન સૂચના
Quick Entry,ઝડપી પ્રવેશ
Lead Conversion Time,લીડ કન્વર્ઝન સમય
Assign Condition,શરત સોંપી
Revoke,રદ કરો
Blogger,બ્લોગર
Value missing for,મૂલ્ય ખૂટે છે
Menu,મેનુ
Date Format,તારીખ ફોર્મેટ
Login,પ્રવેશ કરો
Count,ગણતરી
Set Property After Alert,ચેતવણી પછી સંપત્તિ સેટ કરો
Thank you,આભાર
Slack Webhooks for internal integration,આંતરિક એકીકરણ માટે સ્લેક વેબહૂક
Import Data,ડેટા આયાત કરો
Office 365,ઑફિસ 365
ID,આઇડી
Review Level,સમીક્ષા સ્તર
"Encryption key is invalid, Please check site_config.json","એન્ક્રિપ્શન કી અમાન્ય છે, કૃપા કરીને site_config.json તપાસો"
User Defaults,વપરાશકર્તા ડિફૉલ્ટ્સ
Log of error during requests.,અરજીઓ દરમિયાન ભૂલનો લૉગ.
Report Hide,રિપોર્ટ છુપાવો
DefaultValue,ડિફૉલ્ટ મૂલ્ય
Number Format,નંબર ફોર્મેટ
Style,પ્રકાર
Submit after importing,આયાત કર્યા પછી સબમિટ કરો
LDAP Security,એલડીએપી સુરક્ષા
Login to comment,ટિપ્પણી માટે પ્રવેશ કરો
Awaiting Password,પાસવર્ડની રાહ જોવી
Password cannot be more than 100 characters long,પાસવર્ડ 100 અક્ષરોથી વધુ લાંબો હોઈ શકતો નથી
Successfully Done,સફળતાપૂર્વક થઈ ગયું
{0} List,{0} સૂચિ
Appreciate,પ્રશંસા કરો
New {0} (Ctrl+B),નવું {0} (Ctrl + બી)
Is Primary Contact,પ્રાથમિક સંપર્ક છે
Raw Commands,કાચો આદેશો
Stylesheets for Print Formats,પ્રિન્ટ ફોર્મેટ્સ માટે સ્ટાઇલશીટ્સ
Property Setter,સંપત્તિ સેટર
Show Line Breaks after Sections,વિભાગો પછી રેખા બતાવો
API Username,API વપરાશકર્તા નામ
Public Key,જાહેર કી
Email To,ઇમેઇલ કરો
Reopen,ફરીથી ખોલો
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","ક્ષેત્ર જે વ્યવહારના વર્કફ્લો સ્ટેટને રજૂ કરે છે (જો ફીલ્ડ હાજર ન હોય, તો નવું છુપાયેલ કસ્ટમ ફીલ્ડ બનાવવામાં આવશે)"
Attachment Removed,જોડાણ દૂર કર્યું
Breadcrumbs,બ્રેડક્રમ્સમાં
Show Weekends,અઠવાડિયું બતાવો
Page {0} of {1},{1} નું પૃષ્ઠ {0}
Time,સમય
Always use Account's Name as Sender's Name,હંમેશાં એકાઉન્ટના નામનો ઉપયોગ પ્રેષકના નામ તરીકે કરો
Saturday,શનિવાર
"Mandatory fields required in table {0}, Row {1}","ટેબલ {0} માં આવશ્યક ફરજિયાત ક્ષેત્રો, પંક્તિ {1}"
Build Report,અહેવાલ બનાવો
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,એવું લાગે છે કે આ સાઇટની ચુકવણી ગેટવે ગોઠવણીમાં કંઈક ખોટું છે. કોઈ ચુકવણી કરવામાં આવી નથી.
Send Unsubscribe Link,અનસબ્સ્ક્રાઇબ લિંક મોકલો
Cannot edit standard fields,પ્રમાણભૂત ક્ષેત્રો સંપાદિત કરી શકતા નથી
Upcoming Events for Today,આજે માટે આવનારી ઘટનાઓ
Attach file for Import,આયાત માટે ફાઇલ જોડો
Name of the new Print Format,નવા પ્રિન્ટ ફોર્મેટનું નામ
Please ask your administrator to verify your sign-up,કૃપા કરીને તમારા વ્યવસ્થાપકને તમારા સાઇન-અપને ચકાસવા માટે પૂછો
Type something in the search box to search,શોધવા માટે શોધ બોક્સમાં કંઈક લખો
Next Actions HTML,આગામી ક્રિયાઓ એચટીએમએલ
Sum,રકમ
Don't Override Status,સ્થિતિને ઓવરરાઇડ કરશો નહીં
Is Child Table,બાળ ટેબલ છે
Custom HTML,કસ્ટમ એચટીએમએલ
Half-Yearly,અર્ધવાર્ષિક
Add a column,એક કૉલમ ઉમેરો
Script URL,સ્ક્રિપ્ટ URL
Errors in Background Events,પૃષ્ઠભૂમિ ઘટનાઓમાં ભૂલો
Find {0} in {1},{0} માં {0} શોધો
Use SSL,SSL નો ઉપયોગ કરો
In Standard Filter,સ્ટાન્ડર્ડ ફિલ્ટરમાં
Total Pages,કુલ પાના
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.","જો સક્ષમ હોય, તો વપરાશકર્તાઓ જ્યારે પણ લૉગિન કરે ત્યારે તેમને સૂચિત કરવામાં આવશે. જો સક્ષમ નથી, તો વપરાશકર્તાઓને ફક્ત એકવાર જ સૂચિત કરવામાં આવશે."
Last Message,છેલ્લો સંદેશ
Next Sync Token,આગળ સમન્વયન ટોકન
No {0} permission,કોઈ {0} પરવાનગી નથી
Reference DocName,સંદર્ભ ડોકનામ
Print Width,છાપ પહોળાઈ
No further records,કોઈ વધુ રેકોર્ડ નથી
Mrs,શ્રીમતી
Add Attachment,જોડાણ ઉમેરો
Smallest Currency Fraction Value,નાના ચલણ ફ્રેક્શન મૂલ્ય
Please attach a file first.,કૃપા કરીને પહેલા ફાઇલ જોડો.
Email Login ID,ઇમેઇલ લૉગિન આઈડી
Revoked,રદ
Active Domains,સક્રિય ડોમેન્સ
Automation,ઓટોમેશન
Unzipping files...,ફાઇલોને અનઝિપ કરી રહ્યું છે ...
Search for '{0}',&#39;{0}&#39; માટે શોધો
Something went wrong,કંઈક ખોટું થયું
Please save before attaching.,જોડાણ પહેલાં કૃપા કરીને સાચવો.
Table HTML,ટેબલ એચટીએમએલ
hub,હબ
Standard,ધોરણ
Add A New Rule,નવું નિયમ ઉમેરો
Settings for the About Us Page,અમારા વિશે પેજમાં માટે સેટિંગ્સ
Fax,ફેક્સ
{0} Chart,{0} ચાર્ટ
Ends On,સમાપ્ત થાય છે
Provider,પ્રદાતા
Unable to send emails at this time,આ સમયે ઇમેઇલ્સ મોકલવામાં અસમર્થ
You are not allowed to send emails related to this document,તમને આ દસ્તાવેજથી સંબંધિત ઇમેઇલ્સ મોકલવાની મંજૂરી નથી
Print Hide If No Value,છાપો જો કોઈ મૂલ્ય છુપાવો
Log Details,લૉગ વિગતો
Format,ફોર્મેટ
You gained some energy points,તમે કેટલાક ઊર્જા પોઇન્ટ્સ પ્રાપ્ત કર્યા છે
Facebook,ફેસબુક
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","મદદ માટે <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">ક્લાઈન્ટ સ્ક્રિપ્ટ API અને ઉદાહરણો જુઓ</a>"
Chat Profile,ચેટ પ્રોફાઇલ
Attachment Limit (MB),જોડાણ મર્યાદા (એમબી)
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","સિસ્ટમ મેનેજર ઉપરાંત, સેટ વપરાશકર્તા પરવાનગીઓ સાથે ભૂમિકાઓ તે દસ્તાવેજના પ્રકાર માટે અન્ય વપરાશકર્તાઓ માટે પરવાનગીઓ સેટ કરી શકે છે."
Toggle Sidebar,ટૉગલ સાઇડબાર
The First User: You,પ્રથમ વપરાશકર્તા: તમે
Column <b>{0}</b> already exist.,કૉલમ <b>{0}</b> પહેલેથી અસ્તિત્વમાં છે.
Reset to defaults,ડિફોલ્ટ્સ પર ફરીથી સેટ કરો
Assign To Users,વપરાશકર્તાઓને સોંપો
wrench,રેંચ
Last Active,છેલ્લે સક્રિય
Verification code has been sent to your registered email address.,ચકાસણી કોડ તમારા રજિસ્ટર્ડ ઇમેઇલ સરનામાં પર મોકલવામાં આવ્યો છે.
Grant Type,ગ્રાન્ટ પ્રકાર
Same file has already been attached to the record,રેકોર્ડ સાથે જ ફાઇલ જોડાઈ ગઈ છે
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'","સરળ પાયથોન અભિવ્યક્તિ, ઉદાહરણ: સ્થિતિ == &#39;ખોલો&#39; અને પ્રકાર == &#39;બગ&#39;"
Processing...,પ્રક્રિયા...
Report:,અહેવાલ:
Slack Webhook Error,સ્લેક વેબહૂક ભૂલ
Published On,પ્રકાશિત
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4> મૂળભૂત ઢાંચો </h4><p> <a href=""http://jinja.pocoo.org/docs/templates/"">જિન્જા ટેમ્પ્લેટિંગ</a> અને સરનામાંના બધા ક્ષેત્રોનો ઉપયોગ કરે છે (કસ્ટમ ક્ષેત્રો સહિત) જો ઉપલબ્ધ હશે </p><pre> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code> </pre>"
More articles on {0},{0} પર વધુ લેખો
Assignment Rules,સોંપણી નિયમો
Allow Login using Mobile Number,મોબાઇલ નંબરનો ઉપયોગ કરીને લૉગિનની મંજૂરી આપો
{0} minutes ago,{0} મિનિટ પહેલા
Tree view not available for {0},વૃક્ષ દૃશ્ય {0} માટે ઉપલબ્ધ નથી
List a document type,દસ્તાવેજ પ્રકારની સૂચિ
Indicator,સૂચક
Sort Field,સૉર્ટ ફીલ્ડ
Send document web view link in email,ઇમેઇલમાં દસ્તાવેજ વેબ દૃશ્ય લિંક મોકલો
Settings,સેટિંગ્સ
Energy Point Settings,એનર્જી પોઇન્ટ સેટિંગ્સ
lightblue,પ્રકાશ વાદળી
Comment Should be atleast 10 characters,ટિપ્પણી ઓછામાં ઓછા 10 અક્ષરો હોવી જોઈએ
Add Subscribers,સબ્સ્ક્રાઇબર્સ ઉમેરો
Processing,પ્રક્રિયા
Response,પ્રતિભાવ
Page HTML,પૃષ્ઠ એચટીએમએલ
In points. Default is 9.,પોઇન્ટ માં. ડિફૉલ્ટ 9 છે.
Auto Email Report,ઓટો ઇમેઇલ રિપોર્ટ
Query must be a SELECT,ક્વેરી એક પસંદ હોવી આવશ્યક છે
Not allowed from this IP Address,આ IP સરનામાંથી મંજૂરી નથી
Error Code: {0},ભૂલ કોડ: {0}
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}","{0}: &#39;{1}&#39; ({3}) કાપી નાખવામાં આવશે, કેમ કે મહત્તમ અક્ષરો માન્ય છે {2}"
Create a new {0},નવી {0} બનાવો
volume-down,અવાજ ધીમો
fire,અગ્નિ
No Results,પરિણામ નથી
{0} records deleted,{0} રેકોર્ડ્સ કાઢી નાંખ્યા
Something went wrong while generating dropbox access token. Please check error log for more details.,ડ્રૉપબૉક્સ ઍક્સેસ ટોકન જનરેટ કરતી વખતે કંઈક ખોટું થયું. કૃપા કરીને વધુ વિગતો માટે ભૂલ લૉગ તપાસો.
Descendants Of,ના વંશજો
Hide details,વિગતો છુપાવો
Font Styles,ફૉન્ટ સ્ટાઇલ
Your subscription will expire on {0}.,તમારું સબ્સ્ક્રિપ્શન {0} પર સમાપ્ત થશે.
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},ઇમેઇલ એકાઉન્ટ {0} માંથી ઇમેઇલ્સ પ્રાપ્ત કરતી વખતે પ્રમાણીકરણ નિષ્ફળ થયું. સર્વર તરફથી સંદેશ: {1}
Stats based on last week's performance (from {0} to {1}),છેલ્લા અઠવાડિયાના પ્રદર્શન ({0} થી {1} સુધીના આધારે આંકડા
Title Prefix,શીર્ષક ઉપસર્ગ
Authentication Apps you can use are: ,તમે ઉપયોગ કરી શકો છો સત્તાધિકરણ એપ્લિકેશન્સ છે:
Max 500 records at a time,એક સમયે મેક્સ 500 રેકોર્ડ્સ
Maximum {0} rows allowed,મહત્તમ {0} પંક્તિઓની મંજૂરી છે
Bulk Rename,બલ્ક નામ બદલો
Unassign Condition,કંડિશન અનસાઇનિન કરો
We have received a request from you to download your {0} data associated with: {1},તમારી સાથે સંકળાયેલ તમારો {0} ડેટા ડાઉનલોડ કરવા માટે અમને વિનંતી મળી છે: {1}
Successful: {0} to {1},સફળ: {0} થી {1}
DocType must be Submittable for the selected Doc Event,ડૉકટાઇપ પસંદ કરેલ ડૉક ઇવેન્ટ માટે સબમિટેબલ હોવું આવશ્યક છે
Send After,પછી મોકલો
Conversation Tones,વાતચીત ટોન્સ
Tax Category,કરવેરા કેટેગરી
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},જાવાસ્ક્રિપ્ટ ફોર્મેટ: frappe.query_reports [&#39;REPORTNAME&#39;] = {}
{0}: Cannot set Import without Create,{0}: બનાવી વગર આયાત કરી શકતા નથી
Use Sandbox,સેન્ડબોક્સનો ઉપયોગ કરો
This user cannot request to download data,આ વપરાશકર્તા ડેટા ડાઉનલોડ કરવાની વિનંતી કરી શકતું નથી
Global Unsubscribe,વૈશ્વિક અનસબ્સ્ક્રાઇબ કરો
GitHub Sync ID,ગિટહૂબ સમન્વયન ID
DocType can only be renamed by Administrator,ડોકટાઇપનું નામ ફક્ત એડમિનિસ્ટ્રેટર દ્વારા જ બદલી શકાય છે
Datetime,તારીખ સમય
Website Route Meta,વેબસાઇટ માર્ગ મેટા
Something went wrong during the token generation. Please request again an authorization code.,ટોકન જનરેશન દરમિયાન કંઈક ખોટું થયું. કૃપા કરીને ફરીથી અધિકૃતતા કોડની વિનંતી કરો.
Point Allocation Periodicity,પોઇન્ટ ફાળવણી સમયાંતરે
Click here to check your usage or upgrade to a higher plan,તમારા ઉપયોગને ચકાસવા અથવા ઉચ્ચ યોજનામાં અપગ્રેડ કરવા માટે અહીં ક્લિક કરો
Confirm Deletion of Data,ડેટા કાઢી નાખવાની પુષ્ટિ કરો
Unsubscribe Method,અનસબ્સ્ક્રાઇબ પદ્ધતિ
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,આ મૂલ્યો આપમેળે વ્યવહારોમાં અપડેટ કરવામાં આવશે અને આ મૂલ્યોને સમાવતી વ્યવહારો પર આ વપરાશકર્તા માટે પરવાનગીઓને પ્રતિબંધિત કરવા માટે ઉપયોગી થશે.
Report Filters,ફિલ્ટર્સની જાણ કરો
Select Columns,કૉલમ પસંદ કરો
Participants,સહભાગીઓ
Amended From,માંથી સુધારેલ
Your information has been submitted,તમારી માહિતી સબમિટ કરવામાં આવી છે
Help Category,સહાય કેટેગરી
Hide field in Report Builder,રિપોર્ટ બિલ્ડરમાં ફીલ્ડ છુપાવો
1 month,1 મહિનો
Select an existing format to edit or start a new format.,નવી ફોર્મેટને સંપાદિત કરવા અથવા પ્રારંભ કરવા માટે અસ્તિત્વમાંના ફોર્મેટને પસંદ કરો.
Embed image slideshows in website pages.,વેબસાઇટ પૃષ્ઠો માં ઇમેજ સ્લાઇડશૉઝ એમ્બેડ કરો.
Mark as Spam,સ્પામ તરીકે ચિહ્નિત કરો
Data Migration Plan,ડેટા સ્થળાંતર યોજના
Email Queue Recipient,ઇમેઇલ કતાર પ્રાપ્તકર્તા
Do not allow user to change after set the first time,પહેલીવાર સેટ કર્યા પછી વપરાશકર્તાને બદલાવવાની મંજૂરી આપશો નહીં
Patch,પેચ
Send alert if date matches this field's value,જો તારીખ આ ક્ષેત્રની કિંમતથી મેળ ખાય તો ચેતવણી મોકલો
Reference: {0} {1},સંદર્ભ: {0} {1}
Default Print Format,ડિફૉલ્ટ પ્રિંટ ફોર્મેટ
Load Balancing,લોડ સંતુલન
Postprocess Method,પોસ્ટપ્રોસેસ પદ્ધતિ
zoom-out,ઝૂમ આઉટ
Role Permission for Page and Report,પૃષ્ઠ અને રિપોર્ટ માટે રોલ પરવાનગી
Header Image,મથાળું છબી
QZ Tray Connection Active!,ક્યુઝેડ ટ્રે કનેક્શન સક્રિય!
Misc,મિશ્રિત
You,તમે
star,તારો
Title field must be a valid fieldname,શીર્ષક ક્ષેત્ર માન્ય ફીલ્ડનામ હોવું આવશ્યક છે
Switch To Desk,ડેસ્ક પર સ્વિચ કરો
End Date Field,સમાપ્તિ તારીખ ફીલ્ડ
Show as Grid,ગ્રીડ તરીકે બતાવો
Receipient,પ્રાપ્ત કરનાર
Content (Markdown),સામગ્રી (માર્કડાઉન)
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","આ ડોકટાઇપ સામે સંચાર તરીકે જોડો (ક્ષેત્રો હોવા જોઈએ, &quot;સ્થિતિ&quot;, &quot;વિષય&quot;)"
Field Type,ક્ષેત્ર પ્રકાર
Can't identify open {0}. Try something else.,ખુલ્લી {0} ઓળખી શકાતી નથી. કંઈક બીજું કરવાનો પ્રયાસ કરો.
or,અથવા
Your connection request to Google Calendar was successfully accepted,Google Calendar ને તમારી કનેક્શન વિનંતી સફળતાપૂર્વક સ્વીકારવામાં આવી
Last Login,છેલ્લું પ્રવેશ
Google Apps Script,ગૂગલ ઍપ્સ સ્ક્રિપ્ટ
