th-list,th-liste
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.","Søket ditt er mottatt. Vi svarer snart. Hvis du har ytterligere informasjon, vennligst svar på denne posten."
Enter url parameter for message,Angi URL-parameter for melding
No further records,Ingen ytterligere poster
"%s is not a valid report format. Report format should \
				one of the following %s",% s er ikke et gyldig rapportformat. Rapportformat skal \ en av følgende% s
Roles Assigned,Roller tildelt
{0}: Cannot set Assign Submit if not Submittable,{0}: Kan ikke angi Tilordne Send inn hvis ikke Submitterbar
You can find things by asking 'find orange in customers',Du kan finne ting ved å spørre &#39;finne oransje i kunder&#39;
Host,Vert
Company Introduction,Selskapets introduksjon
gained by {0} via automatic rule {1},oppnådd av {0} via automatisk regel {1}
Res: {0},Res: {0}
Your payment was successfully accepted,Din betaling ble godkjent
Seen By Table,Sett etter tabell
Reference Communication,Referansekommunikasjon
us-west-2,oss-vest-2
Energy Point Rule,Energipunktregel
Do not allow user to change after set the first time,Ikke la brukeren endre etter første gangs innstilling
Bypass restricted IP Address check If Two Factor Auth Enabled,Bypass-begrenset IP-adressekontroll Hvis to faktorautor aktivert
Success Message,Suksessmelding
Default Role at Time of Signup,Standard rolle ved registreringstidspunktet
screenshot,skjermbilde
You have a new message from: ,Du har en ny melding fra:
"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.","Hvis du oppdaterer, velg &quot;Overwrite&quot; ellers vil eksisterende rader ikke bli slettet."
Options Help,Alternativer Hjelp
This user cannot request to download data,Denne brukeren kan ikke be om å laste ned data
Website Sidebar Item,Nettsteds sidepanelelement
Lead Conversion Time,Lead Conversion Time
Webhook,Webhook
Not Equals,Ikke lik
File {0} does not exist,Filen {0} eksisterer ikke
Message-id,Message-id
Thank you for your email,Takk for din e-post
warning-sign,varselskilt
Filter Name,Filternavn
Print Format,Utskriftsformat
Comment Should be atleast 10 characters,Kommentar Bør være minst 10 tegn
Meeting,Møte
"to be generated. If delayed, you will have to manually change the ""Repeat on Day of Month"" field
of this","å bli generert. Hvis forsinket, må du manuelt endre feltet Repeter på dag i måneden av dette"
Adding System Manager to this User as there must be atleast one System Manager,"Legge til systemadministrator til denne brukeren, da det må være minst en systemadministrator"
No data found in the file. Please reattach the new file with data.,Ingen data funnet i filen. Vennligst sett den nye filen på nytt med data.
Report:,Rapportere:
Show Preview Popup,Vis forhåndsvisningspopup
Records for following doctypes will be filtered,Rekordene for følgende doktypene blir filtrert
Is Mandatory Field,Er obligatorisk felt
Jobs,Arbeidsplasser
Expand All,Utvid alle
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,Ikke i utviklingsmodus! Sett inn på site_config.json eller gjør &#39;Custom&#39; DocType.
Direct room with {0} already exists.,Direkte rom med {0} eksisterer allerede.
Submit after importing,Send inn etter import
You have subscribed for one user free plan,Du har abonnert på en brukerfri plan
Desk Access,Skrivebordstilgang
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,En liste over ressurser som Client App vil ha tilgang til etter at brukeren tillater det. <br> f.eks prosjekt
Settings for About Us Page.,Innstillinger for Om oss side.
Client ID,klient-ID
Sign Up,Melde deg på
hub,hub
Sidebar and Comments,Sidefelt og kommentarer
Notes,Merknader
Published,publisert
This is a top-100 common password.,Dette er et topp 100-vanlig passord.
There was an error saving filters,Det oppsto en feil ved lagring av filtre
Unread,ulest
Sorry! I could not find what you were looking for.,Unnskyld! Jeg kunne ikke finne det du lette etter.
Percent Complete,Prosent fullført
Custom Report,Tilpasset rapport
Set numbering series for transactions.,Sett nummereringsserier for transaksjoner.
About Us Settings,Om oss Innstillinger
circle-arrow-down,sirkel-pil-ned
Cannot set Notification on Document Type {0},Kan ikke angi varsling på dokumenttype {0}
Backup Limit,Backup Limit
Point Allocation Periodicity,Punktallokeringstidspunkt
Website Route Meta,Nettsted Rute Meta
InnoDB,Uskyldig
"Dear System Manager,","Kjære System Manager,"
Open {0},Åpne {0}
Message Parameter,Meldingsparameter
Set up rules for user assignments.,Sett opp regler for brukeroppgaver.
Enable Incoming,Aktiver innkommende
Duplicate,Duplisere
Unsubscribe Method,Avmeldingsmetode
Target,Mål
Combination of Grant Type (<code>{0}</code>) and Response Type (<code>{1}</code>) not allowed,Kombinasjon av Grant Type ( <code>{0}</code> ) og Response Type ( <code>{1}</code> ) er ikke tillatt
Add a column,Legg til en kolonne
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip: Legg til <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> å sende dokumentreferanse
Fraction Units,Fraksjonenheter
Translation,Oversettelse
Reports,rapporter
Script to attach to all web pages.,Skript som skal legges til alle nettsider.
This is similar to a commonly used password.,Dette ligner på et vanlig passord.
Fields,Enger
Parent Label,Foreldreetikett
{0} must be unique,{0} må være unikt
"Your session has expired, please login again to continue.","Økten din er utløpt, vennligst logg inn igjen for å fortsette."
Edit...,Redigere...
Document Types,Dokumenttyper
Old Password Required.,Gammelt passord kreves.
You gained some energy points,Du har fått noen energipunkter
Processing,Behandling
Always use Account's Name as Sender's Name,Bruk alltid kontoens navn som avsenderens navn
Filters JSON,Filtre JSON
Insert Column Before {0},Sett inn kolonne før {0}
Add your own Tag Categories,Legg til dine egne tagkategorier
"""Company History""",&quot;Bedriftshistorie&quot;
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,Eventuelle strengbaserte skriverspråk kan brukes. Skriving av rå kommandoer krever kunnskap om skriverens morsmål levert av skriverprodusenten. Vennligst se utviklerhåndboken fra skriverprodusenten om hvordan du skriver inn sine egne kommandoer. Disse kommandoene gjengis på server siden ved hjelp av Jinja Templating Language.
Monthly,Månedlig
Confirmed,bekreftet
Download Backups,Last ned sikkerhetskopier
Assignment,Oppdrag
Load Balancing,Lastbalansering
Is Primary Contact,Er Primærkontakt
Mention transaction completion page URL,Angi nettadressen for transaksjonens sluttdato
{0} Modules,{0} moduler
Relapsed,tilbakefall
I found these: ,Jeg fant disse:
Seems token you are using is invalid!,Synes token du bruker er ugyldig!
Initial Sync Count,Initial Sync Count
Cannot map because following condition fails: ,Kan ikke kartlegge fordi følgende tilstand mislykkes:
You are not permitted to view the newsletter.,Du har ikke lov til å se nyhetsbrevet.
Setting this Address Template as default as there is no other default,Angi denne adressemalen som standard som det ikke er noen annen standard
Page Break,Sidebrudd
The First User: You,Den første brukeren: deg
Hub Sync ID,Hub Sync ID
Progress,Framgang
This is a top-10 common password.,Dette er et topp 10 vanlig passord.
Amount Field,Beløp Felt
Current Mapping,Aktuell kartlegging
Chart Type,Karttype
Pending,I påvente av
Column Name,Kolonne navn
Unread Notification Sent,Ulest melding sendt
Calendar Name,Kalendernavn
Slack Channel,Slack Channel
Send Email Alert,Send epostvarsel
Attached To Field,Vedlagt til felt
Workflow State not set,Workflow State ikke satt
Table HTML,Tabell HTML
"Field ""route"" is mandatory for Web Views",Feltet &quot;rute&quot; er obligatorisk for Webvisninger
Toggle Full Width,Veksle full bredde
Archived,arkivert
Field Type,Feltype
Please attach an image file to set HTML,Vennligst legg ved en bildefil for å angi HTML
API Username,API Brukernavn
Write a Python file in the same folder where this is saved and return column and result.,Skriv en Python-fil i samme mappe der dette er lagret og returner kolonne og resultat.
for the,for
Invalid Search Field {0},Ugyldig søkefelt {0}
Raw Email,Rå e-post
Move,Bevege seg
Delete comment?,Slett kommentar?
Reference Type,Referansetype
"HTML Header, Robots and Redirects","HTML-overskrift, roboter og omdirigeringer"
Workflow Transition,Overgang av arbeidsflyt
Query Report,Spørringsrapport
This could be because of some invalid Email Addresses in the,Dette kan skyldes noen ugyldige e-postadresser i
"You can change Submitted documents by cancelling them and then, amending them.",Du kan endre Innleverte dokumenter ved å kansellere dem og deretter endre dem.
; not allowed in condition,; ikke tillatt i stand
Assignment Rule User,Oppdragsregelbruker
One Time Password (OTP) Registration Code from {},One Time Password (OTP) Registreringskode fra {}
Suggested Username: {0},Foreslått brukernavn: {0}
You have {0} days left in your subscription,Du har {0} dager igjen i abonnementet ditt
Allow user to login only after this hour (0-24),Tillat brukeren å logge inn bare etter denne timen (0-24)
Google Apps Script,Google Apps Script
Add Filter,Legg til filter
New {0},Ny {0}
Starting Frappe ...,Starter Frappe ...
Timezone,Tidssone
Invalid Output Format,Ugyldig utgangsformat
Add a tag ...,Legg til et tag ...
Brand,Merke
Enable Password Policy,Aktiver passordspolicy
info-sign,info-skilt
Type:,Type:
Unfollow,Slutt å følge
Auto Repeat,Auto Repeat
Mark as Done,Marker som ferdig
Select File Type,Velg filtype
Logout,Logg ut
Webhook Data,Webhook Data
Some information is missing,Noen opplysninger mangler
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'","Enkel Python Expression, Eksempel: Status == &#39;Åpne&#39; og skriv == &#39;Bug&#39;"
Active Domains,Aktive domener
Get Contacts,Få kontakter
"On {0}, {1} wrote:",På {0} skrev {1}:
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.","Hvis aktivert, vil brukerne bli varslet hver gang de logger inn. Hvis ikke aktivert, blir brukerne kun varslet en gang."
Login to comment,Logg inn for å kommentere
zoom-out,zoome ut
The process for deletion of {0} data associated with {1} has been initiated.,Prosessen for sletting av {0} data knyttet til {1} er startet.
Email not sent to {0} (unsubscribed / disabled),E-post ikke sendt til {0} (abonnement / deaktivert)
Toggle Sidebar,Bytt sidepanel
Save Filter,Lagre filter
Edit to add content,Rediger for å legge til innhold
Level Name,Nivånavn
Current,Nåværende
Straight rows of keys are easy to guess,Rette nøkler er lett å gjette
Domains HTML,Domener HTML
Title Prefix,Tittel prefiks
Rename many items by uploading a .csv file.,Gi nytt navn til mange elementer ved å laste opp en .csv-fil.
Help Category,Hjelp kategori
Doctypes,Doctyper
Attachment Limit (MB),Vedleggsgrænse (MB)
"Don't know, ask 'help'","Vet ikke, spør &quot;hjelp&quot;"
Background Jobs,Bakgrunnsjobber
Insert new records,Sett inn nye poster
Fieldname {0} conflicting with meta object,Feltnavn {0} i konflikt med metaobjekt
"Expression, Optional","Uttrykk, Valgfritt"
Users,brukere
Remote,Remote
SMTP Server,SMTP-server
Cancel,Avbryt
1 week,1 uke
Day of Week,Ukedag
Enable Two Factor Auth,Aktiver to faktorauth
Success! You are good to go ?,Suksess! Du er god å gå ?
Reference DocName,Referanse DocName
A Lead with this Email Address should exist,En bly med denne e-postadressen bør eksistere
Folder name should not include '/' (slash),Mappenavn skal ikke inneholde &#39;/&#39; (slash)
Reset to defaults,Tilbakestill til standardinnstillinger
Your subscription will expire today.,Abonnementet ditt utløper i dag.
No permission to {0} {1} {2},Ingen tillatelse til {0} {1} {2}
Defines workflow states and rules for a document.,Definerer arbeidsflytstilstander og regler for et dokument.
Invalid,Ugyldig
{0} subscribers added,{0} abonnenter lagt til
Page {0} of {1},Side {0} av {1}
Third Party Apps,Tredjepartsprogrammer
hidden,skjult
Single Post (article).,Enkelt innlegg (artikkel).
Categorize blog posts.,Kategoriser blogginnlegg.
Common names and surnames are easy to guess.,Vanlige navn og etternavn er lett å gjette.
Example:,Eksempel:
us-east-1,oss-øst-en
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","For hjelp, se <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API og eksempler</a>"
Exception Type,Unntakstype
Unable to load camera.,Kan ikke laste kameraet.
Remove,Fjerne
Print Format Type,Skriv ut formattype
Your payment has been successfully registered.,Din betaling er registrert.
Reference DocType and Reference Name are required,Referanse Doktype og referansenavn kreves
List Filter,Listefilter
Push Delete,Trykk Slett
Auto Email Report,Automatisk e-postrapport
Image Link,Bildelink
Payment Complete,Betaling Fullført
Show Permissions,Vis tillatelser
"Mandatory fields required in table {0}, Row {1}","Obligatoriske felt som kreves i tabell {0}, rad {1}"
Please do not change the template headings.,Vennligst ikke endre malloverskriftene.
Send Read Receipt,Send Les kvittering
Stylesheets for Print Formats,Stilark for utskriftsformater
Please save before attaching.,Vennligst lagre før du legger til.
Get Items,Få elementer
You,Du
Jinja,Jinja
{0} un-shared this document with {1},{0} un-delte dette dokumentet med {1}
Thank you for your comment. It will be published after approval,Takk for kommentaren din. Det vil bli publisert etter godkjenning
Collapse All,Skjul alt
Make Default,Gjøre Standard
Allow in Quick Entry,Tillat i hurtigoppføring
Insert After cannot be set as {0},Sett inn Etter kan ikke settes som {0}
Subdomain,underdomene
Create a New Format,Opprett et nytt format
Confirm Request,Bekreft forespørsel
First data column must be blank.,Første datakolonne må være tom.
Style,Stil
Permissions can be managed via Setup &gt; Role Permissions Manager,Tillatelser kan administreres via Setup&gt; Role Permissions Manager
Attach Your Picture,Fest bildet ditt
Optional: The alert will be sent if this expression is true,Valgfritt: Varslingen vil bli sendt hvis dette uttrykket er sant
Feedback,Tilbakemelding
Module to Export,Modul for eksport
"Actions for workflow (e.g. Approve, Cancel).","Handlinger for arbeidsflyt (f.eks. Godkjenn, Avbryt)."
New {} releases for the following apps are available,Nye {} utgivelser for de følgende appene er tilgjengelige
Error Log,Feil logg
Lock,Låse
Print Hide,Skriv ut skjul
Current Mapping Action,Aktuell kartleggingshandling
Letter Head Based On,Brevhode basert på
Searching ...,Søker ...
Activity log of all users.,Aktivitetslogg for alle brukere.
Print Format Help,Hjelp til utskriftsformat
Frappe,frappe
Role Name,Rolle navn
Server Error,serverfeil
Open a module or tool,Åpne en modul eller et verktøy
Print Hide If No Value,Skriv ut Skjul hvis ingen verdi
Allow Self Approval,Tillat selv godkjenning
Leave blank to repeat always,La være tom for å gjenta alltid
Apply Strict User Permissions,Bruk strenge brukerautorisasjoner
Sort Field,Sorter felt
Stores the JSON of last known versions of various installed apps. It is used to show release notes.,Lagrer JSON av siste kjente versjoner av ulike installerte apper. Det brukes til å vise utgivelsesnotater.
"Standard DocType cannot have default print format, use Customize Form","Standard DocType kan ikke ha standard utskriftsformat, bruker Tilpass skjema"
Orientation,orientering
Sync,Sync
{0} mentioned you in a comment in {1},{0} nevnte deg i en kommentar i {1}
No {0} permission,Ingen {0} tillatelse
Invalid Home Page,Ugyldig startside
List a document type,Oppgi en dokumenttype
SSL/TLS Mode,SSL / TLS-modus
You need to be logged in to access this {0}.,Du må være logget inn for å få tilgang til denne {0}.
Reset Password,Tilbakestille passord
Click on the link below to download your data,Klikk på linken under for å laste ned dataene dine
Log Details,Loggdetaljer
Status,Status
Link DocType,Link DocType
Website Manager,Nettstedssjef
Sorry! You are not permitted to view this page.,Unnskyld! Du har ikke lov til å se denne siden.
Add / Manage Email Domains.,Legg til / administrer e-postdomener.
Address,Adresse
click here,Klikk her
{0} Chart,{0} diagram
Form Settings,Skjemainnstillinger
This may get printed on multiple pages,Dette kan bli skrevet ut på flere sider
Backup Frequency,Backup Frekvens
"Company is mandatory, as it is your company address","Selskapet er obligatorisk, da det er firmaets adresse"
Setup Notifications based on various criteria.,Oppsettvarsler basert på ulike kriterier.
Report Builder reports are managed directly by the report builder. Nothing to do.,Rapport Builder-rapporter administreres direkte av rapportbyggeren. Ingenting å gjøre.
Not Permitted,Ikke tillatt
Fw: {0},Fw: {0}
volume-down,volum-ned
Report Type,Rapport type
Allow Login using Mobile Number,Tillat innlogging ved hjelp av mobilnummer
PDF Settings,PDF Innstillinger
UPPER CASE,STOR BOKSTAV
Remote Fieldname,Fjernfeltnavn
Email Queue,E-postkø
Go to {0},Gå til {0}
Language Code,Språkkode
Next Date's day and Repeat on Day of Month must be equal,Neste dato og repetisjon på dag i måneden må være lik
Please find attached {0} #{1},Vennligst finn vedlagt {0} # {1}
Please select a new name to rename,Vennligst velg et nytt navn for å gi nytt navn
Port,Havn
Website,nettsted
"Email Domain not configured for this account, Create one?","E-postdomenet er ikke konfigurert for denne kontoen, Opprett en?"
Code,Kode
Prepared Report,Utarbeidet rapport
Assigned To/Owner,Tilordnet til / eier
File,Fil
Appreciation,Verdsettelse
Let's avoid repeated words and characters,La oss unngå gjentatte ord og tegn
Datetime,Dato tid
folder-open,mappe-open
Sidebar Settings,Sidepanelinnstillinger
Send Me A Copy of Outgoing Emails,Send meg en kopi av utgående e-poster
Don't have an account? Sign up,Har du ikke en konto? Melde deg på
Slack Webhook Error,Slack Webhook Feil
Set Password,Lag et passord
Chat Operators,Chat operatører
th-large,th-large
{0} is saved,{0} er lagret
Expires In,Utgår om
End Date Field,Sluttdato felt
Number Format,Nummerformat
S3 Backup complete!,S3 Backup komplett!
GMail,GMail
Relink Communication,Relink Communication
Download Data,Last ned data
Don't Override Status,Ikke overstyr Status
Trigger Method,Utløsningsmetode
Last synced {0},Sist synkronisert {0}
Stopped,stoppet
Stripe payment gateway settings,Stripe betalings gateway innstillinger
Series,Serie
Email Account not setup. Please create a new Email Account from Setup &gt; Email &gt; Email Account,E-postkonto ikke oppsett. Vennligst opprett en ny e-postkonto fra Oppsett&gt; E-post&gt; E-postkonto
Payment Cancelled,Betaling avbrutt
Files Size:,Filstørrelse:
View All,Se alt
Allow Dropbox Access,Tillat Dropbox Access
Left,Venstre
ap-northeast-2,ap-nordøst-2
Image field must be a valid fieldname,Bildefeltet må være et gyldig feltnavn
Error while connecting to email account {0},Feil under tilkobling til e-postkonto {0}
Index,Hovedsiden
{0} Report,{0} Rapport
Workflow State,Workflow State
Mark as {0},Merk som {0}
JS,JS
Restrict To Domain,Begrens til domene
Please confirm your action to {0} this document.,Vennligst bekreft handlingen din til {0} dette dokumentet.
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.","Hvis dette er merket, importeres rader med gyldige data, og ugyldige rader blir dumpet til en ny fil som du kan importere senere."
GCalendar Sync ID,GCalendar Sync ID
Hide Footer Signup,Skjul Footer-registrering
Please select document type first.,Vennligst velg dokumenttype først.
Short Name,Kort navn
Not Linked to any record,Ikke knyttet til noen post
Avoid sequences like abc or 6543 as they are easy to guess,Unngå sekvenser som abc eller 6543 som de er enkle å gjette
Not Allowed,Ikke tillatt
Support Email Address Not Specified,Støtte Epostadresse Ikke Spesifisert
Actions,handlinger
Thank you for your interest in subscribing to our updates,Takk for din interesse for å abonnere på våre oppdateringer
Save,Lagre
New Custom Print Format,Nytt tilpasset utskriftsformat
Disable SMTP server authentication,Deaktiver SMTP-serverautentisering
QR Code,QR kode
Category,Kategori
Print Width,Utskriftsbredde
Unique,Unik
Markdown Editor,Markdown Editor
Search or type a command,Søk eller skriv en kommando
Invalid Outgoing Mail Server or Port,Ugyldig utgående postserver eller port
Register OAuth Client App,Registrer OAuth Client App
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","Tillatelser på nivå 0 er tillatelser på dokumentnivå, dvs. de er primære for tilgang til dokumentet."
"Print Width of the field, if the field is a column in a table","Skriv ut Bredde på feltet, hvis feltet er en kolonne i et bord"
Dynamic Link,Dynamisk Link
Sent Read Receipt,Sendt lest mottak
Shipping,Shipping
You need to be logged in and have System Manager Role to be able to access backups.,Du må være logget inn og ha System Manager Roll for å kunne få tilgang til sikkerhetskopier.
Submitting,Sende
download-alt,download-alt
{0}: Cannot set Amend without Cancel,{0}: Kan ikke angi Endre uten Avbryt
User Permissions created sucessfully,Brukerrettigheter opprettet på en vellykket måte
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","Feil ved å koble til QZ-skuffeprogram ... <br><br> Du må ha QZ Tray-programmet installert og kjørt, for å bruke Raw Print-funksjonen. <br><br> <a href=""https://qz.io/download/"" target=""_blank"">Klikk her for å laste ned og installer QZ skuff</a> . <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Klikk her for å lære mer om Raw Printing</a> ."
{0} already exists. Select another name,{0} eksisterer allerede. Velg et annet navn
File Upload in Progress. Please try again in a few moments.,Filopplasting pågår. Vennligst prøv igjen om noen få øyeblikk.
Bulk Update,Bulk Update
Unassign Condition,Frakoble Tilstand
Generated File,Generert fil
{0} updated,{0} oppdatert
Value cannot be changed for {0},Verdien kan ikke endres for {0}
Go to {0} List,Gå til {0} Liste
Configure Theme,Konfigurer tema
Banner,banner
Website Settings,Nettstedinnstillinger
All-uppercase is almost as easy to guess as all-lowercase.,All-store bokstaver er nesten like enkelt å gjette som små bokstaver.
Admin,admin
list-alt,list-alt
Confirm,Bekrefte
Feedback Trigger,Tilbakemelding Trigger
Your subscription will expire on {0}.,Abonnementet ditt utløper på {0}.
Rule Name,Regelnavn
Friday,fredag
Danger,Fare
for automatic creating of the recurring document to continue.,for automatisk oppretting av det gjentatte dokumentet for å fortsette.
Name of the new Print Format,Navn på det nye utskriftsformatet
Print Format Builder,Utskriftsformatbygger
Select Column,Velg kolonne
GSuite script test,GSuite script test
Patch,Lapp
No records deleted,Ingen poster slettet
Fieldname not set for Custom Field,Feltnavn ikke angitt for egendefinert felt
after_insert,after_insert
Quarter Day,Kvartalsdag
Assignment Rules,Oppdragsregler
Total number of emails to sync in initial sync process ,Totalt antall e-poster som skal synkroniseres i første synkroniseringsprosess
{0} must be set first,{0} må settes først
Subject Field,Emnefelt
Edit Filter,Rediger filter
zoom-in,zoom inn
Orange,oransje
Invalid column,Ugyldig kolonne
Last Week,Forrige uke
"document type..., e.g. customer","dokumenttype ..., for eksempel kunde"
Activity Log,Aktivitetsloggen
Your subscription will expire tomorrow.,Abonnementet ditt utløper i morgen.
Lft,LFT
Allowed In Mentions,Tillat i Mentions
Edit Title,Rediger tittel
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,Vennligst sjekk din registrerte e-postadresse for instruksjoner om hvordan du fortsetter. Ikke lukk dette vinduet da du må gå tilbake til det.
Download Link,Last ned kobling
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","Legg til som kommunikasjon mot denne DocType (må ha felt, &quot;Status&quot;, &quot;Emne&quot;)"
Maintenance Manager,Vedlikeholdsleder
Columns,kolonner
Apply this rule if the User is the Owner,Bruk denne regelen hvis brukeren er eieren
Custom Format,Tilpasset format
"Email ID must be unique, Email Account already exists \
				for {0}","E-post-ID må være unikt, E-postkonto eksisterer allerede \ for {0}"
You are connected to internet.,Du er koblet til Internett.
eye-close,eye-close
Address Type,Adressetype
Send Notifications for Email threads,Send varslinger for e-post tråder
Add A New Rule,Legg til en ny regel
Page has expired!,Siden er utløpt!
With Letterhead,Med brevpapir
Create and Send Newsletters,Lag og send nyhetsbrev
Permission Level,Tillatelsesnivå
User Permissions are used to limit users to specific records.,Bruker Tillatelser brukes til å begrense brukere til bestemte poster.
Review,Anmeldelse
User Field,Brukerfelt
Bucket,Bøtte
Select Document Types to set which User Permissions are used to limit access.,Velg Dokumenttyper for å angi hvilke Brukertillatelser som brukes til å begrense tilgangen.
Maximum {0} rows allowed,Maksimum {0} rader tillatt
Default for {0} must be an option,Standard for {0} må være et alternativ
Something went wrong during the token generation. Please request again an authorization code.,Noe gikk galt under token-generasjonen. Vennligst be om en autorisasjonskode igjen.
QR Code for Login Verification,QR-kode for påloggingsbekreftelse
heart,hjerte
Document Type is not importable,Dokumenttype kan ikke importeres
Google Services,Google Services
End Date,Sluttdato
There is an error in your Address Template {0},Det er en feil i adressemalen din {0}
Yahoo Mail,Yahoo Mail
Base URL,Basisadresse
Blog,bloggen
This will permanently remove your data.,Dette vil permanent fjerne dataene dine.
This is the template file generated with only the rows having some error. You should use this file for correction and import.,Dette er malfilen som genereres med bare radene som har noen feil. Du bør bruke denne filen for korrigering og import.
Section Heading,Seksjon Overskrift
Brute Force Security,Brute Force Security
Please select another payment method. Razorpay does not support transactions in currency '{0}',Vennligst velg en annen betalingsmetode. Razorpay støtter ikke transaksjoner i valuta &#39;{0}&#39;
Operator must be one of {0},Operatøren må være en av {0}
Blocked,blokkert
Models (building blocks) of the Application,Modeller (byggeklosser) av applikasjonen
Unzip,Pakk
Export Customizations,Eksporter tilpasninger
For Value,For verdi
Open your authentication app on your mobile phone.,Åpne autentiseringsappen din på mobiltelefonen din.
Portal,Portal
Use this fieldname to generate title,Bruk dette feltnavnet til å generere tittel
Images,Bilder
Geo,Geo
Success,Suksess
Submit,Sende inn
Add custom javascript to forms.,Legg til egendefinert javascript til skjemaer.
{0} are currently viewing this document,{0} ser for øyeblikket dette dokumentet
Customized HTML Templates for printing transactions.,Tilpassede HTML-maler for utskriftstransaksjoner.
for generating the recurring,for å generere den gjentagende
Skip Authorization,Hopp over godkjenning
State,Stat
Errors in Background Events,Feil i bakgrunnsarrangementer
DocType can only be renamed by Administrator,DocType kan bare omdøpes av Administrator
Filter List,Filterliste
Communicated via {0} on {1}: {2},Kommuniseres via {0} på {1}: {2}
Row #{0}:,Rad # {0}:
Leave blank for new records,La være tom for nye poster
Likes,liker
Is Sent,Er sendt
Developer,Utvikler
Depends On,Kommer an på
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","Ukjent filkoding. Prøvde utf-8, windows-1250, windows-1252."
Invalid Request,Ugyldig forespørsel
Thumbnail URL,Thumbnail URL
Valid Login id required.,Gyldig påloggings-ID kreves.
Idx,idx
restored {0} as {1},gjenopprettet {0} som {1}
Append To is mandatory for incoming mails,Legge til er obligatorisk for innkommende mails
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4> Standard mal </h4><p> Bruker <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> og alle feltene til adresse (inkludert egendefinerte felt hvis det er noen) vil være tilgjengelig </p><pre> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code> </pre>"
Disable Sidebar Stats,Deaktiver sidebarestatistikk
Integration Type,Integrasjonstype
Value missing for,Verdi mangler for
Contacts,Kontakt
Slideshow like display for the website,Slideshow som skjerm for nettstedet
Slack Webhook URL,Slack Webhook URL
Cannot create a {0} against a child document: {1},Kan ikke opprette en {0} mot et barnedokument: {1}
Is Published Field must be a valid fieldname,Er Publisert Felt må være et gyldig feltnavn
This report was generated on {0},Denne rapporten ble generert på {0}
Grant Type,Grant Type
Path to private Key File,Sti til privat nøkkelfil
Warning,Advarsel
Disable Standard Email Footer,Deaktiver Standard Email Footer
User ID,bruker-ID
Conditions,Forhold
gained {0} points,fikk {0} poeng
Printing failed,Utskrift mislyktes
Add Comment,Legg til en kommentar
Subject,Emne
Default Print Format,Standard utskriftsformat
Avoid dates and years that are associated with you.,Unngå datoer og år som er knyttet til deg.
Please select the Document Type.,Vennligst velg Dokumenttype.
