Connector Type,نوع اتصال
Category,دسته بندی
Timespan,مدت زمان
Edit Profile,ویرایش مشخصات
Ref Report DocType,Ref Ref DocType گزارش
Expires In,منقضی می شود
Setup &gt; User,تنظیم&gt; کاربر
{0} mentioned you in a comment in {1},{0} شما را در یک نظر در {1}
Edit...,ویرایش ...
hidden,پنهان
Rich Text,متن غنی
Accounts Manager,مدیر حساب ها
Some information is missing,برخی اطلاعات گم شده اند
Equals,برابر است
Not active,غیر فعال
Get Items,دریافت اقلام
Set numbering series for transactions.,مجموعه ای از شماره های سری برای معاملات.
Next Scheduled Date,تاریخ برنامه ریزی شده بعدی
{0} has left the conversation in {1} {2},{0} گفتگو در {1} {2} را ترک کرده است
PDF Settings,تنظیمات PDF
Next Schedule Date,تاریخ برنامه بعدی
For Value,برای ارزش
Update records,به روز رسانی سوابق
Attach Your Picture,تصویر خود را ضمیمه کنید
question-sign,سؤال نشانه
cn-northwest-1,cn-northwest-1
Read by Recipient,خوانده شده توسط گیرنده
Is Custom Field,فیلد سفارشی است
{0} un-shared this document with {1},{0} un- این سند را با {1} به اشتراک گذاشت
Track Changes,تغییرات مسیر
"For comparison, use &gt;5, &lt;10 or =324. For ranges, use 5:10 (for values between 5 &amp; 10).",برای مقایسه، استفاده از&gt; 5، &lt;10 یا = 324. برای محدوده ها، از 5:10 استفاده کنید (برای مقادیر بین 5 و 10).
Get Fields,دریافت زمینه
Filter must be a tuple or list (in a list),فیلتر باید یک دسته یا لیست باشد (در یک لیست)
Print Style Preview,پیش نمایش سبک چاپ
Host,میزبان
Max width for type Currency is 100px in row {0},حداکثر عرض برای نوع Currency 100px در ردیف {0}
Rule,قانون
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1} نمیتواند «{2}» باشد. باید یکی از &quot;{3}&quot; باشد
OAuth Bearer Token,OAuth Bearer Token
Setup Wizard,جادوگر راه اندازی
Toggle Chart,تعویض نمودار
Current Mapping Action,اقدامات نقشه برداری فعلی
Initial Sync Count,تعداد همگام سازی اولیه
Settings for Contact Us Page.,تنظیمات برای تماس با ما صفحه.
Printing failed,چاپ انجام نشد
You can't set 'Translatable' for field {0},شما نمی توانید &#39;Translatable&#39; را برای فیلد {0} تنظیم کنید
Sorry. You have reached the maximum user limit for your subscription. You can either disable an existing user or buy a higher subscription plan.,متاسف. شما حداکثر محدودیت کاربر برای اشتراک خود را دریافت کرده اید. شما می توانید یک کاربر موجود را غیرفعال کنید یا یک طرح اشتراکی عالی را خریداری کنید.
Old Password Required.,گذرواژه قدیمی لازم است.
Backup Limit,محدودیت پشتیبان گیری
Liked by {0},{0} دوست داشتنی
Left,ترک کرد
Background Jobs,سابقه کار
Files Size:,اندازه فایلها:
Enable,فعال کردن
GSuite script test,تست اسکریپت GSuite
Integration Request,درخواست ادغام
You need to be logged in to access this {0}.,برای دسترسی به این {0} باید وارد سیستم شوید.
Time Zones,محدوده های زمانی
View {0},نمایش {0}
Allow Login using User Name,مجاز به ورود به سیستم با استفاده از نام کاربری
heart,قلب
More,بیشتر
Posts,پست ها
You are not allowed to print this report,شما مجاز به چاپ این گزارش نیستید
Ctrl + Up,Ctrl + بالا
Unable to load camera.,بارگیری دوربین امکان پذیر نیست
Monday,دوشنبه
Charts,نمودار
Set Permissions on Document Types and Roles,تنظیم مجوز در انواع و نقش سند
You can add dynamic properties from the document by using Jinja templating.,با استفاده از قالب جینج می توانید خواص پویا را از سند اضافه کنید.
Frappe,فراپه
Select File Format,انتخاب فرمت فایل
SMTP Server,سرور SMTP
Pending,در انتظار
Add,اضافه کردن
See on Website,مشاهده در وب سایت
Invalid Home Page,صفحه اصلی نامعتبر است
Print Format Type,نوع فرمت چاپ
No Permissions set for this criteria.,هیچ مجوزی برای این معیار تعیین نشده است.
Expand All,گسترش همه
Tag Doc Category,برچسب Doc Category
Generated File,فایل تولید شده
Notes,یادداشت
Mark as Done,علامت گذاری به عنوان انجام شد
Timeline field must be a Link or Dynamic Link,فیلد جدول زمانی باید لینک یا لینک پیوندی باشد
Notifications and bulk mails will be sent from this outgoing server.,اعلان ها و ایمیل های فله از این سرور خروجی ارسال می شود.
This is a top-100 common password.,این کلمه عبور رایج 100 است.
Permanently Submit {0}?,دائمی {0} ارسال کنید؟
"{0} {1} does not exist, select a new target to merge",{0} {1} وجود ندارد، یک هدف جدید برای ادغام را انتخاب کنید
Multiplier Field,فیلد چندتایی
Workflow State Field,زمینه امور گردش کار
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.",به نظر می رسد یک مشکل با پیکربندی braintree سرور وجود دارد. نگران نباشید، در صورت خرابی، مقدار به حساب شما بازپرداخت خواهد شد.
Send alert if this field's value changes,اگر این مقدار فیلد تغییر کند هشدار ارسال کنید
Auto Repeat,خودکار تکرار
Invalid Credentials,گواهی نامه نامعتبر
Subsidiary,زیرمجموعه
Please select the Document Type.,لطفا نوع سند را انتخاب کنید
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.",رمزگذاری فایل نامعلوم utf-8، windows-1250، windows-1252 را امتحان کردید.
The process for deletion of {0} data associated with {1} has been initiated.,روند حذف داده های {0} مرتبط با {1} آغاز شده است.
Settings for About Us Page.,تنظیمات برای ما درباره صفحه.
Website Manager,مدیر سایت
Backup Frequency,فرکانس پشتیبان گیری
Group Name,اسم گروه
Unsubscribe Param,لغو اشتراک Param
Sort Order,ترتیب مرتب سازی
Card Details,جزئیات کارت
Idx,Idx
Confirm Your Email,ایمیل خود را تایید کنید
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).",هنگامی که شما این را تنظیم کرده اید، کاربران تنها قادر به دسترسی به اسناد (مثلا Blog Post) خواهند بود که لینک وجود دارد (به عنوان مثال Blogger).
Rejected,رد شد
Admin,مدیر
Slideshow Items,آیتم های نمایش اسلاید
Desk Access,دسترسی به میز
Footer,پاورقی
System User,کاربر سیستم
Return to the Verification screen and enter the code displayed by your authentication app,بازگشت به صفحه Verification و کد نمایش داده شده توسط برنامه تأیید اعتبار خود را وارد کنید
Some of the features might not work in your browser. Please update your browser to the latest version.,برخی از ویژگی های ممکن است در مرورگر شما کار نکند. لطفا مرورگر خود را به آخرین نسخه بهروزرسانی کنید.
User Permissions,مجوزهای کاربر
{0} created this {1},{0} این را ایجاد کرد {1}
Number of Backups,تعداد پشتیبان گیری
Last Known Versions,آخرین نسخه های شناخته شده
Current,جاری
New {0},جدید {0}
Add custom field Auto Repeat in the doctype {0},فیلد سفارشی را وارد کنید Auto Repeat در doctype {0}
Reqd,Reqd
{0} appreciated your work on {1} with {2} points,{0} کار شما را با {1} با {2} امتیاز قدردانی کردید
Zero means send records updated at anytime,صفر به معنای ارسال سوابق به روز شده در هر زمان است
Value cannot be changed for {0},ارزش را نمی توان برای {0} تغییر داد
Only {0} entries shown. Please filter for more specific results.,فقط {0} ورودی نشان داده شده است. لطفا برای نتایج خاصتر فیلتر کنید.
Report Builder reports are managed directly by the report builder. Nothing to do.,گزارش سازندگان گزارش به طور مستقیم توسط سازنده گزارش مدیریت می شوند. کاری برای انجام دادن نیست.
Edit Filter,ویرایش فیلتر
Auth URL Data,اطلاعات URL Auth
Has Attachments,دارای فایل پیوست
Comment Type,نوع نظرات
Download Backups,پشتیبان گیری را دانلود کنید
Reference DocType and Reference Name are required,DocType مرجع و نام مرجع مورد نیاز است
Email not sent to {0} (unsubscribed / disabled),ایمیل فرستاده شده به {0} (لغو اشتراک / غیرفعال)
chevron-up,chevron-up
Submit on Creation,ثبت نام در ایجاد
Only Send Records Updated in Last X Hours,فقط ارسال اسناد به روز شده در آخرین X ساعت
Column Name cannot be empty,نام ستون نباید خالی باشد
Started,آغاز شده
Invalid fieldname '{0}' in autoname,نام فیلد نامی {0} در Autoname
Archived,آرشیو شده
Only Administrator can save a standard report. Please rename and save.,تنها مدیر می تواند یک گزارش استاندارد را ذخیره کند. لطفا تغییر نام دهید و ذخیره کنید.
Postal,پستی
Page Length,طول صفحه
Relink Communication,برقراری ارتباط از راه دور
Master,استاد
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account. ,با استفاده از آدرس ایمیل ذکر شده در این حساب به عنوان فرستنده برای همه ایمیل های ارسال شده با استفاده از این حساب.
Password reset instructions have been sent to your email,دستورالعمل تنظیم مجدد رمز عبور به ایمیل شما ارسال شده است
Not Permitted,غیر مجاز
Enable Comments,فعال کردن نظرات
Custom Format,فرمت سفارشی
"CC, BCC & Email Template",CC، BCC و قالب ایمیل
Click on the link below to download your data,برای دانلود اطلاعات خود، روی لینک زیر کلیک کنید
headphones,هدفون
Not Allowed,مجاز نیست
Hide Standard Menu,مخفی کردن منوی استاندارد
Sign Up,ثبت نام
Header HTML set from attachment {0},سربرگ HTML از فایل پیوست {0}
Dashboard Name,نام داشبورد
Skip rows with errors,ردیف ها را با اشتباه پر کن
Please enter Client Secret before social login is enabled,لطفا قبل از ورود به سیستم اجتماعی، مشتری راز وارد کنید
This goes above the slideshow.,این بالاتر از نمایش اسلاید است
Row #{0}:,ردیف # {0}:
Older backups will be automatically deleted,پشتیبان گیری قدیمی تر به طور خودکار حذف خواهد شد
Browser not supported,مرورگر پشتیبانی نمی شود
Email Address,آدرس ایمیل
Role,نقش
Unhandled Email,ایمیل نابود شده
To Date Field,به فیلد تاریخ
Sync,همگام سازی
Select File Type,انتخاب نوع فایل
No Preview Available,پیشنمایش موجود نیست
Message Count,تعداد پیام
for the,برای
eu-north-1,eu-north-1
"{0}: Only one rule allowed with the same Role, Level and {1}",{0}: تنها یک قانون مجاز با همان نقش، سطح و {1}
You are not allowed to update this Web Form Document,شما مجاز به به روز رسانی این سند فرم وب نیستید
Maximum Attachment Limit for this record reached.,حداکثر محدودیت پیوست برای این رکورد رسیده است.
Please make sure the Reference Communication Docs are not circularly linked.,لطفا اطمینان حاصل کنید که اسناد ارتباطی مرجع به طور پیوسته پیوند ندارند.
Allow in Quick Entry,اجازه ورود سریع
Locals,محلی
To,به
values separated by commas,مقادیر جدا شده با کاما
Slack Channel,کانال اسلک
Invalid column,ستون نامعتبر است
Has Domain,دامنه دارد
Y Axis Fields,زمینه های Y axis
S3 Backup complete!,S3 پشتیبان گیری کامل است!
Kanban,کانبان
Is Standard,استاندارد است
Edit,ویرایش کنید
Invalid Login. Try again.,ورود نامعتبر است دوباره امتحان کنید
Attachment,ضمیمه
Reference Document Type,نوع سند مرجع
Loading,بارگذاری
Invalid,بی اعتبار
"HTML Header, Robots and Redirects",سربرگ HTML، روبات ها و هدایت ها
Invalid Search Field {0},فیلد جستجو نامعتبر {0}
There is an error in your Address Template {0},یک آدرس خطا در آدرس شما {0} وجود دارد
Filter Name,نام فیلتر
Slideshow,نمایش اسلاید
A new document {0} has been shared by with you {1}.,یک سند جدید {0} با شما به اشتراک گذاشته شده {1}.
"If disabled, this role will be removed from all users.",اگر غیرفعال باشد، این نقش از همه کاربران حذف خواهد شد.
Please select a valid csv file with data,لطفا یک فایل CSV معتبر با داده را انتخاب کنید
Default theme is set in {0},موضوع پیش فرض در {0} تنظیم شده است
There is no data to be exported,هیچ داده ای برای صادرات وجود ندارد
Exception Type,نوع استثنایی
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},نمی توانید حذف یا لغو زیرا {0} {1} با {2} {3} {4} مرتبط شده است
OTP secret can only be reset by the Administrator.,OTP را فقط می توان توسط Administrator بازنشانی کرد.
Page Break,شکستن صفحه
Website Script,اسکریپت وب
Subscription Notification,اعلان اشتراک
Quick Entry,ورود سریع
Lead Conversion Time,زمان تبدیل سرب
Assign Condition,شرایط را تعیین کنید
Revoke,لغو
Blogger,بلاگر
Value missing for,ارزش برای
Menu,فهرست
Date Format,فرمت تاریخ
Login,ورود
Count,شمردن
Set Property After Alert,املاک پس از هشدار را تنظیم کنید
Thank you,متشکرم
Slack Webhooks for internal integration,رکوردها برای ادغام داخلی
Import Data,واردات داده ها
Office 365,دفتر 365
ID,شناسه
Review Level,سطح بررسی
"Encryption key is invalid, Please check site_config.json",کلید رمز نادرست است، لطفا site_config.json را بررسی کنید
User Defaults,پیش فرض های کاربر
Log of error during requests.,ورود خطا در هنگام درخواست
Report Hide,گزارش پنهان کردن
DefaultValue,مقدار پیش فرض
Number Format,فرمت شماره
Style,سبک
Submit after importing,پس از وارد شدن، ارسال کنید
LDAP Security,امنیت LDAP
Login to comment,ورود به اظهار نظر
Awaiting Password,در انتظار رمز عبور
Password cannot be more than 100 characters long,رمز عبور نمی تواند بیش از 100 کاراکتر داشته باشد
Successfully Done,موفق به انجام شد
{0} List,{0} لیست
Appreciate,قدردانی
New {0} (Ctrl+B),جدید {0} (Ctrl + B)
Is Primary Contact,تماس اولیه است
Raw Commands,دستورات خام
Stylesheets for Print Formats,Stylesheets برای فرمت های چاپ
Property Setter,مستاجر مالکیت
Show Line Breaks after Sections,نمایش وقایع خط بعد از بخش
API Username,نام کاربری API
Public Key,کلید عمومی
Email To,ایمیل به
Reopen,باز کردن
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)",فیلد که نشان دهنده وضعیت کارکرد معامله است (اگر فیلد وجود نداشته باشد، فیلد سفارشی پنهان جدید ایجاد خواهد شد)
Attachment Removed,پیوست حذف شد
Breadcrumbs,پودرهای سوخاری
Show Weekends,نمایش آخر هفته
Page {0} of {1},صفحه {0} از {1}
Time,زمان
Always use Account's Name as Sender's Name,همیشه نام حساب را به عنوان نام فرستنده استفاده کنید
Saturday,شنبه
"Mandatory fields required in table {0}, Row {1}",الزامات لازم در جدول {0}، ردیف {1}
Build Report,گزارش ساخت
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,به نظر می رسد چیزی با پیکربندی دروازه پرداخت این سایت اشتباه است. هیچ پرداختی انجام نشده است.
Send Unsubscribe Link,ارسال پیغام Unsubscribe را ارسال کنید
Cannot edit standard fields,می توانید زمینه های استاندارد را ویرایش کنید
Upcoming Events for Today,رویدادهای آینده برای امروز
Attach file for Import,ضمیمه فایل برای وارد کردن
Name of the new Print Format,نام فرمت چاپ جدید
Please ask your administrator to verify your sign-up,لطفا از سرپرست خود بخواهید تا ثبت نام خود را تأیید کند
Type something in the search box to search,چیزی را در جعبه جستجو برای جستجو وارد کنید
Next Actions HTML,اقدامات بعدی HTML
Sum,مجموع
Don't Override Status,وضعیت را نادیده نگیرید
Is Child Table,جدول کودکان است
Custom HTML,HTML سفارشی
Half-Yearly,نیم سال
Add a column,یک ستون اضافه کنید
Script URL,URL اسکریپت
Errors in Background Events,خطاها در رویدادهای پسزمینه
Find {0} in {1},{0} را در {1} پیدا کنید
Use SSL,از SSL استفاده کنید
In Standard Filter,در فیلتر استاندارد
Total Pages,تعداد صفحات
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.",در صورت فعال بودن، کاربران هر بار که وارد سیستم می شوند اطلاع داده می شوند. اگر فعال نشد، کاربران فقط یک بار مطلع خواهند شد.
Last Message,آخرین پیام
Next Sync Token,توالی همگام سازی بعدی
No {0} permission,بدون اجازه {0}
Reference DocName,نام مستعار مرجع
Print Width,عرض چاپ
No further records,هیچ سوابق دیگری وجود ندارد
Mrs,خانم
Add Attachment,پیوست را اضافه کنید
Smallest Currency Fraction Value,کوچکترین مقدار کسری پولی
Please attach a file first.,لطفا ابتدا فایل را ضمیمه کنید.
Email Login ID,شناسه ورود ایمیل
Revoked,لغو شد
Active Domains,دامنه های فعال
Automation,اتوماسیون
Unzipping files...,بازکردن فایلها ...
Search for '{0}',جستجو برای &#39;{0}&#39;
Something went wrong,چیزی اشتباه رفت
Please save before attaching.,لطفا قبل از پیوستن ذخیره کنید.
Table HTML,جدول HTML
hub,توپی
Standard,استاندارد
Add A New Rule,یک قانون جدید اضافه کنید
Settings for the About Us Page,تنظیمات صفحه درباره ما
Fax,فکس
{0} Chart,{0} نمودار
Ends On,پایان می یابد
Provider,تامین کننده
Unable to send emails at this time,در حال حاضر امکان ارسال ایمیل وجود ندارد
You are not allowed to send emails related to this document,شما مجاز به ارسال ایمیل مربوط به این سند نیستید
Print Hide If No Value,پنهان کردن چاپ اگر ارزش ندارد
Log Details,ورود به سیستم
Format,فرمت
You gained some energy points,شما بعضی نقاط انرژی کسب کردید
Facebook,فیس بوک
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","برای کمک به <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">API Client Script و نمونه ها مراجعه کنید</a>"
Chat Profile,نمای چت
Attachment Limit (MB),محدودیت ضمیمه (MB)
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",به استثنای مدیر سیستم، نقش با مجوز تنظیم مجوز کاربر می تواند مجوز ها را برای دیگر کاربران برای نوع سند تعیین کند.
Toggle Sidebar,نوار کناری را تغییر دهید
The First User: You,اولین کاربر: شما
Column <b>{0}</b> already exist.,ستون <b>{0}</b> در حال حاضر وجود دارد.
Reset to defaults,بازنشانی به پیش فرضها
Assign To Users,اختصاص به کاربران
wrench,آچار
Last Active,آخرین فعالیت
Verification code has been sent to your registered email address.,کد تأیید به آدرس ایمیل ثبت شده شما ارسال شده است.
Grant Type,نوع گرانت
Same file has already been attached to the record,همان پرونده قبلا به پرونده متصل شده است
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'",عبارت ساده پایتون، مثال: status == &#39;باز&#39; و type == &#39;اشکال&#39;
Processing...,در حال پردازش...
Report:,گزارش:
Slack Webhook Error,خطای Webhook Slack
Published On,منتشر شده در
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4 style=""""> قالب پیش فرض </h4><p style=""""> با استفاده از <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> و تمام زمینه های آدرس (از جمله زمینه های سفارشی در صورت وجود) در دسترس خواهد بود </p><pre style=""""> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code> </pre>"
More articles on {0},مقالات بیشتر در {0}
Assignment Rules,قوانین تخصیص
Allow Login using Mobile Number,مجاز به ورود به سیستم با استفاده از شماره تلفن همراه
{0} minutes ago,{0} دقیقه پیش
Tree view not available for {0},نمای درخت برای {0} در دسترس نیست
List a document type,نوع سند را لیست کنید
Indicator,شاخص
Sort Field,مرتب سازی فیلد
Send document web view link in email,لینک ارسال سند به وب را در ایمیل ارسال کنید
Settings,تنظیمات
Energy Point Settings,تنظیمات انرژی نقطه
lightblue,آبی کمرنگ
Comment Should be atleast 10 characters,نظر باید حداقل 10 کاراکتر باشد
Add Subscribers,افزودن مشترکین
Processing,در حال پردازش
Response,واکنش
Page HTML,صفحه HTML
In points. Default is 9.,در نقاط پیش فرض 9 است
Auto Email Report,گزارش خودکار ایمیل
Query must be a SELECT,پرس و جو باید یک SELECT باشد
Not allowed from this IP Address,از این آدرس IP مجاز نیست
Error Code: {0},کد خطا: {0}
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}",{0}: &#39;{1}&#39; ({3}) به عنوان حداکثر کاراکترهای مجاز {{2}} مجاز خواهد شد.
Create a new {0},یک {0} جدید ایجاد کنید
volume-down,حجم پایین
fire,آتش
No Results,هیچ نتیجه ای
{0} records deleted,{0} سوابق حذف شد
Something went wrong while generating dropbox access token. Please check error log for more details.,در هنگام تولید دیکشنری دسترسی dropbox چیزی اشتباهی رخ داد. برای اطلاعات بیشتر لطفا ورود به سیستم را بررسی کنید.
Descendants Of,فرزندان
Hide details,پنهان کردن جزئیات
Font Styles,سبک فونت
Your subscription will expire on {0}.,اشتراک شما در {0} منقضی خواهد شد.
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},تأیید اعتبار در هنگام دریافت ایمیل از حساب ایمیل {0} شکست خورد. پیام از سرور: {1}
Stats based on last week's performance (from {0} to {1}),آمار بر اساس عملکرد هفته گذشته (از {0} تا {1})
Title Prefix,پیشوند عنوان
Authentication Apps you can use are: ,پرونده های تأیید هویتی که می توانید استفاده کنید عبارتند از:
Max 500 records at a time,حداکثر 500 رکورد در یک زمان
Maximum {0} rows allowed,حداکثر {0} ردیف مجاز است
Bulk Rename,تغییر نام فله
Unassign Condition,لغو شرایط
We have received a request from you to download your {0} data associated with: {1},ما درخواستی از شما برای دریافت {0} داده های مرتبط با شما دریافت کرده ایم: {1}
Successful: {0} to {1},موفقیت: {0} تا {1}
DocType must be Submittable for the selected Doc Event,DocType باید برای Event Doc انتخاب شده Submittable باشد
Send After,ارسال پس از
Conversation Tones,تن مکالمه
Tax Category,دسته مالیاتی
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},فرمت جاوا اسکریپت: frappe.query_reports [&#39;REPORTNAME&#39;] = {}
{0}: Cannot set Import without Create,{0}: نمیتوان وارد را بدون ایجاد ایجاد کرد
Use Sandbox,از Sandbox استفاده کنید
This user cannot request to download data,این کاربر نمی تواند درخواست برای بارگیری داده ها کند
Global Unsubscribe,لغو اشتراک جهانی
GitHub Sync ID,شناسه GitHub همگام سازی
DocType can only be renamed by Administrator,DocType فقط می تواند توسط Administrator تغییر نام دهد
Datetime,زمان قرار
Website Route Meta,وبسایت مسیر متا
Something went wrong during the token generation. Please request again an authorization code.,در طی نسل نشینی چیزی اشتباهی رخ داد. لطفا دوباره کد درخواست مجوز درخواست کنید.
Point Allocation Periodicity,دوره ی اختصاص دادن نقطه
Click here to check your usage or upgrade to a higher plan,برای بررسی استفاده یا ارتقا به یک برنامه بالاتر، اینجا را کلیک کنید
Confirm Deletion of Data,تایید پاک کردن داده ها
Unsubscribe Method,روش لغو اشتراک
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,این مقادیر به طور خودکار در معاملات به روز می شود و همچنین محدودیت مجوزهای این کاربر در معاملات حاوی این مقادیر مفید خواهد بود.
Report Filters,گزارش فیلتر
Select Columns,ستون ها را انتخاب کنید
Participants,شركت كنندگان
Amended From,اصلاح شده از
Your information has been submitted,اطلاعات شما ثبت شد
Help Category,رده راهنما
Hide field in Report Builder,پنهان کردن فیلد در گزارش ساز
1 month,1 ماه
Select an existing format to edit or start a new format.,فرمت موجود را برای ویرایش یا شروع فرمت جدید انتخاب کنید.
Embed image slideshows in website pages.,نمایش تصاویر اسلاید در صفحات وب سایت.
Mark as Spam,علامت گذاری به عنوان هرزنامه
Data Migration Plan,طرح مهاجرت داده
Email Queue Recipient,گیرنده ایمیل صفر
Do not allow user to change after set the first time,اجازه ندهید که کاربر پس از اولین بار تنظیم را تغییر دهد
Patch,پچ
Send alert if date matches this field's value,ارسال هشدار اگر تاریخ مربوط به مقدار این فیلد است
Reference: {0} {1},مرجع: {0} {1}
Default Print Format,فرمت پیش فرض چاپ
Load Balancing,تعادل بار
Postprocess Method,روش پس پردازش
zoom-out,کوچک نمایی
Role Permission for Page and Report,نقش مجاز برای صفحه و گزارش
Header Image,تصویر هدر
QZ Tray Connection Active!,QZ Tray Connection فعال است!
Misc,متفرقه
You,شما
star,ستاره
Title field must be a valid fieldname,فیلد عنوان باید یک فیلد معتبر باشد
Switch To Desk,سوئیچ به میز
End Date Field,فیلد تاریخ پایان
Show as Grid,نمایش به عنوان شبکه
Receipient,گیرنده
Content (Markdown),محتوا (نشانه گذاری)
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")",به عنوان ارتباطی در برابر این DocType (باید فیلدهای، &quot;وضعیت&quot;، &quot;موضوع&quot; را وارد کنید)
Field Type,نوع فیلد
Can't identify open {0}. Try something else.,نمی توان باز {0} را شناسایی کرد. چیز دیگری را امتحان کنید
or,یا
Your connection request to Google Calendar was successfully accepted,درخواست اتصال شما به Google Calendar با موفقیت پذیرفته شد
Last Login,آخرین ورود
Google Apps Script,اسکریپت Google Apps
Common names and surnames are easy to guess.,نام و نام خانوادگی بسیار ساده است.
Rgt,Rgt
Print with letterhead,چاپ با سربرگ
New value to be set,ارزش جدید تعیین می شود
Text Content,محتوای متن
{0} Modules,{0} ماژول
Report Builder,گزارش ساز
download-alt,download-alt
{0}: Cannot set Assign Amend if not Submittable,{0}: می توانید Assign Amend را تغییر دهید، نه Submittable
Field to Track,فیلد برای پیگیری
Generate Keys,ایجاد کلید ها
Unshared,اشتراکگذاری نشده
Saved,ذخیره
OAuth Client,مشتری OAuth
Disable Standard Email Footer,پاورپوینت استاندارد استاندارد را غیرفعال کنید
Print Format {0} is disabled,فرمت چاپ {0} غیرفعال است
Queued for backup. You will receive an email with the download link,برای تهیه پشتیبان به صورت صف شما یک ایمیل با لینک دانلود دریافت خواهید کرد
Third Party Apps,برنامه های شخص ثالث
Geo,جغرافیایی
View All,نمایش همه
Milestone,نقطه عطف
Activity log of all users.,ثبت فعالیت همه کاربران
Query Report,گزارش درخواست
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)",راه اندازی بر روی روش های معتبر مثل &quot;pre_insert&quot;، &quot;after_update&quot; و غیره (به DocType انتخاب شده بستگی دارد)
File Manager,مدیر فایل
Cannot change docstatus from 0 to 2,نمی توان docstatus را از 0 به 2 تغییر داد
No permission to {0} {1} {2},بدون اجازه {0} {1} {2}
Reason,دلیل
Open a module or tool,ماژول یا ابزار را باز کنید
Disable Customer Signup link in Login page,غیر فعال کردن لینک ثبت نام مشتری در صفحه ورود به سیستم
Slack Webhook URL,نشانی اینترنتی وب کم سرعت
Report cannot be set for Single types,گزارش را نمی توان برای انواع مختلف تنظیم کرد
PDF Page Size,PDF صفحه اندازه
City,شهر
Certificate,گواهی
This will permanently remove your data.,این اطلاعات دائمی شما را حذف خواهند کرد.
warning-sign,علامت هشدار دهنده
Entity Name,نام شخصیت
align-right,راست راست
Last Updated On,آخرین بروزرسانی در
Action,عمل
Client key is required,کلید مشتری مورد نیاز است
Notifications,اطلاعیه
mm/dd/yyyy,mm / dd / yyyy
Custom Report,گزارش سفارشی
Options required for Link or Table type field {0} in row {1},گزینه های مورد نیاز برای پیوند یا جدول نوع فیلد {0} در ردیف {1}
info-sign,اطلاعات نشانه
Chart Type,نوع نمودار
Add a tag ...,اضافه کردن یک تگ ...
ap-northeast-2,ap-north east-2
Setup Notifications based on various criteria.,اعلان های راه اندازی بر اساس معیارهای مختلف
Standard Reports,گزارش های استاندارد
"Repeats like ""aaa"" are easy to guess",تکرارهایی مانند &quot;aaa&quot; آسان است حدس بزنید
e.g. pop.gmail.com / imap.gmail.com,مثلا pop.gmail.com / imap.gmail.com
'Recipients' not specified,گیرندگان مشخص نشده اند
"On {0}, {1} wrote:",در {0}، {1} نوشت:
{0} are currently viewing this document,{0} درحال مشاهده این سند هستند
Contact,تماس
LDAP Username Field,نام کاربری LDAP
