Connector Type,Tilslutningstype
Print Style Preview,Forhåndsvisning af udskriftsstil
Host,Vært
Max width for type Currency is 100px in row {0},Maks. Bredde for type Valuta er 100px i række {0}
Rule,Herske
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1} kan ikke være &quot;{2}&quot;. Det bør være en af &quot;{3}&quot;
OAuth Bearer Token,OAuth Bearer Token
Setup Wizard,Opsætningsguide
Toggle Chart,Skift diagram
Current Mapping Action,Aktuel kortlægning
Initial Sync Count,Initial Sync Count
Settings for Contact Us Page.,Indstillinger for Kontakt os side.
Printing failed,Udskrivning mislykkedes
You can't set 'Translatable' for field {0},Du kan ikke indstille &#39;Oversættelig&#39; for felt {0}
Sorry. You have reached the maximum user limit for your subscription. You can either disable an existing user or buy a higher subscription plan.,Undskyld. Du har nået den maksimale brugergrænse for dit abonnement. Du kan enten deaktivere en eksisterende bruger eller købe en højere abonnementsplan.
Old Password Required.,Gammelt kodeord er påkrævet.
Backup Limit,Backup Limit
Liked by {0},Ønsket af {0}
Left,Venstre
Background Jobs,Baggrund Jobs
Files Size:,Filstørrelse:
Enable,Aktiver
GSuite script test,GSuite script test
Integration Request,Integrationsanmodning
You need to be logged in to access this {0}.,Du skal være logget ind for at få adgang til denne {0}.
Time Zones,Tidszoner
View {0},Se {0}
Allow Login using User Name,Tillad login med brugernavn
heart,hjerte
More,Mere
Posts,Indlæg
You are not allowed to print this report,Du har ikke lov til at udskrive denne rapport
Ctrl + Up,Ctrl + Op
Unable to load camera.,Kan ikke indlæse kamera.
Monday,Mandag
Charts,Diagrammer
Set Permissions on Document Types and Roles,Indstil tilladelser på dokumenttyper og roller
You can add dynamic properties from the document by using Jinja templating.,Du kan tilføje dynamiske egenskaber fra dokumentet ved hjælp af Jinja-templering.
Frappe,frappe
Select File Format,Vælg Filformat
SMTP Server,SMTP Server
Pending,Verserende
Add,Tilføje
See on Website,Se på hjemmesiden
Invalid Home Page,Ugyldig startside
Print Format Type,Print Format Type
No Permissions set for this criteria.,Ingen tilladelser er fastsat for dette kriterium.
Expand All,Udvid alle
Tag Doc Category,Tag Dok kategori
Generated File,Genereret fil
Notes,Noter
Mark as Done,Marker som færdig
Timeline field must be a Link or Dynamic Link,Tidslinjefelt skal være en Link eller Dynamisk Link
Notifications and bulk mails will be sent from this outgoing server.,Meddelelser og bulkmails vil blive sendt fra denne udgående server.
This is a top-100 common password.,Dette er et top-100 fælles kodeord.
Permanently Submit {0}?,Indsend {0} permanent?
"{0} {1} does not exist, select a new target to merge","{0} {1} eksisterer ikke, vælg et nyt mål at slå sammen"
Multiplier Field,Multiplikationsfelt
Workflow State Field,Workflow State Field
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Der ser ud til at være et problem med serverens braintree-konfiguration. Du skal ikke bekymre dig, i tilfælde af fiasko bliver beløbet refunderet til din konto."
Send alert if this field's value changes,"Send alarm, hvis dette felt ændrer værdien"
Auto Repeat,Automatisk gentagelse
Invalid Credentials,Ugyldige legitimationsoplysninger
Subsidiary,Datterselskab
Please select the Document Type.,Vælg dokumenttype.
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","Ukendt filkodning. Forsøgt utf-8, windows-1250, windows-1252."
The process for deletion of {0} data associated with {1} has been initiated.,Processen til sletning af {0} data i forbindelse med {1} er indledt.
Settings for About Us Page.,Indstillinger for Om os side.
Website Manager,Website Manager
Backup Frequency,Backup Frekvens
Group Name,Gruppe navn
Unsubscribe Param,Afmeld Param
Sort Order,Sorteringsrækkefølge
Card Details,Kortoplysninger
Idx,Idx
Confirm Your Email,Bekræft din email
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).","Når du har angivet dette, vil brugerne kun kunne få adgangsdokumenter (f.eks. Blog Post), hvor linket eksisterer (f.eks. Blogger)."
Rejected,afvist
Admin,Admin
Slideshow Items,Diasshow Items
Desk Access,Skrivebordstilgang
Footer,Sidefod
System User,Systembruger
Return to the Verification screen and enter the code displayed by your authentication app,"Gå tilbage til verifikationsskærmen og indtast koden, der vises af din godkendelsesapp"
Some of the features might not work in your browser. Please update your browser to the latest version.,Nogle af funktionerne fungerer muligvis ikke i din browser. Opdater din browser til den nyeste version.
User Permissions,Bruger tilladelser
{0} created this {1},{0} oprettet dette {1}
Number of Backups,Antal sikkerhedskopier
Last Known Versions,Sidste kendte versioner
Current,Nuværende
New {0},Ny {0}
Add custom field Auto Repeat in the doctype {0},Tilføj brugerdefineret felt Auto Repeat i doktypen {0}
Reqd,reqd
{0} appreciated your work on {1} with {2} points,{0} værdsat dit arbejde på {1} med {2} point
Zero means send records updated at anytime,"Nul betyder, at send records opdateres når som helst"
Value cannot be changed for {0},Værdien kan ikke ændres for {0}
Only {0} entries shown. Please filter for more specific results.,Kun {0} indtastninger vist. Venligst filtrer for mere specifikke resultater.
Report Builder reports are managed directly by the report builder. Nothing to do.,Rapport Builder rapporter styres direkte af rapportbyggeren. Ingenting at lave.
Edit Filter,Rediger filter
Auth URL Data,Auth URL-data
Has Attachments,Har Vedhæftede filer
Comment Type,Kommentar type
Download Backups,Download sikkerhedskopier
Reference DocType and Reference Name are required,Reference DocType og Reference Name er påkrævet
Email not sent to {0} (unsubscribed / disabled),E-mail ikke sendt til {0} (afmeldt / deaktiveret)
chevron-up,chevron-up
Submit on Creation,Send på Creation
Only Send Records Updated in Last X Hours,"Send kun poster, der er opdateret i sidste x timer"
Column Name cannot be empty,Kolonne navn kan ikke være tomt
Started,Startede
Invalid fieldname '{0}' in autoname,Ugyldigt feltnavn &#39;{0}&#39; i autoname
Archived,arkiverede
Only Administrator can save a standard report. Please rename and save.,Kun administrator kan gemme en standardrapport. Venligst omdøbe og gemme.
Postal,Postal
Page Length,Sidelængde
Relink Communication,Relink Kommunikation
Master,Mestre
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account. ,"Bruger den e-mail-adresse, der er nævnt i denne konto som afsender for alle e-mails, der sendes ved hjælp af denne konto."
Password reset instructions have been sent to your email,Indstillinger for adgangskodeindstillinger er blevet sendt til din email
Not Permitted,Ikke tilladt
Enable Comments,Aktivér kommentarer
Custom Format,Brugerdefineret format
"CC, BCC & Email Template","CC, BCC og Email Template"
Click on the link below to download your data,Klik på linket herunder for at downloade dine data
headphones,hovedtelefoner
Not Allowed,Ikke tilladt
Hide Standard Menu,Skjul standardmenu
Sign Up,Tilmelde
Header HTML set from attachment {0},Overskrift HTML-sæt fra vedhæftet fil {0}
Dashboard Name,Dashboard Navn
Skip rows with errors,Spring rækker med fejl
Please enter Client Secret before social login is enabled,"Indtast venligst Client Secret, før social login er aktiveret"
This goes above the slideshow.,Dette går over diasshowet.
Row #{0}:,Række # {0}:
Older backups will be automatically deleted,Ældre sikkerhedskopier vil automatisk blive slettet
Browser not supported,Browser understøttes ikke
Email Address,Email adresse
Role,rolle
Unhandled Email,Uhåndteret Email
To Date Field,Til datofelt
Sync,Synkronisere
Select File Type,Vælg filtype
No Preview Available,Ingen forhåndsvisning tilgængelig
Message Count,Besked Count
for the,for
eu-north-1,eu-nord-1
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: Kun én regel tilladt med samme rolle, niveau og {1}"
You are not allowed to update this Web Form Document,Du har ikke lov til at opdatere dette webformulardokument
Maximum Attachment Limit for this record reached.,Maksimum vedhæftningsgrænse for denne rekord er nået.
Please make sure the Reference Communication Docs are not circularly linked.,"Sørg for, at referencekommunikationsdokumenterne ikke er cirkulært forbundet."
Allow in Quick Entry,Tillad i hurtig indtastning
Locals,lokale
To,Til
values separated by commas,værdier adskilt af kommaer
Slack Channel,Slack Channel
Invalid column,Ugyldig kolonne
Has Domain,Har Domæne
Y Axis Fields,Y Axis Fields
S3 Backup complete!,S3 Backup komplet!
Kanban,Kanban
Is Standard,Er Standard
Edit,Redigere
Invalid Login. Try again.,Ugyldigt login. Prøv igen.
Attachment,Vedhæftet fil
Reference Document Type,Reference dokumenttype
Loading,Indlæser
Invalid,Ugyldig
"HTML Header, Robots and Redirects","HTML-overskrift, robotter og omdirigeringer"
Invalid Search Field {0},Ugyldigt søgefelt {0}
There is an error in your Address Template {0},Der er en fejl i din adresseskabelon {0}
Filter Name,Filtreringsnavn
Slideshow,Slideshow
A new document {0} has been shared by with you {1}.,Et nyt dokument {0} er blevet delt af dig {1}.
"If disabled, this role will be removed from all users.","Hvis deaktiveret, vil denne rolle blive fjernet fra alle brugere."
Please select a valid csv file with data,Vælg venligst en gyldig csv-fil med data
Default theme is set in {0},Standardtema er angivet i {0}
There is no data to be exported,"Der er ingen data, der skal eksporteres"
Exception Type,Undtagelsestype
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},Kan ikke slette eller annullere fordi {0} {1} er forbundet med {2} {3} {4}
OTP secret can only be reset by the Administrator.,OTP-hemmeligheden kan kun nulstilles af administratoren.
Page Break,Sideskift
Website Script,Website Script
Subscription Notification,Abonnementsmeddelelse
Quick Entry,Hurtig indtastning
Lead Conversion Time,Lead Conversion Time
Assign Condition,Tildel tilstand
Revoke,Tilbagekald
Blogger,Blogger
Value missing for,Værdi mangler for
Menu,Menu
Date Format,Datoformat
Login,Log på
Count,Tælle
Set Property After Alert,Indstil ejendom efter advarsel
Thank you,tak skal du have
Slack Webhooks for internal integration,Slack Webhooks til intern integration
Import Data,Importer data
Office 365,Kontor 365
ID,ID
Review Level,Review Level
"Encryption key is invalid, Please check site_config.json",Krypteringsnøglen er ugyldig. Kontroller site_config.json
User Defaults,Brugerstandarder
Log of error during requests.,Log af fejl under anmodninger.
Report Hide,Rapport Skjul
DefaultValue,Standard værdi
Number Format,Nummerformat
Style,Stil
Submit after importing,Indsend efter import
LDAP Security,LDAP-sikkerhed
Login to comment,Log ind for at kommentere
Awaiting Password,Afventer kodeord
Password cannot be more than 100 characters long,Adgangskoden må ikke være mere end 100 tegn lang
Successfully Done,Udført succesfuldt
{0} List,{0} Liste
Appreciate,Sætter pris på
New {0} (Ctrl+B),Ny {0} (Ctrl + B)
Is Primary Contact,Er primær kontakt
Raw Commands,Råkommandoer
Stylesheets for Print Formats,Stylesheets til udskriftsformater
Property Setter,Ejendom Setter
Show Line Breaks after Sections,Vis linjeskift efter sektioner
API Username,API-brugernavn
Public Key,Offentlig nøgle
Email To,Email til
Reopen,Åbn
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Felt, der repræsenterer arbejdsgangsstatus for transaktionen (hvis feltet ikke er til stede, oprettes et nyt skjult brugerdefineret felt)"
Attachment Removed,Vedhæftet fil fjernet
Breadcrumbs,Brødkrummer
Show Weekends,Vis weekender
Page {0} of {1},Side {0} af {1}
Time,Tid
Always use Account's Name as Sender's Name,Brug altid kontos navn som afsenderens navn
Saturday,lørdag
"Mandatory fields required in table {0}, Row {1}","Obligatoriske felter kræves i tabel {0}, række {1}"
Build Report,Byg rapport
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,"Det ser ud til, at der er noget galt med denne websteds betalingsgateway-konfiguration. Der er ikke foretaget nogen betaling."
Send Unsubscribe Link,Send Afmeld Tilmeld Link
Cannot edit standard fields,Kan ikke redigere standardfelter
Upcoming Events for Today,Kommende arrangementer for i dag
Attach file for Import,Vedhæft fil til Import
Name of the new Print Format,Navn på det nye udskriftsformat
Please ask your administrator to verify your sign-up,Spørg din administrator om at bekræfte din tilmelding
Type something in the search box to search,Skriv noget i søgefeltet for at søge
Next Actions HTML,Næste handlinger HTML
Sum,Sum
Don't Override Status,Overstyr ikke status
Is Child Table,Er børnebord
Custom HTML,Brugerdefineret HTML
Half-Yearly,Halvårligt
Add a column,Tilføj en kolonne
Script URL,Script URL
Errors in Background Events,Fejl i baggrundsarrangementer
Find {0} in {1},Find {0} i {1}
Use SSL,Brug SSL
In Standard Filter,I standardfilter
Total Pages,Samlede sider
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.","Hvis aktiveret, vil brugerne blive underrettet hver gang de logger ind. Hvis ikke aktiveret, meddeles brugerne kun en gang."
Last Message,Sidste besked
Next Sync Token,Næste synkroniseringstegn
No {0} permission,Ingen {0} tilladelse
Reference DocName,Reference DocName
Print Width,Udskrivningsbredde
No further records,Ingen yderligere poster
Mrs,fru
Add Attachment,Tilføj vedhæftet fil
Smallest Currency Fraction Value,Mindste valutafraktionsværdi
Please attach a file first.,Vedhæft venligst en fil først.
Email Login ID,Email Login ID
Revoked,tilbagekaldt
Active Domains,Aktive domæner
Automation,Automatisering
Unzipping files...,Unzipping filer ...
Search for '{0}',Søg efter &#39;{0}&#39;
Something went wrong,Noget gik galt
Please save before attaching.,Gem venligst før vedhæftning.
Table HTML,Tabel HTML
hub,hub
Standard,Standard
Add A New Rule,Tilføj en ny regel
Settings for the About Us Page,Indstillinger for siden Om os
Fax,Fax
{0} Chart,{0} diagram
Ends On,Slutter på
Provider,provider
Unable to send emails at this time,Kunne ikke sende e-mails på dette tidspunkt
You are not allowed to send emails related to this document,Du har ikke lov til at sende e-mails relateret til dette dokument
Print Hide If No Value,Udskriv Skjul hvis ingen værdi
Log Details,Log detaljer
Format,Format
You gained some energy points,Du har fået nogle energipunkter
Facebook,Facebook
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","For hjælp se <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API og eksempler</a>"
Chat Profile,Chat profil
Attachment Limit (MB),Vedhæftningsgrænse (MB)
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",Udover System Manager kan roller med Set User Permissions ret indstille tilladelser til andre brugere for den pågældende dokumenttype.
Toggle Sidebar,Skift sidebjælke
The First User: You,Den første bruger: Du
Column <b>{0}</b> already exist.,Kolonne <b>{0}</b> eksisterer allerede.
Reset to defaults,Nulstil til standardindstillingerne
Assign To Users,Tildel til brugere
wrench,skruenøgle
Last Active,Sidste aktiv
Verification code has been sent to your registered email address.,Verifikationskoden er blevet sendt til din registrerede emailadresse.
Grant Type,Grant Type
Same file has already been attached to the record,Samme fil er allerede knyttet til posten
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'","Simple Python Expression, Eksempel: status == &#39;Åbn&#39; og skriv == &#39;Bug&#39;"
Processing...,Forarbejdning...
Report:,Rapport:
Slack Webhook Error,Slack Webhook Error
Published On,Udgivet på
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4> Standardskabelon </h4><p> Bruger <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> og alle adressefeltene (herunder brugerdefinerede felter) vil være tilgængelige </p><pre> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code> </pre>"
More articles on {0},Flere artikler om {0}
Assignment Rules,Opgaveregler
Allow Login using Mobile Number,Tillad login ved hjælp af mobilnummer
{0} minutes ago,{0} minutter siden
Tree view not available for {0},Trævisning er ikke tilgængelig for {0}
List a document type,Angiv en dokumenttype
Indicator,Indikator
Sort Field,Sorter felt
Send document web view link in email,Send dokument webvisning link i email
Settings,Indstillinger
Energy Point Settings,Energipunktindstillinger
lightblue,lyseblå
Comment Should be atleast 10 characters,Kommentar Skal være mindst 10 tegn
Add Subscribers,Tilføj abonnenter
Processing,Forarbejdning
Response,Respons
Page HTML,Side HTML
In points. Default is 9.,I punkter. Standard er 9.
Auto Email Report,Automatisk e-mail-rapport
Query must be a SELECT,Forespørgsel skal være en SELECT
Not allowed from this IP Address,Ikke tilladt fra denne IP-adresse
Error Code: {0},Fejlkode: {0}
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}","{0}: &#39;{1}&#39; ({3}) vil blive afkortet, da maksimalt tilladte tegn er {2}"
Create a new {0},Opret en ny {0}
volume-down,skrue ned for lyden
fire,ild
No Results,Ingen resultater
{0} records deleted,{0} poster slettet
Something went wrong while generating dropbox access token. Please check error log for more details.,"Noget gik galt, mens du genererede dropbox access token. Kontroller fejllogg for flere detaljer."
Descendants Of,Efterkommere af
Hide details,Gem detaljer
Font Styles,Skrifttyper
Your subscription will expire on {0}.,Dit abonnement udløber på {0}.
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},"Autentificering mislykkedes, mens du modtog e-mails fra e-mail-konto {0}. Meddelelse fra server: {1}"
Stats based on last week's performance (from {0} to {1}),Statistikker baseret på sidste uges præstationer (fra {0} til {1})
Title Prefix,Titel præfiks
Authentication Apps you can use are: ,"Autentificeringsprogrammer, du kan bruge, er:"
Max 500 records at a time,Max 500 optagelser ad gangen
Maximum {0} rows allowed,Maksimum {0} rækker tilladt
Bulk Rename,Bulk Omdøb
Unassign Condition,Afgiv betingelse
We have received a request from you to download your {0} data associated with: {1},Vi har modtaget en anmodning fra dig om at downloade dine {0} data i forbindelse med: {1}
Successful: {0} to {1},Vellykket: {0} til {1}
DocType must be Submittable for the selected Doc Event,DocType skal være Submitterable for den valgte Doc Event
Send After,Send efter
Conversation Tones,Samtale toner
Tax Category,Skatkategori
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},JavaScript-format: frappe.query_reports [&#39;REPORTNAME&#39;] = {}
{0}: Cannot set Import without Create,{0}: Kan ikke indstille Import uden Opret
Use Sandbox,Brug Sandbox
This user cannot request to download data,Denne bruger kan ikke anmode om at downloade data
Global Unsubscribe,Global Afmeld
GitHub Sync ID,GitHub Sync ID
DocType can only be renamed by Administrator,DocType kan kun omdøbes af Administrator
Datetime,Dato tid
Website Route Meta,Website Route Meta
Something went wrong during the token generation. Please request again an authorization code.,Noget gik galt under token generation. Forlad venligst en godkendelseskode igen.
Point Allocation Periodicity,Punktallokeringstidspunkt
Click here to check your usage or upgrade to a higher plan,Klik her for at tjekke din brug eller opgradere til en højere plan
Confirm Deletion of Data,Bekræft sletning af data
Unsubscribe Method,Afmeld Tilmeld Metode
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,"Disse værdier opdateres automatisk i transaktioner, og det vil også være nyttigt at begrænse tilladelser til denne bruger på transaktioner, der indeholder disse værdier."
Report Filters,Rapportér filtre
Select Columns,Vælg kolonner
Participants,Deltagere
Amended From,Ændret fra
Your information has been submitted,Dine oplysninger er blevet indsendt
Help Category,Hjælp kategori
Hide field in Report Builder,Skjul felt i Report Builder
1 month,1 måned
Select an existing format to edit or start a new format.,Vælg et eksisterende format for at redigere eller starte et nyt format.
Embed image slideshows in website pages.,Embed billedfremvisning på hjemmesider.
Mark as Spam,Marker som spam
Data Migration Plan,Data Migrationsplan
Email Queue Recipient,E-mail-kømodtager
Do not allow user to change after set the first time,Lad ikke brugeren skifte efter første gangs indstilling
Patch,Lappe
Send alert if date matches this field's value,"Send alarm, hvis dato matcher dette felts værdi"
Reference: {0} {1},Reference: {0} {1}
Default Print Format,Standard udskriftsformat
Load Balancing,Load Balancing
Postprocess Method,Efterprocesmetode
zoom-out,zoome ud
Role Permission for Page and Report,Role Tilladelse til side og rapport
Header Image,Hovedbillede
QZ Tray Connection Active!,QZ Tray Connection Active!
Misc,Diverse
You,Du
star,stjerne
Title field must be a valid fieldname,Titelfeltet skal være et gyldigt feltnavn
Switch To Desk,Skift til skrivebord
End Date Field,Slutdato Field
Show as Grid,Vis som gitter
Receipient,receipient
Content (Markdown),Indhold (Markdown)
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","Tilføj som kommunikation mod denne DocType (skal have felter, &quot;Status&quot;, &quot;Emne&quot;)"
Field Type,Feltype
Can't identify open {0}. Try something else.,Kan ikke identificere åben {0}. Prøv noget andet.
or,eller
Your connection request to Google Calendar was successfully accepted,Din forbindelsesforespørgsel til Google Kalender blev godkendt
Last Login,Sidste login
Google Apps Script,Google Apps Script
Common names and surnames are easy to guess.,Fælles navne og efternavne er nemme at gætte.
Rgt,RGT
Print with letterhead,Udskriv med brevpapir
New value to be set,"Ny værdi, der skal indstilles"
Text Content,Tekstindhold
{0} Modules,{0} moduler
Report Builder,Report Builder
download-alt,Download-alt
{0}: Cannot set Assign Amend if not Submittable,"{0}: Kan ikke indstille Tilordne Ændre, hvis det ikke kan indsendes"
Field to Track,Felt at spore
Generate Keys,Generer nøgler
Unshared,udelt
Saved,Gemt
OAuth Client,OAuth Client
Disable Standard Email Footer,Deaktiver Standard Email Footer
Print Format {0} is disabled,Printformat {0} er deaktiveret
Queued for backup. You will receive an email with the download link,Kø for backup. Du vil modtage en email med downloadlinket
Third Party Apps,Tredjeparts apps
Geo,Geo
View All,Se alt
Milestone,Milestone
Activity log of all users.,Aktivitetslogbog for alle brugere.
Query Report,Forespørgselsrapport
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)","Trigger på gyldige metoder som &quot;before_insert&quot;, &quot;after_update&quot; osv. (Afhænger af den valgte DocType)"
File Manager,Filhåndtering
Cannot change docstatus from 0 to 2,Kan ikke ændre docstatus fra 0 til 2
No permission to {0} {1} {2},Ingen tilladelse til {0} {1} {2}
Reason,Grund
Open a module or tool,Åbn et modul eller værktøj
Disable Customer Signup link in Login page,Deaktiver kunde-login-linket på loginsiden
Slack Webhook URL,Slack Webhook URL
Report cannot be set for Single types,Rapporten kan ikke indstilles til Enkeltyper
PDF Page Size,PDF-sidestørrelse
City,by
Certificate,Certifikat
This will permanently remove your data.,Dette vil permanent fjerne dine data.
warning-sign,advarselsskilt
Entity Name,Entity Name
align-right,justere højre
Last Updated On,Sidst opdateret den
Action,Handling
Client key is required,Klientnøgle er påkrævet
Notifications,underretninger
mm/dd/yyyy,mm / dd / yyyy
Custom Report,Brugerdefineret rapport
Options required for Link or Table type field {0} in row {1},Valgmuligheder der kræves for Link eller Tabel type felt {0} i række {1}
info-sign,info-skilt
Chart Type,Diagramtype
Add a tag ...,Tilføj et tag ...
ap-northeast-2,ap-nordøst-2
Setup Notifications based on various criteria.,Opsætningsmeddelelser baseret på forskellige kriterier.
Standard Reports,Standardrapporter
"Repeats like ""aaa"" are easy to guess",Gentagelser som &quot;aaa&quot; er nemme at gætte
e.g. pop.gmail.com / imap.gmail.com,fx pop.gmail.com / imap.gmail.com
'Recipients' not specified,&#39;Modtagere&#39; er ikke angivet
"On {0}, {1} wrote:",På {0} skrev {1}:
{0} are currently viewing this document,{0} kigger i øjeblikket på dette dokument
Contact,Kontakt
LDAP Username Field,LDAP brugernavn felt
Options {0} must be the same as doctype name {1} for the field {2},Valg {0} skal være det samme som doktypenavnet {1} for feltet {2}
"{0} field cannot be set as unique in {1}, as there are non-unique existing values","Feltet {0} kan ikke angives som unikt i {1}, da der findes ikke-unikke eksisterende værdier"
Social Logins,Sociale logins
Trash,Affald
Secret Key,Secret Key
Default Redirect URI,Standard omdirigerings-URI
Adds a custom field to a DocType,Tilføjer et brugerdefineret felt til en DocType
Path to private Key File,Sti til privat nøglefil
Download,Hent
You are not permitted to view the newsletter.,Du har ikke lov til at se nyhedsbrevet.
Add User Permissions,Tilføj bruger tilladelser
Go to this URL after completing the form (only for Guest users),Gå til denne webadresse efter at have udfyldt formularen (kun for gæstebrugere)
Select Column,Vælg kolonne
Every day events should finish on the same day.,Hvert dag skal arrangementerne afslutte samme dag.
High,Høj
"Don't know, ask 'help'","Ved ikke, spørg &#39;hjælp&#39;"
Invite as User,Inviter som bruger
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.","Din forespørgsel er blevet modtaget. Vi svarer snart. Hvis du har yderligere oplysninger, bedes du svare på denne mail."
Workflow Transition,Overgang af arbejdsgang
"Dear System Manager,","Kære System Manager,"
Invalid Email Account,Ugyldig e-mail-konto
Cannot change state of Cancelled Document. Transition row {0},Kan ikke ændre tilstanden Annulleret dokument. Overgangsrække {0}
Highlight,Fremhæv
Resume Sending,Genoptag afsendelse
Suspend Sending,Suspend Sending
Search,Søg
Pending Verification,Afventer bekræftelse
Doctypes,doctypes
Send Read Receipt,Send læse kvittering
Filters JSON,Filtre JSON
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.
<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook","URI&#39;er til modtagelse af autorisationskode, når brugeren tillader adgang, samt svigt svar. Typisk er et REST-endepunkt eksponeret af Client App. <br> fx http: //hostname//api/method/frappe.www.login.login_via_facebook"
Banner HTML,Banner HTML
Seems Publishable Key or Secret Key is wrong !!!,Synes Publishable Key eller Secret Key er forkert !!!
IP Address,IP-adresse
Email Sent?,Email sendt?
Workflow State not set,Workflow State ikke angivet
Delivery Status,Forsendelses status
Use IMAP,Brug IMAP
Based On,Baseret på
Only Allow Edit For,Tillad kun redigering til
Sales Manager,Salgschef
Submit {0} documents?,Indsend {0} dokumenter?
Images,Billeder
"Filtered by ""{0}""",Filtreret med &quot;{0}&quot;
Hide Copy,Skjul kopi
Friday,Fredag
User,Bruger
Monthly,Månedlige
Filter Values,Filtrer værdier
LDAP Server Url,LDAP Server Url
Destination ID,Destinations-id
Fieldname not set for Custom Field,Feltnavn er ikke angivet til Brugerdefineret felt
e.g. replies@yourcomany.com. All replies will come to this inbox.,f.eks. svar@yourcomany.com. Alle svar kommer til denne indbakke.
Standard Print Style cannot be changed. Please duplicate to edit.,Standard Print Style kan ikke ændres. Du skal duplikere for at redigere.
Title Field,Titel Field
Could not connect to outgoing email server,Kunne ikke oprette forbindelse til udgående e-mail-server
File URL,Filadresse
Likes,Kan lide
You need to be logged in and have System Manager Role to be able to access backups.,Du skal være logget ind og have System Manager Role for at kunne få adgang til sikkerhedskopier.
First Level,Første niveau
Short Name,Kort navn
Permission Rules,Tilladelsesregler
Row No,Række nr
Email Group Member,E-mail-gruppemedlem
Cannot {0} {1},Kan ikke {0} {1}
Please select DocType first,Vælg venligst DocType først
Spam,Spam
Google Services,Google Services
Save,Gemme
Website Sidebar,Sidebjælke på webstedet
No permission for {0},Ingen tilladelse til {0}
Your payment has been successfully registered.,Din betaling er blevet registreret.
Import Zip,Import Zip
Gender,Køn
thumbs-down,tommelfingeren nedad
SEO,SEO
Queue should be one of {0},Kø skal være en af {0}
Cannot set Notification on Document Type {0},Kan ikke indstille Notification on Document Type {0}
Adding System Manager to this User as there must be atleast one System Manager,"Tilføjelse af systemadministrator til denne bruger, da der skal være mindst en systemadministrator"
Welcome email sent,Velkommen email sendt
Chaining Hash,Chaining Hash
Maintenance Manager,Maintenance Manager
show,at vise
Share URL,Del webadresse
Set the display label for the field,Indstil displayetiketten for feltet
Unsupported File Format,Ikke-understøttet filformat
Two Factor Authentication,To faktor godkendelse
Specify the value of the field,Angiv værdien af feltet
Frappe Framework,Frappe Framework
Commented on {0}: {1},Kommenterede {0}: {1}
Set Value,Indstil værdi
Show all Versions,Vis alle versioner
Submit,Indsend
