Connector Type,Тип на конектор
Password reset instructions have been sent to your email,Инструкциите за ресетирање на лозинка се испратени на вашата e-mail адреса
Not Permitted,Не е дозволено
Enable Comments,Овозможи коментари
Custom Format,Прилагоден формат
"CC, BCC & Email Template","CC, BCC &amp; Email Template"
Click on the link below to download your data,Кликнете на линкот подолу за да ги преземете вашите податоци
headphones,слушалки
Not Allowed,Не е дозволено
Hide Standard Menu,Сокриј го стандардното мени
Sign Up,Регистрирај се
Header HTML set from attachment {0},Насловот HTML е поставен од прилог {0}
Dashboard Name,Име на контролната табла
Skip rows with errors,Прескокнете ги редовите со грешки
Please enter Client Secret before social login is enabled,Ве молиме внесете тајната на клиентот пред да биде овозможено социјалното најавување
This goes above the slideshow.,Ова оди над слајдшоуто.
Row #{0}:,Ред # {0}:
Older backups will be automatically deleted,Постарите резервни копии автоматски ќе бидат избришани
Browser not supported,Прелистувачот не е поддржан
Email Address,И-мејл адреса
Role,Улога
Unhandled Email,Неподмислена е-пошта
To Date Field,Да полето за датум
Sync,Синхронизација
Select File Type,Изберете Тип на датотека
No Preview Available,Нема достапен преглед
Message Count,Број на пораки
for the,за
eu-north-1,еу-север-1
&gt; {0} year(s) ago,&gt; {0} година (а)
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: Само едно правило е дозволено со иста Улога, Ниво и {1}"
You are not allowed to update this Web Form Document,Не ви е дозволено да го ажурирате овој веб-образец за документи
Maximum Attachment Limit for this record reached.,Достигнато е максимално ограничување на прилогот за овој запис.
Please make sure the Reference Communication Docs are not circularly linked.,Ве молиме проверете дали Референтните Документи за комуникација не се кружно поврзани.
Allow in Quick Entry,Дозволи во брз внес
Locals,Локални
To,До
values separated by commas,вредности одделени со запирки
Slack Channel,Слак канал
Invalid column,Неважечка колона
Has Domain,Има домен
Y Axis Fields,Y оска полиња
S3 Backup complete!,S3 Бекап заврши!
Kanban,Kanban
Is Standard,Е стандард
Edit,Уредување
Invalid Login. Try again.,Невалиден најава. Обиди се повторно.
Attachment,Прилог
Reference Document Type,Тип на референтен документ
Loading,Вчитување
Invalid,Невалиден
"HTML Header, Robots and Redirects","HTML заглавие, роботи и пренасочувања"
Invalid Search Field {0},Невалидно поле за пребарување {0}
There is an error in your Address Template {0},Во вашата Образец за адреси постои грешка {0}
Filter Name,Име на филтерот
Slideshow,Слајдшоу
A new document {0} has been shared by with you {1}.,Нов документ {0} е споделен со вас {1}.
"If disabled, this role will be removed from all users.","Ако е оневозможено, оваа улога ќе биде отстранета од сите корисници."
Please select a valid csv file with data,Изберете валидна csv датотека со податоци
Default theme is set in {0},Стандардната тема е поставена во {0}
There is no data to be exported,Нема податоци за извоз
Exception Type,Тип на исклучок
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},Не може да се избрише или откаже бидејќи {0} {1} е поврзан со {2} {3} {4}
OTP secret can only be reset by the Administrator.,ОТП тајната може да се ресетира само од администраторот.
Page Break,Страница пауза
Website Script,Веб-сценарио
Subscription Notification,Известување за претплата
Quick Entry,Брз влез
Lead Conversion Time,Водечко време за конверзија
Assign Condition,Доделете го условот
Revoke,Откажи
Blogger,Блогер
Value missing for,Вредност недостасува
Menu,Мени
Date Format,Формат на датум
Login,Логирај Се
Count,Грофот
Set Property After Alert,Постави својство по сигнализација
Thank you,Ви благодарам
Slack Webhooks for internal integration,Слак Webhooks за внатрешна интеграција
Import Data,Увези податоци
Office 365,Office 365
ID,ИД
Review Level,Ниво на преглед
"Encryption key is invalid, Please check site_config.json","Копчето за шифрирање е невалидно, Ве молиме проверете site_config.json"
User Defaults,User Defaults
Log of error during requests.,Пријавете грешка за време на барањата.
Report Hide,Пријави Скриј
DefaultValue,DefaultValue
Number Format,Формат на броеви
Style,Стил
Submit after importing,Испрати по увоз
LDAP Security,LDAP безбедност
Login to comment,Влези за коментар
Awaiting Password,Чекајќи ја лозинката
Password cannot be more than 100 characters long,Лозинката не може да биде долга повеќе од 100 знаци
Successfully Done,Успешно завршено
{0} List,{0} Листа
Appreciate,Цени
New {0} (Ctrl+B),Ново {0} (Ctrl + B)
Is Primary Contact,Е примарен контакт
Raw Commands,Raw команди
Stylesheets for Print Formats,Стилови за формати за печатење
Property Setter,Имотот сетер
Show Line Breaks after Sections,Покажи ја линиската решетка после секциите
API Username,Корисничко име на API
Public Key,Јавен клуч
Email To,Е-пошта до
Reopen,Повторно отвори
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Поле кое ја претставува работната состојба на трансакцијата (ако полето не е присутно, ќе се креира ново скриено прилагодено поле)"
Attachment Removed,Прилогот е отстранет
Breadcrumbs,Трошки од леб
Show Weekends,Прикажи викенди
Page {0} of {1},Страница {0} на {1}
Time,Време
Always use Account's Name as Sender's Name,Секогаш користете го името на сметката како име на испраќачот
Saturday,Сабота
"Mandatory fields required in table {0}, Row {1}","Задолжителни полиња се потребни во табелата {0}, ред {1}"
Build Report,Изградба на извештај
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,Изгледа дека нешто не е во ред со конфигурацијата на порталот за исплата на овој сајт. Не е направено никакво плаќање.
Send Unsubscribe Link,Испрати претплата за превртување
Cannot edit standard fields,Не може да се уреди стандардните полиња
Upcoming Events for Today,Претстојни настани за денес
Attach file for Import,Прикачи датотека за Увоз
Name of the new Print Format,Име на новиот формат за печатење
Please ask your administrator to verify your sign-up,Ве молиме прашајте го администраторот да го потврди вашето пријавување
Type something in the search box to search,Внесете нешто во полето за пребарување за пребарување
Next Actions HTML,Следни акции HTML
Sum,Сума
Don't Override Status,Не преоѓај статус
Is Child Table,Е детска табела
Custom HTML,Прилагоден HTML
{0} must be after {1},{0} мора да биде по {1}
Half-Yearly,Половина години
Add a column,Додај колона
Script URL,URL на сценариото
Errors in Background Events,Грешки во позадина настани
Find {0} in {1},Најдете {0} во {1}
Use SSL,Користете SSL
In Standard Filter,Во стандарден филтер
Total Pages,Вкупно страници
{0}: Field '{1}' cannot be set as Unique as it has non-unique values,{0}: Полето &quot;{1}&quot; не може да се постави како Единствено бидејќи има не-уникатни вредности
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.","Ако е овозможено, корисниците ќе бидат известени секојпат кога ќе се најават. Ако не е овозможено, корисниците ќе бидат известени само еднаш."
Last Message,Последна порака
Next Sync Token,Следен синхронизирај
No {0} permission,Нема {0} дозвола
Reference DocName,Референтен DocName
Print Width,Ширина на печатење
No further records,Нема понатамошни записи
Mrs,Госпоѓица
Add Attachment,Додај прилог
Smallest Currency Fraction Value,Најмала вредност на валутната фракција
Please attach a file first.,Прво приложете датотека.
Email Login ID,ИД за најава на е-пошта
Revoked,Отповика
Active Domains,Активни домени
Automation,Автоматизација
Unzipping files...,Отповикување на датотеки ...
Search for '{0}',Пребарај за &#39;{0}&#39;
Something went wrong,Нешто тргна наопаку
Please save before attaching.,Те молам снимете пред да додадете.
Table HTML,Табела HTML
hub,центар
Standard,Стандарден
Add A New Rule,Додај ново правило
Settings for the About Us Page,Подесувања за страницата За нас
Fax,Факс
{0} Chart,{0} Табела
Ends On,Завршува на
Provider,Провајдер
Unable to send emails at this time,Не можам да испраќам пораки во моментов
You are not allowed to send emails related to this document,Не смеете да испраќате пораки поврзани со овој документ
Print Hide If No Value,Печати за печатење Ако нема вредност
Log Details,Детали за дневникот
Format,Формат
You gained some energy points,Добивте некои енергетски поени
Facebook,Фејсбук
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","За помош, види <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">API на клиентот скрипта и примери</a>"
Chat Profile,Профил за разговор
Attachment Limit (MB),Ограничување на прилогот (MB)
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","Освен системскиот менаџер, улогите со Set Rights Permissions може да поставуваат дозволи за други корисници за тој тип на документ."
Toggle Sidebar,Вклучи ја лентата
The First User: You,Првиот корисник: Вие
Column <b>{0}</b> already exist.,Колоната <b>{0}</b> веќе постои.
Reset to defaults,Ресетирај на стандардни вредности
Assign To Users,Доделите корисници
wrench,клуч
Last Active,Последна активност
Verification code has been sent to your registered email address.,Код за верификација е испратен на вашата регистрирана е-адреса.
Grant Type,Тип на грант
Same file has already been attached to the record,Истата датотека веќе е прикачена на записот
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'","Едноставна изјава за Python, Пример: статус == &#39;Отвори&#39; и напишете == &#39;Грешка&#39;"
Processing...,Обработка ...
Report:,Извештај:
Slack Webhook Error,Грешка при слаба веб-машина
Published On,Објавено на
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4> Стандардна дефиниција </h4><p> Користи <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> и сите полиња на адреса (вклучувајќи ги и прилагодените полиња, доколку ги има) ќе бидат достапни </p><pre> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code> </pre>"
More articles on {0},Повеќе статии на {0}
Assignment Rules,Правила за доделување
Allow Login using Mobile Number,Дозволи најавување со мобилен број
{0} minutes ago,{0} минути пред
Tree view not available for {0},Не е достапно дрво за {0}
List a document type,Наведете тип на документ
Indicator,Индикатор
Sort Field,Поле за сортирање
Send document web view link in email,Испратете линк во врска со веб-страница за документи во е-пошта
Settings,Подесувања
Energy Point Settings,Поставки за енергетски точки
lightblue,светло сино
Comment Should be atleast 10 characters,Коментар треба да биде најмалку 10 карактери
Add Subscribers,Додај претплатници
Processing,Обработка
Response,Одговор
Page HTML,HTML страница
In points. Default is 9.,Во поени. Стандардно е 9.
Auto Email Report,Автоматски извештај за е-пошта
Query must be a SELECT,Барањето мора да биде SELECT
Not allowed from this IP Address,Не е дозволено од оваа IP адреса
Error Code: {0},Код за грешка: {0}
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}","{0}: &#39;{1}&#39; ({3}) ќе се скрати, бидејќи максималните знаци се дозволени {2}"
Create a new {0},Креирај нова {0}
volume-down,волумен-надолу
fire,оган
No Results,Нема резултати
{0} records deleted,{0} евиденција е избришана
Something went wrong while generating dropbox access token. Please check error log for more details.,Нешто не е во ред додека генерира токен за пристап до dropbox. Ве молиме проверете го дневникот за грешки за повеќе детали.
Descendants Of,Потомци на
Hide details,Сокриј детали
Font Styles,Стилови на фонт
Your subscription will expire on {0}.,Вашата претплата ќе истече на {0}.
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},Проверката за автентикација не успеа при примањето е-пошта од сметката за е-пошта {0}. Порака од серверот: {1}
Stats based on last week's performance (from {0} to {1}),Статистика врз основа на перформансите минатата недела (од {0} до {1})
Title Prefix,Наслов префикс
Authentication Apps you can use are: ,Апликациите за автентикација кои можете да ги користите се:
Max 500 records at a time,Максимум 500 записи во исто време
Maximum {0} rows allowed,Максимум {0} редови дозволени
Bulk Rename,Масовно преименување
Unassign Condition,Неопределено состојба
We have received a request from you to download your {0} data associated with: {1},Добивме барање од вас да ги преземете вашите {0} податоци поврзани со: {1}
Successful: {0} to {1},Успешно: {0} до {1}
Success! You are good to go 👍,Успех! Добро е да одиш 👍
DocType must be Submittable for the selected Doc Event,DocType мора да биде поднесено за избраниот Док-настан
Send After,Испрати По
Conversation Tones,Тонови на разговор
Tax Category,Категорија на данок
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},JavaScript формат: frappe.query_reports [&#39;REPORTNAME&#39;] = {}
{0}: Cannot set Import without Create,{0}: Не може да се постави Увоз без Креирај
Use Sandbox,Користете Sandbox
This user cannot request to download data,Овој корисник не може да побара да преземе податоци
Global Unsubscribe,Глобална претплата
GitHub Sync ID,GitHub Sync ID
DocType can only be renamed by Administrator,DocType може да биде преименуван само од Администратор
Datetime,Датум време
Website Route Meta,Веб-страница Пат Мета
Something went wrong during the token generation. Please request again an authorization code.,Нешто не беше во ред за време на генерацијата. Побарајте повторно код за авторизација.
Point Allocation Periodicity,Периодичност на алокација на точки
Click here to check your usage or upgrade to a higher plan,Кликни тука за да ја проверите вашата употреба или да ја надградите на повисок план
Confirm Deletion of Data,Потврди бришење на податоци
Unsubscribe Method,Метод за неоткривање
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,"Овие вредности автоматски се ажурираат во трансакциите, а исто така ќе биде корисно да се ограничат дозволите за овој корисник за трансакции кои ги содржат овие вредности."
Report Filters,Филтри за извештај
Select Columns,Изберете колони
Participants,Учесници
Amended From,Изменета од
Your information has been submitted,Вашите податоци се доставени
Help Category,Категорија на помош
1 month,1 месец
Select an existing format to edit or start a new format.,Изберете постоечки формат за уредување или започнување на нов формат.
Embed image slideshows in website pages.,Вметнете слајд шоу на слики на страници на веб страната.
Mark as Spam,Обележи како спам
Data Migration Plan,План за миграција на податоци
Email Queue Recipient,Примачот на редоследот на е-пошта
Do not allow user to change after set the first time,Не дозволувајте корисникот да се промени по поставувањето за прв пат
Patch,Patch
Send alert if date matches this field's value,Испрати предупредување ако датумот се совпаѓа со вредноста на ова поле
Reference: {0} {1},Суд: {0} {1}
Default Print Format,Стандарден формат за печатење
Load Balancing,Балансирање на вчитување
Postprocess Method,Метод за постпроцесот
zoom-out,зумирање
Role Permission for Page and Report,Улога за страница и извештај за улоги
Header Image,Заглавие на сликата
QZ Tray Connection Active!,QZ фиока врска Активен!
Misc,Различни
You,Вие
star,ѕвезда
Title field must be a valid fieldname,Полето за наслов мора да биде валидно поле
Switch To Desk,Префрлете се на биро
End Date Field,Поле за крај на датум
Show as Grid,Прикажи како мрежа
Receipient,Примач
Content (Markdown),Содржина (Markdown)
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","Додајте како комуникација против овој DocType (мора да има полиња, &quot;Статус&quot;, &quot;Предмет&quot;)"
Field Type,Тип на поле
Can't identify open {0}. Try something else.,Не може да се идентификува отворен {0}. Пробајте нешто друго.
or,или
Your connection request to Google Calendar was successfully accepted,Барањето за поврзување со Google Календар беше успешно прифатено
Last Login,Последна најава
Google Apps Script,Скрипт на Google Apps
Common names and surnames are easy to guess.,Вообичаени имиња и презимиња се лесно да се погоди.
Rgt,Rgt
Print with letterhead,Печати со меморандум
New value to be set,Нова вредност што треба да се постави
Text Content,Содржина на текст
{0} Modules,{0} Модули
Report Builder,Градител на извештаи
download-alt,преземи-alt
{0}: Cannot set Assign Amend if not Submittable,{0}: Не може да се постави Доделете Измени ако не е поднесено
Field to Track,Поле за следење
Generate Keys,Генерирање клучеви
Unshared,Unelect
Saved,Зачувани
OAuth Client,Клиент на OAuth
Disable Standard Email Footer,Оневозможи стандардно поштенско сандаче
Print Format {0} is disabled,Формат за печатење {0} е оневозможен
Queued for backup. You will receive an email with the download link,Наведени за резерви. Ќе добиете е-пошта со линкот за преземање
Third Party Apps,Апликации од трети лица
Geo,Гео
View All,Види се
Milestone,Пресвртница
Activity log of all users.,Дневник на активности на сите корисници.
Query Report,Извештај за пребарување
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)","Активирање на валидни методи, како што се &quot;before_insert&quot;, &quot;after_update&quot; итн. (Ќе зависи од избраниот DocType)"
File Manager,Менаџер на датотеки
Cannot change docstatus from 0 to 2,Не може да се промени docstatus од 0 до 2
No permission to {0} {1} {2},Нема дозвола за {0} {1} {2}
Reason,Причина
Open a module or tool,Отворете модул или алатка
Disable Customer Signup link in Login page,Оневозможете го линкот за пријавување на клиенти во страната за логирање
Slack Webhook URL,URL на слаба веб-страница
Report cannot be set for Single types,Извештајот не може да се постави за единични типови
PDF Page Size,Големина на PDF страница
City,Град
Certificate,Сертификат
This will permanently remove your data.,Ова трајно ќе ги отстрани вашите податоци.
warning-sign,знак за предупредување
Entity Name,Име на субјектот
align-right,усогласување-десно
Last Updated On,Последно освежено на
Action,Акција
Client key is required,Потребен е клучен клуч
Notifications,Известувања
mm/dd/yyyy,mm / dd / yyyy
Custom Report,Прилагодено извештај
info-sign,инфо-знак
Chart Type,Тип на табела
Add a tag ...,Додајте ознака ...
ap-northeast-2,ap-северо-исток-2
Setup Notifications based on various criteria.,Известувања за подесување врз основа на различни критериуми.
Standard Reports,Стандардни извештаи
"Repeats like ""aaa"" are easy to guess",Повторувањата како &quot;aaa&quot; се лесно да се погоди
e.g. pop.gmail.com / imap.gmail.com,"на пример, pop.gmail.com / imap.gmail.com"
'Recipients' not specified,&#39;Непознати примачи&#39;
"On {0}, {1} wrote:","На {0}, {1} напиша:"
{0} are currently viewing this document,{0} во моментов го гледаат овој документ
Contact,Контакт
LDAP Username Field,Поле за корисничко име ЛДАП
"{0} field cannot be set as unique in {1}, as there are non-unique existing values","{0} полето не може да се постави како единствено во {1}, бидејќи постојат не-уникатни постоечки вредности"
Social Logins,Социјални најави
Trash,Ѓубре
Secret Key,Таен клуч
Default Redirect URI,Стандарден пренасочен URI
Adds a custom field to a DocType,Додава сопствено поле до DocType
Path to private Key File,Патека до приватна датотека со клучеви
Download,Преземи
You are not permitted to view the newsletter.,Не Ви е дозволено да го гледате билтенот.
Add User Permissions,Додај дозволи за корисници
Go to this URL after completing the form (only for Guest users),Одете до овој УРЛ по пополнувањето на формуларот (само за корисници на гости)
Select Column,Изберете колона
Every day events should finish on the same day.,Секој ден настаните треба да завршат истиот ден.
High,Високо
"Don't know, ask 'help'","Не знам, прашај &quot;помош&quot;"
Invite as User,Покани како корисник
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.","Вашето барање е примена. Наскоро ќе одговориме. Ако имате дополнителни информации, ве молиме да одговорите на оваа пошта."
Workflow Transition,Транзиција на работните процеси
"Dear System Manager,","Почитуван менаџер на системот,"
Invalid Email Account,Неважечка сметка за е-пошта
Cannot change state of Cancelled Document. Transition row {0},Не може да се промени состојбата на Откажаниот документ. Решавање на транзиција {0}
Highlight,Нагласи
Resume Sending,Продолжи со испраќање
Suspend Sending,Суспендирај Испраќање
Search,Барај
Pending Verification,Проверка на чекање
Doctypes,Доктипови
Send Read Receipt,Испрати Прием за читање
Filters JSON,Филтри JSON
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.
<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook","URIs за добивање код за овластување откако корисникот ќе дозволи пристап, како и одговори за неуспех. Обично крајната точка на изложувањето е изложена од страна на клиентската апликација. <br> на пр. http: //hostname//api/method/frappe.www.login.login_via_facebook"
Banner HTML,Банер HTML
Seems Publishable Key or Secret Key is wrong !!!,Изгледа објавен клуч или таен клуч не е во ред!
IP Address,IP адреса
Email Sent?,Испратена е-пошта?
Workflow State not set,Државата на работниот тек не е поставена
Delivery Status,Статус на достава
Use IMAP,Користете IMAP
Based On,Базирано на
Only Allow Edit For,Дозволи само уредување за
Sales Manager,Менаџер за продажба
Submit {0} documents?,Поднесете {0} документи?
Images,Слики
"Filtered by ""{0}""",Филтрирано од &quot;{0}&quot;
Hide Copy,Скриј копија
Friday,Петок
User,Корисник
Monthly,Месечно
Filter Values,Вредности на филтри
LDAP Server Url,URL на серверот LDAP
Destination ID,ID на дестинација
Fieldname not set for Custom Field,Fieldname не е поставен за прилагодено поле
e.g. replies@yourcomany.com. All replies will come to this inbox.,на пр. replies@yourcomany.com. Сите одговори ќе дојдат во ова поштенско сандаче.
Standard Print Style cannot be changed. Please duplicate to edit.,Стандардниот стил на печатење не може да се смени. Ве молиме дупликат за уредување.
Title Field,Поле за наслов
Could not connect to outgoing email server,Не можам да се поврзам со појдовниот сервер за е-пошта
File URL,URL на датотеката
Likes,Сака
You need to be logged in and have System Manager Role to be able to access backups.,Треба да бидете најавени и да имате улога на Управувач на системот за да може да пристапите до бекап.
First Level,Прво ниво
Short Name,Кратко име
Permission Rules,Правила за дозволи
Row No,Ред бр
Email Group Member,Член на групата за е-пошта
Cannot {0} {1},Не може {0} {1}
Please select DocType first,Ве молиме изберете FirstType
Spam,Спам
Google Services,Услуги на Google
Save,Зачувај
Website Sidebar,Странична лента на веб-страница
No permission for {0},Нема дозвола за {0}
Your payment has been successfully registered.,Вашето плаќање е успешно регистрирано.
Import Zip,Увези поштенски код
Gender,Пол
thumbs-down,палците надолу
SEO,SEO
Queue should be one of {0},Редицата треба да биде една од {0}
Cannot set Notification on Document Type {0},Не може да се постави известување за тип на документ {0}
Adding System Manager to this User as there must be atleast one System Manager,"Додавање на менаџер на системот на овој корисник, бидејќи мора да има барем еден менаџер на системот"
Welcome email sent,Испратена e-mail порака
Chaining Hash,Управување со хаш
Maintenance Manager,Менаџер за одржување
show,шоу
Share URL,Удели URL
Unsupported File Format,Неподдржан формат на датотека
Two Factor Authentication,Две фактори за автентикација
Frappe Framework,Frappe Framework
Commented on {0}: {1},Коментирани на {0}: {1}
Set Value,Постави вредност
Show all Versions,Прикажи ги сите верзии
Submit,Поднесете
This may get printed on multiple pages,Ова може да се испечати на повеќе страници
Get your globally recognized avatar from Gravatar.com,Добијте го глобално признатиот аватар од Gravatar.com
Client ID,ID на клиентот
Default Letter Head,Стандардна глава на глава
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Правила за тоа како државите се транзиции, како наредна состојба и на која улога му е дозволено да ја менуваат државата итн."
ESC,ЕСС
"States for workflow (e.g. Draft, Approved, Cancelled).","Држави за работниот тек (на пр. Нацрт, одобрено, откажано)."
Today,Денес
Notification,Известување
Show only errors,Прикажи само грешки
Review,Преглед
Rows Removed,Редови отстранети
Google Credentials,Google Credentials
Or login with,Или најавете се со
Record does not exist,Рекорд не постои
New Report name,Ново име на извештај
leaf,лист
Invalid Outgoing Mail Server or Port,Невалиден појдовни поштенски сервер или порта
Email Server,Email сервер
For,За
Recipient Unsubscribed,Примачот не е запишан
Download Data,Преземи податоци
Search or Create a New Chat,Пребарувај или создади нов разговор
Draft,Нацрт
Assignment Rule User,Кориснички Правило
Madam,госпоѓо
Custom Reports,Прилагодени извештаи
{0} cannot be set for Single types,{0} не може да се постави за единечни типови
Base URL,Основен URL
Web View,Веб преглед
"to be generated. If delayed, you will have to manually change the ""Repeat on Day of Month"" field
of this","да се генерира. Ако е одложено, ќе треба рачно да го промените полето &quot;Повторете на денот на месецот&quot; за ова"
Creating {0},Креирање {0}
List,Листа
th-large,th-large
{0}: Cannot set Assign Submit if not Submittable,{0}: Не може да се постави Додели поднеси ако не е поднесено
Not Linked to any record,Не е поврзано со ниеден запис
Content,содржина
Allow Self Approval,Дозволи автоматско одобрување
Page has expired!,Страната е истечена!
Created By,Направено од
Unread Notification Sent,Испратено непрочитано известување
Validity,Валидност
Leave blank for new records,Оставете празно за нови записи
Attached To Field,Приложено кон поле
Rename many items by uploading a .csv file.,Преименувајте многу елементи со поставување на. CSV датотека.
Optional: The alert will be sent if this expression is true,Факултативно: предупредувањето ќе биде испратено ако овој израз е точен
Backup job is already queued. You will receive an email with the download link,Работата со резервната е веќе поставена во ред. Ќе добиете е-пошта со линкот за преземање
SMS Parameter,Параметар на СМС
hand-right,рака-десно
Banner is above the Top Menu Bar.,Банерот е над горната лента со мени.
Invalid Password,невалидна лозинка
1 month ago,пред 1 месец
App Client ID,ID на клиентот на апликацијата
Currency,Валута
Banner,Банер
Document Type,Тип на документ
Folder name should not include '/' (slash),Името на папката не треба да вклучува &#39;/&#39; (коса црта)
Simultaneous Sessions,Истовремени сесии
Add a new section,Додај нов дел
Goal,Цел
CSS,CSS
"If a Role does not have access at Level 0, then higher levels are meaningless.","Ако Улогата нема пристап до ниво 0, тогаш повисоките нивоа се бесмислени."
Reference Type,Тип на референца
"Allowing DocType, DocType. Be careful!","Дозволувајќи DocType, DocType. Внимавај!"
Domain Settings,Подесувања на домен
Dynamic Report Filters,Динамички филтри за извештаи
Appreciation,Благодарност
Setup &gt; User,Setup&gt; User
{0} must be set first,{0} мора прво да се постави
Chat Room Name,Име на разговор
Res: {0},Res: {0}
Single Post (article).,Единствен пост (член).
Unzipped {0} files,Отпакувани {0} датотеки
Report Manager,Менаџер на извештаи
Link Title,Наслов на врската
Failed while amending subscription,Не успеа при промена на претплатата
Share {0} with,Споделете со {0} со
Amount,износ
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,Недостасува страната што ја барате. Ова може да биде затоа што е преместено или постои грешка во врската.
Medium,Средно
Send only if there is any data,Испрати само ако има какви било податоци
Continue,Продолжи
LDAP Settings,Поставки на LDAP
Webhook Request,Барање за webhook
Assignment Completed,Довршената задача
Relink,Релинк
Please save the document before assignment,Ве молиме снимете го документот пред задачата
Meeting,Средба
DocType or Field,DocType или поле
Reverse Icon Color,Обратна икона во боја
Stores the JSON of last known versions of various installed apps. It is used to show release notes.,Ги зачувува JSON на последните познати верзии на различни инсталирани апликации. Се користи за прикажување на белешки за издавање.
Enable Scheduled Jobs,Овозможи закажани работни места
Invalid Mail Server. Please rectify and try again.,Невалиден Mail Server. Ве молиме поправете и обидете се повторно.
More content for the bottom of the page.,Повеќе содржина за дното на страницата.
You are not allowed to delete a standard Website Theme,Не Ви е дозволено да избришете стандардна тема на вебсајт
Please attach an image file to set HTML,Ве молиме приложете слика со слика за да поставите HTML
Not Equals,Не е еднакво
Document Status,Статус на документ
Seen By Table,Гледано по маса
"Email ID must be unique, Email Account already exists \
				for {0}","Е-поштата мора да биде уникатна, Е-пошта веќе постои \ for {0}"
{0} available out of {1},{0} достапни од {1}
Select Document Type or Role to start.,Изберете тип на документ или Улога за почеток.
us-west-2,нас-запад-2
Is Single,Е еден
Create a New Format,Креирај нов формат
Endpoint URL,URL на крајната точка
Google,Google
Department,оддел
Please add a subject to your email,Ве молиме додадете тема на вашата е-пошта
exclamation-sign,извичник-знак
Average,Просечно
ok-sign,ОК-знак
Red,Црвено
"If checked, all other workflows become inactive.","Ако е означено, сите други работни процеси стануваат неактивни."
New Email Account,Нова е-сметка
Assign To,Доделете го
List Filter,Филтер со листа
Chart,Табела
Cannot Remove,Не може да се отстрани
Submit this document to confirm,Поднесете го овој документ за да потврдите
{0} already exists. Select another name,{0} веќе постои. Изберете друго име
You have unsaved changes in this form. Please save before you continue.,Имате незачувани промени во оваа форма. Ве молиме зачувајте пред да продолжите.
Action Failed,Дејството не успеа
Actions,Акции
Applicable Document Types,Применливи типови на документи
circle-arrow-right,круг-стрелка-десно
Searching,Пребарување
tint,нијанса
{0} months ago,{0} месеци
Use socketio to upload file,Користете socketio за да испратите датотека
Password,Лозинка
Skype,Skype
Open your authentication app on your mobile phone.,Отворете ја апликацијата за автентикација на вашиот мобилен телефон.
Customized HTML Templates for printing transactions.,Приспособени HTML шаблони за печатење трансакции.
End Date cannot be before Start Date!,Крајниот датум не може да биде пред датата на започнување!
In Preview,Во Преглед
and uncheck Disabled in the Auto Repeat document,и одштиклирајте Оневозможено во документот Auto Repeat
