Connector Type,Typ konektora
Auto Repeat,Automatické opakovanie
Invalid Credentials,Neplatné poverenia
Subsidiary,dcérsky
Please select the Document Type.,Vyberte typ dokumentu.
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","Neznáme kódovanie súborov. Skúšané utf-8, windows-1250, windows-1252."
The process for deletion of {0} data associated with {1} has been initiated.,Bol zahájený proces na vymazanie {0} dát spojených s {1}.
Settings for About Us Page.,Nastavenia pre stránku O nás.
Website Manager,Správca webových stránok
Backup Frequency,Záložná frekvencia
Group Name,Názov skupiny
Unsubscribe Param,Odhlásiť Param
Sort Order,Poradie zoradenia
Card Details,Podrobnosti karty
Idx,idx
Confirm Your Email,Potvrdte svoj email
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).","Akonáhle to nastavíte, používatelia budú mať prístup iba k dokumentom (napr. Blog Post), kde odkaz existuje (napr. Blogger)."
Rejected,odmietnuté
Admin,admin
Slideshow Items,Položky prezentácie
Desk Access,Prístup k počítačom
Footer,zápätie
System User,Používateľ systému
Return to the Verification screen and enter the code displayed by your authentication app,Vráťte sa na obrazovku Overovanie a zadajte kód zobrazený v aplikácii na overenie pravosti
Some of the features might not work in your browser. Please update your browser to the latest version.,Niektoré funkcie nemusia vo vašom prehliadači fungovať. Aktualizujte svoj prehliadač na najnovšiu verziu.
User Permissions,Povolenia používateľa
{0} created this {1},{0} vytvoril {1}
Number of Backups,Počet záloh
Last Known Versions,Posledné známe verzie
Current,prúd
New {0},Nové {0}
Add custom field Auto Repeat in the doctype {0},Pridať vlastné pole Automatické opakovanie v doctype {0}
{0} appreciated your work on {1} with {2} points,{0} ocenilo vašu prácu na {1} s {2} bodmi
Zero means send records updated at anytime,Zero znamená kedykoľvek odoslať aktualizované záznamy
Value cannot be changed for {0},Hodnota nemôže byť zmenená pre {0}
Force User to Reset Password,Vynútiť obnovenie hesla používateľom
Report Builder reports are managed directly by the report builder. Nothing to do.,Správy nástroja Report Builder spravuje priamo tvorca prehľadov. Nič na práci.
Edit Filter,Upraviť filter
Auth URL Data,Údaje o adrese URL
Has Attachments,Má prílohy
Comment Type,Typ komentára
Download Backups,Stiahnuť Zálohy
Reference DocType and Reference Name are required,Vyžadujú sa referenčné dokumenty a referenčný názov
Email not sent to {0} (unsubscribed / disabled),E-mail nebol odoslaný na adresu {0} (odhlásený / zakázaný)
chevron-up,krokva-up
Submit on Creation,Odoslať na Stvorenie
Only Send Records Updated in Last X Hours,Odosielať záznamy aktualizované iba v posledných X hodinách
Column Name cannot be empty,Názov stĺpca nemôže byť prázdny
Started,zahájená
Invalid fieldname '{0}' in autoname,Neplatné pole &#39;{0}&#39; v autoname
Workflow State transition not allowed from {0} to {1},Prechod stavu pracovného toku nie je povolený z hodnoty {0} na hodnotu {1}
Archived,archivované
Only Administrator can save a standard report. Please rename and save.,Štandardný prehľad môže uložiť iba administrátor. Premenujte a uložte.
Postal,poštové
Page Length,Dĺžka stránky
Relink Communication,Relink Communication
Master,majster
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account. ,Používa e-mailovú adresu uvedenú v tomto účte ako odosielateľa pre všetky e-maily odoslané prostredníctvom tohto účtu.
Password reset instructions have been sent to your email,Pokyny na obnovenie hesla boli odoslané na váš e-mail
Not Permitted,Nepovolené
Enable Comments,Povoliť komentáre
Custom Format,Vlastný formát
"CC, BCC & Email Template","CC, BCC a e-mailová šablóna"
Click on the link below to download your data,"Ak chcete stiahnuť svoje údaje, kliknite na odkaz nižšie"
headphones,slúchadlá
Not Allowed,Nepovolené
Hide Standard Menu,Skryť štandardné menu
Sign Up,Prihlásiť Se
Header HTML set from attachment {0},Záhlavie HTML nastavené z prílohy {0}
Dashboard Name,Názov riadiaceho panela
Skip rows with errors,Preskočiť riadky s chybami
Please enter Client Secret before social login is enabled,Pred aktivovaním sociálneho prihlásenia zadajte Client Secret
This goes above the slideshow.,To ide nad prezentáciu.
Row #{0}:,Riadok # {0}:
Older backups will be automatically deleted,Staršie zálohy sa automaticky odstránia
Browser not supported,Prehliadač nie je podporovaný
Email Address,Emailová adresa
Role,úloha
Unhandled Email,Neošetrený e-mail
To Date Field,Do poľa Dátum
Sync,sync
Select File Type,Vyberte Typ súboru
No Preview Available,Žiaden náhľad k dispozícii
Message Count,Počet správ
for the,pre
eu-north-1,eu-sever-1
&gt; {0} year(s) ago,&gt; {0} rokmi
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: Iba jedno pravidlo je povolené s rovnakou úlohou, úrovňou a {1}"
You are not allowed to update this Web Form Document,Nie je dovolené aktualizovať tento dokument webového formulára
Maximum Attachment Limit for this record reached.,Dosiahol sa maximálny limit prílohy pre tento záznam.
Please make sure the Reference Communication Docs are not circularly linked.,"Uistite sa, že referenčné komunikačné dokumenty nie sú kruhovo prepojené."
Allow in Quick Entry,Povoliť v rýchlom zadaní
Locals,miestna
To,na
values separated by commas,hodnoty oddelené čiarkami
Slack Channel,Slack Channel
Invalid column,Neplatný stĺpec
Has Domain,Má doménu
Y Axis Fields,Polia osi Y
S3 Backup complete!,S3 Zálohovanie dokončené!
Kanban,Kanban
Is Standard,Je štandard
Edit,editovať
Invalid Login. Try again.,Nesprávne prihlásenie. Skúste to znova.
Attachment,pripevnenie
Reference Document Type,Typ referenčného dokumentu
Loading,Načítava
Invalid,neplatný
"HTML Header, Robots and Redirects","HTML hlavičky, roboty a presmerovania"
Invalid Search Field {0},Neplatné pole vyhľadávania {0}
There is an error in your Address Template {0},Vo vašej šablóne adresy {0} sa vyskytla chyba
Filter Name,Názov filtra
Slideshow,Slideshow
A new document {0} has been shared by with you {1}.,Nový dokument {0} bol zdieľaný s vami {1}.
"If disabled, this role will be removed from all users.","Ak je táto funkcia zakázaná, táto úloha bude odstránená zo všetkých používateľov."
Please select a valid csv file with data,Vyberte platný súbor csv s údajmi
Default theme is set in {0},Predvolená téma je nastavená na hodnotu {0}
There is no data to be exported,Neexistujú žiadne údaje na export
Exception Type,Typ výnimky
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},"Nedá sa odstrániť ani zrušiť, pretože {0} {1} je prepojené s {2} {3} {4}"
OTP secret can only be reset by the Administrator.,Tajomstvo OTP môže resetovať iba administrátor.
Page Break,Zlom strany
Website Script,Skript webových stránok
Subscription Notification,Oznámenie o prihlásení na odber
Quick Entry,Rýchly vstup
Lead Conversion Time,Doba konverzie elektródy
Assign Condition,Priradiť podmienku
Revoke,odvolať
Blogger,Blogger
Value missing for,Chýba hodnota pre
Menu,Ponuka
Date Format,Formát dátumu
Login,Prihlásiť sa
Count,počítať
Set Property After Alert,Nastaviť vlastnosť po upozornení
Thank you,Ďakujem
Slack Webhooks for internal integration,Slack Webhooks pre vnútornú integráciu
Import Data,Importovať údaje
Office 365,Úrad 365
ID,ID
Review Level,Úroveň kontroly
"Encryption key is invalid, Please check site_config.json",Šifrovací kľúč je neplatný. Skontrolujte stránku site_config.json
User Defaults,Predvolené nastavenia používateľa
Log of error during requests.,Záznam chýb počas požiadaviek.
Report Hide,Správa Skryť
DefaultValue,Predvolená hodnota
Number Format,Formát čísla
Style,Štýl
Submit after importing,Odoslať po importovaní
LDAP Security,Zabezpečenie LDAP
Login to comment,Prihláste sa pre komentovanie
Awaiting Password,Čaká na heslo
Password cannot be more than 100 characters long,Heslo nesmie byť dlhšie ako 100 znakov
Successfully Done,Úspešne
{0} List,{0} Zoznam
Appreciate,oceniť
New {0} (Ctrl+B),Nové {0} (Ctrl + B)
Is Primary Contact,Je primárny kontakt
Raw Commands,Surové príkazy
Stylesheets for Print Formats,Štýly pre tlačové formáty
Property Setter,Nehnuteľnosť Setter
Show Line Breaks after Sections,Zobraziť prerušenia riadkov po sekciách
API Username,Používateľské meno rozhrania API
Public Key,Verejný kľúč
Email To,E-mail
Reopen,znovu otvoriť
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Pole, ktoré predstavuje stav pracovného postupu transakcie (ak pole nie je prítomné, vytvorí sa nové skryté vlastné pole)"
Attachment Removed,Odstránenie príslušenstva
Breadcrumbs,strúhanka
Show Weekends,Zobraziť víkendy
Page {0} of {1},Stránka {0} z {1}
Time,čas
Always use Account's Name as Sender's Name,Vždy používajte meno účtu ako meno odosielateľa
Saturday,sobota
"Mandatory fields required in table {0}, Row {1}","Povinné polia vyžadované v tabuľke {0}, riadok {1}"
Build Report,Správa o zostavení
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,"Zdá sa, že nie je v poriadku konfigurácia platobnej brány tejto stránky. Nebola vykonaná žiadna platba."
Send Unsubscribe Link,Odoslať odkaz na odhlásenie
Cannot edit standard fields,Štandardné polia nie je možné upraviť
Upcoming Events for Today,Nadchádzajúce udalosti pre Today
Attach file for Import,Pripojiť súbor pre import
Name of the new Print Format,Názov nového tlačového formátu
Please ask your administrator to verify your sign-up,Požiadajte svojho správcu o overenie registrácie
Type something in the search box to search,"Do vyhľadávacieho poľa napíšte niečo, čo chcete vyhľadať"
Next Actions HTML,Ďalšie akcie HTML
Sum,súčet
Don't Override Status,Neprepisujte stav
Is Child Table,Je tabuľka pre deti
Custom HTML,Vlastné HTML
{0} must be after {1},{0} musí byť po {1}
Half-Yearly,polročná
Add a column,Pridajte stĺpec
Script URL,Adresa URL skriptu
Errors in Background Events,Chyby v udalostiach na pozadí
Find {0} in {1},Nájsť {0} v {1}
Use SSL,Použite protokol SSL
In Standard Filter,V štandardnom filtri
Total Pages,Celkový počet stránok
{0}: Field '{1}' cannot be set as Unique as it has non-unique values,"{0}: Pole &#39;{1}&#39; nie je možné nastaviť ako jedinečné, pretože má jedinečné hodnoty"
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.","Ak je táto možnosť povolená, používatelia budú upozornení pri každom prihlásení. Ak to nie je povolené, používatelia budú upozornení iba raz."
Last Message,Posledná správa
Next Sync Token,Ďalší synk Token
No {0} permission,Nie {0} povolenie
Reference DocName,Odkaz DocName
Print Width,Šírka tlače
No further records,Žiadne ďalšie záznamy
Mrs,Pani
Add Attachment,Pridať prílohu
Smallest Currency Fraction Value,Najmenšia hodnota zlomku meny
Please attach a file first.,Najskôr pripojte súbor.
Email Login ID,E-mailové prihlasovacie ID
Revoked,odvolaná
Active Domains,Aktívne domény
Automation,automatizácia
Unzipping files...,Rozbalenie súborov ...
Search for '{0}',Hľadať &#39;{0}&#39;
Something went wrong,Niečo sa pokazilo
Please save before attaching.,Uložte si ho pred pripojením.
Table HTML,Tabuľka HTML
hub,húb
Standard,štandardné
Add A New Rule,Pridať nové pravidlo
Settings for the About Us Page,Nastavenia pre stránku O nás
Fax,fax
{0} Chart,{0} Graf
Ends On,Ukončuje sa
Provider,poskytovateľ
Unable to send emails at this time,Momentálne nie je možné odosielať e-maily
You are not allowed to send emails related to this document,Nemáte povolenie odosielať e-maily súvisiace s týmto dokumentom
Print Hide If No Value,Vytlačiť Skryť ak nie je hodnota
Log Details,Podrobnosti protokolu
Format,formát
You gained some energy points,Získali ste nejaké energetické body
Facebook,Facebook
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","Pomoc nájdete v téme <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">API skriptov klienta a príklady</a>"
Chat Profile,Profil chatu
Attachment Limit (MB),Limit prílohy (MB)
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",Okrem Správcu systému môžu roly s právom Nastaviť práva užívateľov nastaviť povolenia pre iných používateľov pre daný Typ dokumentu.
Toggle Sidebar,Prepnúť bočný panel
The First User: You,Prvý užívateľ: Vy
Column <b>{0}</b> already exist.,Stĺpec <b>{0}</b> už existuje.
Reset to defaults,Obnoviť predvolené hodnoty
Assign To Users,Priradiť používateľom
wrench,vyvrtnutie
Last Active,Posledná aktívna
Verification code has been sent to your registered email address.,Verifikačný kód bol odoslaný na vašu registrovanú e-mailovú adresu.
Grant Type,Typ grantu
Same file has already been attached to the record,Rovnaký súbor už bol pripojený k záznamu
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'","Jednoduchý výraz Python, príklad: status == &#39;Otvoriť&#39; a napísať == &#39;Chyba&#39;"
Processing...,Spracovanie ...
Report:,Správa:
Slack Webhook Error,Chyba Slack Webhook
Published On,Publikované dňa
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4> Predvolená šablóna </h4><p> Používa <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> a všetky polia adresy (vrátane vlastných polí, ak nejaké existujú) budú k dispozícii </p><pre> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code> </pre>"
More articles on {0},Ďalšie články o {0}
Assignment Rules,Pravidlá priradenia
Allow Login using Mobile Number,Povoliť prihlásenie pomocou mobilného čísla
{0} minutes ago,Pred {0} minútami
Tree view not available for {0},Zobrazenie stromu nie je k dispozícii pre {0}
List a document type,Uveďte typ dokumentu
Indicator,indikátor
Sort Field,Zoradiť pole
Send document web view link in email,Odoslať odkaz na zobrazenie webového dokumentu v e-maile
Settings,nastavenie
Energy Point Settings,Nastavenia energetického bodu
lightblue,svetlo modrá
Comment Should be atleast 10 characters,Komentár Má byť minimálne 10 znakov
Add Subscribers,Pridať odberateľov
Processing,spracovanie
Response,odpoveď
Page HTML,HTML stránky
In points. Default is 9.,V bodoch. Predvolená hodnota je 9.
Auto Email Report,Automatická e-mailová správa
Query must be a SELECT,Dotaz musí byť SELECT
Not allowed from this IP Address,Z tejto adresy IP nie je povolené
Error Code: {0},Kód chyby: {0}
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}","{0}: &#39;{1}&#39; ({3}) bude skrátené, pretože max. Povolených znakov je {2}"
Create a new {0},Vytvoriť nový {0}
volume-down,znížiť hlasitosť
fire,požiarne
No Results,Žiadne výsledky
{0} records deleted,Počet odstránených záznamov: {0}
Something went wrong while generating dropbox access token. Please check error log for more details.,Pri generovaní prístupového tokenu schránky sa vyskytla chyba. Ďalšie podrobnosti nájdete v protokole chýb.
Descendants Of,Potomkovia
Hide details,Skryť detaily
Font Styles,Štýly písma
Your subscription will expire on {0}.,Platnosť vášho odberu vyprší dňa {0}.
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},Overovanie zlyhalo pri prijímaní e-mailov z e-mailového účtu {0}. Správa zo servera: {1}
Stats based on last week's performance (from {0} to {1}),Štatistiky založené na výkonnosti minulého týždňa (od {0} do {1})
Title Prefix,Predpona názvu
Authentication Apps you can use are: ,"Aplikácie na overovanie, ktoré môžete použiť, sú:"
Max 500 records at a time,Maximálne 500 záznamov naraz
Maximum {0} rows allowed,Povolené je maximálne {0} riadkov
Bulk Rename,Hromadné premenovanie
Unassign Condition,Nepriradená podmienka
We have received a request from you to download your {0} data associated with: {1},Dostali sme od vás žiadosť o prevzatie údajov {0} súvisiacich s: {1}
Successful: {0} to {1},Úspešné: {0} až {1}
Success! You are good to go 👍,Úspech! Ste dobrí ísť 👍
DocType must be Submittable for the selected Doc Event,DocType musí byť pre zvolenú udalosť Doc
Send After,Odoslať po
Conversation Tones,Tóny konverzácie
Tax Category,Kategória dane
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},Formát JavaScriptu: frappe.query_reports [&#39;REPORTNAME&#39;] = {}
{0}: Cannot set Import without Create,{0}: Nie je možné nastaviť Import bez vytvorenia
Use Sandbox,Použiť karanténu
This user cannot request to download data,Tento používateľ nemôže požadovať prevzatie údajov
Global Unsubscribe,Global Unsubscribe
GitHub Sync ID,ID synchronizácie GitHub
DocType can only be renamed by Administrator,DocType môže byť premenovaný iba administrátorom
Datetime,Dátum Čas
Website Route Meta,Webová stránka Route Meta
Something went wrong during the token generation. Please request again an authorization code.,Niečo sa pokazilo počas generovania tokenov. Opätovne požiadajte o autorizačný kód.
Point Allocation Periodicity,Periodicita prideľovania bodov
Click here to check your usage or upgrade to a higher plan,"Kliknite sem, ak chcete skontrolovať svoje použitie alebo prejsť na vyšší plán"
Confirm Deletion of Data,Potvrdenie vymazania údajov
Unsubscribe Method,Metóda odhlásenia
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,Tieto hodnoty sa automaticky aktualizujú v transakciách a budú tiež užitočné obmedziť povolenia pre tohto používateľa na transakcie obsahujúce tieto hodnoty.
Report Filters,Filtre prehľadov
Select Columns,Vyberte stĺpce
Participants,účastníci
Amended From,Zmenené od
Your information has been submitted,Vaše informácie boli odoslané
Help Category,Kategória Pomoc
1 month,1 mesiac
Select an existing format to edit or start a new format.,"Vyberte existujúci formát, ktorý chcete upraviť alebo spustiť nový formát."
Embed image slideshows in website pages.,Vloženie prezentácií obrázkov na webové stránky.
Mark as Spam,Označiť ako spam
Data Migration Plan,Plán migrácie údajov
Email Queue Recipient,Príjemca e-mailovej fronty
Do not allow user to change after set the first time,"Nedovoľte, aby sa užívateľ po prvom nastavení zmenil"
Patch,náplasť
Send alert if date matches this field's value,"Odoslať upozornenie, ak sa dátum zhoduje s hodnotou tohto poľa"
Reference: {0} {1},Referencia: {0} {1}
Default Print Format,Predvolený formát tlače
Load Balancing,Rozdelenie výkonu
Postprocess Method,Postprocesná metóda
zoom-out,oddialiť
Role Permission for Page and Report,Povolenie úlohy pre stránku a správu
Header Image,Obrázok hlavičky
QZ Tray Connection Active!,QZ Tray Connection Active!
Misc,rôzne
You,vy
star,hviezda
Title field must be a valid fieldname,Pole názvu musí byť platné meno poľa
Switch To Desk,Prepnúť na pracovnú plochu
End Date Field,Pole Dátum ukončenia
Show as Grid,Zobraziť ako mriežku
Receipient,Receipient
Content (Markdown),Obsah (Markdown)
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","Pripojiť ako oznámenie proti tomuto typu dokumentu (musia mať polia „Stav“, „Predmet“)"
Field Type,Typ poľa
Can't identify open {0}. Try something else.,Nedá sa otvoriť {0}. Skúste niečo iné.
or,alebo
Your connection request to Google Calendar was successfully accepted,Vaša žiadosť o pripojenie do Kalendára Google bola úspešne prijatá
Last Login,Posledné prihlásenie
Google Apps Script,Skript služby Google Apps
Common names and surnames are easy to guess.,Bežné názvy a priezviská sa dajú ľahko odhadnúť.
Rgt,rgt
Print with letterhead,Tlačte s hlavičkovým papierom
New value to be set,Nastaví sa nová hodnota
Text Content,Textový obsah
{0} Modules,{0} Moduly
Report Builder,Report Builder
download-alt,download-alt
{0}: Cannot set Assign Amend if not Submittable,"{0}: Nie je možné nastaviť priradenie, ak nie je možné odoslať"
Field to Track,Pole na trať
Generate Keys,Generovanie kľúčov
Unshared,nerozdelený
Saved,uložený
OAuth Client,OAuth Client
Disable Standard Email Footer,Vypnúť štandardnú pätu e-mailu
Print Format {0} is disabled,Formát tlače {0} je zakázaný
Queued for backup. You will receive an email with the download link,V poradí na zálohovanie. Dostanete e-mail s odkazom na prevzatie
Third Party Apps,Aplikácie tretích strán
Geo,Geo
View All,Zobraziť všetko
Milestone,medzník
Activity log of all users.,Denník aktivít všetkých používateľov.
Query Report,Správa dotazu
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)","Spustite platné metódy, ako napríklad „before_insert“, „after_update“ atď. (Bude závisieť od vybratého dokumentu DocType)"
File Manager,Správca súborov
Cannot change docstatus from 0 to 2,Nemožno zmeniť docstatus z 0 na 2
No permission to {0} {1} {2},Žiadne povolenie na {0} {1} {2}
Reason,Dôvod
Open a module or tool,Otvorte modul alebo nástroj
Disable Customer Signup link in Login page,Zakázať prepojenie Prihlásenie zákazníka na stránke Prihlásenie
Slack Webhook URL,Slack Webhook URL
Report cannot be set for Single types,Pre jednotlivé typy nie je možné nastaviť prehľad
PDF Page Size,Veľkosť stránky PDF
City,veľkomesto
Certificate,certifikát
This will permanently remove your data.,Vaše údaje sa natrvalo odstránia.
warning-sign,varovne znamenie
Entity Name,Názov entity
align-right,zarovnať-right
Last Updated On,Posledná aktualizácia
Action,akčné
Client key is required,Vyžaduje sa klientsky kľúč
Notifications,oznámenia
mm/dd/yyyy,mm / dd / rrrr
Custom Report,Vlastná správa
info-sign,info-sign
Chart Type,Typ grafu
Add a tag ...,Pridať značku ...
ap-northeast-2,ap-severovýchod-2
Setup Notifications based on various criteria.,Nastavenie Upozornenia na základe rôznych kritérií.
Standard Reports,Štandardné prehľady
"Repeats like ""aaa"" are easy to guess",Opakovanie ako &quot;aaa&quot; sa dá ľahko odhadnúť
e.g. pop.gmail.com / imap.gmail.com,napr. pop.gmail.com / imap.gmail.com
'Recipients' not specified,„Príjemcovia“ nie sú uvedené
"On {0}, {1} wrote:","Dňa {0}, {1} napísal:"
{0} are currently viewing this document,{0} momentálne prezerá tento dokument
Contact,Kontakt
LDAP Username Field,Pole Meno používateľa LDAP
"{0} field cannot be set as unique in {1}, as there are non-unique existing values","Pole {0} nie je možné nastaviť ako jedinečné v {1}, pretože existujú nešpecifické existujúce hodnoty"
Social Logins,Sociálne prihlásenia
Trash,Smeti
Secret Key,Tajný kľúč
Default Redirect URI,Predvolené URI presmerovania
Adds a custom field to a DocType,Pridá vlastné pole do dokumentu DocType
Path to private Key File,Cesta k súkromnému súboru kľúčov
Download,Stiahnuť ▼
You are not permitted to view the newsletter.,Nie je dovolené prezerať newsletter.
Add User Permissions,Pridať povolenia používateľa
Go to this URL after completing the form (only for Guest users),Po vyplnení formulára prejdite na túto adresu URL (len pre používateľov v službe Guest)
Select Column,Vyberte stĺpec
Every day events should finish on the same day.,Každý deň by mali byť ukončené v ten istý deň.
High,vysoký
"Don't know, ask 'help'","Neviem, opýtajte sa &#39;pomoc&#39;"
Invite as User,Pozvať ako používateľa
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.","Váš dopyt bol prijatý. Čoskoro vám odpovieme. Ak máte ďalšie informácie, odpovedzte na tento e-mail."
Workflow Transition,Prechod pracovného toku
"Dear System Manager,","Vážený správca systému,"
Invalid Email Account,Neplatný e-mailový účet
Cannot change state of Cancelled Document. Transition row {0},Stav zrušeného dokumentu nie je možné zmeniť. Riadok prechodu {0}
Highlight,Zlatý klinec
Resume Sending,Resume Sending
Suspend Sending,Pozastaviť odosielanie
Search,Vyhľadávanie
Pending Verification,Čaká na overenie
Doctypes,Doctypes
Send Read Receipt,Send Read Receipt
Filters JSON,Filtre JSON
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.
<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook","URI na prijímanie autorizačného kódu, keď užívateľ povolí prístup, ako aj reakcie na zlyhanie. Typicky koncový bod REST vystavený klientskou aplikáciou. <br> napr. http: //hostname//api/method/frappe.www.login.login_via_facebook"
Banner HTML,Banner HTML
Seems Publishable Key or Secret Key is wrong !!!,"Zdá sa, že vydavateľský kľúč alebo tajný kľúč je zlý !!!"
IP Address,IP adresa
Email Sent?,Email odoslaný?
Workflow State not set,Stav pracovného toku nie je nastavený
Delivery Status,Stav doručenia
Use IMAP,Použite protokol IMAP
Based On,Založené na
Only Allow Edit For,Povoliť iba úpravy
Sales Manager,Manažér predaja
Submit {0} documents?,Odoslať dokumenty {0}?
Images,snímky
"Filtered by ""{0}""",Filtrované podľa „{0}“
Hide Copy,Skryť kópiu
Friday,piatok
User,užívateľ
Monthly,mesačník
Filter Values,Hodnoty filtra
LDAP Server Url,Adresa URL servera LDAP
Destination ID,ID cieľa
Fieldname not set for Custom Field,Pole Vlastné pole nie je nastavené
e.g. replies@yourcomany.com. All replies will come to this inbox.,napr. replies@yourcomany.com. Všetky odpovede sa dostanú do tejto doručenej pošty.
Standard Print Style cannot be changed. Please duplicate to edit.,Štandardný štýl tlače nie je možné zmeniť. Upravte ho duplicitne.
Title Field,Názov Pole
Could not connect to outgoing email server,Nepodarilo sa pripojiť k odchádzajúcemu e-mailovému serveru
File URL,Adresa URL súboru
Likes,záľuby
You need to be logged in and have System Manager Role to be able to access backups.,"Aby ste mohli pristupovať k zálohám, musíte byť prihlásení a mať úlohu Správcu systému."
First Level,Prvá úroveň
Short Name,Krátky názov
Permission Rules,Pravidlá povolenia
Row No,Riadok č
Email Group Member,Člen skupiny pre e-mail
Cannot {0} {1},Nedá sa {0} {1}
Please select DocType first,Najprv vyberte DocType
Spam,Nevyžiadaná pošta
Google Services,Služby Google
Save,Uložiť
Website Sidebar,Bočný panel webových stránok
No permission for {0},Žiadne povolenie pre {0}
Your payment has been successfully registered.,Vaša platba bola úspešne zaregistrovaná.
Import Zip,Import Zip
Gender,rod
thumbs-down,palec dole
SEO,SEO
Queue should be one of {0},Fronta by mala byť jedna z {0}
Cannot set Notification on Document Type {0},Nie je možné nastaviť upozornenie na Typ dokumentu {0}
Adding System Manager to this User as there must be atleast one System Manager,"Pridanie správcu systému k tomuto používateľovi, pretože musí byť aspoň jeden správca systému"
Welcome email sent,Uvítací e-mail bol odoslaný
Chaining Hash,Reťazenie Hash
Maintenance Manager,Správca údržby
show,šou
Share URL,Zdieľajte adresu URL
Unsupported File Format,Nepodporovaný formát súboru
Two Factor Authentication,Overenie dvoch faktorov
Frappe Framework,Rámec Frappe
Commented on {0}: {1},Komentované {0}: {1}
Set Value,Nastaviť hodnotu
Show all Versions,Zobraziť všetky verzie
Submit,Predložiť
This may get printed on multiple pages,To môže byť vytlačené na viacerých stranách
Get your globally recognized avatar from Gravatar.com,Získajte svoj celosvetovo uznávaný avatar z Gravatar.com
Client ID,ID klienta
Default Letter Head,Predvolená hlavička listu
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Pravidlá, ako sú stavy prechody, ako je nasledujúci stav a ktorá úloha môže zmeniť stav atď."
ESC,ESC
"States for workflow (e.g. Draft, Approved, Cancelled).","Stav pre pracovný tok (napr. Návrh, Schválené, Zrušené)."
Today,dnes
Notification,oznámenia
Show only errors,Zobraziť iba chyby
Review,Preskúmanie
Rows Removed,Riadky boli odstránené
Google Credentials,Poverenia Google
Or login with,Alebo sa prihláste
Record does not exist,Záznam neexistuje
New Report name,Nový názov prehľadu
leaf,krídlo
Invalid Outgoing Mail Server or Port,Neplatný server odchádzajúcej pošty alebo port
Email Server,E-mailový server
For,pre
Recipient Unsubscribed,Neprihlásený príjemca
Download Data,Prevziať údaje
Search or Create a New Chat,Hľadať alebo vytvoriť nový chat
Draft,Návrh
Assignment Rule User,Pravidlo priradenia Používateľ
Madam,pani
Custom Reports,Vlastné prehľady
{0} cannot be set for Single types,Pre jednotlivé typy nie je možné nastaviť {0}
Base URL,Základná adresa URL
Web View,Webové zobrazenie
