Connector Type,Liittimen tyyppi
Get Fields,Hanki kentät
Filter must be a tuple or list (in a list),Suodattimen on oltava tuple tai lista (luettelossa)
Print Style Preview,Tulosta tyyli esikatselu
Host,isäntä
Max width for type Currency is 100px in row {0},Tyypin Valuutta on enintään 100px rivissä {0}
Rule,sääntö
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1} ei voi olla {2}. Sen pitäisi olla yksi &quot;{3}&quot;
OAuth Bearer Token,OAuth-kantotunniste
Setup Wizard,Ohjattu asennustoiminto
Toggle Chart,Vaihda kaavio
Current Mapping Action,Nykyinen kartoitustoiminto
Initial Sync Count,Alkuperäinen synkronointilukema
Settings for Contact Us Page.,Yhteystiedot-sivun asetukset.
Printing failed,Tulostus epäonnistui
You can't set 'Translatable' for field {0},Et voi asettaa &quot;Translatable&quot; -kenttää kenttään {0}
Sorry. You have reached the maximum user limit for your subscription. You can either disable an existing user or buy a higher subscription plan.,Anteeksi. Olet saavuttanut tilauksesi enimmäismäärän. Voit joko poistaa olemassa olevan käyttäjän käytöstä tai ostaa korkeamman tilaussuunnitelman.
Old Password Required.,Vanha salasana vaaditaan.
Backup Limit,Varmuuskopiointiraja
Liked by {0},{0}
Left,vasen
Background Jobs,Taustatehtävät
Files Size:,Tiedostojen koko:
Enable,ota käyttöön
GSuite script test,GSuite-skriptitesti
Integration Request,Integrointipyyntö
You need to be logged in to access this {0}.,"Sinun täytyy olla kirjautuneena, jotta voit käyttää tätä {0}."
Time Zones,Aikavyöhykkeet
View {0},Näytä {0}
Allow Login using User Name,Salli sisäänkirjautuminen käyttäjänimellä
heart,sydän
More,Lisää
Posts,Viestejä
You are not allowed to print this report,Et voi tulostaa tätä raporttia
Ctrl + Up,Ctrl + Ylös
Unable to load camera.,Kameraa ei voi ladata.
Monday,maanantai
Charts,kaavioita
Set Permissions on Document Types and Roles,Aseta asiakirjatyyppien ja roolien käyttöoikeudet
You can add dynamic properties from the document by using Jinja templating.,Voit lisätä dokumentista dynaamisia ominaisuuksia käyttämällä Jinja-mallinnusta.
Frappe,Frappe
Select File Format,Valitse Tiedostomuoto
SMTP Server,SMTP-palvelin
Pending,odotettaessa
Add,Lisätä
See on Website,Katso verkkosivustosta
Invalid Home Page,Virheellinen kotisivu
Print Format Type,Tulostusmuodon tyyppi
No Permissions set for this criteria.,Tähän kriteereihin ei ole määritetty oikeuksia.
Expand All,Laajenna kaikki
Tag Doc Category,Tag Doc -luokka
Generated File,Luotu tiedosto
Notes,Huomautuksia
Mark as Done,Merkitse tehdyksi
Timeline field must be a Link or Dynamic Link,Aikajanan kentän on oltava linkki tai dynaaminen linkki
Notifications and bulk mails will be sent from this outgoing server.,Ilmoitukset ja joukkopostit lähetetään tästä lähtevästä palvelimesta.
This is a top-100 common password.,Tämä on yleinen 100 paras salasana.
Permanently Submit {0}?,Lähetä pysyvästi {0}?
"{0} {1} does not exist, select a new target to merge","{0} {1} ei ole olemassa, valitse uusi yhdistettävä kohde"
Multiplier Field,Kerroinkenttä
Workflow State Field,Työnkulun tila -kenttä
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Palvelimen braintree-kokoonpanossa näyttää olevan ongelma. Älä huoli, jos vika ei onnistu, summa palautetaan tilillesi."
Send alert if this field's value changes,"Lähetä hälytys, jos tämän kentän arvo muuttuu"
Auto Repeat,Automaattinen toisto
Invalid Credentials,Virheelliset tunnistetiedot
Subsidiary,Tytäryhtiö
Please select the Document Type.,Valitse asiakirjan tyyppi.
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","Tuntematon tiedostokoodaus. Kokeiltu utf-8, windows-1250, windows-1252."
Settings for About Us Page.,Tietoja meistä -sivulta.
Website Manager,Verkkosivustojen hallinta
Backup Frequency,Varmuuskopiointitaajuus
Group Name,Ryhmän nimi
Unsubscribe Param,Peruuta tilaus Param
Sort Order,Lajittelujärjestys
Card Details,Kortin tiedot
Idx,IDX
Confirm Your Email,Vahvista sähköpostiosoitteesi
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).","Kun olet asettanut tämän, käyttäjät voivat käyttää vain asiakirjoja (esim. Blog Post), jossa linkki on olemassa (esim. Blogger)."
Rejected,hylätty
Admin,admin
Slideshow Items,Diaesityksen kohteet
Desk Access,Työpöydän käyttö
Footer,Alatunniste
System User,Järjestelmän käyttäjä
Return to the Verification screen and enter the code displayed by your authentication app,Palaa Verification-näyttöön ja kirjoita tunnistusohjelman näyttämä koodi
Some of the features might not work in your browser. Please update your browser to the latest version.,Jotkin toiminnot eivät ehkä toimi selaimessasi. Päivitä selain uusimpaan versioon.
User Permissions,Käyttäjän oikeudet
{0} created this {1},{0} luonut tämän {1}
Number of Backups,Varmuuskopioiden määrä
Last Known Versions,Viimeiset tunnetut versiot
Current,nykyinen
New {0},Uusi {0}
Add custom field Auto Repeat in the doctype {0},Lisää mukautettu kenttä Auto Repeat doctype {0}
Reqd,reqd
{0} appreciated your work on {1} with {2} points,{0} arvosti työtäsi {1} {2} -pisteillä
Zero means send records updated at anytime,Nolla tarkoittaa lähettää päivitettyjä päivityksiä milloin tahansa
Value cannot be changed for {0},Arvoa ei voi muuttaa {0}
Only {0} entries shown. Please filter for more specific results.,Vain {0} merkintöjä näytetään. Suodata tarkempia tuloksia.
Report Builder reports are managed directly by the report builder. Nothing to do.,Raportin rakentaja raportoi raportin rakentajan raportit suoraan. Ei mitään tehtävää.
Edit Filter,Muokkaa suodatinta
Auth URL Data,Määritä URL-tiedot
Has Attachments,Onko liitteitä
Comment Type,Kommenttityyppi
Download Backups,Lataa varmuuskopiot
Reference DocType and Reference Name are required,Viite DocType ja Reference Name ovat pakollisia
Email not sent to {0} (unsubscribed / disabled),"Sähköposti, jota ei lähetetty osoitteeseen {0} (tilaamaton / poistettu)"
chevron-up,Chevron-up
Submit on Creation,Lähetä luomiseen
Only Send Records Updated in Last X Hours,Lähetä vain päivitettyjä tietueita viimeisten X-tuntien aikana
Column Name cannot be empty,Sarakkeen nimi ei voi olla tyhjä
Started,aloitti
Archived,arkistoitu
Only Administrator can save a standard report. Please rename and save.,Ainoastaan pääkäyttäjä voi tallentaa standardiraportin. Nimeä uudelleen ja tallenna.
Postal,posti-
Page Length,Sivun pituus
Relink Communication,Relink Communication
Master,Hallita
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account. ,Käyttää tässä tilissä mainittua sähköpostiosoitetta lähettäjänä kaikkien tämän tilin kautta lähetettyjen sähköpostiviestien yhteydessä.
Password reset instructions have been sent to your email,Salasanan nollausohjeet on lähetetty sähköpostiisi
Not Permitted,Ei sallittu
Enable Comments,Ota kommentit käyttöön
Custom Format,Mukautettu muoto
"CC, BCC & Email Template","CC, BCC ja sähköpostimallit"
Click on the link below to download your data,Lataa tiedot napsauttamalla alla olevaa linkkiä
headphones,kuulokkeet
Not Allowed,Ei sallittu
Hide Standard Menu,Piilota vakio-valikko
Sign Up,Kirjaudu
Header HTML set from attachment {0},Otsikko-HTML-paketti liitteestä {0}
Dashboard Name,Dashboardin nimi
Skip rows with errors,Ohita rivit virheillä
Please enter Client Secret before social login is enabled,Anna asiakkaan salaisuus ennen kuin sosiaalinen sisäänkirjautuminen on käytössä
This goes above the slideshow.,Tämä menee diaesityksen yläpuolelle.
Row #{0}:,Rivi # {0}:
Older backups will be automatically deleted,Vanhemmat varmuuskopiot poistetaan automaattisesti
Browser not supported,Selainta ei tueta
Email Address,Sähköpostiosoite
Role,Rooli
Unhandled Email,Käsittelemätön sähköposti
To Date Field,Päivämäärä-kenttään
Sync,Synkronointi
Select File Type,Valitse Tiedostotyyppi
No Preview Available,Esikatselua ei ole saatavilla
Message Count,Viestien määrä
for the,varten
eu-north-1,EU-pohjois-1
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: Vain yksi sääntö sallitaan samalla roolilla, tasolla ja {1}"
You are not allowed to update this Web Form Document,Et voi päivittää tätä Web-lomakkeen asiakirjaa
Maximum Attachment Limit for this record reached.,Suurin lisäysraja tämän tietueen saavuttamiseksi.
Please make sure the Reference Communication Docs are not circularly linked.,"Varmista, että viitetiedonsiirtoasiakirjat eivät ole kiertokytkettyinä."
Allow in Quick Entry,Salli Quick Entry
Locals,paikalliset
To,jotta
values separated by commas,arvot erotetaan pilkulla
Slack Channel,Löydä kanava
Invalid column,Virheellinen sarake
Has Domain,Onko verkkotunnus
Y Axis Fields,Y-akselin kentät
S3 Backup complete!,S3-varmuuskopiointi on valmis!
Kanban,kanban
Is Standard,Onko vakio
Edit,Muokata
Invalid Login. Try again.,Virheellinen kirjautuminen. Yritä uudelleen.
Attachment,liite
Reference Document Type,Viiteasiakirjan tyyppi
Loading,Ladataan
Invalid,pätemätön
"HTML Header, Robots and Redirects","HTML-otsikko, robotit ja uudelleenohjaukset"
Invalid Search Field {0},Virheellinen hakukenttä {0}
There is an error in your Address Template {0},Osoitemalliisi {0} on virhe
Filter Name,Suodattimen nimi
Slideshow,diaesitys
A new document {0} has been shared by with you {1}.,Sinun on jaettu uusi asiakirja {0} {1}.
"If disabled, this role will be removed from all users.","Jos tämä on poistettu käytöstä, tämä rooli poistetaan kaikista käyttäjistä."
Please select a valid csv file with data,"Valitse kelvollinen csv-tiedosto, jossa on tietoja"
Default theme is set in {0},Oletusteema on asetettu {0}
There is no data to be exported,Vientiä ei ole
Exception Type,Poikkeustyyppi
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},"Ei voi poistaa tai peruuttaa, koska {0} {1} on linkitetty {2} {3} {4}"
OTP secret can only be reset by the Administrator.,Järjestelmänvalvoja voi nollata vain OTP-salaisuuden.
Page Break,Sivunvaihto
Website Script,Verkkosivuston komentosarja
Subscription Notification,Tilausilmoitus
Quick Entry,Quick Entry
Lead Conversion Time,Lyijyn muuntamisaika
Assign Condition,Määritä ehto
Revoke,Peruuttaa
Blogger,Blogger
Value missing for,Arvo puuttuu
Menu,valikko
Date Format,Päivämäärämuoto
Login,Kirjaudu sisään
Count,Kreivi
Set Property After Alert,Aseta ominaisuuden jälkeen hälytys
Thank you,Kiitos
Slack Webhooks for internal integration,Löysää webhookeja sisäistä integrointia varten
Import Data,Tuo tietoja
Office 365,Office 365
ID,ID
Review Level,Tarkistustaso
"Encryption key is invalid, Please check site_config.json",Salausavain on virheellinen. Tarkista sivusto_fi.json
User Defaults,Käyttäjän oletusasetukset
Log of error during requests.,Virhe lokin pyyntöjen aikana.
Report Hide,Ilmoita Piilota
DefaultValue,Oletusarvo
Number Format,Numeromuoto
Style,Tyyli
Submit after importing,Lähetä tuonnin jälkeen
LDAP Security,LDAP-suojaus
Login to comment,Kirjaudu kommentoidaksesi
Awaiting Password,Odotetaan salasanaa
Password cannot be more than 100 characters long,Salasana ei voi olla yli 100 merkkiä pitkä
Successfully Done,Onnistunut Valmis
{0} List,{0} Luettelo
Appreciate,arvostaa
New {0} (Ctrl+B),Uusi {0} (Ctrl + B)
Is Primary Contact,Onko ensisijainen yhteys
Raw Commands,Raakakomennot
Stylesheets for Print Formats,Tulostusmuotojen tyylit
Property Setter,Kiinteistövastaaja
Show Line Breaks after Sections,Näytä rivinvaiheet jaksojen jälkeen
API Username,API-käyttäjätunnus
Public Key,Julkinen avain
Email To,Lähettää sähköposti jollekin
Reopen,Avaa uudelleen
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Kenttä, joka edustaa tapahtuman työnkulun tilaa (jos kenttää ei ole, luodaan uusi piilotettu mukautettu kenttä)"
Attachment Removed,Liite poistettu
Breadcrumbs,korppujauho
Show Weekends,Näytä viikonloput
Page {0} of {1},Sivu {0} {1}
Time,Aika
Always use Account's Name as Sender's Name,Käytä aina Tilin nimeä lähettäjän nimellä
Saturday,lauantai
"Mandatory fields required in table {0}, Row {1}","Pakolliset kentät, jotka vaaditaan taulukossa {0}, rivi {1}"
Build Report,Luo raportti
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,"Näyttää siltä, että tämän sivuston maksuyhdyskäytävän asetuksissa on jotain vikaa. Maksua ei ole suoritettu."
Send Unsubscribe Link,Lähetä Unsubscribe Link
Cannot edit standard fields,Standardikenttiä ei voi muokata
Upcoming Events for Today,Tulevat tapahtumat tänään
Attach file for Import,Liitä tiedosto tuontia varten
Name of the new Print Format,Uuden tulostusmuodon nimi
Please ask your administrator to verify your sign-up,Pyydä järjestelmänvalvojaa tarkistamaan kirjautumisen
Type something in the search box to search,Kirjoita haun hakukenttään jotain
Next Actions HTML,Seuraavat toimet HTML
Sum,Summa
Don't Override Status,Älä ohita tilaa
Is Child Table,Onko lapsitaulukko
Custom HTML,Mukautettu HTML
Half-Yearly,Puolivuosittain
Add a column,Lisää sarake
Script URL,Komentosarjan URL-osoite
Errors in Background Events,Taustatapahtumien virheet
Find {0} in {1},Etsi {0} {1}
Use SSL,Käytä SSL: ää
In Standard Filter,Standardisuodattimessa
Total Pages,Sivuja yhteensä
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.","Jos tämä on käytössä, käyttäjille ilmoitetaan aina kirjautumisen yhteydessä. Jos sitä ei ole otettu käyttöön, käyttäjille ilmoitetaan vain kerran."
Last Message,Viimeinen viesti
Next Sync Token,Seuraava synkronointitunniste
No {0} permission,Ei {0} lupaa
Reference DocName,Viite DocName
Print Width,Tulosta leveys
No further records,Ei muita tietoja
Mrs,rouva
Add Attachment,Lisää LIITE
Smallest Currency Fraction Value,Pienin valuuttakurssiarvo
Please attach a file first.,Liitä tiedosto ensin.
Email Login ID,Sähköpostin tunnus
Revoked,peruutettu
Active Domains,Aktiiviset verkkotunnukset
Automation,automaatio
Unzipping files...,Tiedostojen purkaminen ...
Search for '{0}',Hae &#39;{0}&#39;
Something went wrong,Jotain meni pieleen
Please save before attaching.,Tallenna ennen liittämistä.
Table HTML,Taulukko HTML
hub,napa
Standard,standardi
Add A New Rule,Lisää uusi sääntö
Settings for the About Us Page,Tietoja meistä -sivusta
Fax,Faksi
{0} Chart,{0} Kaavio
Ends On,Päättyy päälle
Provider,toimittaja
Unable to send emails at this time,Sähköpostiviestejä ei voi lähettää tällä hetkellä
You are not allowed to send emails related to this document,Et voi lähettää tähän asiakirjaan liittyviä sähköpostiviestejä
Print Hide If No Value,Tulosta Piilota jos ei arvoa
Log Details,Lokin tiedot
Format,Muoto
You gained some energy points,Sait joitakin energiapisteitä
Facebook,Facebook
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","Katso ohjeet kohdasta <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API ja esimerkit</a>"
Chat Profile,Chat-profiili
Attachment Limit (MB),Liitteen raja (MB)
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",Järjestelmänhallinnan lisäksi käyttäjäoikeuksien määrittämisen oikeudet voivat asettaa käyttöoikeudet muille käyttäjille kyseiselle asiakirjatyypille.
Toggle Sidebar,Vaihda sivupalkkia
The First User: You,Ensimmäinen käyttäjä: sinä
Column <b>{0}</b> already exist.,Sarake <b>{0} on</b> jo olemassa.
Reset to defaults,Palauta oletusarvot
Assign To Users,Määritä käyttäjille
wrench,jakoavain
Last Active,Viimeksi aktiivinen
Verification code has been sent to your registered email address.,Vahvistuskoodi on lähetetty rekisteröityneeseen sähköpostiosoitteeseesi.
Grant Type,Avustustyyppi
Same file has already been attached to the record,Sama tiedosto on jo liitetty tietueeseen
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'","Yksinkertainen Python Expression, esimerkki: status == &#39;Open&#39; ja kirjoita == &#39;Bug&#39;"
Processing...,Processing ...
Report:,report:
Slack Webhook Error,Löysää Webhook-virhe
Published On,Julkaistu
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4> Oletusmalli </h4><p> Käyttää <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja-mallia</a> ja kaikki Osoite-kentät (mukaan lukien mukautetut kentät, jos sellaisia on) ovat käytettävissä </p><pre> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code> </pre>"
More articles on {0},Lisää artikkeleita {0}
Assignment Rules,Toimeksiannon säännöt
Allow Login using Mobile Number,Salli sisäänkirjautuminen matkapuhelinnumeron avulla
{0} minutes ago,{0} minuuttia sitten
Tree view not available for {0},Puunäkymä ei ole käytettävissä {0}
List a document type,Luettele asiakirjan tyyppi
Indicator,Indikaattori
Sort Field,Lajittele kenttä
Send document web view link in email,Lähetä asiakirjan web-näkymän linkki sähköpostitse
Settings,asetukset
Energy Point Settings,Energiapisteasetukset
lightblue,vaaleansininen
Comment Should be atleast 10 characters,Kommentti Pitäisi olla vähintään 10 merkkiä
Add Subscribers,Lisää tilaajia
Processing,käsittely
Response,Vastaus
Page HTML,Sivun HTML
In points. Default is 9.,Pisteissä. Oletusarvo on 9.
Auto Email Report,Automaattinen sähköpostiraportti
Query must be a SELECT,Kyselyn on oltava SELECT
Not allowed from this IP Address,Ei sallittu tästä IP-osoitteesta
Error Code: {0},Virhekoodi: {0}
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}","{0}: &#39;{1}&#39; ({3}) saa lyhennettyä, koska sallitut enimmäismerkit ovat {2}"
Create a new {0},Luo uusi {0}
volume-down,Äänenvoimakkuutta pienemmälle
fire,antaa potkut
No Results,Ei tuloksia
{0} records deleted,{0} tietueet poistettu
Something went wrong while generating dropbox access token. Please check error log for more details.,Jotain meni pieleen pudotuslaatikon käyttöoikeustunnuksen luomisessa. Tarkista lisätietoja virheilmoituksesta.
Descendants Of,Jälkeläiset
Hide details,Piilota yksityiskohdat
Font Styles,Fonttityylit
Your subscription will expire on {0}.,Tilaus vanhenee {0}.
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},Todennus epäonnistui sähköpostiviestien vastaanottamisen yhteydessä sähköpostitililtä {0}. Viesti palvelimelta: {1}
Stats based on last week's performance (from {0} to {1}),Tilastot perustuvat viime viikon suorituskykyyn ({0} - {1})
Title Prefix,Otsikon etuliite
Authentication Apps you can use are: ,Käytettävät todennusohjelmat ovat:
Max 500 records at a time,Enintään 500 tietuetta kerrallaan
Maximum {0} rows allowed,Enintään {0} riviä sallitaan
Bulk Rename,Tyhjennä uudelleen
Unassign Condition,Peruuta tila
We have received a request from you to download your {0} data associated with: {1},"Olemme saaneet sinulta pyynnön ladata {0} tiedot, jotka liittyvät: {1}"
Successful: {0} to {1},Onnistunut: {0} - {1}
DocType must be Submittable for the selected Doc Event,DocType-sovelluksen on oltava valittua Doc-tapahtumaa varten
Send After,Lähetä jälkeen
Conversation Tones,Keskusteluäänet
Tax Category,Veroluokka
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},JavaScript-muoto: frappe.query_reports [&#39;REPORTNAME&#39;] = {}
{0}: Cannot set Import without Create,{0}: Ei voi asettaa tuontia ilman luontia
Use Sandbox,Käytä Sandboxia
This user cannot request to download data,Tämä käyttäjä ei voi pyytää tietojen lataamista
Global Unsubscribe,Global Unsubscribe
GitHub Sync ID,GitHub-synkronointitunnus
DocType can only be renamed by Administrator,DocType voidaan nimetä uudelleen vain järjestelmänvalvojalta
Datetime,Treffiaika
Website Route Meta,Verkkosivuston reittimitta
Something went wrong during the token generation. Please request again an authorization code.,Jotain meni pieleen merkki-sukupolven aikana. Pyydä uudelleen valtuutuskoodi.
Point Allocation Periodicity,Point Allocation Periodicity
Click here to check your usage or upgrade to a higher plan,Klikkaa tästä tarkistaaksesi käytön tai päivitä korkeampaan suunnitelmaan
Confirm Deletion of Data,Vahvista tietojen poistaminen
Unsubscribe Method,Peruuta tilausmenetelmä
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,"Nämä arvot päivittyvät automaattisesti tapahtumissa, ja ne ovat myös hyödyllisiä tämän käyttäjän oikeuksien rajoittamiseksi näihin arvoihin sisältyviin tapahtumiin."
Report Filters,Ilmoita suodattimet
Select Columns,Valitse Sarakkeet
Participants,osallistujien
Amended From,Muutettu
Your information has been submitted,Tiedot on toimitettu
Help Category,Ohjeluokka
Hide field in Report Builder,Piilota kenttä Report Builderissa
1 month,1 kuukausi
Select an existing format to edit or start a new format.,Valitse olemassa oleva muoto muokata tai aloittaa uusi muoto.
Embed image slideshows in website pages.,Upota kuvaesitykset verkkosivuille.
Mark as Spam,Merkitse roskapostiksi
Data Migration Plan,Tiedonsiirtosuunnitelma
Email Queue Recipient,Sähköpostijonon vastaanottaja
Do not allow user to change after set the first time,Älä anna käyttäjän vaihtaa asetettua ensimmäisen kerran
Patch,läikkä
Send alert if date matches this field's value,"Lähetä hälytys, jos päivämäärä vastaa tämän kentän arvoa"
Reference: {0} {1},Viite: {0} {1}
Default Print Format,Oletustulostusmuoto
Load Balancing,Kuormituksen tasapainoittaminen
Postprocess Method,Jälkiprosessimenetelmä
zoom-out,loitontaa
Role Permission for Page and Report,Roolilupa sivulle ja raportille
Header Image,Otsikon kuva
QZ Tray Connection Active!,QZ-tarjotinyhteys on aktiivinen!
Misc,Muut
You,Sinä
star,tähti
Title field must be a valid fieldname,Otsikkokentän on oltava kelvollinen kentänimi
Switch To Desk,Vaihda työpöydälle
End Date Field,Päättymispäivän kenttä
Show as Grid,Näytä ruudukona
Receipient,vastaanottajalta
Content (Markdown),Sisältö (Markdown)
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","Liitä viestiksi tätä DocTypeä vastaan (on oltava kentät, &quot;Tila&quot;, &quot;Aihe&quot;)"
Field Type,Kentän tyyppi
Can't identify open {0}. Try something else.,Avoin {0} ei tunnista. Kokeile jotain muuta.
or,tai
Your connection request to Google Calendar was successfully accepted,Yhteyspyyntösi Google-kalenteriin hyväksyttiin onnistuneesti
Last Login,Viimeinen kirjautuminen
Google Apps Script,Google-sovellusten komentosarja
Common names and surnames are easy to guess.,Yleisiä nimiä ja sukunimiä on helppo arvata.
Rgt,Rgt
Print with letterhead,Tulosta kirjelomakkeella
New value to be set,Uusi asetettava arvo
Text Content,Tekstisisältö
{0} Modules,{0} Moduulit
Report Builder,Report Builder
download-alt,download-alt
{0}: Cannot set Assign Amend if not Submittable,"{0}: Ei voi asettaa Assign Amendia, jos ei Submittable"
Field to Track,Kenttä seurataan
Generate Keys,Luo avaimet
Unshared,jakamaton
Saved,Tallennetut
OAuth Client,OAuth-asiakas
Disable Standard Email Footer,Poista Standard-sähköpostin alatunniste käytöstä
Print Format {0} is disabled,Tulostusmuoto {0} on poistettu käytöstä
Queued for backup. You will receive an email with the download link,"Jonossa varmuuskopiointiin. Saat sähköpostiviestin, jossa on latauslinkki"
Third Party Apps,Kolmannen osapuolen sovellukset
Geo,geo
View All,Näytä kaikki
Milestone,Virstanpylväs
Activity log of all users.,Kaikkien käyttäjien toimintaloki.
Query Report,Kyselyraportti
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)","Käynnistä voimassa olevat menetelmät, kuten &quot;before_insert&quot;, &quot;after_update&quot; jne. (Riippuvat valitusta DocType-tyypistä)"
File Manager,Tiedostonhallinta
Cannot change docstatus from 0 to 2,Asiakirjoja ei voi muuttaa 0: sta 2: een
No permission to {0} {1} {2},Ei lupaa {0} {1} {2}
Reason,Syy
Open a module or tool,Avaa moduuli tai työkalu
Disable Customer Signup link in Login page,Poista Asiakasrekisteröinnin linkki Kirjaudu-sivulla
Slack Webhook URL,Vapauta Web-koukun URL-osoite
Report cannot be set for Single types,Raporttia ei voi asettaa yksittäisille tyypeille
PDF Page Size,PDF-sivun koko
City,Kaupunki
Certificate,Todistus
This will permanently remove your data.,Tämä poistaa tiedot pysyvästi.
warning-sign,varoitusmerkki
Entity Name,Kokonaisuuden nimi
align-right,kohdista-oikeus
Last Updated On,Viimeksi päivitetty
Action,Toiminta
Client key is required,Asiakkaan avain vaaditaan
Notifications,ilmoitukset
mm/dd/yyyy,mm / DD / YYYY
Custom Report,Mukautettu raportti
Options required for Link or Table type field {0} in row {1},Linkin tai taulukon tyypin kenttään {0} tarvittavat vaihtoehdot rivillä {1}
info-sign,info-kyltti
Chart Type,Kaavion tyyppi
Add a tag ...,Lisää tunniste ...
ap-northeast-2,ap-koilliseen-2
Setup Notifications based on various criteria.,"Asetusilmoitukset, jotka perustuvat erilaisiin kriteereihin."
Standard Reports,Standardiraportit
"Repeats like ""aaa"" are easy to guess",Toistoja kuten &quot;aaa&quot; on helppo arvata
e.g. pop.gmail.com / imap.gmail.com,esim. pop.gmail.com / imap.gmail.com
'Recipients' not specified,&#39;Vastaanottajat&#39; ei ole määritetty
"On {0}, {1} wrote:",{0} kirjoitti {1}:
{0} are currently viewing this document,{0} tarkastelee tätä asiakirjaa
Contact,Ottaa yhteyttä
LDAP Username Field,LDAP-käyttäjätunnus
Options {0} must be the same as doctype name {1} for the field {2},Vaihtoehtojen {0} on oltava sama kuin kentän {2} asiakirjan nimi {1}
"{0} field cannot be set as unique in {1}, as there are non-unique existing values","{0} -kenttää ei voi asettaa yksilölliseksi {1}, koska olemassa ei ole ainutlaatuisia olemassa olevia arvoja"
Social Logins,Sosiaaliset kirjautumiset
Trash,roska
Secret Key,Salainen avain
Default Redirect URI,Oletusohjaus URI
Adds a custom field to a DocType,Lisää mukautetun kentän DocType-tyyppiin
Path to private Key File,Polku yksityiseen avaintiedostoon
Download,ladata
You are not permitted to view the newsletter.,Et voi katsella uutiskirjettä.
Add User Permissions,Lisää käyttäjäoikeuksia
Go to this URL after completing the form (only for Guest users),Siirry tähän URL-osoitteeseen lomakkeen täyttämisen jälkeen (vain vierailijoiden käyttäjille)
Select Column,Valitse Sarake
Every day events should finish on the same day.,Joka päivä tapahtumien pitäisi päättyä samana päivänä.
High,Korkea
"Don't know, ask 'help'","En tiedä, kysy apua"
Invite as User,Kutsu käyttäjäksi
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.","Kyselysi on vastaanotettu. Vastaamme pian. Jos sinulla on lisätietoja, vastaa tähän viestiin."
Workflow Transition,Työnkulun siirtyminen
"Dear System Manager,","Hyvä järjestelmäpäällikkö,"
Invalid Email Account,Virheellinen sähköpostitili
Cannot change state of Cancelled Document. Transition row {0},Peruutetun asiakirjan tilaa ei voi muuttaa. Siirtymisrivi {0}
Highlight,Kohokohta
Resume Sending,Jatka lähettämistä
Suspend Sending,Keskeytä lähettäminen
Search,Hae
Pending Verification,Odottava vahvistus
Doctypes,doctypes
Send Read Receipt,Lähetä Lue kuitti
Filters JSON,Suodattimet JSON
