Connector Type,Цоннецтор Типе
Archived,Архивирано
Only Administrator can save a standard report. Please rename and save.,Само администратор може да сачува стандардни извештај. Преименујте и сачувајте.
Postal,Постал
Page Length,Паге Ленгтх
Relink Communication,Релинк Цоммуницатион
Master,Господару
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account. ,Користи е-адресу наведену у овом налогу као пошиљалац за све е-поруке послане помоћу овог налога.
Password reset instructions have been sent to your email,Упутства за поништавање лозинке су послата на вашу е-пошту
Not Permitted,Није дозвољено
Enable Comments,Омогући коментаре
Custom Format,Прилагођени формат
"CC, BCC & Email Template","ЦЦ, БЦЦ и шаблон за е-пошту"
Click on the link below to download your data,Кликните на доњу везу да бисте преузели ваше податке
headphones,слушалице
Not Allowed,Није дозвољено
Hide Standard Menu,Сакриј стандардни мени
Sign Up,Пријави се
Header HTML set from attachment {0},ХТМЛ скуп заглавља из прилога {0}
Dashboard Name,Име контролне табле
Skip rows with errors,Прескочите редове са грешкама
Please enter Client Secret before social login is enabled,Молимо вас да унесете Цлиент Сецрет пре него што се омогући социјална пријава
This goes above the slideshow.,Ово иде изнад слајдова.
Row #{0}:,Ред # {0}:
Older backups will be automatically deleted,Старије сигурносне копије ће се аутоматски избрисати
Browser not supported,Прегледач није подржан
Email Address,Адреса Е-поште
Role,Улога
Unhandled Email,Унхандлед Емаил
To Date Field,До датума поља
Sync,Синхронизовати
Select File Type,Изаберите Тип датотеке
No Preview Available,Приказ није доступан
Message Count,Број порука
for the,за
eu-north-1,еу-север-1
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: Само једно правило дозвољено са истом улогом, нивоом и {1}"
You are not allowed to update this Web Form Document,Није вам дозвољено да ажурирате овај документ Веб Форм
Maximum Attachment Limit for this record reached.,Максимално ограничење прилога за овај запис достигнуто.
Please make sure the Reference Communication Docs are not circularly linked.,Проверите да документи за референтну комуникацију нису кружно повезани.
Allow in Quick Entry,Дозволите у брзом уносу
Locals,Локалци
To,До
values separated by commas,вредности одвојене зарезима
Slack Channel,Слацк Цханнел
Invalid column,Неважећа колона
Has Domain,Има домену
Y Axis Fields,И Акис Фиелдс
S3 Backup complete!,С3 Бацкуп цомплете!
Kanban,Канбан
Is Standard,Ис Стандард
Edit,Уредити
Invalid Login. Try again.,Неважећа лозинка. Покушајте поново.
Attachment,Прилог
Reference Document Type,Референце Доцумент Типе
Loading,Лоадинг
Invalid,Неважеће
"HTML Header, Robots and Redirects","ХТМЛ заглавље, роботи и преусмјеравања"
Invalid Search Field {0},Неважеће поље за претраживање {0}
There is an error in your Address Template {0},Дошло је до грешке у предлошку адресе {0}
Filter Name,Име филтера
Slideshow,Слидесхов
A new document {0} has been shared by with you {1}.,Са вама је подељен нови документ {0} {1}.
"If disabled, this role will be removed from all users.","Ако је онемогућено, ова улога ће бити уклоњена од свих корисника."
Please select a valid csv file with data,Изаберите важећу цсв датотеку са подацима
Default theme is set in {0},Подразумевана тема је постављена у {0}
There is no data to be exported,Нема података за извоз
Exception Type,Тип изузетка
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},Није могуће избрисати или отказати јер је {0} {1} повезан са {2} {3} {4}
OTP secret can only be reset by the Administrator.,ОТП тајну може ресетовати само администратор.
Page Break,Прелом странице
Website Script,Вебсите Сцрипт
Subscription Notification,Обавештење о претплати
Quick Entry,Куицк Ентри
Lead Conversion Time,Леад Цонверсион Тиме
Assign Condition,Ассигн Цондитион
Revoke,Опозови
Blogger,Блоггер
Value missing for,Недостаје вредност за
Menu,Мени
Date Format,Формат датума
Login,Пријавите се
Count,Цоунт
Set Property After Alert,Поставите својство Афтер Алерт
Thank you,Хвала вам
Slack Webhooks for internal integration,Занемарите Вебхоокс за интерну интеграцију
Import Data,Импорт Дата
Office 365,Оффице 365
ID,ИД
Review Level,Ниво прегледа
"Encryption key is invalid, Please check site_config.json","Кључ шифровања је неважећи, проверите сите_цонфиг.јсон"
User Defaults,Усер Дефаултс
Log of error during requests.,Пријавите грешку током захтева.
Report Hide,Пријави сакриј
DefaultValue,Задана вриједност
Number Format,Формат бројева
Style,Стиле
Submit after importing,Пошаљите након увоза
LDAP Security,ЛДАП Сецурити
Login to comment,Пријавите се за коментар
Awaiting Password,Чекање лозинке
Password cannot be more than 100 characters long,Лозинка не може имати више од 100 знакова
Successfully Done,Успешно обављено
{0} List,{0} Листа
Appreciate,Ценити
New {0} (Ctrl+B),Ново {0} (Цтрл + Б)
Is Primary Contact,Ис Примари Цонтацт
Raw Commands,Рав Цоммандс
Stylesheets for Print Formats,Стилски листови за формате за штампање
Property Setter,Проперти Сеттер
Show Line Breaks after Sections,Прикажи прекиде за редове након одељка
API Username,АПИ корисничко име
Public Key,Публиц Кеи
Email To,Емаил То
Reopen,Поново отвори
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Поље које представља стање радног процеса трансакције (ако поље није присутно, биће креирано ново скривено прилагођено поље)"
Attachment Removed,Прилог је уклоњен
Breadcrumbs,Бреадцрумбс
Show Weekends,Схов Веекендс
Page {0} of {1},Страница {0} од {1}
Time,време
Always use Account's Name as Sender's Name,Увек користите име налога као име пошиљаоца
Saturday,Субота
"Mandatory fields required in table {0}, Row {1}","Обавезна поља потребна у табели {0}, Ред {1}"
Build Report,Изради извештај
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,Изгледа да нешто није у реду са конфигурацијом мрежног пролаза за ову локацију. Није извршено плаћање.
Send Unsubscribe Link,Сенд Унсубсцрибе Линк
Cannot edit standard fields,Није могуће уредити стандардна поља
Upcoming Events for Today,Надолазећи догађаји за данас
Attach file for Import,Приложите датотеку за увоз
Name of the new Print Format,Име новог формата за штампање
Please ask your administrator to verify your sign-up,Затражите од администратора да потврди вашу пријаву
Type something in the search box to search,Упишите нешто у оквир за претраживање да бисте претражили
Next Actions HTML,Следеће радње ХТМЛ
Sum,Сум
Don't Override Status,Немојте поништити статус
Is Child Table,Ис Цхилд Табле
Custom HTML,Цустом ХТМЛ
Half-Yearly,Полу годишње
Add a column,Додајте колону
Script URL,УРЛ адресе скрипте
Errors in Background Events,Грешке у догађајима у позадини
Find {0} in {1},Пронађите {0} у {1}
Use SSL,Користи ССЛ
In Standard Filter,У стандардном филтеру
Total Pages,Тотал Пагес
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.","Ако је омогућено, корисници ће бити обавештени сваки пут када се пријаве. Ако није омогућено, корисници ће бити обавештени само једном."
Last Message,Ласт Мессаге
Next Sync Token,Нект Синц Токен
No {0} permission,Нема дозволе {0}
Reference DocName,Референце ДоцНаме
Print Width,Ширина штампе
No further records,Нема додатних података
Mrs,Госпођа
Add Attachment,Додај прилог
Smallest Currency Fraction Value,Најмања вредност валуте
Please attach a file first.,Прво приложите датотеку.
Email Login ID,Емаил Логин ИД
Revoked,Укинуто
Active Domains,Ацтиве Домаинс
Automation,Аутоматион
Unzipping files...,Унзиппинг датотека ...
Search for '{0}',Потражите &#39;{0}&#39;
Something went wrong,Нешто није у реду
Please save before attaching.,Молимо сачувајте пре додавања.
Table HTML,Табле ХТМЛ
hub,хуб
Standard,Стандард
Add A New Rule,Додај ново правило
Settings for the About Us Page,Подешавања за страницу О нама
Fax,Фак
{0} Chart,{0} Графикон
Ends On,Ендс Он
Provider,Провидер
Unable to send emails at this time,Тренутно није могуће послати е-поруке
You are not allowed to send emails related to this document,Није вам дозвољено да шаљете е-поруке везане за овај документ
Print Hide If No Value,Штампај Сакриј ако нема вредности
Log Details,Лог Детаилс
Format,Формат
You gained some energy points,Добили сте неке енергетске тачке
Facebook,Фацебоок
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","За помоћ погледајте <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Цлиент Сцрипт АПИ и примере</a>"
Chat Profile,Цхат профил
Attachment Limit (MB),Ограничење прилога (МБ)
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","Поред Систем Манагер-а, улоге са постављеним правом корисника могу да постављају дозволе за друге кориснике за тај тип документа."
Toggle Sidebar,Тоггле Сидебар
The First User: You,Први корисник: Ви
Column <b>{0}</b> already exist.,Колона <b>{0}</b> већ постоји.
Reset to defaults,Ресетуј до почетног
Assign To Users,Додели корисницима
wrench,вренцх
Last Active,Ласт Ацтиве
Verification code has been sent to your registered email address.,Верификациони код је послат на вашу регистровану адресу е-поште.
Grant Type,Грант Типе
Same file has already been attached to the record,Исти фајл је већ приложен записнику
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'","Једноставни Питхон израз, Пример: статус == &#39;Отвори&#39; и упишите == &#39;Буг&#39; \ т"
Processing...,Обрада ...
Report:,Извештај:
Slack Webhook Error,Слацк Вебхоок Грешка
Published On,Објављено на
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4> Дефаулт Темплате </h4><p> Користи <a href=""http://jinja.pocoo.org/docs/templates/"">Јиња Темплатинг</a> и сва поља адресе (укључујући и <a href=""http://jinja.pocoo.org/docs/templates/"">корисничка</a> поља, ако их има) ће бити доступна </p><pre> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code> </pre>"
More articles on {0},Још чланака о {0}
Assignment Rules,Правила додјеле
Allow Login using Mobile Number,Дозволите пријаву помоћу броја мобилног телефона
{0} minutes ago,Пре {0} минута
Tree view not available for {0},Приказ стабла није доступан за {0}
List a document type,Наведите врсту документа
Indicator,Индикатор
Sort Field,Сорт Фиелд
Send document web view link in email,Пошаљите линк за приказ документа у е-поруци
Settings,Подешавања
Energy Point Settings,Поставке тачке енергије
lightblue,светло плава
Comment Should be atleast 10 characters,Коментар треба бити најмање 10 знакова
Add Subscribers,Додај претплатнике
Processing,Обрада
Response,Респонсе
Page HTML,Паге ХТМЛ
In points. Default is 9.,У бодовима. Дефаулт је 9.
Auto Email Report,Ауто Емаил Репорт
Query must be a SELECT,Упит мора бити СЕЛЕЦТ
Not allowed from this IP Address,Није дозвољено са ове ИП адресе
Error Code: {0},Код грешке: {0}
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}","{0}: &#39;{1}&#39; ({3}) ће се скратити, јер је максимално дозвољено знакова {2}"
Create a new {0},Направите нову {0}
volume-down,гласноће
fire,пожара
No Results,Нема резултата
{0} records deleted,Избрисано је {0} записа
Something went wrong while generating dropbox access token. Please check error log for more details.,Нешто је кренуло наопако приликом генерисања токена за приступ дропбоку. Молимо проверите дневник грешака за више детаља.
Descendants Of,Десцендантс Оф
Hide details,Сакриј детаље
Font Styles,Стилови фонтова
Your subscription will expire on {0}.,Ваша претплата ће истећи {0}.
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},Аутентификација није успела док је примао е-пошту од налога за е-пошту {0}. Порука са сервера: {1}
Stats based on last week's performance (from {0} to {1}),Статистике засноване на перформансама од прошле недеље (од {0} до {1})
Title Prefix,Наслов Префик
Authentication Apps you can use are: ,Апликације за аутентификацију које можете да користите су:
Max 500 records at a time,Максимално 500 записа одједном
Maximum {0} rows allowed,Максимално је дозвољено {0} редова
Bulk Rename,Булк Ренаме
Unassign Condition,Унассигн Цондитион
We have received a request from you to download your {0} data associated with: {1},Примили смо захтев од вас да преузмете ваше {0} податке повезане са: {1}
Successful: {0} to {1},Успешно: {0} до {1}
DocType must be Submittable for the selected Doc Event,ДоцТипе мора бити поднесен за изабрани документ
Send After,Сенд Афтер
Conversation Tones,Тонови разговора
Tax Category,Пореска категорија
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},ЈаваСцрипт Формат: фраппе.куери_репортс [&#39;РЕПОРТНАМЕ&#39;] = {}
{0}: Cannot set Import without Create,{0}: Није могуће подесити увоз без креирања
Use Sandbox,Користите Сандбок
This user cannot request to download data,Овај корисник не може затражити преузимање података
Global Unsubscribe,Глобал Унсубсцрибе
GitHub Sync ID,ГитХуб Синц ИД
DocType can only be renamed by Administrator,ДоцТипе може бити преименован само од стране администратора
Datetime,Датум време
Website Route Meta,Вебсите Роуте Мета
Something went wrong during the token generation. Please request again an authorization code.,Нешто је кренуло наопако током генерације симбола. Поново затражите ауторизацијски код.
Point Allocation Periodicity,Периодика доделе тачака
Click here to check your usage or upgrade to a higher plan,Кликните овде да бисте проверили употребу или надоградњу на виши план
Confirm Deletion of Data,Потврдите брисање података
Unsubscribe Method,Унсубсцрибе Метход
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,Ове вредности ће се аутоматски ажурирати у трансакцијама и такође ће бити корисне за ограничавање дозвола за овог корисника о трансакцијама које садрже ове вредности.
Report Filters,Филтери извештаја
Select Columns,Изаберите Колоне
Participants,Учесници
Amended From,Амендед Фром
Your information has been submitted,Ваше информације су послате
Help Category,Категорија помоћи
Hide field in Report Builder,Сакриј поље у Израђивачу извештаја
1 month,1 месец
Select an existing format to edit or start a new format.,Изаберите постојећи формат да бисте уредили или покренули нови формат.
Embed image slideshows in website pages.,Уградите дијапројекције слика у странице веб-локације.
Mark as Spam,Означи као нежељену пошту
Data Migration Plan,План миграције података
Email Queue Recipient,Прималац е-поште за е-пошту
Do not allow user to change after set the first time,Не дозволите кориснику да промени након првог подешавања
Patch,Закрпа
Send alert if date matches this field's value,Пошаљи обавештење ако датум одговара вредности овог поља
Reference: {0} {1},Референца: {0} {1}
Default Print Format,Дефаулт Принт Формат
Load Balancing,Балансирање оптерећења
Postprocess Method,Постпроцесс Метход
zoom-out,зумирање
Role Permission for Page and Report,Дозвола за улоге за страницу и извјештај
Header Image,Слика заглавља
QZ Tray Connection Active!,КЗ Траи Цоннецтион је активан!
Misc,Мисц
You,ти
star,Звезда
Title field must be a valid fieldname,Поље за наслов мора бити важеће име поља
Switch To Desk,Пребаци на радни сто
End Date Field,Поље за крај датума
Show as Grid,Прикажи као мрежу
Receipient,Пријемник
Content (Markdown),Садржај (Маркдовн)
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","Додајте као комуникацију против овог ДоцТипе-а (мора да има поља &quot;Статус&quot;, &quot;Субјецт&quot;)"
Field Type,Фиелд Типе
Can't identify open {0}. Try something else.,Не може се идентификовати отворено {0}. Пробај нешто друго.
or,или
Your connection request to Google Calendar was successfully accepted,Ваш захтев за везу са Гоогле календаром је успешно прихваћен
Last Login,Последње пријављивање
Google Apps Script,Скрипт Гоогле Аппс
Common names and surnames are easy to guess.,Уобичајена имена и презимена лако се могу погодити.
Rgt,Ргт
Print with letterhead,Штампајте са заглављем
New value to be set,Нова вредност која треба да се подеси
Text Content,Садржај текста
{0} Modules,{0} Модули
Report Builder,Репорт Буилдер
download-alt,довнлоад-алт
{0}: Cannot set Assign Amend if not Submittable,{0}: Није могуће подесити Додели измени ако није поднет
Field to Track,Поље за праћење
Generate Keys,Генерате Кеис
Unshared,Унсхаред
Saved,Сачувано
OAuth Client,ОАутх Цлиент
Disable Standard Email Footer,Онемогући подножје стандардне е-поште
Print Format {0} is disabled,Принт Формат {0} је онемогућен
Queued for backup. You will receive an email with the download link,У реду за чекање. Примићете поруку е-поште са везом за преузимање
Third Party Apps,Апликације треће стране
Geo,Гео
View All,Погледати све
Milestone,Милестоне
Activity log of all users.,Дневник активности свих корисника.
Query Report,Куери Репорт
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)","Покрените валидне методе као што су &quot;бефоре_инсерт&quot;, &quot;афтер_упдате&quot;, итд. (Зависи од изабраног ДоцТипе-а)"
File Manager,Филе Манагер
Cannot change docstatus from 0 to 2,Није могуће променити доцстатус од 0 до 2
No permission to {0} {1} {2},Нема дозволе за {0} {1} {2}
Reason,Разлог
Open a module or tool,Отворите модул или алат
Disable Customer Signup link in Login page,Онемогући везу за пријаву корисника на страници за пријављивање
Slack Webhook URL,Слацк Вебхоок УРЛ
Report cannot be set for Single types,Извештај се не може подесити за појединачне типове
PDF Page Size,Величина ПДФ странице
City,Цити
Certificate,Потврда
This will permanently remove your data.,Ово ће трајно уклонити ваше податке.
warning-sign,Знак упозорења
Entity Name,Име ентитета
align-right,алигн-ригхт
Last Updated On,Ласт Упдатед Он
Action,поступак
Client key is required,Потребан је кључ клијента
Notifications,Обавештења
mm/dd/yyyy,мм / дд / гггг
Custom Report,Прилагођени извештај
Options required for Link or Table type field {0} in row {1},Потребне опције за поље типа везе или табеле {0} у реду {1}
info-sign,инфо-знак
Chart Type,Цхарт Типе
Add a tag ...,Додај ознаку ...
ap-northeast-2,ап-нортхеаст-2
Setup Notifications based on various criteria.,Обавештења о подешавању заснована на различитим критеријумима.
Standard Reports,Стандард Репортс
"Repeats like ""aaa"" are easy to guess",Понављање као што је &quot;ааа&quot; је лако погодити
e.g. pop.gmail.com / imap.gmail.com,нпр. поп.гмаил.цом / имап.гмаил.цом
'Recipients' not specified,&#39;Приматељи&#39; нису наведени
"On {0}, {1} wrote:","У {0}, {1} је написао / ла:"
{0} are currently viewing this document,{0} тренутно прегледава овај документ
Contact,Контакт
LDAP Username Field,Поље ЛДАП корисничког имена
Options {0} must be the same as doctype name {1} for the field {2},Опције {0} морају бити исте као и име доцтипе {1} за поље {2}
"{0} field cannot be set as unique in {1}, as there are non-unique existing values","Поље {0} не може бити постављено као јединствено у {1}, јер постоје не-јединствене постојеће вредности"
Social Logins,Социал Логинс
Trash,Смеће
Secret Key,Тајни кључ
Default Redirect URI,Дефаулт Редирецт УРИ
Adds a custom field to a DocType,Додаје прилагођено поље у ДоцТипе
Path to private Key File,Пут до приватног кључа
Download,Преузимање
You are not permitted to view the newsletter.,Није вам дозвољено да видите билтен.
Add User Permissions,Додајте корисничке дозволе
Go to this URL after completing the form (only for Guest users),Идите на овај УРЛ након попуњавања обрасца (само за госте који користе)
Select Column,Изаберите колону
Every day events should finish on the same day.,Свакодневни догађаји треба да се заврше истог дана.
High,Високо
"Don't know, ask 'help'","Не знам, питајте &quot;помоћ&quot;"
Invite as User,Позови као корисник
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.","Ваш упит је примљен. Ускоро ћемо одговорити. Ако имате додатне информације, молимо Вас да одговорите на ову поруку."
Workflow Transition,Воркфлов Транситион
"Dear System Manager,","Поштовани Систем менаџеру,"
Invalid Email Account,Неважећи налог е-поште
Cannot change state of Cancelled Document. Transition row {0},Није могуће променити стање Отказаног документа. Прелазни ред {0}
Highlight,Хигхлигхт
Resume Sending,Ресуме Сендинг
Suspend Sending,Суспенд Сендинг
Search,Претрага
Pending Verification,у току верификација
Doctypes,Доцтипес
Send Read Receipt,Пошаљи прочитану потврду
Filters JSON,Филтри ЈСОН
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.
<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook","УРИ-и за примање ауторизационог кода када корисник дозволи приступ, као и одговоре на грешке. Обично је РЕСТ крајња тачка изложена од стране клијентске апликације. <br> нпр. хттп: //хостнаме//апи/метход/фраппе.ввв.логин.логин_виа_фацебоок"
Banner HTML,Баннер ХТМЛ
Seems Publishable Key or Secret Key is wrong !!!,Изгледа да је издавачки кључ или тајни кључ погрешан!
IP Address,ИП адреса
Email Sent?,Емаил послат?
Workflow State not set,Стање тока посла није постављено
Delivery Status,Статус испоруке
Use IMAP,Користи ИМАП
Based On,На бази
Only Allow Edit For,Само допусти уређивање за
Sales Manager,Менаџер продаје
Submit {0} documents?,Пошаљите {0} докумената?
Images,Имагес
"Filtered by ""{0}""",Филтрирано према &quot;{0}&quot;
Hide Copy,Хиде Цопи
Friday,Петак
User,Усер
Monthly,Мјесечно
Filter Values,Вредности филтера
LDAP Server Url,Урл ЛДАП сервера
Destination ID,ИД одредишта
Fieldname not set for Custom Field,Име поља није постављено за прилагођено поље
e.g. replies@yourcomany.com. All replies will come to this inbox.,ег ансверс@иоурцомани.цом. Сви одговори ће доћи у ову инбок.
Standard Print Style cannot be changed. Please duplicate to edit.,Стандардни стил штампања се не може мењати. Молимо да дуплирате да бисте уредили.
Title Field,Титле Фиелд
Could not connect to outgoing email server,Није могуће повезати се са сервером за одлазну е-пошту
File URL,УРЛ датотеке
Likes,Свиђа
You need to be logged in and have System Manager Role to be able to access backups.,Морате бити пријављени и имати улогу у програму Систем Манагер да бисте могли да приступате резервним копијама.
First Level,Први ниво
Short Name,Кратко име
Permission Rules,Правила дозволе
Row No,Ред Но
Email Group Member,Члан групе е-поште
Cannot {0} {1},Није могуће {0} {1}
Please select DocType first,Прво изаберите ДоцТипе
Spam,Спам
Google Services,Гоогле Сервицес
Save,сачувати
Website Sidebar,Сидебар веб сајта
No permission for {0},Нема дозволе за {0}
Your payment has been successfully registered.,Ваша уплата је успешно регистрована.
Import Zip,Импорт Зип
Gender,Род
thumbs-down,палац доље
SEO,СЕО
Queue should be one of {0},Ред треба да буде један од {0}
Cannot set Notification on Document Type {0},Није могуће подесити обавештење на тип документа {0}
Adding System Manager to this User as there must be atleast one System Manager,Додавање Систем Манагер-а овом кориснику јер мора постојати најмање један Систем Манагер
Welcome email sent,Послата е-пошта добродошлице
Chaining Hash,Цхаининг Хасх
Maintenance Manager,Менаџер одржавања
show,схов
Share URL,УРЛ за дељење
Set the display label for the field,Поставите ознаку екрана за поље
Unsupported File Format,Неподржани формат датотеке
Two Factor Authentication,Аутентификација са два фактора
Specify the value of the field,Одредите вредност поља
Frappe Framework,Фраппе Фрамеворк
Commented on {0}: {1},Коментирано на {0}: {1}
Set Value,Подешена вредност
Show all Versions,Прикажи све верзије
Submit,прихвати
This may get printed on multiple pages,Ово се може одштампати на више страница
Get your globally recognized avatar from Gravatar.com,Набавите свој глобално признати аватар из Граватар.цом
Client ID,ИД клијента
Default Letter Head,Дефаулт Леттер Хеад
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Правила о томе како су стања транзиције, као што је следеће стање и која је улога дозвољена да промени стање итд."
ESC,ИЗАЋИ
"States for workflow (e.g. Draft, Approved, Cancelled).","Државе за ток посла (нпр. Нацрт, Одобрено, Отказано)."
Today,Данас
Notification,Нотифицатион
Show only errors,Прикажи само грешке
Review,Ревиев
Rows Removed,Ровс Ремовед
Google Credentials,Гоогле акредитиви
Or login with,Или се пријавите са
Record does not exist,Запис не постоји
New Report name,Ново име извештаја
leaf,Лист
Invalid Outgoing Mail Server or Port,Неисправан одлазни послужитељ поште или порт
Email Server,Емаил Сервер
For,За
Recipient Unsubscribed,Претплаћени претплатник
Download Data,Довнлоад Дата
Unknown Print Format: {0},Непознат формат штампања: {0}
Search or Create a New Chat,Претражите или Креирајте нови цхат
Draft,Драфт
Assignment Rule User,Корисник правила додељивања
Madam,Мадам
Custom Reports,Прилагођени извештаји
{0} cannot be set for Single types,{0} се не може подесити за појединачне типове
Base URL,Басе УРЛ
Web View,Веб Виев
"to be generated. If delayed, you will have to manually change the ""Repeat on Day of Month"" field
of this","да се генерише. Ако се одложите, морат ћете ручно промијенити поље &quot;Понови на дан у мјесецу&quot;"
Creating {0},Прављење {0}
List,Листа
th-large,тх-ларге
{0}: Cannot set Assign Submit if not Submittable,{0}: Није могуће подесити Додели слање ако није доступно
Not Linked to any record,Није повезан ни са једним записом
Content,Садржај
Allow Self Approval,Аллов Селф Аппровал
Page has expired!,Страница је истекла!
Created By,Цреатед Би
Unread Notification Sent,Унреад Нотифицатион Сент
Validity,Пуноважност
Leave blank for new records,Оставите празно за нове записе
Attached To Field,Приложено поље
Rename many items by uploading a .csv file.,Преименујте више ставки тако што ћете отпремити .цсв датотеку.
Optional: The alert will be sent if this expression is true,Опционално: упозорење ће бити послато ако је овај израз тачан
Backup job is already queued. You will receive an email with the download link,Задатак резервне копије је већ у реду чекања. Примићете поруку е-поште са везом за преузимање
SMS Parameter,СМС Параметер
hand-right,руком десно
Banner is above the Top Menu Bar.,Баннер је изнад горње траке менија.
Invalid Password,Неисправна лозинка
1 month ago,Пре 1 месец
App Client ID,ИД клијента апликације
Currency,Валута
Banner,Баннер
Document Type,Тип документа
Folder name should not include '/' (slash),Назив фасцикле не треба да садржи &quot;/&quot; (косу црту)
Simultaneous Sessions,Симултанеоус Сессионс
Add a new section,Додајте нови одељак
Goal,Гоал
CSS,ЦСС
"If a Role does not have access at Level 0, then higher levels are meaningless.","Ако улога нема приступ на нивоу 0, онда су виши нивои бесмислени."
Reference Type,Референце Типе
"Allowing DocType, DocType. Be careful!","Дозвољава ДоцТипе, ДоцТипе. Бити пажљив!"
Domain Settings,Подешавања домена
Dynamic Report Filters,Динамички филтери извештаја
Appreciation,Уважавање
{0} must be set first,Прво мора да се подеси {0}
Chat Room Name,Цхат Роом Наме
Res: {0},Рес: {0}
Single Post (article).,Сингле Пост (чланак).
Unzipped {0} files,Унзиппед {0} датотека
Report Manager,Репорт Манагер
Link Title,Наслов наслова
Failed while amending subscription,Неуспјешна измјена претплате
Share {0} with,Делите {0} са
Amount,Износ
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,Недостаје страница коју тражите. То може бити зато што је премјештено или постоји грешка у вези.
Medium,Средње
Send only if there is any data,Пошаљи само ако постоје подаци
Continue,Настави
LDAP Settings,Поставке ЛДАП-а
Webhook Request,Вебхоок Рекуест
Assignment Completed,Ассигнмент Цомплетед
Relink,Релинк
Please save the document before assignment,Сачувајте документ пре доделе
Meeting,Састанак
DocType or Field,ДоцТипе или Фиелд
Reverse Icon Color,Реверсе Ицон Цолор
Stores the JSON of last known versions of various installed apps. It is used to show release notes.,Чува ЈСОН последње познате верзије различитих инсталираних апликација. Користи се за приказивање напомена о издању.
Enable Scheduled Jobs,Омогући заказане послове
Invalid Mail Server. Please rectify and try again.,Неважећи маил сервер. Исправите и покушајте поново.
More content for the bottom of the page.,Више садржаја за дно странице.
You are not allowed to delete a standard Website Theme,Није вам дозвољено да обришете стандардну тему Веб локације
Please attach an image file to set HTML,Приложите датотеку слике да бисте поставили ХТМЛ
Not Equals,Нот Екуалс
Document Status,Статус документа
Seen By Table,Сеен Би Табле
{0} available out of {1},{0} доступно из {1}
Select Document Type or Role to start.,Изаберите Тип документа или Улога за почетак.
us-west-2,ус-вест-2
"Change type of field. (Currently, Type change is \
						allowed among 'Currency and Float')","Промените врсту поља. (Тренутно, Промена типа је дозвољена међу &#39;Валута и Флоат&#39;)"
Is Single,Је слободан
Create a New Format,Направите нови формат
Endpoint URL,УРЛ крајње тачке
Google,Гоогле
Department,Департмент
Please add a subject to your email,Додајте предмет е-пошти
exclamation-sign,знак узвика
Average,Просек
ok-sign,ок-сигн
Red,Црвено
"If checked, all other workflows become inactive.","Ако је означено, сви остали радни токови постају неактивни."
New Email Account,Нови налог е-поште
Assign To,Доделили
List Filter,Лист Филтер
Chart,Цхарт
Cannot Remove,Није могуће уклонити
