Connector Type,connector အမျိုးအစား
Fonts,fonts
Channel,channel
Opened,ဖွင့်လှစ်
Conditions,အခြေအနေများ
Don't have an account? Sign up,အကောင့်တစ်ခုရှိသည်မဟုတ်လော ဆိုင်းအပ်
Added {0},Added {0}
Create and Send Newsletters,သတင်းလွှာများ ဖန်တီး. Send
Footer Items,footer ပစ္စည်းများ
Website Slideshow Item,ဝဘ်ဆိုဒ်လိုက်ရှိုး Item
Register OAuth Client App,မှတ်ပုံတင်မည် OAuth လိုင်း App ကို
Frames,frames
List View Setting,စာရင်းကြည့်ရန်ပြင်ဆင်မှုအား
Data Export,ဒေတာကိုပို့ကုန်
Depends On,တွင်မူတည်
Widths can be set in px or %.,width px သို့မဟုတ်% သတ်မှတ်နိုင်ပါသည်။
Address and other legal information you may want to put in the footer.,လိပ်စာနှင့်သင်အောက်ခြေ၌ထားရန်လိုပေမည်သည်အခြားဥပဒေရေးရာသတင်းအချက်အလက်။
Document Type is not importable,စာရွက်စာတမ်းအမျိုးအစား Import မဟုတ်ပါဘူး
User {0} does not have access to this document,အသုံးပြုသူ {0} ဤစာရွက်စာတမ်းမှဝင်ရောက်ခွင့်ရှိသည်ပါဘူး
User Name,အသုံးပြုသူအမည်
UIDVALIDITY,UIDVALIDITY
via automatic rule {0} on {1},အော်တိုအုပ်ချုပ်မှုကိုမှတဆင့် {0} {1} အပေါ်
You are not connected to Internet. Retry after sometime.,သငျသညျကိုအင်တာနက်ချိတ်ဆက်မရှိကြပေ။ တစ်ချိန်ချိန်ပြီးနောက်ပြန်ကြိုးစားမည်။
Transition Rules,အကူးအပြောင်းစည်းကမ်းများ
resize-vertical,ဆိုဒ်ပြောင်းရန်-ဒေါင်လိုက်
Shared With,အတူမျှဝေ
Add Row,Row Add
th-list,ကြိမ်မြောက်-စာရင်း
Subdomain,subdomain
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","သူတို့ရည်ရွယ်ချက်ရှိရှိဒီလယ်ကွင်းများတွင်အသုံးပြုနိုင်အဖြစ်, &lt;script ကို&gt; သို့မဟုတ်ပဲဇာတ်ကောင်များကဲ့သို့ &lt;သို့မဟုတ်&gt; တူသောမဟုတ် HTML ကို encoding က HTML tags များလုပ်ပါ"
; not allowed in condition,; အခြေအနေခွင့်မပြု
Two Factor Authentication method,နှစ်ဦးက factor authentication နည်းလမ်း
New Message from Website Contact Page,ဝဘ်ဆိုဒ်ကိုဆက်သွယ်ရန်စာမျက်နှာကနေ New ကိုကို Message
"Your download is being built, this may take a few moments...","သင့်ရဲ့ download, ဒီအနည်းငယ်အချိန်လေးယူစေခြင်းငှါ, built နေပါသည် ..."
Compact Item Print,ကျစ်လစ်သိပ်သည်း Item ပုံနှိပ်ပါ
Lft,Lft
align-justify,align-တရားမျှတ
Saving...,သိမ်းဆည်းခြင်း ...
Error Report,မှားယွင်းနေသည်အစီရင်ခံစာ
{0} changed {1} to {2},{0} {2} မှ {1} ပြောင်းလဲသွားတယ်
Active,active
Export Report: {0},ပို့ကုန်အစီရင်ခံစာ: {0}
"Login session expired, refresh page to retry","login session ကိုပြန်ကြိုးစားရန်, ရဲ့ Refresh စာမျက်နှာကုန်ဆုံး"
System Manager,System ကို Manager က
Short keyboard patterns are easy to guess,က Short ကီးဘုတ်ပုံစံများကိုခန့်မှန်းရန်မလွယ်ကူများမှာ
Enable Incoming,ဝင်လာသော Enable
"Level 0 is for document level permissions, \
								higher levels for field level permissions.","level 0 င်သောလယ်အဆင့်ကိုခွင့်ပြုချက်များအတွက်အဆင့်မြင့် \, စာရွက်စာတမ်းအဆင့်အထိခွင့်ပြုချက်အဘို့ဖြစ်၏။"
City/Town,မြို့တော် / မြို့
GMail,GMail
"This will reset your current theme, are you sure you want to continue?","ဒါဟာသင့်ရဲ့လက်ရှိဆောင်ပုဒ်ကို reset မည်, သငျသညျကိုဆက်လက်သင်သေချာပြီလားရှိပါသလဲ"
Mandatory fields required in {0},{0} အတွက်လိုအပ်သည့်မသင်မနေရလယ်ကွင်း
Error while connecting to email account {0},{0} အကောင့်အီးမေးလ်ကိုဆက်သွယ်နေစဉ်အမှား
An error occured while creating recurring,ထပ်တလဲလဲကိုစဉ်တွင်အမှားတစ်ခုဖြစ်ပေါ်နေပါသည်
Not a zip file,မဇစ်ဖိုင်
Port,ဆိပ်ကမ်း
Invalid Access Key ID or Secret Access Key.,မှားနေသော Access ကို Key ကို ID သို့မဟုတ်လျှို့ဝှက် Access ကို Key ကို။
Redirect URIs,သော URIs redirect
Font,font
Text Color,စာသားမအရောင်
I found these: ,ဒီတွေ့ရှိခဲ့:
Timeline DocType,timeline ကို DOCTYPE
File,ဖိုင်မှတ်တမ်း
Insert After cannot be set as {0},{0} အဖြစ်သတ်မှတ်ထားမရနိုင်ပြီးနောက်ထည့်ပါ
Drag elements from the sidebar to add. Drag them back to trash.,add ဖို့ sidebar မှာရှိတဲ့ element တွေကိုဆွဲယူပါ။ နောက်ကျောအမှိုက်မှသူတို့ကိုဆွဲယူပါ။
Chat Profile for User {0} exists.,အသုံးပြုသူ {0} တည်ရှိဘို့ကိုယ်ရေးဖိုင် chat ။
Default Role at Time of Signup,Signup ၏အချိန်မှာ default အခန်းက္ပ
Table MultiSelect,စားပွဲတင် MultiSelect
Form Settings,form ကိုချိန်ညှိမှုများ
{0} self assigned this task: {1},{1}: ဤတာဝန်တာဝန်ပေးအပ် {0} မိမိကိုယ်မိမိ
Relapses,Relapses
Notify users with a popup when they log in,သူတို့အတွက် log သည့်အခါတစ်ဦးပေါ့ပ်အပ်နှင့်အတူအသုံးပြုသူများကိုအကြောင်းကြားရန်
Restrict user for specific document,တိကျတဲ့စာရွက်စာတမ်းများအတွက်အသုံးပြုသူကန့်သတ်ရန်
App Name,App ကိုအမည်
Delayed,နှောင့်နှေး
Your subscription has expired.,သင့်စာရင်းပေးသွင်းထားသက်တမ်းကုန်သွားပြီ။
Download Link,ဒေါင်းလုပ် Link ကို
"Standard DocType cannot have default print format, use Customize Form",စံ DOCTYPE Customize Form ကိုအသုံးပြု default အနေနဲ့ပုံနှိပ်ပုံစံရှိသည်မဟုတ်နိုင်ပါတယ်
Document States,စာရွက်စာတမ်းစတိတ်
Next,နောက်တစ်ခု
Pull Insert,Insert pull
minus,အနှုတ်
Event Category,အဖြစ်အပျက် Category:
Columns based on,အပေါ်အခြေခံပြီးကော်လံ
Edit Heading,Edit ကိုဦးခေါင်း
Received,Received
You are not permitted to access this page.,သင်ဤစာမျက်နှာဝင်ရောက်ဖို့ခွင့်ပြုမထားပေ။
User Social Login,အသုံးပြုသူလူမှုဝင်မည်
Write a Python file in the same folder where this is saved and return column and result.,ဒီကယ်တင်ခြင်းသို့ရောက်ကြသည်အဘယ်မှာရှိတူညီတဲ့ folder ထဲမှာတစ်ဦး Python ကိုဖိုင်ကိုရေးရန်နှင့်ကော်လံများနှင့်ရလဒ်ပြန်သွားပါ။
Purchase Manager,အရစ်ကျ Manager ကို
"target = ""_blank""",ပစ်မှတ် = &quot;_blank&quot;
New data will be inserted.,နယူးဒေတာဖြည့်စွက်ပါလိမ့်မည်။
Set Banner from Image,Image ကိုကနေ Banner Set
Prepared Report,ပြင်ဆင်ထားအစီရင်ခံစာ
Not allowed to print cancelled documents,ဖျက်သိမ်းစာရွက်စာတမ်းများပုံနှိပ်ခွင့်မပြု
Cannot delete {0} as it has child nodes,ဒါကြောင့်ကလေးက node များရှိပြီးအဖြစ် {0} မဖျက်နိုင်ပါ
Incorrect value in row {0}: {1} must be {2} {3},အတန်းများတွင်မှားယွင်းနေတန်ဖိုးကို {0}: {1} {2} {3} ရှိရမည်
Communicated via {0} on {1}: {2},{1} အပေါ် {0} ကနေတဆင့်ဆက်သွယ်: {2}
Plant,စက်ရုံ
Update Field,Update ကိုကွင်းဆင်း
Message-id,မက်ဆေ့ခ်ျကို-id သည်
Login Verification Code from {},login အတည်ပြု Code ကို {} ကနေ
Width of the input box,အဆိုပါ input ကို box ရဲ့ width
for generating the recurring,အဆိုပါထပ်တလဲလဲထုတ်လုပ်ဘို့
Payment Cancelled,ငွေပေးချေမှုရမည့်မှပယ်ဖျက်
Percent Complete,ရာခိုင်နှုန်းကိုအပြီးအစီး
Repeat on Day,နေ့တွင် Repeat
Home Address,အိမ်လိပ်စာ
Developer,developer
"Company is mandatory, as it is your company address","ဒါကြောင့်သင့်ရဲ့ကုမ္ပဏီလိပ်စာဖြစ်သကဲ့သို့ကုမ္ပဏီ, မဖြစ်မနေဖြစ်ပါသည်"
Wrong fieldname <b>{0}</b> in add_fetch configuration of custom script,ထုံးစံ script ၏ add_fetch ဖွဲ့စည်းမှုပုံစံမှား fieldname <b>{0}</b>
Time in seconds to retain QR code image on server. Min:<strong>240</strong>,ဆာဗာပေါ်တွင် QR ကုဒ်ကို image ကိုထိန်းသိမ်းထားဖို့စက္ကန့်အတွင်းအချိန်။ min: <strong>240</strong>
Home/Test Folder 2,နေအိမ် / စမ်းသပ်ခြင်း Folder ကို 2
You have a new message from: ,သင့်ထံမှအသစ်တစ်ခုကိုမက်ဆေ့ခ်ျကိုရှိသည်:
{0} in row {1} cannot have both URL and child items,{0} အတန်းအတွက် {1} နှစ်ဦးစလုံးရဲ့ URL နှင့်ကလေးပစ္စည်းများရှိသည်မဟုတ်နိုင်ပါတယ်
Purple,ခရမ်းရောင်နု
Throttled,ရပ်စဲခံနေရသည်
Defines workflow states and rules for a document.,တစ်ဦးစာရွက်စာတမ်းများအတွက်လုပ်ငန်းအသွားအလာပြည်နယ်နှင့်စည်းမျဉ်းစည်းကမ်းတွေကိုသတ်မှတ်ပါတယ်။
Is Manual,လက်စွဲစာအုပ်ဖြစ်ပါသည်
Error Snapshot,မှားယွင်းနေသည်လျှပ်တစ်ပြက်
Tag,tag ကို
SUB-,ခွဲများ
Files,files
Parameter,parameter
First data column must be blank.,ပထမဦးစွာဒေတာကော်လံအလွတ်ဖြစ်ရပါမည်။
API Password,API ကို Password ကို
{0} updated,{0} updated
File Upload Disconnected. Please try again.,လွှတ်တင်ခြင်းအဆက်ပြတ်နေ File ။ ထပ်ကြိုးစားပါ။
Dynamic Link,dynamic Link ကို
"Customize Label, Print Hide, Default etc.","တံဆိပ်တပ်ရန်, ပုံနှိပ်ပါဖျောက် Customize, etc မူလသတ်မှတ်"
If you aren't using own publish Google Apps Script webapp you can use the default https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec ,သငျသညျကိုယ်ပိုင်ထုတ်ဝေ Google Apps Script webapp အသုံးမပြုနေတယ်ဆိုရင်သင်က default https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec ကိုသုံးနိုင်သည်
You do not have enough permissions to access this resource. Please contact your manager to get access.,သင်ဤအရင်းအမြစ်ရယူဖို့လုံလောက်တဲ့ခွင့်ပြုချက်မရှိကြပါဘူး။ access ကိုရရန်သင့်မန်နေဂျာကိုဆက်သွယ်ပါ။
File {0} does not exist,ဖိုင်မှတ်တမ်း {0} မတည်ရှိပါဘူး
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0} ခိုင်လုံသောလုပ်ငန်းအသွားအလာပြည်နယ်မဟုတ်ပါဘူး။ သင့်ရဲ့လုပ်ငန်းအသွားအလာကို update များနှင့်ထပ်ကြိုးစားပါ။
Allowed In Mentions,ခုနှစ်တွင်ပြောဆိုရန်ခွင့်ပြု
MX,MX
Configure Charts,ဇယားကို configure
Operator must be one of {0},အော်ပရေတာ {0} တဦးဖြစ်ရပါမည်
If Owner,ပိုင်ရှင်ပါလျှင်
Trigger Name,ခလုတ်အမည်
Write titles and introductions to your blog.,သင့်ရဲ့ Blog ကိုမှခေါင်းစဉ်နဲ့နိဒါနျးရေးပါ။
Remove Field,ဖျော်ဖြေမှု Remove
Collapse All,အားလုံးခေါက်သိမ်းရန်
Background Color,နောက်ခံအရောင်
There were errors while creating the document. Please try again.,စာရွက်စာတမ်းကိုနေချိန်မှာအမှားအယွင်းများရှိခဲ့သည်။ ထပ်ကြိုးစားပါ။
Successful,အောင်မြင်သော
Field {0} in row {1} cannot be hidden and mandatory without default,field {0} အတန်းအတွက် {1} က default မပါဘဲဝှက်ထားခြင်းနှင့်မဖြစ်မနေမရနိုငျ
Valid Login id required.,သက်တမ်းရှိဝင်မည်အိုင်ဒီလိုအပ်သည်။
Example:,ဥပမာ:
Owner,ပိုင်ဆိုင်သူ
Combination of Grant Type (<code>{0}</code>) and Response Type (<code>{1}</code>) not allowed,Grant ကအမျိုးအစား (များ၏ပေါင်းစပ် <code>{0}</code> ) နှင့်တုံ့ပြန်မှုအမျိုးအစား ( <code>{1}</code> ) ခွင့်မပြု
Delete {0} items permanently?,အမြဲတမ်း {0} ပစ္စည်းများကိုဖျက်မလား?
"If the user has any role checked, then the user becomes a ""System User"". ""System User"" has access to the desktop","အသုံးပြုသူ check လုပ်ထားမည်သည့်အခန်းကဏ္ဍရှိပါတယ်လျှင်, အသုံးပြုသူတစ်ဦး &quot;စနစ်အသုံးပြုသူ&quot; ဖြစ်လာသည်။ &quot;စနစ်အသုံးပြုသူက&quot; desktop ကိုမှဝင်ရောက်ခွင့်ရှိပါတယ်"
You are connected to internet.,သငျသညျအင်တာနက်ချိတ်ဆက်နေကြသည်။
Avoid recent years.,မကြာသေးမီနှစ်များအတွင်းရှောင်ကြဉ်ပါ။
Share,ဝေစု
Kanban Board,Kanban ဘုတ်အဖွဲ့
Api Access,api Access ကို
Send Email Alert,အီးမေးလ်သတိပေးချက်ပို့
Reference Date,ကိုးကားစရာနေ့စွဲ
X Axis Field,X ကိုဝင်ရိုးတန်းဖျော်ဖြေမှု
Script,script
Send Notifications for documents followed by me,ငါ့အားဖြင့်နောက်တော်သို့လိုက်စာရွက်စာတမ်းများများအတွက်အသိပေးချက်များ Send
Select DocType,DOCTYPE ကို Select လုပ်ပါ
Search Help,ရှာရန်အကူအညီ
OTP App,OTP App ကို
Level Name,level အမည်
Settings for OAuth Provider,OAuth ပေးသူအတွက်ဆက်တင်များ
Invalid Request,မှားနေသောတောင်းဆိုခြင်း
Authentication,Authentication ကို
Leave blank to repeat always,အမြဲပြန်လုပ်မှအလွတ် Leave
Invalid module path,မှားနေသော module ကိုလမ်းကြောင်း
One Time Password (OTP) Registration Code from {},{} ကနေတစျခုမှာအချိန် Password ကို (OTP) မှတ်ပုံတင်ခြင်း Code ကို
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)","ဝက်ဘ်ဆိုက်ပင်မစာမျက်နှာကြောင်း Link ကို။ စံ Links များ (အညွှန်းကိန်းရဲ့ login, ထုတ်ကုန်, ဘလော့အကြောင်း, အဆက်အသွယ်)"
Footer will display correctly only in PDF,footer သာ PDF ဖိုင်ရယူရန်အတွက်မှန်ကန်စွာပြသပေးမှာ
You cannot give review points to yourself,သင်ကိုယ်တိုင်မှပြန်လည်သုံးသပ်အချက်များကိုမပေးနိုငျပါ
Reports,အစီရင်ခံစာများ
Bypass restricted IP Address check If Two Factor Auth Enabled,နှစ်ဦး Factor Auth Enabled လိုလျှင် Bypass လုပ်ရ IP Address ကိုစစ်ဆေးမှုများကန့်သတ်
"Seems issue with server's razorpay config. Don't worry, in case of failure amount will get refunded to your account.","ပြဿနာဆာဗာ၏ razorpay config ကိုအတူပုံရသည်။ ကျရှုံးခြင်းပမာဏ၏အမှု၌သင့်အကောင့်ပြန်အမ်းရလိမ့်မည်, မစိုးရိမ်ပါနဲ့။"
Option 1,option ကို 1
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),သာဤ IP လိပ်စာကနေအသုံးပြုသူကန့်သတ်ရန်။ အကွိမျမြားစှာ IP လိပ်စာများကိုကော်မာနှင့်အတူခွဲထုတ်ခြင်းဖြင့်ထည့်သွင်းနိုင်ပါတယ်။ ဒါ့အပြင် (111.111.111) ကဲ့သို့သောတစ်စိတ်တစ်ပိုင်း IP လိပ်စာများလက်ခံ
chevron-down,Chevron-Down
Language Code,ဘာသာစကား Code ကို
Unread,မဖတ်ရသေးသော
Show Log,ပြပွဲမှတ်တမ်း
backward,နောက်ပြန်
Bar,ဘား
Enter url parameter for message,မက်ဆေ့ခ်ျကိုများအတွက် url ကို parameter သည် Enter
New Custom Print Format,နယူးစိတ်တိုင်းကျပုံနှိပ်ပါစီစဉ်ဖွဲ့စည်းမှုပုံစံ
{0} {1} already exists,{0} {1} ပြီးသားတည်ရှိ
Purchase User,ဝယ်ယူအသုံးပြုသူ
Insert,ထည့်သွင်း
Route to Success Link,အောင်မြင်မှု Link ကိုမှလမ်းကြောင်း
Username {0} already exists,username {0} ပြီးသားတည်ရှိ
Is Home Folder,မူလစာမျက်နှာ Folder ကို Is
Type:,အမျိုးအစား:
Is Pinned,Pinned ဖြစ်ပါတယ်
No permission to '{0}' {1},ရန် &#39;&#39; {0} &#39;{1} ခွင့်ပြုချက်မရှိ
Patch Log,patch Log in ဝင်ရန်
Print Format Builder,ပုံနှိပ်ပါ Format ကို Builder
"If enabled, all users can login from any IP Address using Two Factor Auth. This can also be set only for specific user(s) in User Page","enabled ရှိလျှင်, အားလုံးအသုံးပြုသူများသည်နှစ်ဦး Factor Auth ကိုအသုံးပြုပြီးမည်သည့် IP Address ကိုကနေ login နိုင်ပါတယ်။ ဤသည်ကိုလည်းအသုံးပြုသူစာမျက်နှာများတွင်သာသတ်သတ်မှတ်မှတ်အသုံးပြုသူ (s) ကိုအဘို့သတ်မှတ်နိုင်ပါသည်"
only.,သာ။
The Condition '{0}' is invalid,အဆိုပါအခြေအနေ &#39;&#39; {0} &#39;မမှန်ကန်
Day of Week,အပတ်၏နေ့
Text Editor,စာသားမ Editor ကို
Cut,ဖြတ်
Search or type a command,command တစ်ခုရှာရန်သို့မဟုတ်ရိုက်ထည့်
Settings...,ဆက်တင်များ ...
Number of DB backups cannot be less than 1,DB Backup တွေကိုအရေအတွက် 1 ထက်လျော့နည်းမဖွစျနိုငျ
ban-circle,ပိတ်ပင်ထားမှု-စက်ဝိုင်း
Excel,Excel
Support Email Address Not Specified,မသတ်မှတ်ရသေးပါပံ့ပိုးမှုအီးမေးလ်လိပ်စာ
Published,Published
"Note: For best results,  images must be of the same size and width must be greater than height.",မှတ်ချက်: အကောင်းဆုံးရလဒ်များကိုများအတွက်ပုံရိပ်တွေအတူတူပင်အရွယ်အစားနှင့်အကျယ်၏ဖြစ်ရမည်အမြင့်ထက် သာ. ကြီးမြတ်ဖြစ်ရပါမည်။
This is a top-10 common password.,ဒါကထိပ်တန်း-10 ဘုံစကားဝှက်ဖြစ်ပါတယ်။
Rebuild,ပြန်. ဆောက်လုပ်
Razorpay Payment gateway settings,Razorpay ငွေပေးချေမှုရမည့်တံခါးပေါက် settings ကို
Brand Image,ကုန်အမှတ်တံဆိပ်ပုံရိပ်
Column Labels:,ကော်လံ Labels: ကဗျာ
Google GSuite Templates to integration with DocTypes,DOCTYPE နှင့်အတူပေါင်းစပ်ဖို့ Google က GSuite Templates ကို
Orientation,အရှေ့တိုင်းဆန်
Assign,သတ်မှတ်
For example if you cancel and amend INV004 it will become a new document INV004-1. This helps you to keep track of each amendment.,သငျသညျကိုပယ်ဖျက်ရန်နှင့် INV004 ပြင်ဆင်ရန်လျှင်ဥပမာအားကြောင့်အသစ်တခုစာရွက်စာတမ်း INV004-1 ဖြစ်လာပါလိမ့်မယ်။ ဤသူသည်သင်တို့အသီးအသီးပြင်ဆင်ရေးခြေရာခံစောင့်ရှောက်ရန်ကူညီပေးသည်။
From Date Field,နေ့စွဲ Field မှ
Add script for Child Table,ကလေးစားပွဲတင်များအတွက် script ကို Add
View Comment,ကြည့်ရန်မှတ်ချက်
Ignore User Permissions,အသုံးပြုသူခွင့်ပြုချက်များလျစ်လျူရှု
{0} from {1} to {2},{0} {1} ကနေ {2} မှ
Add Contacts,ဆက်သွယ်ရန် Add
Email Account,အီးမေးအကောင့်
This month,ဤလတွင်
Last Modified By,နောက်ဆုံးအားဖြင့်ပြင်ဆင်ထားသော
Width,width
{0} subscribers added,ကဆက်ပြောသည် {0} တဲ့ subscribers
Get Contacts,ဆက်သွယ်ရန် get
{0} {1} added,{0} {1} ကဆက်ပြောသည်
picture,ရုပ်ပုံ
Please select a new name to rename,အမည်ပြောင်းရန်နာမသစ်ကို select ပေးပါ
File Upload,file ကိုလွှတ်တင်ခြင်း
Add New Permission Rule,နယူးခွင့်ပြုချက်နည်းဥပဒေ Add
"Print Width of the field, if the field is a column in a table",လယ်ပြင်၌တစ်ဦး table ထဲမှာတစ်ကော်လံလျှင်လယ်၌အကျယ် Print
retweet,Retweet
Models (building blocks) of the Application,အဆိုပါလျှောက်လွှာများ၏မော်ဒယ်များ (အဆောက်အဦလုပ်ကွက်)
Sidebar and Comments,sidebar နှင့်ထင်မြင်ချက်များ
User Permissions created sucessfully,sucessfully created အသုံးပြုသူခွင့်ပြုချက်များ
In Reply To,ရန်စာပြန်ရန်အတွက်
circle-arrow-down,စက်ဝိုင်း-မြှား-Down
Searching ...,ရှာဖွေခြင်း ...
File Name,ဖိုင်နာမည်
Printer Settings,ပရင်တာက Settings
"Oops, you are not allowed to know that","သည်းခံပါ, သင်သိရခွင့်ပြုခဲ့ကြသည်မဟုတ်"
Restore or permanently delete a document.,Restore သို့မဟုတ်အမြဲတမ်းအတွက်တစ်ဦးစာရွက်စာတမ်းဖျက်ပစ်ပါမည်။
no failed attempts,ကြိုးစားမှုမအောင်မြင်ခဲ့ခြင်းမရှိ
Kanban Board Column,Kanban ဘုတ်အဖွဲ့ကော်လံ
use % as wildcard,သံခိတ်အဖြစ်% ကိုအသုံး
Blocked,ပိတ်ဆို့
Import Log,သွင်းကုန်ပါ
Chat messages and other notifications.,မက်ဆေ့ခ်ျများနှင့်အခြားအသိပေးချက်များကို chat ။
Get Alerts for Today,ယနေ့တွင်များအတွက်သတိပေးချက်များကိုရယူပါ
Google Maps Settings,Google Maps ကိုချိန်ညှိမှုများ
Toggle Charts,ခလုတ်ဇယား
A4,A4
Set Password,Set Password ကို
{0} Report,{0} အစီရင်ခံစာ
Mapping,မြေပုံ
A Lead with this Email Address should exist,ဒီအီးမေးလ်လိပ်စာနှင့်အတူတစ်ဦးကဦးဆောင်တည်ရှိသင့်တယ်
Seems token you are using is invalid!,သင်အသုံးပြုနေသောလက္ခဏာသက်သေမမှန်ကန်ပုံရသည်!
Assigned To/Owner,/ ပိုင်ရှင်ရန်တာဝန်ပေး
Invalid Subscription,မှားနေသော Subscription
Tasks,လုပ်ငန်းတာဝန်များ
You lost some energy points,သငျသညျအခြို့သောစွမ်းအင်ကိုမှတ်ဆုံးရှုံးခဲ့ရ
"List as [{""label"": _(""Jobs""), ""route"":""jobs""}]","အဖြစ်စာရင်း [{: _ ( &quot;ဂျော့&quot;), &quot;လမ်းကြောင်း&quot;: &quot;တံဆိပ်&quot; &quot;အလုပ်အကိုင်အခွင့်အ&quot;}]"
Users,အသုံးပြုသူများသည်
UIDNEXT,UIDNEXT
There were errors while sending email. Please try again.,အီးမေးလ်ပို့နေစဉ်အမှားအယွင်းများရှိခဲ့သည်။ ထပ်ကြိုးစားပါ။
Last Month,နောက်ဆုံးလ
e.g. smtp.gmail.com,ဥပမာ smtp.gmail.com
There must be atleast one permission rule.,atleast တဦးတည်းခွင့်ပြုချက်အုပ်ချုပ်မှုကိုရှိပါတယ်ဖြစ်ရမည်။
Show Totals,Show ကိုစုစုပေါင်းများ
Push Delete,Delete Push
Request URL,တောင်းဆိုမှု URL ကို
Forward To Email Address,ရှေ့ဆက်အီးမေးလ်လိပ်စာရန်
Select Print Format,ပုံနှိပ်ပါစီစဉ်ဖွဲ့စည်းမှုပုံစံကိုရွေးချယ်ပါ
Remote Fieldname,ဝေးလံခေါင်သီ Fieldname
Is Globally Pinned,တစ်ကမ္ဘာလုံး Pinned ဖြစ်ပါတယ်
Failed to complete setup,setup ကိုဖြည့်စွက်ရန်မအောင်မြင်ခဲ့ပါ
"""Parent"" signifies the parent table in which this row must be added",&quot;မိဘ&quot; ဒီအတန်းကဆက်ပြောသည်ရမည်ဖြစ်သည့်အတွက်မိဘစားပွဲပေါ်မှာနေတဲ့အကြောင်းအချက်ပြ
Trigger Method,ခလုတ် Method ကို
Danger,အန္တရာယ်
To User,အသုံးပြုသူမှ
Doc Events,doc ပွဲများ
Failed,Failed
Administrator accessed {0} on {1} via IP Address {2}.,အုပ်ချုပ်ရေးမှူး IP Address ကို {2} ကနေတဆင့် {1} အပေါ် {0} ဝင်ရောက်။
{0}: Permission at level 0 must be set before higher levels are set,{0}: အဆင့်မြင့်သတ်မှတ်ထားမီအဆင့်ကို 0 င်မှာပါခွင့်ပြုချက်မသတ်မှတ်ရမည်ဖြစ်သည်
Permission Level,ခွင့်ပြုချက်အဆင့်
Current Mapping Type,လက်ရှိမြေပုံအမျိုးအစား
Records for following doctypes will be filtered,DOCTYPE အောက်ပါများအတွက်မှတ်တမ်းများ filtered ပါလိမ့်မည်
Scheduler Last Event,Scheduler ကိုနောက်ဆုံးပွဲ
Report of all document shares,အားလုံးစာရွက်စာတမ်းရှယ်ယာအစီရင်ခံစာ
Website Sidebar Item,ဝက်ဘ်ဆိုက် Sidebar Item
To Do,လုပ်ရန်
"Select your Country, Time Zone and Currency","သင့်ရဲ့နိုင်ငံ, အချိန်ဇုန်နှင့်ငွေကြေးစနစ်ကို Select လုပ်ပါ"
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","ဒီနေရာမှာငြိမ် url parameters များကိုရိုက်ထည့်ပါ (ဥပမာ။ ပေးပို့သူ = ERPNext, အသုံးပြုသူအမည် = ERPNext, စကားဝှက် = 1234 etc)"
No Email Account,အဘယ်သူမျှမအီးမေးလ်အကောင့်ကို
Billing,ငွေတောင်းခံ
"Page to show on the website
",အဆိုပါ website တွင်ပြသနိုင်ဖို့စာမျက်နှာ
Chat Token,တိုကင် chat
Custom,ထုံးစံဓလေ့
Options for select. Each option on a new line.,ကို select လုပ်ပါအဘို့အ Options ကို။ အသစ်တစ်ခုကိုလိုင်းပေါ် option တခုစီ။
Both DocType and Name required,DOCTYPE နှင့်အမည်လိုအပ်သောနှစ်ဦးစလုံး
Every Day,နေ့တိုင်း
Label Help,တံဆိပ်အကူအညီ
Login token required,login လက္ခဏာသက်သေမလိုအပ်
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),တစ်ဦးစာရင်းကြည့်ရန်သို့မဟုတ်တစ် Grid အတွက်လယ်များအတွက်ကော်လံ၏နံပါတ် (စုစုပေါင်းကော်လံများထက်နည်း 11 ဖြစ်သင့်)
Category,အမျိုးအစား
Timespan,Timespan
Edit Profile,သင့်ရဲ့ကိုယ့်ရေးကိုယ်တာကိုပြုပြင်ရန်
Ref Report DocType,ref အစီရင်ခံစာ DOCTYPE
Expires In,ခုနှစ်တွင်သက်တမ်းကုန်ဆုံးမည်
Setup &gt; User,Setup ကို&gt; အသုံးပြုသူ
{0} mentioned you in a comment in {1},{0} {1} အတွက်မှတ်ချက်၌သင်တို့ကိုဖော်ပြခဲ့တဲ့
Edit...,Edit ကို ...
hidden,ဝှက်ထား
Rich Text,ကြွယ်ဝတဲ့စာသား
Accounts Manager,accounts ကို Manager က
Some information is missing,တချို့ကသတင်းအချက်အလက်ပျောက်ဆုံးနေ
Equals,တူညီသော
Not active,တက်ကြွမဟုတ်
Get Items,ပစ္စည်းများ get
Set numbering series for transactions.,အရောင်းအများအတွက်စီးရီးအရအေတှကျသတ်မှတ်မည်။
Next Scheduled Date,Next ကို Scheduled နေ့စွဲ
