Connector Type,커넥터 유형
PDF Settings,PDF 설정
Next Schedule Date,다음 일정 날짜
For Value,가치관
Update records,레코드 업데이트
Attach Your Picture,사진 첨부
question-sign,의문 부호
cn-northwest-1,CN- 노스 웨스트 -1
Read by Recipient,수신자가 읽음
Is Custom Field,사용자 정의 필드입니다.
{0} un-shared this document with {1},{0}이 문서를 {1}과 (과) 공유 취소했습니다.
Track Changes,변경 내용 추적
"For comparison, use &gt;5, &lt;10 or =324. For ranges, use 5:10 (for values between 5 &amp; 10).","비교를 위해&gt; 5, &lt;10 또는 = 324를 사용하십시오. 범위의 경우 5시 10 분 (5와 10 사이의 값에 대해)을 사용하십시오."
Get Fields,입력란 가져 오기
Filter must be a tuple or list (in a list),필터는 튜플 또는 목록이어야합니다 (목록에 있음).
Print Style Preview,인쇄 스타일 미리보기
Host,숙주
Max width for type Currency is 100px in row {0},통화 유형의 최대 너비는 {0} 행에서 100 픽셀입니다.
Rule,규칙
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1}은 (는) &quot;{2}&quot;일 수 없습니다. &quot;{3}&quot;중 하나 여야합니다.
OAuth Bearer Token,OAuth 무기명 토큰
Setup Wizard,설치 마법사
Toggle Chart,차트 전환
Current Mapping Action,현재 매핑 작업
Initial Sync Count,초기 동기화 횟수
Settings for Contact Us Page.,문의하기 페이지 설정.
Printing failed,인쇄 실패
You can't set 'Translatable' for field {0},{0} 필드에 &#39;번역 가능&#39;을 설정할 수 없습니다.
Sorry. You have reached the maximum user limit for your subscription. You can either disable an existing user or buy a higher subscription plan.,죄송합니다. 구독에 대한 최대 사용자 한도에 도달했습니다. 기존 사용자를 비활성화하거나 더 높은 가입 플랜을 구입할 수 있습니다.
Old Password Required.,이전 암호 필요.
Backup Limit,백업 제한
Liked by {0},{0}에 의해 좋아함
Left,왼쪽
Background Jobs,배경 직업
Files Size:,파일 크기 :
Enable,사용
GSuite script test,GSuite 스크립트 테스트
Integration Request,통합 요청
You need to be logged in to access this {0}.,이 {0}에 액세스하려면 로그인해야합니다.
Time Zones,시간대
View {0},보기 {0}
Allow Login using User Name,사용자 이름을 사용하여 로그인 허용
heart,심장
More,더
Posts,게시물
You are not allowed to print this report,이 보고서를 인쇄 할 수 없습니다.
Ctrl + Up,Ctrl + 위로
Unable to load camera.,카메라를로드 할 수 없습니다.
Monday,월요일
Charts,차트
Set Permissions on Document Types and Roles,문서 유형 및 역할에 대한 권한 설정
You can add dynamic properties from the document by using Jinja templating.,Jinja 템플릿을 사용하여 문서의 동적 속성을 추가 할 수 있습니다.
Frappe,프라페
Select File Format,파일 형식 선택
SMTP Server,SMTP 서버
Pending,대기중인
Add,더하다
See on Website,웹 사이트에서보기
Invalid Home Page,잘못된 홈페이지
Print Format Type,인쇄 형식 유형
No Permissions set for this criteria.,이 기준에 대한 사용 권한이 설정되지 않았습니다.
Expand All,모두 확장
Tag Doc Category,태그 닥 카테고리
Generated File,생성 된 파일
Notes,노트
Mark as Done,완료로 표시
Timeline field must be a Link or Dynamic Link,타임 라인 필드는 링크 또는 동적 링크 여야합니다.
Notifications and bulk mails will be sent from this outgoing server.,알림 및 대량 메일은 발신 서버에서 전송됩니다.
This is a top-100 common password.,이것은 상위 100 개의 공통 암호입니다.
Permanently Submit {0}?,{0}을 영구적으로 제출 하시겠습니까?
"{0} {1} does not exist, select a new target to merge",{0} {1}이 (가) 존재하지 않으므로 병합 할 새 대상을 선택하십시오.
Multiplier Field,배율기 필드
Workflow State Field,워크 플로 상태 필드
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.",서버의 braintree 구성에 문제가있는 것으로 보입니다. 실패 할 경우 걱정하지 마십시오. 금액이 귀하의 계정으로 환급됩니다.
Send alert if this field's value changes,이 입력란의 값이 변경되면 알림 전송
Auto Repeat,자동 반복
Invalid Credentials,잘못된 자격 증명
Subsidiary,자회사
Please select the Document Type.,문서 유형을 선택하십시오.
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","알 수없는 파일 인코딩. 시도 utf - 8, windows - 1250, windows - 1252."
The process for deletion of {0} data associated with {1} has been initiated.,{1}과 (과) 연관된 {0} 데이터를 삭제하는 프로세스가 시작되었습니다.
Settings for About Us Page.,회사 소개 페이지 설정.
Website Manager,웹 사이트 관리자
Backup Frequency,백업 빈도
Group Name,그룹 이름
Unsubscribe Param,Param 구독 취소
Sort Order,정렬 순서
Card Details,카드 정보
Idx,Idx
Confirm Your Email,귀하의 이메일 확인
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).",이 설정을 완료하면 사용자는 링크가있는 문서 (예 : Blog Post)에만 액세스 할 수 있습니다 (예 : Blogger).
Rejected,거부 됨
Admin,관리자
Slideshow Items,슬라이드 쇼 항목
Desk Access,데스크 액세스
Footer,보행인
System User,시스템 사용자
Return to the Verification screen and enter the code displayed by your authentication app,인증 화면으로 돌아가 인증 앱에서 표시 한 코드를 입력하십시오.
Some of the features might not work in your browser. Please update your browser to the latest version.,일부 기능은 브라우저에서 작동하지 않을 수 있습니다. 브라우저를 최신 버전으로 업데이트하십시오.
User Permissions,사용자 권한
{0} created this {1},{0}이 (가)이 {1}을 (를) 생성했습니다.
Number of Backups,백업 수
Last Known Versions,마지막으로 알려진 버전
Current,흐름
New {0},새 {0}
Add custom field Auto Repeat in the doctype {0},Doctype {0}에서 사용자 정의 필드 자동 반복을 추가하십시오.
Reqd,요구 사항
{0} appreciated your work on {1} with {2} points,{0}이 (가) {1}에 대한 귀하의 노력을 {2} 점으로 평가했습니다.
Zero means send records updated at anytime,0은 언제든지 레코드를 업데이트 함을 의미합니다.
Value cannot be changed for {0},{0}의 값을 변경할 수 없습니다.
Only {0} entries shown. Please filter for more specific results.,{0} 항목 만 표시되었습니다. 보다 구체적인 결과를 필터링하십시오.
Report Builder reports are managed directly by the report builder. Nothing to do.,보고서 작성기 보고서는 보고서 작성기에서 직접 관리합니다. 할 것이 없다.
Edit Filter,필터 편집
Auth URL Data,인증 URL 데이터
Has Attachments,첨부 파일 있음
Comment Type,댓글 유형
Download Backups,백업 다운로드
Reference DocType and Reference Name are required,참조 DocType 및 참조 이름 필요
Email not sent to {0} (unsubscribed / disabled),이메일이 {0} (수신 거부 / 사용 중지됨)으로 발송되지 않았습니다.
chevron-up,쉐브론 업
Submit on Creation,창조에 복종하십시오
Only Send Records Updated in Last X Hours,지난 X 시간 동안 업데이트 된 레코드 만 보내기
Column Name cannot be empty,열 이름은 비워 둘 수 없습니다.
Started,시작됨
Invalid fieldname '{0}' in autoname,autoname에서 필드 이름 &#39;{0}&#39;이 (가) 잘못되었습니다.
Archived,보관 됨
Only Administrator can save a standard report. Please rename and save.,관리자 만 표준 보고서를 저장할 수 있습니다. 이름을 바꾸고 저장하십시오.
Postal,우편 엽서
Page Length,페이지 길이
Relink Communication,다시 연결 통신
Master,석사
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account. ,이 계정에서 언급 된 이메일 주소를이 계정을 사용하여 보낸 모든 이메일의 보낸 사람으로 사용합니다.
Password reset instructions have been sent to your email,비밀번호 재설정 지침이 이메일로 전송되었습니다.
Not Permitted,허용되지 않음
Enable Comments,댓글 사용
Custom Format,사용자 정의 형식
"CC, BCC & Email Template","참조, 숨은 참조 및 이메일 템플릿"
Click on the link below to download your data,아래 링크를 클릭하여 데이터를 다운로드하십시오.
headphones,헤드폰
Not Allowed,허용되지 않음
Hide Standard Menu,표준 메뉴 숨기기
Sign Up,가입
Header HTML set from attachment {0},첨부 파일 {0}에서 설정 한 헤더 HTML
Dashboard Name,대시 보드 이름
Skip rows with errors,오류가있는 행 건너 뛰기
Please enter Client Secret before social login is enabled,소셜 로그인을 사용하기 전에 Client Secret을 입력하십시오.
This goes above the slideshow.,이것은 슬라이드 쇼 위에 있습니다.
Row #{0}:,행 # {0} :
Older backups will be automatically deleted,이전 백업은 자동으로 삭제됩니다.
Browser not supported,브라우저가 지원되지 않습니다.
Email Address,이메일 주소
Role,역할
Unhandled Email,처리되지 않은 이메일
To Date Field,날짜 필드
Sync,동조
Select File Type,파일 유형 선택
No Preview Available,미리보기 없음
Message Count,메시지 수
for the,그
eu-north-1,서북 1
"{0}: Only one rule allowed with the same Role, Level and {1}","{0} : 동일한 역할, 레벨 및 {1}에 대해 하나의 규칙 만 허용되었습니다."
You are not allowed to update this Web Form Document,이 웹 양식 문서를 업데이트 할 수 없습니다.
Maximum Attachment Limit for this record reached.,이 레코드의 최대 첨부 파일 한도에 도달했습니다.
Please make sure the Reference Communication Docs are not circularly linked.,참조 커뮤니케이션 문서가 순환 링크되지 않았는지 확인하십시오.
Allow in Quick Entry,빠른 입력 허용
Locals,지역 주민
To,에
values separated by commas,쉼표로 구분 된 값
Slack Channel,슬랙 채널
Invalid column,열이 잘못되었습니다.
Has Domain,도메인 있음
Y Axis Fields,Y 축 필드
S3 Backup complete!,S3 백업이 완료되었습니다!
Kanban,칸반
Is Standard,표준인가요?
Edit,편집하다
Invalid Login. Try again.,로그인 오류. 다시 시도하십시오.
Attachment,부착
Reference Document Type,참조 문서 유형
Loading,로드 중
Invalid,무효
"HTML Header, Robots and Redirects","HTML 헤더, 로봇 및 리디렉션"
Invalid Search Field {0},잘못된 검색 필드 {0}
There is an error in your Address Template {0},주소 템플릿 {0}에 오류가 있습니다.
Filter Name,필터 이름
Slideshow,슬라이드 쇼
A new document {0} has been shared by with you {1}.,새 문서 {0}이 (가) {1}과 (과) 공유되었습니다.
"If disabled, this role will be removed from all users.",사용하지 않으면이 역할이 모든 사용자에서 제거됩니다.
Please select a valid csv file with data,데이터가있는 올바른 csv 파일을 선택하십시오.
Default theme is set in {0},기본 테마는 {0}에 설정되어 있습니다.
There is no data to be exported,내보낼 데이터가 없습니다.
Exception Type,예외 유형
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},{0} {1}이 (가) {2} {3} {4}에 연결되어있어 삭제하거나 취소 할 수 없습니다.
OTP secret can only be reset by the Administrator.,OTP 암호는 관리자 만 재설정 할 수 있습니다.
Page Break,페이지 나누기
Website Script,웹 사이트 스크립트
Subscription Notification,구독 알림
Quick Entry,빠른 입력
Lead Conversion Time,리드 전환 시간
Assign Condition,조건 할당
Revoke,취소
Blogger,Blogger
Value missing for,값이 누락되었습니다.
Menu,메뉴
Date Format,날짜 형식
Login,로그인
Count,카운트
Set Property After Alert,경고 후 속성 설정
Thank you,고맙습니다
Slack Webhooks for internal integration,내부 통합을위한 Webhooks의 여유
Import Data,데이터 가져 오기
Office 365,Office 365
ID,신분증
Review Level,검토 수준
"Encryption key is invalid, Please check site_config.json",암호화 키가 잘못되었습니다. site_config.json을 확인하십시오.
User Defaults,사용자 기본값
Log of error during requests.,요청 중 오류 로그.
Report Hide,보고서 숨기기
DefaultValue,기본값
Number Format,숫자 형식
Style,스타일
Submit after importing,가져온 후 제출
LDAP Security,LDAP 보안
Login to comment,코멘트에 로그인
Awaiting Password,암호 대기 중
Password cannot be more than 100 characters long,비밀번호 길이는 100자를 초과 할 수 없습니다.
Successfully Done,성공적으로 완료되었습니다.
{0} List,{0} 목록
Appreciate,고맙다
New {0} (Ctrl+B),새로운 {0} (Ctrl + B)
Is Primary Contact,기본 연락처
Raw Commands,원시 명령
Stylesheets for Print Formats,인쇄 형식 스타일 시트
Property Setter,속성 설정 기
Show Line Breaks after Sections,섹션 다음에 줄 바꿈 표시
API Username,API 사용자 이름
Public Key,공개 키
Email To,받는 사람
Reopen,다시 열다
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)",트랜잭션의 워크 플로 상태를 나타내는 필드입니다 (필드가 없으면 새로운 숨겨진 사용자 정의 필드가 작성됩니다)
Attachment Removed,첨부 파일 제거됨
Breadcrumbs,빵 부스러기
Show Weekends,주말보기
Page {0} of {1},{1} 중 {0}
Time,시각
Always use Account's Name as Sender's Name,계정 이름을 항상 발신자 이름으로 사용하십시오.
Saturday,토요일
"Mandatory fields required in table {0}, Row {1}","테이블 {0}, 행 {1}에 필수 필드가 필요합니다."
Build Report,보고서 작성
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,이 사이트의 결제 게이트웨이 구성에 문제가있는 것 같습니다. 지불이 이루어지지 않았습니다.
Send Unsubscribe Link,수신 거부 링크 보내기
Cannot edit standard fields,표준 입력란을 수정할 수 없습니다.
Upcoming Events for Today,다가오는 오늘의 이벤트
Attach file for Import,가져 오기 용 파일 첨부
Name of the new Print Format,새로운 인쇄 형식의 이름
Please ask your administrator to verify your sign-up,관리자에게 가입 확인을 요청하십시오.
Type something in the search box to search,검색 상자에 무언가를 입력하여 검색하십시오.
Next Actions HTML,다음 작업 HTML
Sum,합집합
Don't Override Status,상태를 무시하지 마십시오.
Is Child Table,아이 테이블인가?
Custom HTML,맞춤 HTML
Half-Yearly,반년마다
Add a column,열 추가
Script URL,스크립트 URL
Errors in Background Events,백그라운드 이벤트의 오류
Find {0} in {1},{1}에서 {0}을 (를) 찾으십시오.
Use SSL,SSL 사용
In Standard Filter,표준 필터에서
Total Pages,총 페이지 수
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.",사용하도록 설정하면 로그인 할 때마다 사용자에게 알림이 전송됩니다. 사용하도록 설정하지 않으면 사용자에게 한 번만 알립니다.
Last Message,마지막 메시지
Next Sync Token,다음 동기화 토큰
No {0} permission,{0} 권한 없음
Reference DocName,DocName 참조
Print Width,인쇄 너비
No further records,추가 기록 없음
Mrs,부인
Add Attachment,첨부 파일 추가
Smallest Currency Fraction Value,최소 화폐 가치
Please attach a file first.,먼저 파일을 첨부하십시오.
Email Login ID,이메일 로그인 ID
Revoked,철회 된
Active Domains,활성 도메인
Automation,오토메이션
Unzipping files...,파일 압축 해제 중 ...
Search for '{0}',&#39;{0}&#39;검색
Something went wrong,문제가 발생했습니다.
Please save before attaching.,첨부하기 전에 보관하십시오.
Table HTML,표 HTML
hub,바퀴통
Standard,표준
Add A New Rule,새 규칙 추가
Settings for the About Us Page,About Us 페이지의 설정
Fax,팩스
{0} Chart,{0} 차트
Ends On,끝나기
Provider,공급자
Unable to send emails at this time,현재 이메일을 보낼 수 없습니다.
You are not allowed to send emails related to this document,이 문서와 관련된 이메일을 보낼 수 없습니다.
Print Hide If No Value,인쇄 값이없는 경우 숨기기
Log Details,로그 세부 정보
Format,체재
You gained some energy points,에너지 포인트를 얻었습니다.
Facebook,페이스 북
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","도움말은 <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">클라이언트 스크립트 API 및 예제를</a> 참조하십시오."
Chat Profile,채팅 프로필
Attachment Limit (MB),첨부 파일 한도 (MB)
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",시스템 관리자와 별도로 사용자 권한 설정 권한을 가진 역할은 해당 문서 유형에 대한 다른 사용자의 권한을 설정할 수 있습니다.
Toggle Sidebar,사이드 바 전환
The First User: You,첫 번째 사용자 : 당신
Column <b>{0}</b> already exist.,열 <b>{0}</b> 이 (가) 이미 있습니다.
Reset to defaults,기본값으로 재설정
Assign To Users,사용자에게 할당
wrench,렌치
Last Active,마지막 활성
Verification code has been sent to your registered email address.,인증 코드가 등록 된 이메일 주소로 발송되었습니다.
Grant Type,부여 유형
Same file has already been attached to the record,동일한 파일이 이미 레코드에 첨부되었습니다.
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'","간단한 파이썬 표현식, 예 : 상태 == &#39;열기&#39;와 타입 == &#39;버그&#39;"
Processing...,처리 중 ...
Report:,보고서:
Slack Webhook Error,슬랙 웹 후크 오류
Published On,게시 날짜
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4> 기본 템플릿 </h4><p> <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja 템플릿을</a> 사용하고 Address (사용자 정의 필드 포함)의 모든 필드를 사용할 수 있습니다. </p><pre> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code> </pre>"
More articles on {0},{0}에 대한 기사 더보기
Assignment Rules,배정 규칙
Allow Login using Mobile Number,휴대폰 번호로 로그인 허용
{0} minutes ago,{0} 분 전
Tree view not available for {0},{0}에 대해 트리보기를 사용할 수 없음
List a document type,문서 유형 나열
Indicator,지시자
Sort Field,필드 정렬
Send document web view link in email,이메일로 문서 웹보기 링크 보내기
Settings,설정
Energy Point Settings,에너지 포인트 설정
lightblue,연한 파랑
Comment Should be atleast 10 characters,설명 적어도 10 자이어야합니다.
Add Subscribers,구독자 추가
Processing,가공
Response,응답
Page HTML,페이지 HTML
In points. Default is 9.,포인트. 기본값은 9입니다.
Auto Email Report,자동 전자 메일 보고서
Query must be a SELECT,쿼리는 SELECT 여야합니다.
Not allowed from this IP Address,이 IP 주소에서 허용되지 않음
Error Code: {0},오류 코드 : {0}
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}",{0} : 허용되는 최대 문자는 {2}이므로 &#39;{1}&#39;({3})은 잘립니다.
Create a new {0},새 {0} 만들기
volume-down,볼륨 다운
fire,불
No Results,결과 없음
{0} records deleted,{0} 개의 레코드가 삭제되었습니다.
Something went wrong while generating dropbox access token. Please check error log for more details.,보관 용 계정 액세스 토큰을 생성하는 동안 문제가 발생했습니다. 자세한 내용은 오류 로그를 확인하십시오.
Descendants Of,자손의
Hide details,세부 정보 숨기기
Font Styles,글꼴 스타일
Your subscription will expire on {0}.,구독은 {0}에 만료됩니다.
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},전자 메일 계정 {0}에서 전자 메일을받는 동안 인증에 실패했습니다. 서버의 메시지 : {1}
Stats based on last week's performance (from {0} to {1}),지난 주 실적 ({0}에서 {1}까지)에 기반한 통계
Title Prefix,제목 접두사
Authentication Apps you can use are: ,인증 응용 프로그램은 다음과 같습니다.
Max 500 records at a time,한 번에 최대 500 개의 레코드
Maximum {0} rows allowed,허용되는 최대 {0} 행
Bulk Rename,대량 이름 바꾸기
Unassign Condition,할당 취소 조건
We have received a request from you to download your {0} data associated with: {1},{0} 데이터를 다운로드하라는 요청을 받았습니다 : {1}
Successful: {0} to {1},성공 : {0} ~ {1}
DocType must be Submittable for the selected Doc Event,DocType은 선택한 Doc 이벤트에 대해 제출 가능해야합니다.
Send After,전송 후
Conversation Tones,대화 톤
Tax Category,세금 카테고리
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},자바 스크립트 형식 : frappe.query_reports [ &#39;REPORTNAME&#39;] = {}
{0}: Cannot set Import without Create,{0} : 만들기없이 가져 오기를 설정할 수 없습니다.
Use Sandbox,샌드 박스 사용
This user cannot request to download data,이 사용자는 데이터 다운로드를 요청할 수 없습니다.
Global Unsubscribe,글로벌 수신 거부
GitHub Sync ID,GitHub 동기화 ID
DocType can only be renamed by Administrator,DocType은 Administrator 만 이름을 바꿀 수 있습니다.
Datetime,날짜 시간
Website Route Meta,웹 사이트 경로 메타
Something went wrong during the token generation. Please request again an authorization code.,토큰을 생성하는 동안 문제가 발생했습니다. 승인 코드를 다시 요청하십시오.
Point Allocation Periodicity,포인트 할당주기
Click here to check your usage or upgrade to a higher plan,사용량을 확인하거나 더 높은 요금제로 업그레이드하려면 여기를 클릭하십시오.
Confirm Deletion of Data,데이터 삭제 확인
Unsubscribe Method,구독 취소 방법
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,이 값은 트랜잭션에서 자동으로 업데이트되며이 값을 포함하는 트랜잭션에서이 사용자의 사용 권한을 제한하는 데 유용합니다.
Report Filters,보고서 필터
Select Columns,열 선택
Participants,참가자
Amended From,수정 된 날짜
Your information has been submitted,귀하의 정보가 제출되었습니다.
Help Category,도움말 카테고리
Hide field in Report Builder,보고서 작성기의 필드 숨기기
1 month,1 개월
Select an existing format to edit or start a new format.,편집 할 기존 형식을 선택하거나 새 형식을 시작하십시오.
Embed image slideshows in website pages.,웹 사이트 페이지에 이미지 슬라이드 쇼를 삽입하십시오.
Mark as Spam,스팸으로 표시
Data Migration Plan,데이터 마이그레이션 계획
Email Queue Recipient,전자 메일 대기열 수신자
Do not allow user to change after set the first time,처음 설정 한 후에는 사용자가 변경할 수 없도록하십시오.
Patch,반점
Send alert if date matches this field's value,이 필드의 값과 날짜가 일치하면 경고를 보냅니다.
Reference: {0} {1},참조 : {0} {1}
Default Print Format,기본 인쇄 형식
Load Balancing,로드 균형 조정
Postprocess Method,후 처리 방법
zoom-out,축소
Role Permission for Page and Report,페이지 및 보고서에 대한 역할 권한
Header Image,헤더 이미지
QZ Tray Connection Active!,QZ 트레이 연결 활성!
Misc,기타
You,당신
star,별
Title field must be a valid fieldname,제목 필드는 유효한 필드 이름이어야합니다.
Switch To Desk,책상으로 전환
End Date Field,종료 날짜 필드
Show as Grid,눈금으로 표시
Receipient,수신자
Content (Markdown),콘텐츠 (마크 다운)
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","이 DocType에 대한 커뮤니케이션으로 추가 (필드, &#39;상태&#39;, &#39;제목&#39;이 있어야 함)"
Field Type,필드 유형
Can't identify open {0}. Try something else.,열린 {0}을 (를) 식별 할 수 없습니다. 다른 것을 시도하십시오.
or,또는
Your connection request to Google Calendar was successfully accepted,Google 캘린더에 대한 연결 요청이 성공적으로 승인되었습니다.
Last Login,마지막 로그인
Google Apps Script,Google Apps Script
Common names and surnames are easy to guess.,일반적인 이름과 성을 쉽게 추측 할 수 있습니다.
Rgt,Rgt
Print with letterhead,레터 헤드로 인쇄
New value to be set,설정할 새 값
Text Content,텍스트 내용
{0} Modules,{0} 모듈
Report Builder,보고서 작성기
download-alt,다운로드 alt
{0}: Cannot set Assign Amend if not Submittable,{0} : 제출 가능하지 않으면 할당 수정을 설정할 수 없습니다.
Field to Track,추적 할 필드
Generate Keys,키 생성
Unshared,비공개
Saved,저장 됨
OAuth Client,OAuth 클라이언트
Disable Standard Email Footer,표준 이메일 바닥 글 사용 중지
Print Format {0} is disabled,인쇄 형식 {0}이 (가) 사용 중지되었습니다.
Queued for backup. You will receive an email with the download link,백업 대기 중. 다운로드 링크가있는 이메일을 받게됩니다.
Third Party Apps,타사 앱
Geo,지역
View All,모두보기
Milestone,획기적 사건
Activity log of all users.,모든 사용자의 활동 기록
Query Report,검색어 보고서
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)","&quot;before_insert&quot;, &quot;after_update&quot;등과 같은 유효한 메소드를 트리거합니다 (선택한 DocType에 따라 다름)"
File Manager,파일 관리자
Cannot change docstatus from 0 to 2,docstatus를 0에서 2로 변경할 수 없습니다.
No permission to {0} {1} {2},{0} {1} {2}에 대한 권한 없음
Reason,이유
Open a module or tool,모듈 또는 도구 열기
Disable Customer Signup link in Login page,로그인 페이지에서 고객 가입 링크 사용 중지
Slack Webhook URL,슬랙 웹 훅 URL
Report cannot be set for Single types,단일 유형에 대해 보고서를 설정할 수 없습니다.
PDF Page Size,PDF 페이지 크기
City,시티
Certificate,증명서
This will permanently remove your data.,이렇게하면 데이터가 영구적으로 삭제됩니다.
warning-sign,경고 표시
Entity Name,개체 이름
align-right,정렬 오른쪽
Last Updated On,마지막 업데이트 날짜
Action,동작
Client key is required,클라이언트 키가 필요합니다.
Notifications,알림
mm/dd/yyyy,mm / dd / yyyy
Custom Report,맞춤 보고서
Options required for Link or Table type field {0} in row {1},{1} 행의 {0} 링크 또는 테이블 유형 필드에 필요한 옵션
info-sign,정보 표시
Chart Type,차트 유형
Add a tag ...,태그 추가 ...
ap-northeast-2,아프 - 북동쪽 -2
Setup Notifications based on various criteria.,다양한 기준에 따라 알림을 설정합니다.
Standard Reports,표준 보고서
"Repeats like ""aaa"" are easy to guess",&quot;aaa&quot;와 같은 반복은 쉽게 추측 할 수 있습니다.
e.g. pop.gmail.com / imap.gmail.com,예 : pop.gmail.com / imap.gmail.com
'Recipients' not specified,&#39;수신자&#39;가 지정되지 않았습니다.
"On {0}, {1} wrote:",{0}에 {1}이 (가) 썼습니다 :
{0} are currently viewing this document,{0}이 (가) 현재이 문서를보고 있습니다.
Contact,접촉
LDAP Username Field,LDAP 사용자 이름 필드
Options {0} must be the same as doctype name {1} for the field {2},옵션 {0}은 {2} 필드의 doctype 이름 {1}과 같아야합니다.
"{0} field cannot be set as unique in {1}, as there are non-unique existing values",고유하지 않은 기존 값이 있으므로 {1}에서 {0} 필드를 고유 한 것으로 설정할 수 없습니다.
Social Logins,소셜 로그인
Trash,폐물
Secret Key,비밀 키
Default Redirect URI,기본 리디렉션 URI
Adds a custom field to a DocType,DocType에 사용자 정의 필드를 추가합니다.
Path to private Key File,개인 키 파일의 경로
Download,다운로드
You are not permitted to view the newsletter.,뉴스 레터를 볼 수 없습니다.
Add User Permissions,사용자 권한 추가
Go to this URL after completing the form (only for Guest users),양식을 작성한 후이 URL로 이동하십시오 (게스트 사용자 만 해당).
Select Column,열 선택
Every day events should finish on the same day.,매일 행사는 당일에 끝나야합니다.
High,높은
"Don't know, ask 'help'",모르겠다. &#39;도움&#39;을 구하십시오.
Invite as User,사용자로 초대
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.",귀하의 질의가 접수되었습니다. 잠시 후 회신 해 드리겠습니다. 추가 정보가 있으면이 메일에 회신 해주십시오.
Workflow Transition,워크 플로 전환
"Dear System Manager,","친애하는 시스템 관리자,"
Invalid Email Account,잘못된 이메일 계정
Cannot change state of Cancelled Document. Transition row {0},취소 된 문서의 상태는 변경할 수 없습니다. 전환 행 {0}
Highlight,가장 밝은 부분
Resume Sending,이력서 보내기
Suspend Sending,전송 일시 중지
Search,수색
Pending Verification,대기중인 인증
Doctypes,Doctypes
Send Read Receipt,읽음 확인 보내기
Filters JSON,JSON 필터
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.
<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook",사용자가 액세스를 허용하면 권한 부여 코드를 수신하기위한 URI 및 실패 응답 일반적으로 클라이언트 응용 프로그램에 의해 노출 된 REST 끝점입니다. <br> 예 : http : //hostname//api/method/frappe.www.login.login_via_facebook
Banner HTML,배너 HTML
Seems Publishable Key or Secret Key is wrong !!!,게시 가능한 키 또는 비밀 키가 잘못되었습니다!
IP Address,IP 주소
Email Sent?,이메일을 보냈습니까?
Workflow State not set,워크 플로 상태가 설정되지 않았습니다.
Delivery Status,배송 상황
Use IMAP,IMAP 사용
Based On,기반
Only Allow Edit For,다음 용도로만 편집 허용
Sales Manager,영업 관리자
Submit {0} documents?,{0} 문서를 제출 하시겠습니까?
Images,이미지
