 by Role ,โดยบทบาท
No,ไม่
No Action,ไม่มีการดำเนินการ
No Cache,ไม่มี แคช
No Communication tagged with this ,การสื่อสารที่มีแท็กนี้
No Copy,คัดลอกไม่มี
No Permission,ไม่ได้รับอนุญาต
No Permission to ,ไม่มีการอนุญาตให้
No Permissions set for this criteria.,ไม่มีสิทธิ์ที่กำหนดไว้สำหรับเกณฑ์นี้
No Report Loaded. Please use query-report/[Report Name] to run a report.,รายงาน Loaded ไม่มี กรุณาใช้แบบสอบถามรายงาน / [ชื่อรายงาน] เพื่อเรียกใช้รายงาน
No Sitemap,ไม่มี แผนผังเว็บไซต์
No User Properties found.,ไม่มีคุณสมบัติของผู้ใช้พบว่า
No further records,ไม่มีระเบียนใด
No one,ไม่มีใคร
No permission to edit,ได้รับอนุญาตให้ แก้ไข ไม่
No permission to write / remove.,ได้รับอนุญาตให้เขียน / ลบไม่มี
No records tagged.,ระเบียนที่ไม่มีการติดแท็ก
None,ไม่
None: End of Workflow,: ไม่มีสิ้นสุดเวิร์กโฟลว์
Not Found,ไม่พบ
Not Linked to any record.,ไม่ได้เชื่อมโยงไปยังระเบียนใด ๆ
Not Permitted,ไม่ได้รับอนุญาต
Not allowed for: ,ไม่ได้รับอนุญาตสำหรับ:
Not enough permission to see links.,ไม่ได้รับอนุญาตพอที่จะเห็นการเชื่อมโยง
Not equals,ไม่ เท่ากับ
"Note: For best results, images must be of the same size and width must be greater than height.",หมายเหตุ: สำหรับผลลัพธ์ที่ดีที่สุดภาพต้องมีขนาดเท่ากันและความกว้างต้องมากกว่าความสูง
Note: Other permission rules may also apply,หมายเหตุ: กฎอนุญาตอื่น ๆ ที่ยังอาจมี
Note: maximum attachment size = 1mb,หมายเหตุ: ขนาดไฟล์แนบสูงสุด = 1MB
Nothing to show,ไม่มีอะไรที่จะแสดง
Nothing to show for this selection,อะไรที่จะแสดง การเลือกนี้
Notification Count,จำนวน การแจ้งเตือน
Notify By Email,แจ้งทางอีเมล์
On,บน
"Once you have set this, the users will only be able access documents with that property.",เมื่อคุณได้ตั้งค่านี้ผู้ใช้จะสามารถเข้าถึงเอกสารสามารถกับทรัพย์สินที่
Only Administrator allowed to create Query / Script Reports,เฉพาะผู้ดูแลระบบอนุญาตให้สร้างรายงานคำ / Script
Only Administrator can save a standard report. Please rename and save.,เฉพาะผู้บริหารสามารถบันทึกรายงานมาตรฐาน กรุณาเปลี่ยนชื่อและบันทึก
Only Allow Edit For,อนุญาตให้เฉพาะสำหรับแก้ไข
Only System Manager can create / edit reports,จัดการระบบเท่านั้นที่สามารถสร้าง / แก้ไขรายงาน
Open Count,เปิด จำนวน
Open Sans,Sans เปิด
Options,ตัวเลือก
Options Help,ตัวเลือกความช่วยเหลือ
Org History,ประวัติ องค์กร
Org History Heading,ประวัติ org หัวเรื่อง
Original Message,ข้อความเดิม
Other,อื่น ๆ
POP3 Mail Server (e.g. pop.gmail.com),POP3 Mail Server (เช่น pop.gmail.com)
Page,หน้า
Page Background,พื้นหลังหน้า
Page Border,เส้นขอบหน้ากระดาษ
Page HTML,HTML หน้า
Page Headings,ส่วนหัวของหน้า
Page Links,ลิงค์หน้า
Page Name,ชื่อเพจ
Page Name Field,หน้า ชื่อเขตข้อมูล
Page Role,บทบาทหน้าที่
Page Text,ข้อความหน้า
Page already exists,หน้า อยู่แล้ว
Page content,เนื้อหาของหน้า
Page not found,ไม่พบหน้าเว็บ
Page or Generator,หน้า หรือ Generator
Page text and background is same color. Please change.,หน้าข้อความและพื้นหลังเป็นสีเดียวกัน โปรดเปลี่ยน
"Page to show on the website
",
"Page url name (auto-generated) (add "".html"")",ชื่อ URL หน้า (สร้างขึ้นโดยอัตโนมัติ) (เพิ่ม &quot;. html&quot;)
Parent Label,ป้ายแม่
Parent is required.,ผู้ปกครองจะต้อง
Participants,เข้าร่วม
Password,รหัสผ่าน
Password Expires in (days),รหัสผ่านจะหมดอายุใน (วัน)
Password Updated,รหัสผ่าน การปรับปรุง
Patch,แก้ไข
Patch Log,เข้าสู่ระบบแพทช์
Percent,เปอร์เซ็นต์
Perm Level,Perm ระดับ
Permission Level,ระดับของสิทธิ์
Permission Levels,ระดับสิทธิ์
Permission Manager,ผู้จัดการได้รับอนุญาต
Permission Rules,กฎการอนุญาต
Permissions,สิทธิ์
Permissions Settings,การตั้งค่าสิทธิ์
Permissions are automatically translated to Standard Reports and Searches,สิทธิ์มีการแปลโดยอัตโนมัติเพื่อรายงานมาตรฐานและการค้นหา
"Permissions are set on Roles and Document Types (called DocTypes) by restricting read, edit, make new, submit, cancel, amend and report rights.",สิทธิ์ถูกกำหนดบทบาทและเอกสารประเภท (เรียกว่า doctypes) โดยการ จำกัด การอ่านแก้ไขให้ใหม่ส่งยกเลิกแก้ไขและแจ้งสิทธิ
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful incase you want to hide or make certain field read-only.,สิทธิ์ &#39;ระดับฟิลด์&#39; สิทธิ์ในระดับที่สูงเป็น เขตข้อมูลทั้งหมดมีชุด &#39;ระดับของสิทธิ์&#39; กับพวกเขาและกฎระเบียบที่กำหนดไว้ในการอนุญาตที่นำไปใช้กับสนาม นี้จะเป็นประโยชน์กรณีที่คุณต้องการซ่อนหรือทำให้สาขาบางแบบอ่านอย่างเดียว
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.",สิทธิ์ &#39;ระดับเอกสาร&#39; สิทธิ์ที่ 0 ระดับคือพวกเขาเป็นหลักสำหรับการเข้าถึงเอกสาร
Permissions translate to Users based on what Role they are assigned,แปลสิทธิ์ให้ผู้ใช้งานตามสิ่งที่พวกเขาบทบาทที่ได้รับมอบหมาย
Person,คน
Phone,โทรศัพท์
Phone No.,หมายเลขโทรศัพท์
Pick Columns,เลือกคอลัมน์
Please attach a file first.,กรุณาแนบไฟล์แรก
Please attach a file or set a URL,กรุณาแนบไฟล์หรือตั้งค่า URL
Please change the value,กรุณา เปลี่ยนค่า
Please enable pop-ups,กรุณาเปิดใช้งาน ป๊อปอัพ
Please make sure that there are no empty columns in the file.,กรุณาตรวจสอบให้แน่ใจว่าไม่มีคอลัมน์ที่ว่างเปล่าในแฟ้ม
Please refresh to get the latest document.,กรุณารีเฟรชที่จะได้รับเอกสารล่าสุด
Please select a file or url,โปรดเลือกไฟล์หรือพิมพ์ URL
Please specify,โปรดระบุ
Plugin,ปลั๊กอิน
Post Publicly,โพสต์ สาธารณชน
Post Topic,เริ่มหัวข้อ
Post to user,โพสต์ ไปยังผู้ใช้
Posts,กระทู้
Primary,ประถม
Print Format,พิมพ์รูปแบบ
Print Format Type,พิมพ์รูปแบบประเภท
Print Hide,พิมพ์ซ่อน
Print Width,ความกว้างพิมพ์
Print...,พิมพ์ ...
Priority,บุริมสิทธิ์
Private,ส่วนตัว
Profile,รายละเอียด
Profile Defaults,ค่าดี​​ฟอลต์รายละเอียด
Profile Represents a User in the system.,รายละเอียดหมายถึงผู้ใช้ในระบบ
Profile of a Blogger,ดูรายละเอียดของ Blogger
Profile of a blog writer.,ดูรายละเอียดของนักเขียนบล็อก
Properties,สรรพคุณ
Property,คุณสมบัติ
Property Setter,สถานที่ให้บริการ Setter
Property Setter overrides a standard DocType or Field property,สถานที่ให้บริการ Setter แทนที่สถานที่ให้บริการหรือสาขา DocType มาตรฐาน
Property Type,ประเภทอสังหาริมทรัพย์
Public,สาธารณะ
Published,เผยแพร่
Published On,เผยแพร่เมื่อ
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,ดึงอีเมลจากกล่องขาเข้าและแนบพวกเขาเป็นบันทึกการสื่อสาร (สำหรับรายชื่อที่รู้จักกัน)
Query,สอบถาม
Query Options,ตัวเลือกแบบสอบถาม
Query Report,รายงานแบบสอบถาม
Query must be a SELECT,แบบสอบถามจะต้องเลือก
Quick Help for Setting Permissions,ความช่วยเหลือด่วนสำหรับการตั้งค่าสิทธิ์
Quick Help for User Properties,ความช่วยเหลือด่วนสำหรับคุณสมบัติของผู้ใช้
Read,อ่าน
Read Only,อ่านอย่างเดียว
Received,ที่ได้รับ
Recipient,ผู้รับ
Recipients,ผู้รับ
Ref DocType,DocType Ref
Ref Name,ชื่อ Ref
Ref Type,ประเภท Ref
Reference,การอ้างอิง
Reference DocName,DocName อ้างอิง
Reference DocType,DocType อ้างอิง
Reference Name,ชื่ออ้างอิง
Reference Type,ชนิดการอ้างอิง
Refresh,รีเฟรช
Registered but disabled.,สมาชิก แต่ปิดการใช้งาน
Registration Details Emailed.,รายละเอียดการลงทะเบียนส่งอีเมล
Remove Bookmark,ลบบุ๊คมาร์ค
Rename...,เปลี่ยนชื่อ ...
Repeat On,ทำซ้ำ
Repeat Till,ทำซ้ำจน
Repeat this Event,ทำซ้ำเหตุการณ์นี้
Report,รายงาน
Report Builder,สร้างรายงาน
Report Builder reports are managed directly by the report builder. Nothing to do.,รายงานตัวสร้างรายงานที่มีการจัดการโดยตรงโดยการสร้างรายงาน ไม่มีอะไรจะทำ
Report Hide,แจ้งซ่อน
Report Name,ชื่อรายงาน
Report Type,ประเภทรายงาน
Report was not saved (there were errors),รายงานไม่ถูกบันทึกไว้ (มีข้อผิดพลาด)
Represents the states allowed in one document and role assigned to change the state.,หมายถึงรัฐที่ได้รับอนุญาตในเอกสารหนึ่งและบทบาทที่ได้รับมอบหมายในการเปลี่ยนสถานะ
Reqd,reqd
Reset Password Key,รีเซ็ต รหัสผ่าน ที่สำคัญ
Restrict IP,จำกัด IP
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),จำกัด ผู้ใช้จากที่อยู่ IP นี้เท่านั้น ที่อยู่ IP หลายสามารถเพิ่มโดยการแยกด้วยเครื่องหมายจุลภาค ยังยอมรับที่อยู่ IP บางส่วนเช่น (111.111.111)
Restricting By User,จำกัด ของผู้ใช้
Right,ขวา
Role,บทบาท
Role Name,ชื่อบทบาท
Roles,บทบาท
Roles Assigned,บทบาทที่ได้รับมอบหมาย
Roles Assigned To User,บทบาทที่ได้รับมอบหมายให้กับผู้ใช้
Roles HTML,HTML บทบาท
Root ,ราก
Row,แถว
Rules defining transition of state in the workflow.,กฎการกำหนดเปลี่ยนแปลงของรัฐในเวิร์กโฟลว์
"Rules for how states are transitions, like next state and which role is allowed to change state etc.",กฎสำหรับวิธีการเปลี่ยนรัฐเช่นรัฐต่อไปและบทบาทที่ได้รับอนุญาตให้เปลี่ยนสถานะ ฯลฯ
SMS,SMS
Sales,ขาย
Same file has already been attached to the record,ไฟล์เดียวกันได้ถูกแนบมากับบันทึก
Saturday,วันเสาร์
Save,ประหยัด
Scheduler Log,เข้าสู่ระบบการจัดตารางเวลา
Script,ต้นฉบับ
Script Report,รายงานสคริปต์
Script Type,ประเภทสคริปต์
Script to attach to all web pages.,สคริปต์ที่จะแนบไปหน้าเว็บทั้งหมด
Search,ค้นหา
Search Fields,เขตข้อมูลการค้นหา
Section Break,แบ่งส่วน
Security Settings,การตั้งค่าการรักษาความปลอดภัย
Select,เลือก
Select All,เลือกทั้งหมด
Select Attachments,เลือกสิ่งที่แนบ
Select Document Type,เลือกประเภทของเอกสาร
Select Document Type or Role to start.,เลือกประเภทของเอกสารหรือบทบาทที่จะเริ่มต้น
Select Module,เลือก โมดูล
Select Print Format,เลือกรูปแบบพิมพ์
Select Report Name,เลือกชื่อรายงาน
Select Role,เลือกบทบาท
Select Type,เลือกประเภท
Select User or Property to start.,เลือกผู้ใช้หรือทรัพย์สินที่จะเริ่มต้น
Select a Banner Image first.,เลือกภาพแบนเนอร์แรก
Select an image of approx width 150px with a transparent background for best results.,เลือกภาพจาก 150px ความกว้างประมาณกับพื้นหลังโปร่งใสเพื่อให้ได้ผลลัพธ์ที่ดีที่สุด
Select dates to create a new ,เลือกวันที่จะสร้างใหม่
Select or drag across time slots to create a new event.,เลือกหรือลากผ่านช่วงเวลาที่จะสร้างเหตุการณ์ใหม่
"Select target = ""_blank"" to open in a new page.","เลือก target = ""_blank"" จะเปิดใน หน้าใหม่"
Select the label after which you want to insert new field.,เลือกป้ายชื่อหลังจากที่คุณต้องการแทรกเขตข้อมูลใหม่
Send,ส่ง
Send As Email,ส่งเป็น อีเมล์
Send Me A Copy,ส่งสำเนา
Send an email reminder in the morning,ส่งอีเมลเตือนในตอนเช้า
Send enquiries to this email address,ส่งคำถาม ไปยังที่อยู่ อีเมลนี้
Sender,ผู้ส่ง
Sent,ส่ง
Sent Mail,จดหมายที่ส่ง
Sent Quotation,ใบเสนอราคาส่ง
Sent or Received,ส่งหรือ ได้รับ
Series,ชุด
Server,เซิร์ฟเวอร์
Session Expired. Logging you out,เซสชันหมดอายุ คุณออกจากระบบ
Session Expires in (time),เซสชั่นจะหมดอายุใน (เวลา)
Set Banner from Image,ตั้งป้ายโฆษณาจากภาพ
Set Link,ตั้งค่า การเชื่อมโยง
Set Password,ตั้งรหัสผ่าน
Set Value,ตั้งค่า
"Set your background color, font and image (tiled)",ตั้งค่าพื้นหลังสีแบบอักษรของคุณและภาพ (กระเบื้อง)
Settings for About Us Page.,การตั้งค่าสำหรับหน้าเกี่ยวกับเรา
Settings for Contact Us Page,การตั้งค่าสำหรับหน้าติดต่อเรา
Settings for Contact Us Page.,การตั้งค่าสำหรับหน้าติดต่อเรา
Settings for the About Us Page,การตั้งค่าสำหรับหน้าเกี่ยวกับเรา
Setup of fonts and background.,การติดตั้งแบบอักษรและพื้นหลัง
"Setup of top navigation bar, footer and logo.",การติดตั้งจากด้านบนแถบนำทางท้ายและโลโก้
Short Bio,ประวัติย่อ
Short Name,ชื่อสั้น
Shortcut,ทางลัด
Show Breadcrumbs,แสดง Breadcrumbs
Show Details,แสดงรายละเอียด
Show Print First,แสดงพิมพ์ครั้งแรก
Show Table of Contents,แสดง สารบัญ
Show Tags,แสดง แท็ก
Show Title,แสดง ชื่อเรื่อง
Show rows with zero values,แสดงแถวที่มีค่าศูนย์
Showing only for,แสดงเฉพาะสำหรับ
Single Post (article).,คำตอบเดียว (บทความ)
Single Types have only one record no tables associated. Values are stored in tabSingles,ประเภท เดียว มีเพียง หนึ่งระเบียน ในตาราง ที่เกี่ยวข้อง ค่าที่ เก็บไว้ใน tabSingles
Slideshow,สไลด์โชว์
Slideshow Items,รายการสไลด์โชว์
Slideshow Name,ชื่อสไลด์โชว์
Slideshow like display for the website,สไลด์โชว์เหมือนการแสดงผลสำหรับเว็บไซต์
Small Text,ข้อความขนาดเล็ก
Solid background color (default light gray),สีพื้นหลังที่เป็นของแข็ง (สีเทาอ่อนค่าเริ่มต้น)
Sorry we were unable to find what you were looking for.,ขออภัยเราไม่สามารถที่จะหาสิ่งที่คุณกำลังมองหา
Sorry you are not permitted to view this page.,ขออภัยคุณไม่ได้รับอนุญาตให้ดูหน้านี้
Sort By,เรียงลำดับตาม
Special Page Settings,การตั้งค่าหน้าพิเศษ
Standard,มาตรฐาน
Start Report For,เริ่มรายงานสำหรับ
Starts on,เริ่มเมื่อ
Startup,เริ่มต้น
State,รัฐ
States,รัฐ
Status,สถานะ
Step 1: Set the name and save.,ขั้นที่ 1: การตั้ง ชื่อ และบันทึก
Step 2: Set Letterhead content.,ขั้นที่ 2 : ตั้งค่า เนื้อหา จดหมาย
Style,สไตล์
Style Settings,การตั้งค่าลักษณะ
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","สไตล์เป็นสีของปุ่ม: ความสำเร็จ - สีเขียว, อันตราย - แดง, Inverse - ดำ, ประถม - มืดข้อมูล, บลู - Light Blue, คำเตือน - ออเรนจ์"
Sub-domain provided by erpnext.com,โดเมนย่อยโดย erpnext.com
Subdomain,subdomain
Subject,เรื่อง
Submit,เสนอ
Submitted,Submitted
Submitted Record cannot be deleted,บันทึก Submitted ไม่สามารถลบได้
Success,ความสำเร็จ
Suggestion,ข้อเสนอแนะ
Sunday,วันอาทิตย์
Support Email Id,สนับสนุน ID อีเมล์
Sync Inbox,กล่องขาเข้าซิงค์
System,ระบบ
System Defaults,เริ่มต้นของระบบ
System User,ผู้ใช้ระบบ
Table,ตาราง
Table of Contents,สารบัญ
Tag,แท็ก
Tag Name,ชื่อแท็ก
Tags,แท็ก
Tahoma,Tahoma
Target,เป้า
Team Members,สมาชิกในทีม
Team Members Heading,สมาชิกในทีมหัวเรื่อง
Template Path,เส้นทาง แม่
Test,ทดสอบ
Test Runner,วิ่งทดสอบ
Text,ข้อความ
Text Align,ข้อความตําแหน่ง
Text Editor,แก้ไขข้อความ
"The ""Web Page"" that is the website home page",&quot;Web Page&quot; นั่นคือหน้าแรกของเว็บไซต์
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,ชื่อ บริษัท / เว็บไซต์ของคุณตามที่คุณต้องการให้ปรากฏบนแถบชื่อเบราว์เซอร์ หน้าทั้งหมดที่จะมีนี้เป็นคำนำหน้าชื่อ
"The system provides pre-defined roles, but you can <a href='#List/Role'>add new roles</a> to set finer permissions",ระบบให้บทบาทกำหนดไว้ล่วงหน้า แต่คุณสามารถ <a href='#List/Role'>เพิ่มบทบาทใหม่</a> ในการกำหนดสิทธิ์ปลีกย่อย
Then By (optional),แล้วโดย (ไม่จำเป็น)
These properties are Link Type fields from all Documents.,คุณสมบัติเหล่านี้เป็นเขตประเภท Link จากเอกสารทั้งหมด
"These properties can also be used to 'assign' a particular document, whose property matches with the User's property to a User. These can be set using the <a href='#permission-manager'>Permission Manager</a>",คุณสมบัติเหล่านี้ยังสามารถใช้ในการ &#39;กำหนด&#39; เอกสารโดยเฉพาะอย่างยิ่งที่มีสถานที่ให้บริการตรงกับสถานที่ให้บริการผู้ใช้ไปยังผู้ใช้ เหล่านี้สามารถตั้งค่าการใช้ <a href='#permission-manager'>งานการอนุญาต</a>
These properties will appear as values in forms that contain them.,คุณสมบัติเหล่านี้จะปรากฏเป็นค่าในรูปแบบที่มีพวกเขา
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,ค่าเหล่านี้จะถูกปรับปรุงโดยอัตโนมัติในการทำธุรกรรมและยังจะเป็นประโยชน์เพื่อ จำกัด สิทธิ์สำหรับผู้ใช้นี้ในการทำธุรกรรมที่มีค่าเหล่านี้
"This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>
myfield
eval:doc.myfield=='My Value'<br>
eval:doc.age>18",
This goes above the slideshow.,นี้สูงกว่าสไลด์โชว์
This is PERMANENT action and you cannot undo. Continue?,นี้คือการกระทำที่เป็นการถาวรและคุณไม่สามารถยกเลิกการ ต่อหรือไม่
This is permanent action and you cannot undo. Continue?,นี้คือการกระทำอย่างถาวรและคุณไม่สามารถยกเลิก ต่อหรือไม่
Thursday,วันพฤหัสบดี
Time,เวลา
Time Zone,โซนเวลา
Title,ชื่อเรื่อง
Title / headline of your page,ชื่อเรื่อง / พาดหัวของหน้าเว็บของคุณ
Title Case,กรณีชื่อ
Title Prefix,คำนำหน้าชื่อ
To,ไปยัง
"To format columns, give column labels in the query.",การจัดรูปแบบคอลัมน์ให้ป้ายชื่อคอลัมน์ในแบบสอบถาม
"To further restrict permissions based on certain values in a document, use the 'Condition' settings.",เพื่อ จำกัด สิทธิ์ตามค่าบางอย่างในเอกสารให้ใช้การตั้งค่า &#39;สภาพ&#39;
To restrict a User of a particular Role to documents that are explicitly assigned to them,เพื่อ จำกัด ผู้ใช้โดยเฉพาะอย่างยิ่งบทบาทของเอกสารที่ได้รับมอบหมายอย่างชัดเจนเพื่อให้พวกเขา
To restrict a User of a particular Role to documents that are only self-created.,เพื่อ จำกัด ผู้ใช้โดยเฉพาะอย่างยิ่งบทบาทของเอกสารที่มีเฉพาะที่สร้างขึ้นเอง
"To set user roles, just go to <a href='#List/Profile'>Setup > Users</a> and click on the user to assign roles.",การตั้งบทบาทผู้ใช้เพียงแค่ไปที่ <a href='#List/Profile'>การตั้งค่า&gt; Users</a> และคลิกที่ผู้ใช้สามารถกำหนดบทบาท
ToDo,สิ่งที่ต้องทำ
Tools,เครื่องมือ
Top Bar,Bar สถานที่ยอด
Top Bar Background,พื้นหลังของแถบด้านบน
Top Bar Item,รายการ Bar สถานที่ยอด
Top Bar Items,รายการ Bar สถานที่ยอด
Top Bar Text,ข้อความแถบด้านบน
Top Bar text and background is same color. Please change.,ข้อความที่บาร์ด้านบนและพื้นหลังเป็นสีเดียวกัน โปรดเปลี่ยน
Total SMS Sent,SMS ทั้งหมดที่ส่ง
Transaction,การซื้อขาย
Transition Rules,กฎการเปลี่ยน
Trash Reason,เหตุผลถังขยะ
Tuesday,วันอังคาร
Tweet will be shared via your user account (if specified),ผู้จะใช้ร่วมกันผ่านทางบัญชีผู้ใช้ของคุณ (ถ้าระบุ)
Twitter Share,Twitter แบ่งปัน
Twitter Share via,แบ่งปัน Twitter ผ่าน
Type,ชนิด
UPPER CASE,ตัวพิมพ์ใหญ่
UPPERCASE,ตัวพิมพ์ใหญ่
URL,URL
Unable to complete request: ,ไม่สามารถดำเนินการตามคำขอ:
Unable to load,ไม่สามารถโหลด
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","การเข้ารหัส ไฟล์ ที่ไม่รู้จัก พยายาม UTF -8 , Windows - 1250 1252 หน้าต่าง"
Unread Messages,ไม่ได้อ่านข้อความ
Unsubscribed,ยกเลิกการสมัคร
Upcoming Events for Today,เหตุการณ์จะเกิดขึ้นสำหรับวันนี้
Update,อัพเดท
Update Field,ปรับปรุงเขต
Update Value,ปรับปรุงค่า
Upload,อัปโหลด
Upload Attachment,อัพโหลดไฟล์แนบ
Upload a file,อัปโหลดไฟล์
Upload and Import,อัปโหลดและนำเข้า
Uploading...,อัพโหลด ...
User,ผู้ใช้งาน
User Cannot Create,ผู้ใช้ไม่สามารถสร้าง
User Cannot Search,ผู้ใช้ไม่สามารถค้นหา
User Image,รูปภาพของผู้ใช้
User Tags,แท็กผู้ใช้
User Type,ประเภทผู้ใช้
User not allowed to delete.,ผู้ใช้ไม่ได้รับอนุญาตที่จะลบ
UserRole,UserRole
Value,มูลค่า
Value missing for,ค่าที่หายไปสำหรับ
Verdana,Verdana
Visit,เยี่ยม
Warning,คำเตือน
Web Content,เนื้อหาเว็บ
Web Page,หน้าเว็บ
Website,เว็บไซต์
Website Overall Settings,การตั้งค่าโดยรวมของเว็บไซต์
Website Script,สคริปต์เว็บไซต์
Website Settings,การตั้งค่าเว็บไซต์
Website Sitemap,Sitemap เว็บไซต์
Website Sitemap Config,เว็บไซต์ แผนผังเว็บไซต์ Config
Website Slideshow,สไลด์โชว์เว็บไซต์
Website Slideshow Item,รายการสไลด์โชว์เว็บไซต์
Website User,ผู้ใช้งานเว็บไซต์
Wednesday,วันพุธ
Welcome Email Sent,อีเมล์ ยินดีต้อนรับคุณ ส่ง
"When you <b>Amend</b> a document after cancel and save it, it will get a new number that is a version of the old number.",<b>เมื่อคุณอัพเดทเอกสารหลังจากยกเลิกและบันทึกมันจะได้รับหมายเลขใหม่ที่เป็นรุ่นของหมายเลขเดิม</b>
Width,ความกว้าง
Will be used in url (usually first name).,จะใช้ใน URL (ชื่อแรกปกติ)
Workflow,เวิร์กโฟลว์
Workflow Action,การกระทำเวิร์กโฟลว์
Workflow Action Master,ปริญญาโทการกระทำเวิร์กโฟลว์
Workflow Action Name,ชื่อการกระทำเวิร์กโฟลว์
Workflow Document State,รัฐเอกสารเวิร์กโฟลว์
Workflow Document States,รัฐเวิร์กโฟลว์เอกสาร
Workflow Name,ชื่อเวิร์กโฟลว์
Workflow State,รัฐเวิร์กโฟลว์
Workflow State Field,ฟิลด์รัฐเวิร์กโฟลว์
Workflow Transition,เปลี่ยนเวิร์กโฟลว์
Workflow Transitions,ช่วงการเปลี่ยนเวิร์กโฟลว์
Workflow state represents the current state of a document.,รัฐเวิร์กโฟลว์แสดงสถานะปัจจุบันของเอกสาร
Workflow will start after saving.,เวิร์กโฟลว์จะเริ่มหลังจากการบันทึก
Write,เขียน
Write a Python file in the same folder where this is saved and return column and result.,เขียนไฟล์หลามในโฟลเดอร์เดียวกันที่นี้จะถูกบันทึกไว้และคอลัมน์ผลตอบแทนและผล
Write a SELECT query. Note result is not paged (all data is sent in one go).,เขียนแบบสอบถาม SELECT ผลหมายเหตุไม่เอาเพจ (ข้อมูลทั้งหมดจะถูกส่งไปในครั้งเดียว)
Write titles and introductions to your blog.,เขียนชื่อและที่จะแนะนำบล็อกของคุณ
Writers Introduction,แนะนำนักเขียน
Year,ปี
Yes,ใช่
Yesterday,เมื่อวาน
You can set various 'properties' to Users to set default values and apply permission rules based on the value of these properties in various forms.,คุณสามารถตั้งค่า &#39;สมบัติ&#39; ต่างๆเพื่อผู้ใช้สามารถตั้งค่าเริ่มต้นและใช้กฎการอนุญาตขึ้นอยู่กับค่าของคุณสมบัติเหล่านี้ในรูปแบบต่างๆ
You can use <a href='#Form/Customize Form'>Customize Form</a> to set levels on fields.,คุณสามารถใช้ <a href='#Form/Customize Form'>แบบฟอร์มที่กำหนดเอง</a> เพื่อตั้งค่าระดับบนทุ่ง
"Your download is being built, this may take a few moments...",การดาวน์โหลดของคุณจะถูกสร้างขึ้นนี้อาจใช้เวลาสักครู่ ...
[Label]:[Field Type]/[Options]:[Width],[Label] แล: [ฟิลด์ชนิด] / [ตัวเลือก]: [กว้าง]
add your own CSS (careful!),เพิ่มเอง CSS ของคุณ (careful!)
adjust,ปรับ
align-center,จัดศูนย์
align-justify,จัดแสดงให้เห็นถึง-
align-left,จัดซ้าย
align-right,จัดขวา
and,และ
arrow-down,ลูกศรชี้ลง
arrow-left,ศรซ้าย
arrow-right,ลูกศรขวา
arrow-up,ลูกศรขึ้น-
asterisk,เครื่องหมายดอกจัน
backward,ย้อนกลับ
ban-circle,ห้ามวงกลม
barcode,บาร์โค้ด
bell,ระฆัง
bold,กล้า
book,หนังสือ
bookmark,ที่คั่นหนังสือ
briefcase,กระเป๋าเอกสาร
bullhorn,โทรโข่ง
calendar,ปฏิทิน
camera,กล้อง
cannot be empty,ไม่สามารถเว้นว่าง
cannot be in its own,ไม่สามารถอยู่ใน ตัวของมันเอง
"cannot have a URL, because it has child item(s)",ไม่สามารถมี URL เพราะมีรายการเด็ก (s)
cannot start with,ไม่สามารถเริ่มต้นด้วย
certificate,ใบรับรอง
check,ตรวจสอบ
chevron-down,วีลง
chevron-left,วีซ้าย
chevron-right,วีขวา
chevron-up,บั้งขึ้น
circle-arrow-down,วงกลมลูกศรลง
circle-arrow-left,วงกลมศรซ้าย
circle-arrow-right,วงกลมลูกศรขวา
circle-arrow-up,วงกลมลูกศรขึ้น
cog,ฟันเฟือง
comment,ความเห็น
comments,ความเห็น
create a Custom Field of type Link (Profile) and then use the 'Condition' settings to map that field to the Permission rule.,สร้างฟิลด์ที่กำหนดเองของ Link ชนิด (รายละเอียด) แล้วใช้การตั้งค่า &#39;สภาพ&#39; to map เขตข้อมูลนั้นไปกฎการอนุญาต
dd-mm-yyyy,dd-mm-yyyy
dd/mm/yyyy,วัน / เดือน / ปี
does not exist,ไม่ได้อยู่
download,ดาวน์โหลด
download-alt,ดาวน์โหลด alt-
edit,แก้ไข
eject,ขับ
envelope,ซองจดหมาย
exclamation-sign,อัศเจรีย์เข้าสู่ระบบ
eye-close,ตาใกล้
eye-open,ตาเปิด
facetime-video,FaceTime วิดีโอ
fast-backward,ย้อนกลับอย่างรวดเร็ว
fast-forward,อย่างรวดเร็วไปข้างหน้า
file,ไฟล์
film,ฟิล์ม
filter,กรอง
fire,ไฟ
flag,ธง
folder-close,โฟลเดอร์ใกล้
folder-open,โฟลเดอร์เปิด
font,ตัวอักษร
forward,ข้างหน้า
found,พบ
fullscreen,เต็มจอ
gift,ของขวัญ
