 by Role ,por função
Roles Assigned,Funções atribuídas
Roles Assigned To User,Funções atribuídas ao Usuário
Roles HTML,Funções HTML
Root ,Raiz
Row,Linha
Rules defining transition of state in the workflow.,Regras que definem a transição de estado no fluxo de trabalho.
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Regras de como os estados são transições, como o próximo estado e que função terá permissão para mudar de estado, etc"
SMS,SMS
Sales,Vendas
Same file has already been attached to the record,Mesmo arquivo já foi anexado ao registro
Saturday,Sábado
Save,salvar
Scheduler Log,Log do Agendador
Script,Script
Script Report,Relatório Script
Script Type,Tipo de Script
Script to attach to all web pages.,Script para anexar a todas as páginas da web.
Search,Pesquisar
Search Fields,Campos de Pesquisa
Section Break,Quebra de seção
Security Settings,Configurações de Segurança
Select,Selecionar
Select All,Selecionar tudo
Select Attachments,Selecione os Anexos
Select Document Type,Selecione o Tipo de Documento
Select Document Type or Role to start.,Selecione o tipo de documento ou função para começar.
Select Module,Select Module
Select Print Format,Selecione o Formato de Impressão
Select Report Name,Selecione o Nome do Relatório
Select Role,Selecione a Função
Select Type,Selecione o Tipo
Select User or Property to start.,Selecione o Usuário ou Propriedade para começar.
Select a Banner Image first.,Selecione um Banner Image primeiro.
Select an image of approx width 150px with a transparent background for best results.,Selecione uma imagem de aproximadamente 150px de largura com um fundo transparente para melhores resultados.
Select dates to create a new ,Selecione as datas para criar uma nova
Select or drag across time slots to create a new event.,Selecione ou arraste intervalos de tempo para criar um novo evento.
"Select target = ""_blank"" to open in a new page.","Select target = "" _blank"" para abrir em uma nova página."
Select the label after which you want to insert new field.,Selecione a etiqueta após a qual você deseja inserir um novo campo.
Send,Enviar
Send As Email,Enviar como e-mail
Send Me A Copy,Envie-me uma cópia
Send an email reminder in the morning,Enviar um e-mail lembrete na parte da manhã
Send enquiries to this email address,Envie perguntas para este endereço de e-mail
Sender,Remetente
Sent,enviado
Sent Mail,E-mails Enviados
Sent Quotation,Cotação Enviada
Sent or Received,Enviados ou recebidos
Series,série
Server,Servidor
Session Expired. Logging you out,A sessão expirou. Você será deslogado
Session Expires in (time),A sessão expira em (tempo)
Set Banner from Image,Jogo da bandeira da Imagem
Set Link,Definir ligação
Set Password,Definir senha
Set Value,Definir valor
"Set your background color, font and image (tiled)","Defina sua cor de fundo, fonte e imagem (lado a lado)"
Settings for About Us Page.,Configurações da Página Sobre Nós.
Settings for Contact Us Page,Configurações da Página Fale Conosco.
Settings for Contact Us Page.,Configurações da Página Fale Conosco.
Settings for the About Us Page,Configurações da Página Sobre Nós.
Setup of fonts and background.,Configuração de fontes e de fundo.
"Setup of top navigation bar, footer and logo.","Configuração de barra de navegação do topo, rodapé, e logotipo."
Short Bio,Curta Bio
Short Name,Nome Curto
Shortcut,Atalho
Show Breadcrumbs,Mostrar Breadcrumbs
Show Details,Ver detalhes
Show Print First,Mostrar Impressão Primeiro
Show Table of Contents,Mostrar tabela de conteúdos
Show Tags,Mostrar Marcações
Show Title,Mostrar título
Show rows with zero values,Mostrar as linhas com valores zero
Showing only for,Mostrando apenas para
Single Post (article).,Resposta Única (artigo).
Single Types have only one record no tables associated. Values are stored in tabSingles,Tipos individuais têm apenas um registro sem tabelas associadas. Os valores são armazenados em tabSingles
Slideshow,Apresentação de slides
Slideshow Items,Itens da Apresentação de slides
Slideshow Name,Nome da Apresentação de slides
Slideshow like display for the website,Exibição do tipo Apresentação de slides para o site
Small Text,Texto Pequeno
Solid background color (default light gray),Cor de fundo sólida (padrão cinza claro)
Sorry we were unable to find what you were looking for.,"Desculpe, não encontramos o que você estava procurando."
Sorry you are not permitted to view this page.,"Desculpe, você não tem permissão para visualizar esta página."
Sort By,Classificar por
Special Page Settings,Configurações Especiais de página
Standard,Padrão
Start Report For,Começar Relatório para
Starts on,Inicia em
Startup,Startup
State,Estado
States,Estados
Status,Estado
Step 1: Set the name and save.,Passo 1: Defina o nome e salvar.
Step 2: Set Letterhead content.,Passo 2: Definir o conteúdo timbrado .
Style,Estilo
Style Settings,Configurações de Estilo
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Estilo representa a cor do botão: Sucesso - Verde, Perigo - Vermelho, Inverso - Preto, Primário - Azul Escuro, Informação - Azul Claro, Aviso - Laranja"
Sub-domain provided by erpnext.com,Sub-domínio fornecido pelo erpnext.com
Subdomain,Subdomínio
Subject,Assunto
Submit,Enviar
Submitted,Enviado
Submitted Record cannot be deleted,Registro apresentado não pode ser excluído
Success,Sucesso
Suggestion,Sugestão
Sunday,Domingo
Support Email Id,Endereço de E-mail de Suporte
Sync Inbox,Sincronizar Caixa de Entrada
System,Sistema
System Defaults,Padrões do Sistema
System User,Usuário do Sistema
Table,Tabela
Table of Contents,Índice analítico
Tag,Etiqueta
Tag Name,Nome da etiqueta
Tags,Etiquetas
Tahoma,Tahoma
Target,Meta
Team Members,Membros da Equipe
Team Members Heading,Título da página Membros da Equipe
Template Path,Caminho Template
Test,Teste
Test Runner,Test Runner
Text,Texto
Text Align,Alinhar Texto
Text Editor,Editor de Texto
"The ""Web Page"" that is the website home page",A &quot;Página Web&quot; que é a página inicial do site
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,O nome da sua empresa / site da forma que você quer que apareça na barra de título do navegador. Todas as páginas vão ter isso como o prefixo para o título.
"The system provides pre-defined roles, but you can <a href='#List/Role'>add new roles</a> to set finer permissions","O sistema fornece funções pré-definidas, mas você pode <a href='#List/Role'>adicionar novas funções</a> para estabelecer as permissões mais precisas"
Then By (optional),"Em seguida, por (opcional)"
These properties are Link Type fields from all Documents.,Estas propriedades são campos do tipo ligação de todos os documentos.
"These properties can also be used to 'assign' a particular document, whose property matches with the User's property to a User. These can be set using the <a href='#permission-manager'>Permission Manager</a>","Essas propriedades também podem ser usados ​​para &quot;atribuir&quot; um documento específico, cuja propriedade coincide com a propriedade do usuário para um usuário. Estas podem ser definidas usando o <a href='#permission-manager'>Gerenciador de Permissão</a>"
These properties will appear as values in forms that contain them.,Estas propriedades aparecerão como valores em formulários que as contêm.
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,Esses valores serão atualizados automaticamente em transações e também serão úteis para restringir as permissões para este usuário em operações que contenham esses valores.
"This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>
myfield
eval:doc.myfield=='My Value'<br>
eval:doc.age>18",
This goes above the slideshow.,Isto vai acima do slideshow.
This is PERMANENT action and you cannot undo. Continue?,Esta é uma ação PERMANENTE e não pode ser desfeita. Continuar?
This is permanent action and you cannot undo. Continue?,Esta é uma ação PERMANENTE e não pode ser desfeita. Continuar?
Thursday,Quinta-feira
Time,Tempo
Time Zone,Fuso horário
Title,Título
Title / headline of your page,Título / chamada da sua página
Title Case,Caixa do Título
Title Prefix,Prefixo do Título
To,Para
"To format columns, give column labels in the query.","Para formatar colunas, dar rótulos de coluna na consulta."
"To further restrict permissions based on certain values in a document, use the 'Condition' settings.","Para restringir ainda mais as permissões com base em determinados valores em um documento, use as definições de &#39;Condição&#39;."
To restrict a User of a particular Role to documents that are explicitly assigned to them,Para restringir um usuário de uma função a documentos que são explicitamente atribuídos a ele
To restrict a User of a particular Role to documents that are only self-created.,Para restringir um usuário de uma função a apenas documentos que ele próprio criou.
"To set user roles, just go to <a href='#List/Profile'>Setup > Users</a> and click on the user to assign roles.","Para definir funções ao usuário, basta ir a <a href='#List/Profile'>Configuração&gt; Usuários</a> e clicar sobre o usuário para atribuir funções."
ToDo,Lista de Tarefas
Tools,Ferramentas
Top Bar,Barra Superior
Top Bar Background,Fundo da barra superior
Top Bar Item,Item da barra superior
Top Bar Items,Itens da barra superior
Top Bar Text,Top Bar Texto
Top Bar text and background is same color. Please change.,"Top Bar texto eo fundo é a mesma cor. Por favor, altere."
Total SMS Sent,Total de SMS enviados
Transaction,Transação
Transition Rules,Regras de transição
Trash Reason,Razão de pôr no lixo
Tuesday,Terça-feira
Tweet will be shared via your user account (if specified),Tweet serão compartilhados através da sua conta de usuário (se especificado)
Twitter Share,Compartilhar Twitter
Twitter Share via,Twitter Partilhar através do
Type,Tipo
UPPER CASE,MAIÚSCULAS
UPPERCASE,Maiúsculas
URL,URL
Unable to complete request: ,Não é possível concluir pedido:
Unable to load,Não foi possível carregar
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","Codificação de arquivo desconhecido. Tentei UTF-8, Windows -1250 , windows-1252 ."
Unread Messages,Mensagens não lidas
Unsubscribed,Inscrição Cancelada
Upcoming Events for Today,Próximos Eventos para Hoje
Update,Atualizar
Update Field,Atualizar Campo
Update Value,Atualizar Valor
Upload,carregar
Upload Attachment,Carregar anexos
Upload a file,Carregar um arquivo
Upload and Import,Carregar e Importar
Uploading...,Upload ...
User,Usuário
User Cannot Create,O Usuário não pode criar
User Cannot Search,O Usuário não pode pesquisar
User Image,Imagem do Usuário
User Tags,Etiquetas de Usuários
User Type,Tipo de Usuário
User not allowed to delete.,Usuário não tem permissão para excluir.
UserRole,Função do Usuário
Value,Valor
Value missing for,Valor em falta para
Verdana,Verdana
Visit,Visita
Warning,Aviso
Web Content,Conteúdo da Web
Web Page,Página Web
Website,Site
Website Overall Settings,Configurações gerais do site
Website Script,Script do site
Website Settings,Configurações do site
Website Sitemap,site Mapa do Site
Website Sitemap Config,Site Mapa do Site Configuração
Website Slideshow,Slideshow do site
Website Slideshow Item,Item do Slideshow do site
Website User,Site do Usuário
Wednesday,Quarta-feira
Welcome Email Sent,Bem-vindo e-mail enviado
"When you <b>Amend</b> a document after cancel and save it, it will get a new number that is a version of the old number.","Quando você <b>Alterar</b> um documento depois de cancelar e salvá-lo, ele vai ter um novo número que é uma versão do número antigo."
Width,Largura
Will be used in url (usually first name).,Será utilizado na url (geralmente o primeiro nome).
Workflow,Fluxo de Trabalho
Workflow Action,Ação do Fluxo de Trabalho
Workflow Action Master,Cadastro da Ação do Fluxo de Trabalho
Workflow Action Name,Nome da Ação do Fluxo de Trabalho
Workflow Document State,Estado do Documento do Fluxo de Trabalho
Workflow Document States,Estados do Documento do Fluxo de Trabalho
Workflow Name,Nome do Fluxo de Trabalho
Workflow State,Estado do Fluxo de Trabalho
Workflow State Field,Campo do Estado do Fluxo de Trabalho
Workflow Transition,Transição do Fluxo de Trabalho
Workflow Transitions,Transições do Fluxo de Trabalho
Workflow state represents the current state of a document.,O estado do Fluxo de Trabalho representa o estado atual de um documento.
Workflow will start after saving.,Fluxo de trabalho será iníciado após salvar.
Write,Escrever
Write a Python file in the same folder where this is saved and return column and result.,Gravar um arquivo Python na mesma pasta onde este é guardado e coluna de retorno e resultado.
Write a SELECT query. Note result is not paged (all data is sent in one go).,Escreva uma consulta SELECT. Resultado nota não é paginada (todos os dados são enviados de uma só vez).
Write titles and introductions to your blog.,Escreva títulos e introduções para o seu blog.
Writers Introduction,Escritores Introdução
Year,Ano
Yes,Sim
Yesterday,Ontem
You can set various 'properties' to Users to set default values and apply permission rules based on the value of these properties in various forms.,Você pode definir vários &#39;propriedades&#39; para usuários para definir os valores padrão e aplicar regras de permissão com base no valor dessas propriedades em várias formas.
You can use <a href='#Form/Customize Form'>Customize Form</a> to set levels on fields.,Você pode usar <a href='#Form/Customize Form'>Personalizar Formulário</a> para definir os níveis nos campos.
"Your download is being built, this may take a few moments...","O seu download está sendo construído, isso pode demorar alguns instantes ..."
[Label]:[Field Type]/[Options]:[Width],[Label]: [Tipo do Campo] / [Opções]: [Largura]
add your own CSS (careful!),adicione seu próprio CSS (cuidado!)
adjust,ajustar
align-center,Centralizar
align-justify,Justificar
align-left,alinhar à esquerda
align-right,alinhar à direita
and,e
arrow-down,seta para baixo
arrow-left,seta para a esquerda
arrow-right,seta para a direita
arrow-up,seta para cima
asterisk,asterisco
backward,para trás
ban-circle,círculo de proibição
barcode,código de barras
bell,sino
bold,negrito
book,livro
bookmark,favorito
briefcase,pasta
bullhorn,megafone
calendar,calendário
camera,câmera
cannot be empty,não pode ser vazio
cannot be in its own,não pode estar na sua própria
"cannot have a URL, because it has child item(s)","Não é possível ter um URL, porque tem filho item (s)"
cannot start with,não pode começar com
certificate,certificado
check,marcar
chevron-down,divisa-abaixo
chevron-left,divisa-esquerda
chevron-right,divisa-direito
chevron-up,divisa-acima
circle-arrow-down,círculo de seta para baixo
circle-arrow-left,círculo de seta para a esquerda
circle-arrow-right,círculo de seta à direita
circle-arrow-up,círculo de seta para cima
cog,roda dentada
comment,comentário
comments,comentários
create a Custom Field of type Link (Profile) and then use the 'Condition' settings to map that field to the Permission rule.,Criar um Campo Personalizado do tipo ligação (Perfil) e depois usar as configurações de &#39;Condição&#39; para mapear o campo para a regra de Permissão.
dd-mm-yyyy,dd-mm-aaaa
dd/mm/yyyy,dd/mm/aaaa
does not exist,não existe
download,baixar
download-alt,download-alt
edit,editar
eject,ejetar
envelope,envelope
exclamation-sign,sinal de exclamação
eye-close,olho fechado
eye-open,olho aberto
facetime-video,vídeo do facetime
fast-backward,retrocesso rápido
fast-forward,avanço rápido
file,arquivo
film,filme
filter,filtrar
fire,fogo
flag,bandeira
folder-close,fechar pasta
folder-open,abrir pasta
font,fonte
forward,para a frente
found,encontrado
fullscreen,tela cheia
gift,presente
glass,vidro
globe,globo
hand-down,mão abaixo
hand-left,mão à esquerda
hand-right,mão à direita
hand-up,mão acima
hdd,hd
headphones,fones de ouvido
heart,coração
home,início
icon,ícone
in,em
inbox,caixa de entrada
indent-left,indentar à esquerda
indent-right,indentar à direita
info-sign,Sinal de Informações
is linked in,está ligado na
is not allowed.,não é permitido.
italic,itálico
leaf,folha
list,lista
list-alt,lista de alt-
lock,trancar
lowercase,minúsculas
magnet,ímã
map-marker,marcador do mapa
minus,menos
minus-sign,sinal de menos
mm-dd-yyyy,mm-dd-aaaa
mm/dd/yyyy,mm/dd/aaaa
move,mover
music,música
not in,não em
of type Link,do tipo ligação
off,fora
ok,ok
ok-circle,ok círculo
ok-sign,ok-sinal
or,ou
pause,pausa
pencil,lápis
picture,imagem
plane,avião
play,jogar
play-circle,jogo-círculo
plus,mais
plus-sign,sinal de mais
print,imprimir
qrcode,QRCode
question-sign,ponto de interrogação
random,aleatório
refresh,atualizar
remove,remover
remove-circle,remove-círculo
remove-sign,remover-assinar
repeat,repetir
resize-full,redimensionamento completo
resize-horizontal,redimensionamento horizontal
resize-small,redimensionamento pequeno
resize-vertical,redimensionamento vertical
retweet,retwitar
road,estrada
screenshot,captura de tela
search,pesquisar
share,ação
share-alt,partes-alt
shopping-cart,carrinho de compras
signal,sinalizar
star,estrela
star-empty,estrelas vazio
step-backward,passo para trás
step-forward,passo para frente
stop,parar
tag,etiqueta
tags,etiquetas
"target = ""_blank""",target = &quot;_blank&quot;
tasks,tarefas
text-height,altura de texto
text-width,largura de texto
th,ª
th-large,ª-grande
th-list,ª-lista
thumbs-down,polegar para baixo
thumbs-up,polegar para cima
time,tempo
tint,matiz
to,para
trash,lixo
upload,carregar
user,usuário
user_image_show,user_image_show
values and dates,valores e datas
volume-down,diminuir volume
volume-off,mudo
volume-up,aumentar volume
warning-sign,sinal de alerta
wrench,chave inglesa
yyyy-mm-dd,aaaa-mm-dd
zoom-in,aumentar zoom
zoom-out,diminuir zoom
