 by Role ,per Ruolo
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),"Limitare l&#39;utente da solo questo indirizzo IP. Più indirizzi IP possono essere aggiunti separando con virgole. Accetta anche gli indirizzi IP parziali, come (111.111.111)"
Restricting By User,Limitare per utente
Right,Giusto
Role,Ruolo
Role Name,Nome Ruolo
Roles,Ruoli
Roles Assigned,Ruoli assegnati
Roles Assigned To User,Ruoli assegnati a utenti
Roles HTML,Ruoli HTML
Root ,Root
Row,Riga
Rules defining transition of state in the workflow.,Regole che definiscono transizione di stato nel flusso di lavoro.
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Regole per come gli stati sono transizioni, come prossimo stato e quale ruolo può cambiare stato ecc"
SMS,SMS
Sales,Vendite
Same file has already been attached to the record,Stesso file è già stato attaccato al record
Saturday,Sabato
Save,salvare
Scheduler Log,Scheduler Log
Script,Script
Script Report,Segnala Script
Script Type,Tipo di script
Script to attach to all web pages.,Script di allegare a tutte le pagine web.
Search,Cerca
Search Fields,Campi di ricerca
Section Break,Interruzione di sezione
Security Settings,Impostazioni di sicurezza
Select,Selezionare
Select All,Seleziona tutto
Select Attachments,Selezionare Allegati
Select Document Type,Seleziona tipo di documento
Select Document Type or Role to start.,Selezionare tipo di documento o di ruolo per iniziare.
Select Module,Select Module
Select Print Format,Selezionare Formato di stampa
Select Report Name,Selezionare Nome rapporto
Select Role,Scegliere Ruolo
Select Type,Seleziona tipo
Select User or Property to start.,Selezionare Utente o immobile per iniziare.
Select a Banner Image first.,Selezionare un Banner Immagine prima.
Select an image of approx width 150px with a transparent background for best results.,Selezionare un&#39;immagine di circa larghezza 150px con sfondo trasparente per i migliori risultati.
Select dates to create a new ,Seleziona le date per creare un nuovo
Select or drag across time slots to create a new event.,Selezionare o trascinare gli intervalli di tempo per creare un nuovo evento.
"Select target = ""_blank"" to open in a new page.","Selezionare target = "" _blank "" per aprire in una nuova pagina ."
Select the label after which you want to insert new field.,Selezionare l&#39;etichetta dopo la quale si desidera inserire nuovo campo.
Send,Invia
Send As Email,Invia
Send Me A Copy,Inviami una copia
Send an email reminder in the morning,Invia un promemoria tramite email al mattino
Send enquiries to this email address,Invia le richieste a questo indirizzo email
Sender,Mittente
Sent,Inviati
Sent Mail,Posta inviata
Sent Quotation,Quotazione Inviati
Sent or Received,Inviati o ricevuti
Series,serie
Server,Server
Session Expired. Logging you out,Sessione scaduta. Registrazione fuori
Session Expires in (time),Sessione scade a (tempo)
Set Banner from Image,Impostare Banner da immagine
Set Link,Set di collegamento
Set Password,Imposta password
Set Value,Imposta valore
"Set your background color, font and image (tiled)","Impostare il colore di sfondo, font e immagini (piastrelle)"
Settings for About Us Page.,Impostazioni per Chi Siamo.
Settings for Contact Us Page,Impostazioni per contattarci Pagina
Settings for Contact Us Page.,Impostazioni per la pagina contatti.
Settings for the About Us Page,Impostazioni per la Chi Siamo
Setup of fonts and background.,Installazione di font e lo sfondo.
"Setup of top navigation bar, footer and logo.","Impostazione di barra di navigazione superiore, piè di pagina e il logo."
Short Bio,Breve Bio
Short Name,Nome breve
Shortcut,Scorciatoia
Show Breadcrumbs,Mostra Pangrattato
Show Details,Mostra dettagli
Show Print First,Mostra Stampa Prima
Show Table of Contents,Mostra Sommario
Show Tags,Mostra Tag
Show Title,Mostra titolo
Show rows with zero values,Mostra righe con valori pari a zero
Showing only for,Mostrando solo per
Single Post (article).,Messaggio singolo (articolo).
Single Types have only one record no tables associated. Values are stored in tabSingles,Tipi di singole hanno un solo record senza tabelle associate . I valori vengono memorizzati in tabSingles
Slideshow,Slideshow
Slideshow Items,Articoli Slideshow
Slideshow Name,Nome Slideshow
Slideshow like display for the website,Slideshow come schermo per il sito web
Small Text,Testo piccolo
Solid background color (default light gray),Colore di sfondo a tinta unita (grigio chiaro di default)
Sorry we were unable to find what you were looking for.,Spiacente non siamo riusciti a trovare quello che stavi cercando.
Sorry you are not permitted to view this page.,Mi dispiace che non sei autorizzato a visualizzare questa pagina.
Sort By,Ordina per
Special Page Settings,Impostazioni di pagina speciale
Standard,Standard
Start Report For,Inizio Rapporto Per
Starts on,Inizia il
Startup,Startup
State,Stato
States,Stati
Status,Stato
Step 1: Set the name and save.,Passo 1 : Impostare il nome e salvare .
Step 2: Set Letterhead content.,Passaggio 2: Impostare contenuti intestata .
Style,Stile
Style Settings,Regolazioni
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Style rappresenta il colore del pulsante: Successo - Verde, Pericolo - Rosso, Inverse - Nero, primario - Dark Blue, Info - Light Blue, Warning - Arancione"
Sub-domain provided by erpnext.com,Sub-dominio fornito dal erpnext.com
Subdomain,Sottodominio
Subject,Soggetto
Submit,Presentare
Submitted,Inserito
Submitted Record cannot be deleted,Record presentata non può essere cancellato
Success,Successo
Suggestion,Suggerimento
Sunday,Domenica
Support Email Id,Supporto Email Id
Sync Inbox,Sincronizzazione Posta in arrivo
System,Sistema
System Defaults,Valori predefiniti di sistema
System User,Utente di sistema
Table,Tavolo
Table of Contents,Sommario
Tag,Tag
Tag Name,Nome del tag
Tags,Tag
Tahoma,Tahoma
Target,Obiettivo
Team Members,Membri del Team
Team Members Heading,Membri del team Rubrica
Template Path,Percorso Template
Test,Prova
Test Runner,Test Runner
Text,Testo
Text Align,Allineamento testo
Text Editor,Editor di testo
"The ""Web Page"" that is the website home page",La &quot;Pagina Web&quot; che è la home page del sito
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,Il nome della vostra azienda / sito web come si desidera visualizzare sulla barra del titolo del browser. Tutte le pagine avranno questo come prefisso per il titolo.
"The system provides pre-defined roles, but you can <a href='#List/Role'>add new roles</a> to set finer permissions","Il sistema fornisce i ruoli predefiniti, ma è possibile <a href='#List/Role'>aggiungere nuovi ruoli</a> per impostare le autorizzazioni più fini"
Then By (optional),Poi per (opzionale)
These properties are Link Type fields from all Documents.,Queste proprietà sono di collegamento Tipo campi da tutti i documenti.
"These properties can also be used to 'assign' a particular document, whose property matches with the User's property to a User. These can be set using the <a href='#permission-manager'>Permission Manager</a>","Queste proprietà possono essere utilizzati anche per &#39;assegnare&#39; un particolare documento, la cui proprietà corrisponde con la proprietà per l&#39;utente di un utente. Questi possono essere impostati utilizzando il <a href='#permission-manager'>Permission Manager</a>"
These properties will appear as values in forms that contain them.,Queste proprietà appariranno come valori in forme che li contengono.
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,Questi valori saranno aggiornati automaticamente nelle transazioni e anche sarà utile per limitare le autorizzazioni per l&#39;utente sulle operazioni che contengono questi valori.
"This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>
myfield
eval:doc.myfield=='My Value'<br>
eval:doc.age>18",
This goes above the slideshow.,Questo va al di sopra della presentazione.
This is PERMANENT action and you cannot undo. Continue?,Questa è l&#39;azione permanente e non può essere annullata. Continuare?
This is permanent action and you cannot undo. Continue?,Questa è l&#39;azione permanente e non può essere annullata. Continuare?
Thursday,Giovedi
Time,Volta
Time Zone,Time Zone
Title,Titolo
Title / headline of your page,Titolo / intestazione della pagina
Title Case,Titolo Caso
Title Prefix,Title Prefix
To,A
"To format columns, give column labels in the query.","Per formattare le colonne, dare etichette di colonna nella query."
"To further restrict permissions based on certain values in a document, use the 'Condition' settings.","Per limitare ulteriormente i permessi in base a determinati valori di un documento, utilizzare le impostazioni di &#39;condizione&#39;."
To restrict a User of a particular Role to documents that are explicitly assigned to them,Per impedire a un utente di un particolare ruolo a documenti che sono esplicitamente assegnati a loro
To restrict a User of a particular Role to documents that are only self-created.,Per impedire a un utente di un particolare ruolo a documenti che sono solo auto-creato.
"To set user roles, just go to <a href='#List/Profile'>Setup > Users</a> and click on the user to assign roles.","Per impostare i ruoli utente, basta andare su <a href='#List/Profile'>Impostazioni&gt; Utenti</a> e fare clic sull&#39;utente per assegnare ruoli."
ToDo,ToDo
Tools,Strumenti
Top Bar,Top Bar
Top Bar Background,Top Bar Background
Top Bar Item,Top Bar articolo
Top Bar Items,Top Articoli Bar
Top Bar Text,Top Bar Text
Top Bar text and background is same color. Please change.,Top Bar testo e sfondo è dello stesso colore. Per favore cambia.
Total SMS Sent,Totale SMS Inviati
Transaction,Transazioni
Transition Rules,Regole di transizione
Trash Reason,Trash Motivo
Tuesday,Martedì
Tweet will be shared via your user account (if specified),Tweet sarà condiviso tramite il proprio account utente (se specificato)
Twitter Share,Twitter Condividi
Twitter Share via,Twitter Condividi via
Type,Tipo
UPPER CASE,MAIUSCOLO
UPPERCASE,MAIUSCOLO
URL,URL
Unable to complete request: ,Impossibile completare la richiesta:
Unable to load,Impossibile caricare
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","La codifica di file sconosciuto . Provato utf - 8 , windows- 1250, windows- 1252."
Unread Messages,Messaggi non letti
Unsubscribed,Sottoscritte
Upcoming Events for Today,Prossimi eventi di oggi
Update,Aggiornare
Update Field,Aggiorna campo
Update Value,Aggiornamento del valore
Upload,caricare
Upload Attachment,Upload Attachment
Upload a file,Carica un file
Upload and Import,Carica e Importa
Uploading...,Caricamento ...
User,Utente
User Cannot Create,L&#39;utente non può creare
User Cannot Search,L&#39;utente non può cercare
User Image,Immagine Immagine
User Tags,Tags utente
User Type,Tipo di utente
User not allowed to delete.,L&#39;utente non ha permesso di eliminare.
UserRole,UserRole
Value,Valore
Value missing for,Valore mancante per
Verdana,Verdana
Visit,Visita
Warning,Attenzione
Web Content,Web Content
Web Page,Pagina Web
Website,Sito
Website Overall Settings,Sito Impostazioni generali
Website Script,Script Sito
Website Settings,Impostazioni Sito
Website Sitemap,Sito Sitemap
Website Sitemap Config,Sito Sitemap Config
Website Slideshow,Presentazione sito web
Website Slideshow Item,Sito Slideshow articolo
Website User,Website Utente
Wednesday,Mercoledì
Welcome Email Sent,Benvenuto Email inviata
"When you <b>Amend</b> a document after cancel and save it, it will get a new number that is a version of the old number.","Quando si <b>modifica</b> un documento dopo annullare e salvarlo, otterrà un nuovo numero, che è una versione del vecchio numero."
Width,Larghezza
Will be used in url (usually first name).,Saranno utilizzati in url (solitamente nome).
Workflow,Flusso di lavoro
Workflow Action,Azione del flusso di lavoro
Workflow Action Master,Flusso di lavoro Azione Maestro
Workflow Action Name,Flusso di lavoro Nome Azione
Workflow Document State,Workflow di Stato Documento
Workflow Document States,Workflow Document Uniti
Workflow Name,Nome flusso di lavoro
Workflow State,Stato del flusso di lavoro
Workflow State Field,Flusso di lavoro di campo Stato
Workflow Transition,Transizione del flusso di lavoro
Workflow Transitions,Le transizioni di workflow
Workflow state represents the current state of a document.,Stato di workflow rappresenta lo stato corrente di un documento.
Workflow will start after saving.,Flusso di lavoro avrà inizio dopo il salvataggio.
Write,Scrivere
Write a Python file in the same folder where this is saved and return column and result.,Scrivere un file Python nella stessa cartella in cui questo viene salvato e colonna di ritorno e risultato.
Write a SELECT query. Note result is not paged (all data is sent in one go).,Scrivere una query SELECT. Nota risultato non è paging (tutti i dati vengono inviati in una sola volta).
Write titles and introductions to your blog.,Scrivi i titoli e le introduzioni al tuo blog.
Writers Introduction,Scrittori Introduzione
Year,Anno
Yes,Sì
Yesterday,Ieri
You can set various 'properties' to Users to set default values and apply permission rules based on the value of these properties in various forms.,È possibile impostare diversi &quot;proprietà&quot; di utenti di impostare i valori di default e di applicare le regole di autorizzazione in base al valore di queste proprietà in varie forme.
You can use <a href='#Form/Customize Form'>Customize Form</a> to set levels on fields.,È possibile utilizzare <a href='#Form/Customize Form'>Personalizza modulo</a> per impostare i livelli sui campi.
"Your download is being built, this may take a few moments...","Il download è in costruzione, l&#39;operazione potrebbe richiedere alcuni minuti ..."
[Label]:[Field Type]/[Options]:[Width],[Label]: [Tipo di campo] / [Opzioni]: [Larghezza]
add your own CSS (careful!),aggiungere la tua CSS (attenzione!)
adjust,regolare
align-center,allineare-center
align-justify,allineamento giustificare
align-left,allineamento a sinistra
align-right,allineare a destra
and,e
arrow-down,freccia verso il basso
arrow-left,freccia-sinistra
arrow-right,freccia-destra
arrow-up,freccia-up
asterisk,asterisco
backward,indietro
ban-circle,ban-cerchio
barcode,codice a barre
bell,campana
bold,grassetto
book,libro
bookmark,segnalibro
briefcase,ventiquattrore
bullhorn,megafono
calendar,calendario
camera,fotocamera
cannot be empty,non può essere vuoto
cannot be in its own,non può essere nella propria
"cannot have a URL, because it has child item(s)","non può avere un URL, perché ha elemento figlio (s)"
cannot start with,non può iniziare con
certificate,certificato
check,controllare
chevron-down,chevron-down
chevron-left,chevron-sinistra
chevron-right,chevron-destra
chevron-up,chevron-up
circle-arrow-down,cerchio-freccia-giù
circle-arrow-left,cerchio-freccia-sinistra
circle-arrow-right,cerchio-freccia-destra
circle-arrow-up,cerchio-freccia-up
cog,COG
comment,commento
comments,commenti
create a Custom Field of type Link (Profile) and then use the 'Condition' settings to map that field to the Permission rule.,Creare un campo personalizzato di tipo Link (profilo) e quindi utilizzare le impostazioni di &#39;condizione&#39; di mappare il campo per la regola di autorizzazione.
dd-mm-yyyy,gg-mm-aaaa
dd/mm/yyyy,gg / mm / aaaa
does not exist,non esiste
download,caricare
download-alt,download-alt
edit,modificare
eject,espellere
envelope,busta
exclamation-sign,esclamazione-sign
eye-close,occhio da vicino
eye-open,occhio-apertura
facetime-video,FaceTime-video
fast-backward,indietro veloce
fast-forward,fast-forward
file,File
film,pellicola
filter,filtrare
fire,fuoco
flag,bandiera
folder-close,cartella-close
folder-open,cartella-aprire
font,carattere
forward,inoltrare
found,fondare
fullscreen,fullscreen
gift,donazione
glass,vetro
globe,globo
hand-down,mano-down
hand-left,mano sinistra
hand-right,mano destra
hand-up,mano-up
hdd,hdd
headphones,auricolare
heart,cuore
home,domestico
icon,icona
in,in
inbox,casella di posta
indent-left,trattino-sinistra
indent-right,trattino-destra
info-sign,Info-sign
is linked in,è legata in
is not allowed.,non è permesso.
italic,corsivo
leaf,foglia
list,elenco
list-alt,list-alt
lock,bloccare
lowercase,minuscolo
magnet,magnete
map-marker,mappa-marcatore
minus,meno
minus-sign,segno meno
mm-dd-yyyy,gg-mm-aaaa
mm/dd/yyyy,gg / mm / aaaa
move,spostare
music,musica
not in,non in
of type Link,Tipo di collegamento
off,spento
ok,ok
ok-circle,ok-cerchio
ok-sign,ok-sign
or,oppure
pause,pausa
pencil,matita
picture,immagine
plane,piano
play,giocare
play-circle,play-cerchio
plus,più
plus-sign,segno più
print,stampare
qrcode,QRCode
question-sign,domanda-sign
random,casuale
refresh,aggiornamento
remove,rimuovere
remove-circle,remove-cerchio
remove-sign,rimuovere-sign
repeat,ripetizione
resize-full,resize-pieno
resize-horizontal,resize-orizzontale
resize-small,resize-small
resize-vertical,resize-verticale
retweet,rispondi
road,stradale
screenshot,screenshot
search,ricerca
share,Condividi
share-alt,share-alt
shopping-cart,shopping cart
signal,segnalare
star,stella
star-empty,star-vuoto
step-backward,passo indietro
step-forward,passo in avanti
stop,smettere
tag,tag
tags,tags
"target = ""_blank""",target = &quot;_blank&quot;
tasks,compiti
text-height,text-altezza
text-width,testo a larghezza
th,Th
th-large,th-grande
th-list,th-list
thumbs-down,pollice in giù
thumbs-up,pollice in su
time,volta
tint,tinta
to,a
trash,cestinare
upload,caricare
user,utente
user_image_show,user_image_show
values and dates,valori e le date
volume-down,volume-giù
volume-off,volume-off
volume-up,volume-up
warning-sign,avvertimento-sign
wrench,chiave
yyyy-mm-dd,aaaa-mm-gg
zoom-in,Zoom-in
zoom-out,zoom-out
