 by Role ,பாத்திரம் மூலம்
"Fieldname {0} cannot contain letters, numbers or spaces","FIELDNAME {0} எழுத்துக்கள், எண்கள் அல்லது இடைவெளிகள் கொண்டிருக்க முடியாது"
Fields,புலங்கள்
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box","கமா (,) மூலம் பிரித்து துறைகளில் சேர்க்கப்படும் <br /> திரைப்பட உரையாடல் பெட்டி பட்டியல் <b>மூலம் தேட</b>"
Fieldtype cannot be changed from {0} to {1} in row {2},Fieldtype செய்ய {0} இருந்து மாற்ற முடியாது {1} வரிசையில் {2}
File,கோப்பு
File Data,கோப்பு தகவல்கள்
File Name,கோப்பு பெயர்
File Size,கோப்பு அளவு
File URL,கோப்பு URL
File not attached,கோப்பு இணைக்கப்பட்ட இல்லை
File size exceeded the maximum allowed size of {0} MB,கோப்பு அளவு {0} எம்பி அதிகபட்ச அனுமதி அளவு தாண்டியது
Fill Screen,திரை நிரப்பவும்
Filter,வடிகட்ட
Filter records based on User Permissions defined for a user,ஒரு பயனர் வரையறுக்கப்பட்ட பயனர் அனுமதிகள் அடிப்படையாக வடிகட்டி பதிவுகள்
Filters,வடிகட்டிகள்
Find {0} in {1},உள்ள {0} கண்டுபிடிக்க {1}
First Name,முதல் பெயர்
Float,மிதப்பதற்கு
Float Precision,துல்லிய மிதப்பதற்கு
Font (Heading),எழுத்துரு (தலைப்பு)
Font (Text),எழுத்துரு (உரை)
Font Size,எழுத்துரு அளவு
Font Size (Text),எழுத்துரு அளவு (உரை)
Fonts,எழுத்துருக்கள்
Footer,அடிக்குறிப்பு
Footer Background,அடிக்குறிப்பு பின்னணி
Footer Items,அடிக்குறிப்பு உருப்படிகள்
Footer Text,அடிக்குறிப்பு உரை
For DocType,DOCTYPE பொறுத்தவரை
"For Links, enter the DocType as rangeFor Select, enter list of Options separated by comma","இணைப்புகள், எல்லை DOCTYPE நுழைய  தேர்ந்தெடுக்கவும், கமா பிரிக்கப்பட்ட விருப்பங்கள் பட்டியலில் நுழைய"
"For comparative filters, start with","ஒப்பீட்டு வடிப்பான்களின், துவக்க"
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,நீங்கள் ரத்து &#39;INV004&#39; திருத்தும் உதாரணமாக இது ஒரு புதிய ஆவணம் &#39;INV004-1&#39; போம். இந்த ஒவ்வொரு திருத்த கண்காணிக்க உதவுகிறது.
For ranges,வரம்புகள்
For top bar,மேல் பட்டியில்
For {0} at level {1} in {2} in row {3},இதற்காக {0} மட்டத்தில் {1} ல் {2} வரிசையில் {3}
Forgot Password,கடவுச்சொல் மறந்து விட்டீர்களா
Forgot Password?,கடவுச்சொல் மறந்து விட்டீர்களா?
Form,படிவம்
Forum,கருத்துக்களம்
Forums,கருத்துக்களம்
Forward To Email Address,முன்னோக்கி மின்னஞ்சல் முகவரியை
Frappe Framework,அணுவாயுத திறன் கட்டமைப்பு
Friday,வெள்ளி
From Date must be before To Date,தேதி முதல் தேதி முன் இருக்க வேண்டும்
Full Name,முழு பெயர்
Gantt Chart,காண்ட் விளக்கப்படம்
Gender,பாலினம்
Generator,மக்களை பெறுபவர்
Georgia,ஜோர்ஜியா
Get,கிடைக்கும்
Get From ,முதல் கிடைக்கும்
"Get your globally recognized avatar from <a href=""https://gravatar.com/"">Gravatar.com</a>","மிக href=""https://gravatar.com/""> Gravatar.com </ a> உங்கள் உலக அளவில் அங்கீகரிக்கப்பட்ட சின்னம் கிடைக்கும்"
GitHub,மகிழ்ச்சியா
GitHub Client ID,மகிழ்ச்சியா கிளையன்ட் ஐடி
GitHub Client Secret,மகிழ்ச்சியா கிளையண்ட் சீக்ரெட்
Github User ID,கிட்ஹப் பயனர் ஐடி
Github Username,கிட்ஹப் பயனர்பெயர்
Google,கூகிள்
Google Analytics ID,கூகுள் அனலிட்டிக்ஸ் ஐடி
Google Client ID,Google கிளையன்ட் ஐடி
Google Client Secret,Google கிளையன்ட் சீக்ரெட்
Google Plus One,கூகிள் பிளஸ் ஒன்
Google User ID,கூகிள் பயனர் ஐடி
Google Web Font (Heading),Google வலை எழுத்துரு (தலைப்பு)
Google Web Font (Text),Google வலை எழுத்துரு (உரை)
Greater or equals,கிரேட்டர் அல்லது சமமாக
Greater than,அதிகமாக
"Group Added, refreshing...","குழு சேர்க்கப்பட்டது , புத்துணர்ச்சி ..."
Group Description,குழு விளக்கம்
Group Name,குழு பெயர்
Group Title,குழு தலைப்பு
Group Type,குழு அமைப்பு
Groups,குழுக்கள்
HTML for header section. Optional,தலைப்பு பகுதியில் HTML ஐ . விருப்ப
Have an account? Login,ஒரு கணக்கு உள்ளதா? புகுபதிகை
Header,தலை கீழாக நீரில் மூழ்குதல்
Heading,செய்தித்தாளின் தலைப்பு
Heading Text As,என உரை தலைப்பு
Help,உதவி
Help on Search,தேடல் உதவி
Helvetica Neue,ஹெல்வெடிகா நியீ
Hidden,மறைந்துள்ள
Hide Actions,செயல்கள் மறைக்க
Hide Copy,நகல் மறைக்க
Hide Heading,தலைப்பு மறைக்க
Hide Toolbar,கருவிப்பட்டியை மறை
Hide the sidebar,பக்கப்பட்டியில் மறைக்க
High,உயர்
Highlight,சிறப்புக்கூறு
History,வரலாறு
Home Page,முகப்பு பக்கம்
Home Page is Products,முகப்பு பக்கம் தயாரிப்புகள் ஆகும்
ID (name) of the entity whose property is to be set,அதன் சொத்து அமைக்க வேண்டும் நிறுவனம் ஐடி (பெயர்)
Icon,உருவம்
Icon will appear on the button,ஐகான் பொத்தானை தோன்றும்
"If a Role does not have access at Level 0, then higher levels are meaningless.","ஒரு பாத்திரத்தில் நிலை 0 அணுகல் இல்லை என்றால் , பின்னர் உயர் மட்டங்களில் பொருளற்றது ."
"If checked, all other workflows become inactive.","சரி என்றால், அனைத்து பிற பணிப்பாய்வுகளும் செயலற்று போகும்."
"If checked, the Home page will be the default Item Group for the website.","தேர்வுசெய்யப்பட்டால், முகப்பு பக்கம் இணைய முன்னிருப்பு உருப்படி குழு இருக்கும்."
"If image is selected, color will be ignored (attach first)","படத்தை தேர்வு செய்தால், நிறம் (முதல் இணைக்கவும்) புறக்கணிக்கப்படும்"
If non standard port (e.g. 587),நீங்கள் அல்லாத நிலையான துறை (எ.கா. 587)
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.","இந்த வழிமுறைகளை அங்கு பயனுள்ளதாக இல்லை என்றால், மகிழ்ச்சியா சிக்கல்கள் உங்கள் ஆலோசனைகளை சேர்க்க தயவு செய்து ."
"If you set this, this Item will come in a drop-down under the selected parent.","நீங்கள் இந்த அமைக்க என்றால், இந்த பொருள் தேர்வு பெற்றோர் கீழ் ஒரு துளி கீழே வரும் ."
Ignore User Permissions,பயனர் அனுமதிகள் புறக்கணி
"Ignoring Item {0}, because a group exists with the same name!","தவிர்த்தல் பொருள் {0} , ஒரு குழு , அதே பெயரில் உள்ளது, ஏனெனில் !"
Image,படம்
Image Link,படம் இணைப்பு
Import,இறக்குமதி பொருள்கள்
Import / Export Data,ஏற்றுமதி / இறக்குமதி தரவு
Import / Export Data from .csv files.,ஏற்றுமதி / இறக்குமதி தரவு இருந்து . கோப்புகள் .
In,இல்
In Dialog,உரையாடல்
In Filter,வடிகட்டி உள்ள
In List View,பட்டியல் இல்
In Report Filter,அறிக்கை வடிகட்டி உள்ள
In points. Default is 9.,புள்ளிகள். இயல்புநிலை 9 ஆகிறது.
In response to,பதில்
Incorrect value in row {0}: {1} must be {2} {3},தவறான மதிப்பு வரிசையில் {0} {1} இருக்க வேண்டும் {2} {3}
Incorrect value: {0} must be {1} {2},தவறான மதிப்பு: {0} இருக்க வேண்டும் {1} {2}
Index,குறியீட்டெண்
Individuals,தனிநபர்கள்
Info,தகவல்
Insert After,பிறகு செருகு
"Insert After field '{0}' mentioned in Custom Field '{1}', does not exist","' {0}' விருப்ப புலம் குறிப்பிடப்பட்டுள்ளது ' {1} ' , இல்லை துறையில் பிறகு நுழைக்கவும்"
Insert Below,கீழே நுழைக்கவும்
Insert Code,கோட் செருக
Insert Row,ரோ நுழைக்க
Insert Style,உடை செருக
Install Applications.,பயன்பாடுகளை நிறுவ .
Installed,நிறுவப்பட்ட
Installer,நிறுவி
Int,முகப்பு
Integrations,ஒருங்கிணைவுகளையும்
Introduce your company to the website visitor.,இணைய பார்வையாளர் உங்கள் நிறுவனம் அறிமுகம்.
Introduction,அறிமுகப்படுத்துதல்
Introductory information for the Contact Us Page,எங்களை பக்கம் ஒரு அறிமுக தகவல்
Invalid Email: {0},தவறான மின்னஞ்சல் : {0}
Invalid Filter: {0},செல்லாத வடிகட்டவும்: {0}
Invalid Home Page,செல்லாத முகப்பு பக்கம்
Invalid Login,செல்லாத தேதி
Invalid Outgoing Mail Server or Port,செல்லாத வெளிச்செல்லும் அஞ்சல் சர்வர் அல்லது போர்ட்
Invalid login or password,செல்லாத உள்நுழைவு அல்லது கடவுச்சொல்லை
Invalid recipient address,தவறான பெறுநர் முகவரி
Inverse,தலைகீழான
Is Active,செயலில் உள்ளது
Is Child Table,குழந்தைகள் அட்டவணை உள்ளது
Is Default,இது இயல்பு
Is Event,நிகழ்வு
Is Mandatory Field,இன்றியமையாதது ஆகும்
Is Single,ஒற்றை உள்ளது
Is Standard,ஸ்டாண்டர்ட் உள்ளது
Is Submittable,Submittable உள்ளது
Is Task,பணியாகும்
Item cannot be added to its own descendents,பொருள் அதன் சொந்த ஆதரவாளர்வரை சேர்க்க முடியாது
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},ஜாவா வடிவம்: frappe.query_reports [' REPORTNAME '] = { }
Javascript,ஜாவா ஸ்கிரிப்ட்
Javascript to append to the head section of the page.,Javascript பக்கம் தலை பிரிவில் சேர்க்க வேண்டும்.
Key,சாவி
Label,சிட்டை
Label Help,லேபிள் உதவி
Label and Type,லேபிள் மற்றும் வகை
Label is mandatory,லேபிள் கட்டாய ஆகிறது
Landing Page,இறங்கும் பக்கம்
Language,மொழி
Language preference for user interface (only if available).,பயனர் இடைமுக மொழி முன்னுரிமை (மட்டுமே கிடைக்கும் என்றால்).
"Language, Date and Time settings","மொழி , தேதி மற்றும் நேரம் அமைப்புகள்"
Last IP,கடந்த ஐபி
Last Login,கடைசியாக உட்சென்ற தேதி
Last Name,கடந்த பெயர்
Last updated by,கடந்த மூலம் மேம்படுத்தப்பட்டது
Lastmod,Lastmod
Lato,Lato
Leave blank to repeat always,எப்போதும் மீண்டும் வெறுமையாக விடவும்
Left,விட்டு
Less or equals,குறைவாக அல்லது சமமாக
Less than,குறைவான
Letter,கடிதம்
Letter Head,முகவரியடங்கல்
Letter Head Name,கடிதத்தை தலைமை பெயர்
Letter Head in HTML,HTML இல் கடிதம் தலைமை
Level,நிலை
"Level 0 is for document level permissions, higher levels for field level permissions.","நிலை 0 ஆவணம் நிலை அனுமதிகள், புலம் நிலை அனுமதிகள் அதிக அளவு உள்ளது."
Like,போன்ற
Link,இணைப்பு
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)","அந்த வலைத்தளத்தில் முகப்பு பக்கம் இணைப்பு . தரநிலை இணைப்புகள் (குறியீட்டெண், உள்நுழைவு , பொருட்கள் , வலைப்பதிவு, பற்றி , தொடர்பு )"
Link to other pages in the side bar and next section,பக்க பட்டியில் மற்ற பக்கங்களை அடுத்த பிரிவில் இணைக்க
Link to the page you want to open,நீங்கள் திறக்க வேண்டும் பக்கம் இணைப்பு
Linked In Share,பங்கு தொடர்பு
Linked With,உடன் இணைக்கப்பட்ட
List,பட்டியல்
List a document type,ஒரு ஆவணம் வகை பட்டியல்
List of Web Site Forum's Posts.,வலைத்தள கருத்துக்களம் இடுகைகள் பட்டியல் .
Loading,சுமையேற்றம்
Loading Report,அறிக்கை ஏற்றும்
Loading...,ஏற்றுகிறது ...
Localization,ஓரிடமாக்கல்
Location,இடம்
Log of error on automated events (scheduler).,தானியங்கி நிகழ்வுகள் ( திட்டமிடுதலின் ) பிழை பதிவு .
Login,புகுபதிகை
Login After,பின்னர் உள்
Login Before,முன் login
Login Id,அடையாளம் செய்
Login not allowed at this time,தேதி இந்த நேரத்தில் அனுமதி இல்லை
Logout,விடு பதிகை
Long Text,நீண்ட உரை
Low,குறைந்த
Lucida Grande,Lucida கிராண்டி
Mail Password,மின்னஞ்சல் கடவுச்சொல்
Main Section,முக்கிய பகுதி
Make a new,ஒரு புதிய செய்ய
Make a new record,ஒரு புதிய சாதனையை செய்ய
Male,ஆண்
Manage cloud backups on Dropbox,டிராப்பாக்ஸ் மேகம் காப்பு நிர்வகி
Manage uploaded files.,மேலேற்றும் கோப்புக்களை நிர்வகி .
Mandatory,அதிகாரம் சார்ந்த
Mandatory fields required in {0},தேவையான கட்டாய துறைகள் {0}
Mandatory filters required:\n,கட்டாய வடிகட்டிகள் தேவை: \ n
Master,தலைவன்
Max Attachments,மேக்ஸ் இணைப்புகள்
Max width for type Currency is 100px in row {0},வகை நாணய மேக்ஸ் அகலம் வரிசையில் 100px {0}
"Meaning of Submit, Cancel, Amend","திருத்தி, ரத்து, சமர்ப்பி அர்த்தம்"
Medium,ஊடகம்
"Menu items in the Top Bar. For setting the color of the Top Bar, go to <a href=""#Form/Style Settings"">Style Settings</a>","சிறந்த பட்டை உள்ள பட்டி உருப்படிகள். மேல் பட்டி வண்ணம் அமைக்க, போய் <a href=""#Form/Style Settings"">உடை அமைப்புகள்</a>"
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,ஞானக்குகை குழு முதல் குழு அல்லது இலை முனை முதல் இலை கணு இடையே மட்டுமே சாத்தியம்
Message,செய்தி
Message Examples,செய்தி எடுத்துக்காட்டுகள்
Messages,செய்திகள்
Method,வகை
Middle Name (Optional),நடுத்தர பெயர் (கட்டாயமில்லை)
Misc,மற்றவை
Miscellaneous,நானாவிதமான
Missing Values Required,தேவையான காணவில்லை கலாச்சாரம்
Modern,நவீன
Modified by,திருத்தியது
Module,தொகுதி
Module Def,தொகுதி டெப்
Module Name,தொகுதி பெயர்
Module Not Found,தொகுதி கிடைக்கவில்லை
Modules Setup,தொகுதிகள் அமைப்பு
Monday,திங்கட்கிழமை
More,அதிக
More content for the bottom of the page.,பக்கம் கீழே அதிக உள்ளடக்கம்.
Move Down: {0},: கீழே நகர்த்து {0}
Move Up: {0},மேல் நகர்த்து : {0}
Multiple root nodes not allowed.,பல ரூட் முனைகளில் அனுமதி இல்லை .
Must have report permission to access this report.,இந்த அறிக்கை அணுக அறிக்கை அனுமதி பெற்றிருக்க வேண்டும்.
Must specify a Query to run,இயக்க ஒரு கேள்வி குறிப்பிட வேண்டும்
My Settings,என் அமைப்புகள்
Name,பெயர்
Name Case,பெயர் வழக்கு
Name and Description,பெயர் மற்றும் விவரம்
Name is required,பெயர் தேவை
Name not permitted,அனுமதி இல்லை பெயர்
Name not set via Prompt,உடனடியாக கட்டளை வழியாக அமைக்க இல்லை பெயர்
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,இந்த துறையில் இணைக்கப்பட்ட வேண்டும் ஆவண வகை (DOCTYPE) என்ற பெயர். எ.கா. வாடிக்கையாளர்
Name of {0} cannot be {1},{0} பெயர் இருக்க முடியாது {1}
Naming,பெயரிடுதல்
Naming Series mandatory,கட்டாய தொடர் பெயரிடும்
Nested set error. Please contact the Administrator.,உள்ளமை தொகுப்பு பிழை . நிர்வாகியை தொடர்பு கொள்க.
New,புதிய
New Password,புதிய கடவுச்சொல்
New Record,புதிய பதிவு
New comment on {0} {1},புதிய கருத்துரை {0} {1}
New password emailed,புதிய கடவுச்சொல்லை மின்னஞ்சல்
New value to be set,அமைக்க புதிய மதிப்பு
New {0},புதிய {0}
Next Communcation On,அடுத்த Communcation இல்
Next Record,அடுத்த பதிவு
Next State,அடுத்த மாநிலம்
Next actions,அடுத்த நடவடிக்கைகள்
No,இல்லை
No Action,இல்லை அதிரடி
No Communication tagged with this ,இந்த குறிச்சொல் இல்லை தொடர்பாடல்
No Copy,இல்லை நகல்
No Permissions set for this criteria.,இல்லை அனுமதிகள் இந்த அடிப்படை அமைக்க.
No Report Loaded. Please use query-report/[Report Name] to run a report.,"எந்த அறிக்கை ஏற்றப்பட்டது. பயன்படுத்த கேள்வி, அறிக்கை / [அறிக்கை பெயர்] ஒரு அறிக்கை ரன் செய்யவும்."
No Results,இல்லை முடிவுகள்
No Sidebar,இல்லை பக்கப்பட்டி
No User Permissions found.,இல்லை பயனர் அனுமதிகள் இல்லை .
No data found,தரவு எதுவும்
No file attached,இணைக்கப்பட்ட இல்லை கோப்பு
No further records,மேலும் பதிவுகள்
No one,எந்த ஒரு
No permission to '{0}' {1},அனுமதி இல்லை ' {0}' {1}
No permission to edit,திருத்த அனுமதி இல்லை
No permission to write / remove.,எழுத அனுமதி இல்லை / நீக்க.
No records tagged.,இல்லை பதிவுகளை குறித்துள்ளார்.
No template found at path: {0},பாதையை எதுவும் வார்ப்புரு: {0}
No {0} permission,இல்லை {0} அனுமதி
None,None
None: End of Workflow,None: பணியோட்ட முடிவு
Not Found,எதுவும் இல்லை
Not Linked to any record.,எந்த பதிவு இணைந்தது.
Not Permitted,அனுமதிக்கப்பட்ட
Not Submitted,சமர்ப்பிக்கவில்லை
Not a user yet? Sign up,இன்னும் ஒரு பயனர் ? பதிவு
Not a valid Comma Separated Value (CSV File),செல்லுபடியாகும் கமா பிரிந்து மதிப்பு ( CSV ​​கோப்பை )
Not allowed,அனுமதி இல்லை
Not allowed from this IP Address,இந்த ஐபி முகவரி இருந்து அனுமதி இல்லை
Not allowed to Import,இறக்குமதி செய்ய அனுமதி இல்லை
Not allowed to access {0} with {1} = {2},அணுக உங்களுக்கு அனுமதி இல்லை {0} உடன் {1} = {2}
Not allowed to change {0} after submission,சமர்ப்பித்த பின்னர் {0} மாற்ற உங்களுக்கு அனுமதி இல்லை
Not allowed to move,செல்ல அனுமதி இல்லை
Not allowed to reset the password of {0},{0} கடவுச்சொல்லை மீட்டமைக்க அனுமதி இல்லை
Not enough permission to see links.,இல்லை இணைப்புகளை பார்க்க போதுமான அனுமதி.
Not equals,சமம்
Not found,இல்லை
Not in Developer Mode! Set in site_config.json,இல்லை டெவலப்பர் முறைமையில் ! Site_config.json அமைக்க
Not permitted,அனுமதி இல்லை
"Note: For best results, images must be of the same size and width must be greater than height.","குறிப்பு: சிறந்த முடிவுகளுக்கு, படங்களை அதே அளவு மற்றும் அகலம் இருக்க வேண்டும் உயரத்தை விட அதிகமாக இருக்க வேண்டும்."
Note: Other permission rules may also apply,குறிப்பு: பிற அனுமதி விதிகளை கூட பொருந்தும்
Note: maximum attachment size = 1mb,குறிப்பு: அதிகபட்ச இணைப்பு அளவு = 1MB
Nothing to show,காண்பிக்க ஒன்றும்
Nothing to show for this selection,இந்த தேர்வு காண்பிக்க ஒன்றும்
Notification Count,அறிவித்தல் எண ¯
Notify by Email,மின்னஞ்சல் மூலம் அறிவிக்குமாறு
Number Format,எண் வடிவமைப்பு
Old Parent,பழைய பெற்றோர்
On,மீது
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).","நீங்கள் இந்த அமைக்க வேண்டும் ஒருமுறை , பயனர்கள் மட்டுமே முடியும் அணுகல் ஆவணங்களை இணைப்பு உள்ளது, அங்கு (எ.கா. வலைப்பதிவு போஸ்ட் ) (எ.கா. Blogger) இருக்கும்."
Only Administrator allowed to create Query / Script Reports,ஒரே நிர்வாகி கேள்வி / ஸ்கிரிப்ட் அறிக்கைகள் உருவாக்க அனுமதி
Only Administrator can save a standard report. Please rename and save.,ஒரே நிர்வாகி ஒரு தரமான அறிக்கையை சேமிக்க முடியும். மறுபெயர் காப்பாற்றுங்கள்.
Only Allow Edit For,மட்டும் திருத்து அனுமதி
Only allowed {0} rows in one import,ஒரு இறக்குமதி மட்டும் அனுமதி {0} வரிசைகள்
Oops! Something went wrong,அச்சச்சோ! ஏதோ தவறு
Open,திறந்த
Open Count,திறந்த எண ¯
Open Sans,திறந்த சான்ஸ்
Open Source Web Applications for the Web,வலை திறந்த மூல வலை பயன்பாடுகள்
Open a module or tool,ஒரு தொகுதி அல்லது கருவி திறக்க
Open {0},திறந்த {0}
Optional: Alert will only be sent if value is a valid email id.,"விருப்பப்பட்ட: மதிப்பானது, செல்லுபடியாகும் மின்னஞ்சல் ஐடி என்றால் எச்சரிக்கை மட்டுமே அனுப்பப்படும்."
Optional: Always send to these ids. Each email id on a new row,விருப்பப்பட்ட: எப்போதும் இந்த ஐடிகள் அனுப்ப. ஒரு புதிய வரிசையில் ஒவ்வொரு மின்னஞ்சல் ஐடி
Optional: The alert will be sent if this expression is true,விருப்பப்பட்ட: இந்த கருத்து உண்மையாக இருந்தால் எச்சரிக்கை அனுப்பப்படும்
Options,விருப்பங்கள்
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',துறையில் விருப்பங்கள் 'டைனமிக் லிங்க்' வகை 'DOCTYPE' என விருப்பங்கள் மற்றொரு இணைப்பு துறையில் சுட்டி வேண்டும்
Options Help,விருப்பங்கள் உதவி
Options for select. Each option on a new line. e.g.: <br>Option 1<br>Option 2<br>Option 3<br>,தேர்ந்தெடுக்கப்பட்ட விருப்பங்கள். ஒரு புதிய வரி ஒவ்வொரு விருப்பத்தை. எ.கா.: <br> விருப்பம் 1 <br> விருப்பம் 2 ல் தேர்வு 3 <br>
Options must be a valid DocType for field {0} in row {1},விருப்பங்கள் {0} வரிசையில் {1} துறையில் ஒரு சரியான DOCTYPE இருக்க வேண்டும்
Options not set for link field {0},விருப்பங்கள் இணைப்பு துறையில் அமைக்க{0}
Options requried for Link or Table type field {0} in row {1},இணைப்பு அல்லது அட்டவணை வகை துறையில் தேவைப்படும் விருப்பங்கள் {0} வரிசையில் {1}
Org History,org வரலாறு
Org History Heading,Org வரலாறு தலைப்பு
Original Message,அசல் செய்தி
Other,வேறு
Outgoing Email Settings,வெளிச்செல்லும் மின்னஞ்சல் அமைப்புகள்
Outgoing Mail Server,வெளிச்செல்லும் அஞ்சல் சேவையகம்
Outgoing Mail Server not specified,வெளிச்செல்லும் அஞ்சல் சர்வர் குறிப்பிடப்படவில்லை
Owner,சொந்தக்காரர்
PDF Page Size,PDF பக்கம் அளவு
PDF Settings,PDF அமைப்புகள்
POP3 Mail Server (e.g. pop.gmail.com),POP3 அஞ்சல் சேவையகம் (எ.கா. pop.gmail.com)
Page,பக்கம்
Page #{0} of {1},பக்கம் # {0} {1}
Page Background,பக்கம் பின்னணி
Page HTML,பக்கம் HTML
Page Header,பக்கம் தலைப்பு
Page Header Background,பக்கம் தலைப்பு பின்னணி
Page Header Text,பக்கம் தலைப்பு உரை
Page Links,பக்கம் இணைப்புகள்
Page Name,பக்கம் பெயர்
Page Role,பக்கம் பாத்திரம்
Page Text,பக்கம் உரை
Page Title,பக்கம் தலைப்பு
Page content,பக்கம் உள்ளடக்கம்
Page not found,பக்கம் காணவில்லை
Page or Generator,பக்கம் அல்லது ஜெனரேட்டர்
Page url name (auto-generated),பக்கம் URL பெயர் ( தானாக உருவாக்கப்பட்ட )
Parent Label,பெற்றோர் லேபிள்
Parent Post,பெற்றோர் இடுகை
Parent Website Page,பெற்றோர் வலைத்தளம் பக்கம்
Parent Website Route,பெற்றோர் இணையத்தளம் வழி
Parent Website Sitemap,பெற்றோர் இணையத்தளம் தள வரைபடம்
Participants,பங்கேற்பாளர்கள்
Password,கடவுச்சொல்
Password Updated,கடவுச்சொல் இற்றை
Password reset instructions have been sent to your email,கடவுச்சொல் மீட்டமைப்பு வழிமுறைகளை உங்கள் மின்னஞ்சல் அனுப்பப்படும்
Patch,சிறு நிலம்
Patch Log,இணைப்பு புகுபதிகை
Percent,சதவீதம்
Perm Level,நிலை PERM
Permanently Cancel {0}?,நிரந்தரமாக {0} ரத்து ?
Permanently Submit {0}?,நிரந்தரமாக {0} சமர்ப்பிக்கவும் ?
Permanently delete {0}?,நிரந்தரமாக {0} நீக்க வேண்டுமா?
Permission Level,அனுமதி நிலை
Permission Levels,அனுமதி நிலைகள்
Permission Rules,அனுமதி விதிமுறைகள்
Permission already set,அனுமதி ஏற்கனவே அமைக்க
Permissions,அனுமதிகள்
Permissions Settings,அனுமதிகள் அமைப்புகள்
Permissions are automatically translated to Standard Reports and Searches.,அனுமதிகள் தானாக நிலையான அறிக்கைகள் தேடல்களையும் மொழிபெயர்க்கப்பட்டுள்ளது .
"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.","அனுமதிகள் அறிக்கை , இறக்குமதி , ஏற்றுமதி, அச்சு, மின்னஞ்சல் மற்றும் அமை பயனர் அனுமதிகள் , திருத்தவோ, ரத்து , சமர்ப்பிக்க , நீக்கு , உருவாக்க , வாசிக்க, எழுத, போன்ற உரிமைகள் அமைப்பு மூலம் பங்களிப்பு மற்றும் ஆவண வகைகள் ( டாக்டைப்கள் அழைக்கப்படுகிறது) அமைக்கப்படுகின்றன ."
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,அதிக அளவில் அனுமதிகள் ' வயல்வெளி ' அனுமதி இல்லை .
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.","நிலை 0 அனுமதிகள் &#39;ஆவண நிலை&#39; அனுமதிகள் உள்ளன, அதாவது அவர்கள் ஆவணத்தை அணுக முதன்மையான இருக்கும்."
Permissions get applied on Users based on what Roles they are assigned.,அனுமதிகள் அவர்கள் ஒதுக்கப்படும் என்ன பங்களிப்பு அடிப்படையில் பயனர்கள் பயன்படுத்தப்படும்.
Permitted Documents For User,பயனர் அனுமதிக்கப்பட்ட ஆவணங்கள்
Person,ஒரு நபர்
Personal Info,தனிப்பட்ட தகவல்
Phone,தொலைபேசி
Phone No.,தொலைபேசி எண்
Pick Columns,பத்திகள் தேர்வு
Picture URL,படம் URL ஐ
Pincode,ப ன்ேகா
Please attach a file first.,முதல் ஒரு கோப்பை இணைக்கவும்.
Please attach a file or set a URL,ஒரு கோப்பை இணைக்கவும் அல்லது ஒரு URL ஐ அமைக்கவும்
Please do not change the rows above {0},மேலே வரிசைகள் மாற்ற வேண்டாம் {0}
Please enable pop-ups,பாப் அப்களை தயவுசெய்து
Please enter Event's Date and Time!,நிகழ்வின் தேதி மற்றும் நேரம் உள்ளிடவும் !
Please enter both your email and message so that we \				can get back to you. Thanks!,உங்கள் மின்னஞ்சல் மற்றும் செய்தி இருவரும் உள்ளிடவும் என்று நாம் \ மீண்டும் நீங்கள் பெற முடியும். நன்றி!
Please enter some text!,சில சொற்களை உள்ளிடவும் !
Please enter title!,தலைப்பு உள்ளிடவும் !
Please login to Upvote!,வளி உள்நுழைய தயவு செய்து!
Please make sure that there are no empty columns in the file.,கோப்பு எந்த காலியாக பத்திகள் உள்ளன என்று உறுதிப்படுத்தி கொள்ளுங்கள்.
Please refresh to get the latest document.,சமீபத்திய ஆவணத்தை பெற புதுப்பிக்கவும்.
Please reply above this line or remove it if you are replying below it,"இந்த வரிசையில் மேலே பதில் அல்லது நீங்கள் அதை கீழே பதில் இருந்தால், அதை நீக்க, தயவு செய்து"
Please select a file or url,ஒரு கோப்பு அல்லது url தேர்ந்தெடுக்கவும்
Please select atleast 1 column from {0} to sort,{0} தீர்த்துக்கொள்ள குறைந்தது 1 நிரலை தேர்வு செய்க
Please set {0} first,முதல் {0} அமைக்கவும்
Please specify,குறிப்பிடவும்
Please specify 'Auto Email Id' in Setup > Outgoing Email Settings,> அமைப்பு வெளிச்செல்லும் மின்னஞ்சல் அமைப்புகள் 'ஆட்டோ Email Id ' குறிப்பிடவும்
